Table LA3: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2009-20132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,,,,,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,20132,,,,,
,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,Percentage achieving:,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,,,Percentage with UPN3,Number eligible to sit GCSEs4,,,,
,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5,,,,,5+ GCSEs A*-C or equivalent5,5+ GCSEs A*-C or equivalent including English & mathematics GCSEs5,A*-C GCSEs in English & mathematics5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,90-99,155,,25.3,9.7,10.4,,<90,115,,44.3,10.4,10.4,,<90,95,,51.6,8.4,9.5,,<90,75,,48.0,16.0,16.0,,<90,55,,36.8,17.5,17.5
Ealing,100,35,,23.5,x,x,,90-99,25,,41.7,x,x,,90-99,25,,30.4,x,x,,100,30,,21.4,21.4,21.4,,100,15,,x,x,x
Enfield,100,15,,x,x,x,,90-99,20,,x,x,x,,90-99,25,,40.0,28.0,28.0,,100,25,,58.3,x,x,,100,25,,58.3,41.7,41.7
Greenwich,90-99,40,,22.5,x,x,,100,55,,24.6,19.3,19.3,,100,35,,26.5,x,x,,100,25,,55.6,37.0,37.0,,100,35,,32.4,16.2,16.2
Harrow,90-99,10,,x,x,x,,100,15,,x,x,x,,90-99,20,,x,x,x,,100,10,,x,0.0,0.0,,<90,10,,x,x,x
Havering,90-99,5,,x,x,x,,90-99,10,,x,x,x,,100,15,,x,x,x,,100,15,,x,0.0,x,,100,25,,32.0,x,x
Hillingdon,90-99,50,,32.0,14.0,14.0,,<90,35,,41.2,29.4,29.4,,90-99,40,,44.7,26.3,26.3,,90-99,35,,40.5,x,x,,90-99,45,,41.9,14.0,14
Hounslow,90-99,20,,x,x,x,,90-99,25,,33.3,x,x,,90-99,25,,x,x,x,,90-99,15,,x,x,x,,100,30,,35.5,x,19.4
Kingston upon Thames,100,10,,x,x,x,,100,10,,x,0.0,0.0,,100,15,,42.9,x,x,,100,5,,x,x,x,,100,5,,x,0.0,0
Merton,100,15,,x,x,x,,100,10,,x,0.0,0.0,,100,x,,0.0,0.0,0.0,,100,10,,x,x,x,,100,15,,x,x,x
Redbridge,100,15,,x,x,x,,90-99,20,,38.9,x,x,,100,15,,50.0,x,x,,100,15,,50.0,x,x,,90-99,10,,x,0.0,0
Richmond upon Thames,100,5,,x,x,x,,100,5,,x,x,x,,100,10,,x,x,x,,100,10,,x,x,x,,100,x,,x,x,x
Sutton,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,35.3,x,x,,100,15,,x,x,x,,100,15,,x,x,x
Waltham Forest,100,25,,41.7,25.0,25.0,,100,30,,x,x,x,,100,30,,33.3,x,x,,100,20,,30.0,x,x,,100,30,,39.3,25.0,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH EAST,.,620,,20.6,8.7,9.5,,.,660,,24.8,10.7,11.4,,.,670,,27.1,11.5,12.2,,.,650,,29.9,11.6,11.9,,.,640,,32.0,11.7,12
Bracknell Forest,100,15,,0.0,0.0,0.0,,100,10,,x,x,x,,100,10,,x,x,x,,100,10,,x,0.0,0.0,,100,10,,x,0.0,0
Brighton and Hove,100,35,,x,x,x,,100,35,,x,x,x,,100,30,,21.4,x,x,,100,35,,36.1,x,x,,100,35,,37.1,x,x
Buckinghamshire,100,25,,x,x,x,,90-99,25,,x,x,x,,100,25,,25.0,x,x,,100,30,,35.5,22.6,25.8,,90-99,30,,26.7,x,x
East Sussex,100,40,,20.5,x,x,,100,40,,37.5,20.0,20.0,,100,45,,29.8,14.9,14.9,,100,40,,34.2,18.4,18.4,,100,35,,36.4,18.2,18.2
Hampshire,90-99,80,,17.7,x,7.6,,100,80,,28.0,15.9,17.1,,100,100,,21.6,7.8,9.8,,90-99,90,,25.0,9.1,9.1,,100,110,,26.6,9.2,9.2
Isle of Wight,100,20,,x,0.0,0.0,,90-99,20,,x,x,x,,100,25,,30.4,x,x,,100,15,,x,0.0,0.0,,100,10,,x,x,x
Kent,100,105,,29.5,9.5,9.5,,100,130,,22.5,6.2,7.0,,90-99,135,,26.5,11.0,11.8,,90-99,110,,33.6,15.5,15.5,,90-99,125,,36.8,15.2,16
Medway,100,25,,40.7,x,x,,100,30,,32.1,x,x,,100,30,,45.2,x,x,,100,20,,x,x,x,,100,25,,30.4,x,x
Milton Keynes,90-99,10,,x,x,x,,100,20,,x,x,x,,100,15,,41.2,x,x,,100,20,,59.1,x,x,,100,15,,41.2,x,x
Oxfordshire,100,45,,13.3,x,x,,90-99,40,,21.4,x,x,,90-99,50,,17.3,x,x,,100,30,,19.4,x,x,,100,35,,29.7,x,x
Portsmouth,100,30,,25.0,x,x,,100,20,,x,x,x,,100,20,,x,x,x,,100,20,,31.8,x,x,,100,20,,33.3,x,x
Reading,100,10,,x,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,40.0,0.0,0.0,,100,15,,50.0,x,x
Slough,100,x,,x,0.0,0.0,,100,10,,x,x,x,,100,10,,58.3,x,x,,100,15,,50.0,x,x,,100,10,,x,x,x
Southampton,100,25,,x,x,x,,100,25,,25.0,x,x,,90-99,20,,x,x,x,,100,30,,33.3,20.0,20.0,,100,20,,44.4,x,x
Surrey,90-99,75,,25.7,12.2,12.2,,<90,75,,31.5,12.3,12.3,,100,55,,38.9,22.2,22.2,,90-99,75,,21.3,8.0,9.3,,90-99,65,,25.4,11.1,11.1
West Berkshire,100,10,,x,x,x,,100,10,,x,x,x,,100,5,,x,0.0,0.0,,100,15,,x,0.0,0.0,,100,5,,x,x,x
West Sussex,90-99,60,,11.9,x,x,,90-99,65,,21.9,x,x,,100,55,,26.8,x,x,,100,60,,24.2,9.7,9.7,,100,65,,32.8,13.4,14.9
Windsor and Maidenhead,100,5,,x,x,x,,<90,5,,x,x,x,,100,10,,x,x,x,,100,5,,x,x,x,,<90,x,,x,0.0,0
Wokingham,100,x,,x,0.0,0.0,,<90,x,,0.0,0.0,0.0,,100,10,,x,x,x,,100,5,,x,x,x,,100,x,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH WEST,.,390,,17.5,10.1,10.8,,.,420,,19.4,10.3,12.0,,.,440,,29.5,12.1,12.8,,.,440,,30.7,12.4,12.6,,.,450,,29.7,12.4,14
Bath and North East Somerset,100,10,,x,x,x,,100,15,,37.5,x,x,,100,10,,x,x,x,,100,15,,50.0,x,x,,100,10,,x,x,x
Bournemouth,100,20,,x,x,x,,100,15,,x,0.0,0.0,,100,20,,27.3,x,x,,100,15,,x,x,x,,100,20,,52.4,x,x
"Bristol, City of",100,50,,x,x,x,,100,50,,14.0,12.0,12.0,,100,55,,41.1,10.7,12.5,,100,45,,38.3,17.0,17.0,,100,70,,35.3,14.7,16.2
Cornwall,100,45,,x,x,x,,100,40,,24.4,14.6,14.6,,100,40,,38.1,21.4,21.4,,100,50,,31.3,x,12.5,,100,40,,26.2,x,x
Devon,100,55,,16.1,x,10.7,,100,60,,19.4,14.5,19.4,,100,55,,24.6,15.8,15.8,,100,60,,32.2,10.2,10.2,,100,65,,17.9,x,9
Dorset,100,20,,x,x,x,,100,20,,x,x,x,,100,25,,x,x,x,,100,25,,x,x,x,,100,30,,26.7,20.0,20
Gloucestershire,100,40,,28.6,16.7,16.7,,<90,45,,37.8,13.3,17.8,,90-99,45,,28.3,x,x,,100,40,,35.0,x,x,,90-99,30,,44.8,x,x
Isles of Scilly,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.,,.,0,,.,.,.
North Somerset,<90,5,,x,x,x,,100,15,,x,0.0,0.0,,100,15,,x,x,x,,100,20,,x,x,x,,100,15,,41.2,x,x
Plymouth,100,30,,32.1,x,x,,100,25,,x,x,x,,100,30,,31.0,x,x,,100,30,,35.7,x,x,,90-99,35,,33.3,16.7,16.7
Poole,100,10,,x,x,x,,100,5,,x,x,x,,90-99,15,,x,x,x,,90-99,15,,53.8,x,x,,100,15,,37.5,x,x
Somerset,100,35,,22.2,x,x,,100,40,,x,x,x,,100,40,,15.4,x,x,,100,40,,23.1,x,x,,100,35,,21.6,x,x
South Gloucestershire,<90,10,,x,0.0,0.0,,100,15,,x,0.0,0.0,,100,15,,40.0,x,x,,100,15,,x,x,x,,100,20,,38.9,x,x
Swindon,100,20,,x,x,x,,100,20,,x,x,x,,90-99,25,,33.3,x,x,,100,25,,x,x,x,,100,15,,x,x,x
Torbay,100,10,,x,0.0,0.0,,100,20,,x,x,x,,100,15,,53.8,x,x,,100,20,,x,x,x,,100,15,,x,0.0,x
Wiltshire,100,30,,x,x,x,,90-99,25,,26.9,x,x,,100,25,,x,x,x,,90-99,35,,37.1,17.1,17.1,,100,30,,20.7,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Source: SSDA903_NPD matched data
1. Children looked after continuously for at least 12 months as at 31 March excluding those children in respite care. Only children who are matched to key stage 4 data are included.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Figures for 2013 are based on provisional data.  Figures for all other years are based on final data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. This is the percentage of children looked after continuously for 12 months at 31 March aged 15 at the start of the academic year who had a valid Unique Pupil Number (UPN) recorded in the SSDA903 return.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. This is the number of looked after children at the end of key stage 4 in all educational settings. If a child is recorded as at the end of key stage 4 (in year group 11) more than once, then the same child may appear in the local authority results in more than one year. This affects around 3% of looked after children each year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. From 2010 iGCSEs have been counted as GCSE equivalents and also as English & mathematics GCSEs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures for previous years may be different to previously published figures as LAs may update information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National and Regional figures have been rounded to the nearest 10. Local Authority figures have been rounded to the nearest 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See technical note 18 for more information on rounding conventions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
