,,2009 (5 terms)3,,,,,,,,,,2010 (5 terms)3,,,,,,,,,,2011 (5 terms)3,,,,,,,,,,2012 (5 terms)3,,,,,,,,,,2013 (5 terms)3,,,,,,,,,,,,,,2013  (6 terms)3,,,,
,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees8
,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redcar & Cleveland,,100,,65,,3.7,0.7,4.4,,x,,100,,60,,3.8,0.9,4.6,,x,,100,,65,,3.7,0.4,4.1,,x,,100,,70,,3.1,0.6,3.7,,x,,100 ,,70,,2.6,0.4,3.0,,x,,100 ,,70,,2.5,0.5,3.0,,x
South Tyneside,,100,,100,,5.0,1.8,6.8,,12.9,,100,,115,,4.5,2.4,6.9,,12.2,,100,,115,,4.1,1.2,5.3,,7.7,,100,,125,,3.1,1.3,4.4,,6.3,,100 ,,135,,3,1.2,4.2,,5.1,,100 ,,135,,2.9,1.2,4.1,,5.1
Stockton on Tees,,100,,95,,2.5,1.7,4.2,,x,,100,,100,,2.9,0.9,3.8,,x,,100,,105,,2.4,1.1,3.5,,x,,100,,115,,2.6,1.0,3.6,,x,,100 ,,130,,2.2,0.8,2.9,,x,,100 ,,130,,2.1,0.8,2.9,,x
Sunderland,,100,,200,,3.9,1.0,4.9,,7.5,,100,,195,,3.9,1.0,4.8,,4.1,,100,,175,,2.9,0.9,3.7,,5.7,,100,,160,,3.5,1.5,4.9,,8.9,,100 ,,155,,3,1.6,4.6,,6.5,,100 ,,155,,3,1.5,4.5,,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH WEST,,.,,"4,760",,4.2,1.6,5.8,,7.8,,.,,"4,800",,3.9,1.6,5.5,,7.6,,.,,"4,940",,3.8,1.8,5.5,,7.3,,.,,"4,940",,3.2,1.5,4.6,,6.1,,.,,"4,980",,3.1,1.3,4.3,,5.2,,.,,"4,980",,3,1.3,4.3,,5.2
Blackburn with Darwin,,90-99,,155,,4.4,1.0,5.4,,7.8,,90-99,,160,,3.2,1.0,4.2,,6.3,,100,,155,,2.9,0.5,3.4,,5.2,,100,,145,,1.9,0.5,2.4,,x,,100 ,,140,,2.2,0.4,2.6,,x,,100 ,,140,,2.1,0.4,2.4,,x
Blackpool,,90-99,,115,,2.9,0.9,3.8,,x,,100,,145,,3.4,0.7,4.2,,4.9,,100,,160,,3.1,1.2,4.3,,5.7,,100,,160,,2.3,0.9,3.2,,x,,100 ,,180,,2.1,0.5,2.6,,x,,100 ,,180,,1.9,0.5,2.4,,x
Bolton,,100,,185,,3.6,1.8,5.4,,7.5,,100,,190,,3.2,1.6,4.8,,6.9,,100,,220,,3.1,1.0,4.1,,5.5,,100,,220,,2.8,1.0,3.8,,3.6,,100 ,,235,,2.7,0.7,3.4,,3.0,,100 ,,235,,2.9,0.8,3.7,,3.4
Bury,,100,,120,,3.9,0.7,4.6,,5.0,,100,,100,,4.5,0.6,5.1,,9.1,,100,,105,,3.2,1.1,4.3,,5.8,,100,,115,,2.4,0.6,3.0,,x,,90-99,,115,,2.5,0.7,3.2,,x,,90-99,,115,,2.4,0.7,3.1,,x
Cheshire East,,100,,140,,5.8,1.7,7.5,,10.0,,100,,145,,4.0,0.8,4.7,,x,,90-99,,200,,3.8,0.9,4.7,,7.0,,90-99,,200,,3.0,1.0,4.0,,4.0,,90-99,,190,,3.2,0.5,3.8,,3.1,,90-99,,190,,3.4,0.5,3.9,,3.6
Cheshire West & Chester,,100,,145,,4.3,0.7,5.0,,6.8,,100,,155,,3.8,0.8,4.6,,5.2,,100,,150,,3.1,1.5,4.6,,x,,100,,150,,3.0,1.2,4.2,,4.6,,100 ,,155,,3.3,0.5,3.8,,6.4,,100 ,,155,,3.2,0.5,3.7,,5.7
Cumbria,,100,,220,,3.8,1.3,5.1,,5.0,,100,,210,,4.3,1.1,5.4,,6.7,,100,,230,,4.1,0.9,5.0,,6.5,,100,,245,,4.1,0.9,4.9,,7.8,,90-99,,245,,3.8,0.4,4.2,,3.7,,90-99,,245,,3.6,0.4,4.0,,3.3
Halton UA,,100,,75,,2.4,1.3,3.7,,x,,90-99,,70,,3.5,1.0,4.4,,x,,100,,50,,2.6,1.6,4.2,,x,,100,,45,,1.9,1.9,3.8,,x,,100 ,,55,,3.1,1.0,4.1,,x,,100 ,,55,,2.9,0.9,3.8,,x
Knowsley,,100,,150,,3.5,1.9,5.4,,6.0,,100,,150,,3.0,2.0,5.0,,6.1,,100,,140,,3.4,1.6,5.0,,4.3,,100,,130,,2.5,1.4,3.9,,x,,100 ,,120,,2.5,1.1,3.6,,x,,100 ,,120,,2.6,1.2,3.9,,x
Lancashire,,100,,560,,4.6,0.7,5.3,,6.8,,100,,555,,3.9,1.1,5.1,,5.6,,90-99,,565,,3.6,1.1,4.7,,4.8,,90-99,,555,,2.9,0.8,3.8,,2.9,,90-99,,580,,2.7,0.8,3.6,,3.3,,90-99,,580,,2.7,0.8,3.5,,2.6
Liverpool,,90-99,,375,,4.3,2.1,6.4,,9.8,,100,,405,,4.1,2.3,6.5,,9.2,,90-99,,455,,3.8,1.9,5.7,,8.5,,90-99,,445,,3.4,1.5,4.9,,6.7,,90-99,,450,,3.3,1.3,4.6,,6.0,,90-99,,450,,3.2,1.3,4.5,,6.9
Manchester,,90-99,,615,,4.9,3.0,7.9,,11.7,,90-99,,605,,4.8,3.2,8.0,,12.8,,90-99,,590,,4.8,3.4,8.2,,12.2,,90-99,,575,,3.8,3.9,7.6,,12.0,,90-99,,535,,3.5,3.6,7.1,,9.0,,90-99,,535,,3.3,3.6,6.9,,8.4
Oldham,,90-99,,155,,4.1,1.8,5.9,,7.1,,100,,145,,4.1,0.7,4.8,,5.5,,90-99,,145,,3.8,3.3,7.1,,8.4,,90-99,,130,,2.7,1.2,3.8,,4.6,,90-99,,135,,3.2,1.2,4.4,,6.7,,90-99,,135,,3.1,1.2,4.3,,6.7
Rochdale,,100,,160,,4.2,2.4,6.6,,10.1,,100,,175,,4.3,2.9,7.2,,13.0,,100,,180,,3.4,2.9,6.3,,7.7,,100,,190,,3.2,1.4,4.6,,7.4,,100 ,,215,,3.3,1.0,4.3,,6.5,,100 ,,215,,3.3,0.9,4.2,,7.5
Salford,,90-99,,255,,3.6,1.3,4.9,,5.9,,90-99,,220,,3.3,1.7,5.0,,6.8,,90-99,,220,,3.9,1.8,5.7,,8.6,,100,,235,,3.0,1.5,4.5,,6.4,,90-99,,225,,2.9,1.2,4.1,,5.4,,90-99,,225,,2.8,1.3,4.1,,4.9
Sefton,,100,,155,,3.4,1.3,4.7,,5.8,,90-99,,180,,3.3,1.3,4.6,,7.3,,100,,185,,4.2,1.2,5.5,,5.9,,100,,195,,3.6,0.8,4.4,,6.2,,100 ,,200,,3.4,1.4,4.8,,6.4,,100 ,,200,,3.4,1.3,4.7,,6.9
