,,2009 (5 terms)3,,,,,,,,,,2010 (5 terms)3,,,,,,,,,,2011 (5 terms)3,,,,,,,,,,2012 (5 terms)3,,,,,,,,,,2013 (5 terms)3,,,,,,,,,,,,,,2013  (6 terms)3,,,,
,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions lost due to6:,,,,Percentage of looked after children classed as persistent absentees8
,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,,,,,,,Authorised absence,Unauthorised absence,Overall absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,,100,,260,,5.1,0.6,5.7,,5.0,,90-99,,250,,4.6,0.6,5.2,,6.0,,90-99,,230,,3.8,0.8,4.7,,5.6,,90-99,,230,,3.5,0.3,3.8,,3.0,,100 ,,220,,3.7,0.6,4.3,,4.5,,100 ,,220,,3.8,0.6,4.5,,4.1
Northamptonshire,,100,,225,,4.5,1.8,6.2,,11.2,,100,,255,,4.2,1.3,5.4,,8.3,,100,,265,,4.0,0.9,4.9,,6.8,,100,,255,,3.6,0.6,4.2,,6.3,,100 ,,265,,3.9,0.6,4.6,,4.2,,100 ,,265,,3.8,0.8,4.6,,4.9
Nottingham,,90-99,,165,,4.3,2.2,6.5,,9.0,,90-99,,180,,3.7,0.8,4.5,,4.4,,100,,185,,4.0,1.4,5.4,,7.5,,100,,200,,3.7,1.3,5.0,,7.5,,100 ,,215,,2.7,1.3,4.0,,4.2,,100 ,,215,,2.7,1.2,3.9,,3.7
Nottinghamshire,,90-99,,200,,3.8,0.8,4.6,,3.5,,90-99,,230,,4.2,0.9,5.1,,4.4,,90-99,,240,,3.8,1.0,4.7,,3.7,,90-99,,265,,3.4,1.0,4.4,,4.9,,90-99,,335,,3.4,1.1,4.4,,3.9,,90-99,,335,,3.3,1.1,4.4,,3.6
Rutland,,x,,x,,x,0.0,x,,0.0,,x,,x,,x,x,x,,0.0,,<90,,10,,3.9,1.1,5.0,,x,,<90,,10,,3.9,0.1,4.0,,0.0,,90-99,,15,,2.9,0.8,3.7,,x,,90-99,,15,,2.8,1.2,4.0,,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST MIDLANDS,,.,,"3,300",,4.5,1.6,6.1,,8.6,,.,,"3,420",,4.2,1.4,5.6,,7.4,,.,,"3,540",,3.9,1.5,5.4,,6.9,,.,,"3,510",,3.4,1.3,4.7,,5.8,,.,,"3,600",,3.4,1.0,4.4,,4.9,,.,,"3,600",,3.4,1.1,4.4,,4.9
Birmingham,,90-99,,910,,4.4,2.1,6.5,,8.9,,90-99,,915,,4.0,1.7,5.7,,8.5,,90-99,,905,,3.8,2.4,6.2,,8.1,,90-99,,830,,3.6,1.8,5.4,,6.7,,90-99,,800,,3.4,1.2,4.6,,5.1,,90-99,,800,,3.3,1.2,4.5,,5.3
Coventry,,100,,220,,6.0,1.0,7.0,,10.4,,100,,235,,5.3,1.0,6.2,,12.0,,100,,255,,4.9,1.2,6.1,,9.3,,90-99,,245,,3.5,1.4,4.9,,6.1,,90-99,,215,,3.4,1.0,4.4,,5.1,,90-99,,215,,3.4,1.1,4.5,,4.7
Dudley,,90-99,,275,,4.1,2.3,6.4,,9.5,,90-99,,295,,3.6,1.2,4.9,,5.8,,90-99,,305,,3.4,1.2,4.6,,4.6,,100,,320,,2.8,0.7,3.5,,4.0,,100 ,,345,,3.1,0.8,3.9,,2.9,,100 ,,345,,3.1,0.9,4.0,,3.7
Herefordshire,,90-99,,75,,4.6,1.2,5.8,,9.3,,90-99,,70,,4.9,1.7,6.6,,x,,100,,65,,4.7,0.4,5.2,,x,,90-99,,65,,3.4,0.2,3.6,,x,,90-99,,70,,4.5,0.1,4.6,,x,,90-99,,70,,4.4,0.2,4.6,,x
Sandwell,,90-99,,230,,4.4,2.4,6.8,,10.8,,100,,235,,4.4,1.6,6.0,,8.9,,90-99,,250,,4.2,2.1,6.3,,9.2,,90-99,,245,,2.9,2.8,5.7,,6.5,,100 ,,250,,3.2,2.2,5.4,,5.2,,100 ,,250,,3.2,2.2,5.4,,5.6
Shropshire,,100,,65,,4.0,1.1,5.1,,x,,100,,70,,4.2,1.4,5.6,,8.6,,100,,70,,4.1,0.3,4.3,,x,,100,,75,,4.3,0.3,4.5,,x,,100 ,,90,,4.8,0.4,5.2,,8.0,,100 ,,90,,4.6,0.4,5.0,,x
Solihull,,90-99,,105,,4.1,0.7,4.8,,x,,90-99,,145,,5.2,1.3,6.5,,5.5,,100,,150,,3.8,1.4,5.2,,8.6,,100,,140,,3.5,1.5,4.9,,5.0,,100 ,,140,,3.9,1.2,5.2,,5.7,,100 ,,140,,3.9,1.2,5.1,,5.7
Staffordshire,,90-99,,295,,4.4,1.3,5.7,,7.8,,90-99,,295,,3.8,0.6,4.4,,3.0,,90-99,,325,,3.1,0.7,3.9,,3.4,,90-99,,350,,3.2,0.6,3.8,,3.7,,90-99,,375,,3.3,0.7,3.9,,3.7,,90-99,,375,,3.2,0.6,3.8,,3.5
Stoke on Trent,,100,,185,,4.5,2.9,7.3,,12.9,,100,,165,,3.8,3.0,6.7,,10.4,,100,,160,,4.5,1.6,6.0,,7.5,,100,,175,,3.6,1.9,5.5,,9.7,,90-99,,175,,2.8,1.3,4.1,,5.1,,90-99,,175,,2.8,1.5,4.3,,4.6
Telford and Wrekin,,100,,95,,4.4,1.0,5.3,,10.3,,100,,105,,3.7,1.6,5.3,,8.5,,100,,115,,3.2,0.3,3.5,,x,,100,,130,,3.2,0.3,3.5,,4.7,,100 ,,135,,2.9,0.3,3.2,,x,,100 ,,135,,2.9,0.4,3.3,,x
Walsall,,100,,205,,4.0,0.9,4.9,,4.9,,100,,215,,3.9,1.0,4.9,,6.5,,90-99,,225,,3.3,1.8,5.1,,6.7,,90-99,,230,,2.8,0.7,3.5,,3.1,,90-99,,240,,2.8,1.2,4.0,,4.1,,90-99,,240,,2.8,1.2,4.0,,4.6
Warwickshire,,100,,240,,5.2,0.8,6.0,,8.8,,90-99,,260,,5.1,0.8,5.9,,7.3,,90-99,,275,,4.5,1.1,5.5,,6.2,,90-99,,250,,4.6,0.8,5.5,,6.8,,90-99,,260,,3.8,0.9,4.7,,7.3,,90-99,,260,,3.9,1.0,4.9,,8.4
Wolverhampton,,100,,165,,3.9,1.3,5.2,,6.7,,90-99,,175,,3.8,1.3,5.1,,4.6,,100,,185,,3.5,0.8,4.2,,5.5,,100,,215,,3.0,1.5,4.5,,6.5,,100 ,,270,,3.2,1.5,4.7,,6.0,,100 ,,270,,3.3,1.4,4.7,,5.6
Worcestershire,,90-99,,220,,4.4,1.1,5.5,,6.8,,90-99,,240,,4.5,0.9,5.4,,6.7,,90-99,,255,,4.8,1.4,6.3,,10.2,,90-99,,245,,3.9,0.7,4.5,,7.0,,90-99,,235,,3.9,0.5,4.4,,5.1,,90-99,,235,,4,0.6,4.6,,4.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST OF ENGLAND,,.,,"2,610",,4.7,1.1,5.8,,7.9,,.,,"2,590",,4.6,1.3,5.9,,7.7,,.,,"2,590",,4.4,1.2,5.5,,7.4,,.,,"2,510",,3.9,1.0,4.9,,6.3,,.,,"2,530",,3.7,0.9,4.6,,4.6,,.,,"2,530",,3.7,0.9,4.5,,4.7
Bedford Borough,,100,,70,,5.4,1.7,7.0,,10.0,,100,,60,,4.2,1.1,5.3,,x,,100,,60,,4.3,2.3,6.6,,12.1,,100,,60,,3.0,0.7,3.7,,x,,90-99,,75,,3.1,0.4,3.5,,x,,90-99,,75,,3,0.4,3.4,,x
Central Bedfordshire,,100,,60,,4.8,1.7,6.5,,9.7,,100,,65,,5.5,2.6,8.1,,14.3,,100,,65,,5.2,1.5,6.7,,10.4,,100,,65,,5.5,2.6,8.0,,15.9,,100 ,,70,,3.5,1.5,4.9,,x,,100 ,,70,,3.4,1.6,5.0,,x
Cambridgeshire,,90-99,,165,,4.7,0.5,5.2,,4.3,,90-99,,190,,5.1,0.9,6.0,,7.4,,90-99,,195,,4.3,0.7,5.0,,6.2,,90-99,,185,,3.6,0.9,4.5,,5.4,,90-99,,210,,4.4,0.7,5.1,,7.2,,90-99,,210,,4.1,0.8,4.9,,6.7
Essex,,90-99,,630,,4.5,0.9,5.4,,7.8,,90-99,,615,,4.4,1.2,5.6,,6.6,,90-99,,635,,4.2,1.2,5.4,,7.6,,100,,600,,3.7,0.5,4.2,,5.7,,100 ,,590,,3.6,0.7,4.3,,3.0,,100 ,,590,,3.5,0.8,4.3,,3.7
Hertfordshire,,100,,425,,5.5,1.0,6.5,,9.0,,90-99,,420,,5.0,1.2,6.2,,8.6,,90-99,,425,,4.6,0.9,5.5,,7.1,,100,,400,,4.3,1.3,5.6,,8.0,,90-99,,375,,3.9,0.8,4.8,,5.6,,90-99,,375,,3.9,0.9,4.8,,6.1
Luton,,100,,180,,4.4,1.8,6.2,,8.8,,90-99,,170,,4.4,1.1,5.5,,9.4,,100,,170,,4.5,1.0,5.5,,7.6,,100,,175,,3.2,1.5,4.7,,6.3,,90-99,,165,,3.2,1.4,4.7,,4.8,,90-99,,165,,3.2,1.4,4.6,,4.2
Norfolk,,90-99,,395,,4.8,1.2,5.9,,7.8,,100,,400,,5.0,1.2,6.1,,8.0,,100,,400,,4.5,1.3,5.8,,7.5,,100,,395,,4.0,1.1,5.0,,5.6,,100 ,,415,,3.8,0.9,4.7,,4.8,,100 ,,415,,3.8,0.9,4.7,,4.8
Peterborough,,100,,150,,4.5,0.9,5.4,,6.0,,100,,155,,3.2,1.9,5.1,,5.2,,100,,130,,3.9,0.6,4.5,,5.4,,100,,115,,3.3,1.2,4.5,,6.1,,90-99,,120,,3.1,0.6,3.7,,x,,90-99,,120,,2.9,0.7,3.6,,x
Southend,,90-99,,140,,4.0,1.5,5.5,,8.7,,100,,125,,4.4,2.2,6.5,,8.7,,100,,120,,3.8,0.7,4.5,,5.0,,100,,120,,3.1,1.1,4.2,,x,,100 ,,120,,3.4,1.3,4.7,,6.7,,100 ,,120,,3.4,1.2,4.6,,7.6
Suffolk,,100,,320,,4.5,1.3,5.8,,9.3,,100,,310,,4.2,1.8,6.0,,6.7,,100,,315,,4.4,1.8,6.1,,8.9,,90-99,,320,,4.4,1.3,5.7,,7.5,,90-99,,300,,3.9,0.7,4.6,,4.7,,90-99,,300,,3.8,0.8,4.5,,4.4
Thurrock,,90-99,,80,,3.8,0.6,4.4,,x,,100,,85,,4.1,0.6,4.7,,9.6,,100,,80,,3.8,0.7,4.5,,x,,100,,80,,3.5,0.9,4.3,,x,,90-99,,95,,4.1,1.1,5.2,,6.5,,90-99,,95,,4.3,1.0,5.3,,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONDON,,.,,"4,060",,4.4,1.7,6.1,,8.2,,.,,"3,910",,4.4,1.7,6.1,,8.7,,.,,"3,820",,3.9,1.6,5.4,,7.4,,.,,"3,590",,3.4,1.3,4.7,,6.4,,.,,"3,520",,3.3,1.2,4.5,,5.5,,.,,"3,520",,3.2,1.3,4.5,,5.6
INNER LONDON,,.,,"1,920",,4.1,1.6,5.8,,7.9,,.,,"1,840",,4.4,1.9,6.3,,9.3,,.,,"1,740",,4.0,1.7,5.7,,7.8,,.,,"1,640",,3.3,1.4,4.7,,6.0,,.,,"1,600",,3.3,1.5,4.8,,6.1,,.,,"1,600",,3.3,1.5,4.8,,6.4
Camden,,90-99,,110,,4.9,2.3,7.2,,9.0,,90-99,,95,,4.9,2.3,7.2,,9.6,,90-99,,80,,4.3,1.2,5.5,,8.6,,100,,90,,3.6,2.5,6.0,,10.2,,100 ,,85,,3.6,2.3,5.9,,9.4,,100 ,,85,,3.4,2.4,5.9,,9.4
City of London,,x,,x,,x,x,x,,0.0,,x,,x,,x,0.0,x,,0.0,,x,,x,,x,0.0,x,,0.0,,x,,x,,x,0.0,x,,0.0,,x,,x,,x,x,x,,0.0,,x,,x,,x,x,x,,0.0
Hackney,,90-99,,150,,4.0,1.8,5.8,,8.1,,100,,135,,4.7,1.4,6.1,,8.2,,90-99,,115,,4.1,1.5,5.6,,7.0,,90-99,,110,,3.4,0.9,4.3,,6.5,,90-99,,115,,3.1,1.9,4.9,,7.0,,90-99,,115,,3.3,1.9,5.2,,6.1
Hammersmith & Fulham,,90-99,,115,,5.0,1.8,6.8,,9.5,,90-99,,105,,4.6,1.4,6.0,,7.6,,100,,85,,4.4,1.7,6.1,,9.4,,90-99,,85,,3.7,1.3,5.1,,8.3,,90-99,,75,,3.5,1.3,4.8,,x,,90-99,,75,,3.3,1.7,5.0,,x
Haringey,,90-99,,175,,3.7,1.2,4.9,,6.4,,90-99,,200,,5.0,3.1,8.1,,11.4,,90-99,,225,,4.0,2.4,6.4,,10.7,,90-99,,230,,3.4,0.9,4.3,,4.8,,90-99,,225,,3.1,1.2,4.2,,5.8,,90-99,,225,,3.1,1.1,4.2,,4.9
Islington,,100,,145,,3.0,1.1,4.1,,4.9,,100,,125,,3.6,1.5,5.0,,8.8,,100,,115,,3.3,0.8,4.1,,5.3,,100,,110,,4.2,1.4,5.7,,8.3,,90-99,,105,,3.6,1.8,5.4,,9.4,,90-99,,105,,3.5,1.9,5.4,,12.3
Kensington and Chelsea,,100,,65,,3.2,1.3,4.5,,x,,100,,55,,4.4,1.1,5.5,,x,,90-99,,45,,5.7,0.8,6.5,,x,,90-99,,40,,2.4,1.8,4.1,,x,,90-99,,30,,5,5.4,10.4,,20.7,,90-99,,30,,4.9,4.8,9.7,,20.7
Lambeth,,90-99,,220,,5.3,2.1,7.4,,7.7,,90-99,,205,,4.8,1.6,6.4,,8.2,,100,,200,,4.3,2.0,6.3,,8.5,,100,,160,,3.1,2.1,5.3,,6.2,,100 ,,165,,2.8,1.0,3.8,,3.6,,100 ,,165,,2.8,1.0,3.8,,4.2
Lewisham,,90-99,,190,,3.7,1.7,5.4,,8.0,,90-99,,200,,3.9,2.7,6.6,,10.1,,90-99,,210,,4.1,1.5,5.5,,8.6,,90-99,,185,,3.1,1.2,4.3,,3.7,,90-99,,195,,2.9,1.7,4.6,,5.1,,90-99,,195,,2.9,1.9,4.7,,6.2
Newham,,90-99,,250,,4.3,1.0,5.3,,9.3,,90-99,,235,,4.1,2.0,6.1,,10.7,,90-99,,200,,3.6,1.8,5.4,,7.6,,100,,175,,2.9,0.7,3.6,,x,,90-99,,165,,3.1,1.3,4.4,,4.9,,90-99,,165,,3.1,1.2,4.3,,4.9
Southwark,,90-99,,195,,4.6,2.2,6.9,,9.6,,90-99,,190,,4.8,2.2,7.0,,11.1,,90-99,,175,,4.2,1.4,5.6,,6.9,,90-99,,175,,3.4,1.9,5.3,,7.5,,90-99,,190,,3.8,1.2,5.0,,4.2,,90-99,,190,,3.7,1.2,4.9,,5.8
Tower Hamlets,,100,,130,,3.8,1.7,5.5,,7.6,,100,,120,,3.8,1.3,5.1,,9.1,,100,,125,,3.4,1.5,4.9,,4.8,,90-99,,115,,3.7,1.2,4.8,,6.0,,100 ,,105,,3.8,1.1,4.9,,6.6,,100 ,,105,,3.8,1.1,4.9,,5.7
Wandsworth,,100,,115,,3.7,1.8,5.5,,9.6,,100,,100,,4.3,1.3,5.6,,7.9,,100,,90,,3.5,2.1,5.6,,7.7,,100,,90,,3.0,2.3,5.3,,x,,100 ,,85,,3.5,1.7,5.2,,8.4,,100 ,,85,,3.3,1.5,4.8,,8.4
Westminster,,100,,70,,3.5,1.2,4.8,,x,,100,,75,,3.5,1.4,5.0,,x,,100,,85,,3.8,2.0,5.8,,x,,100,,80,,3.7,1.0,4.7,,7.6,,100 ,,65,,3.5,0.6,4.1,,x,,100 ,,65,,3.6,0.7,4.3,,x
OUTER LONDON,,.,,"2,130",,4.7,1.8,6.4,,8.5,,.,,"2,060",,4.3,1.5,5.8,,8.1,,.,,"2,070",,3.8,1.5,5.3,,7.1,,.,,"1,950",,3.4,1.2,4.6,,6.7,,.,,"1,920",,3.2,1.1,4.3,,5.1,,.,,"1,920",,3.2,1.1,4.2,,5.0
Barking and Dagenham,,100,,115,,4.7,0.6,5.3,,6.0,,90-99,,120,,3.5,0.3,3.9,,x,,90-99,,135,,2.9,0.3,3.3,,x,,90-99,,140,,3.3,1.5,4.8,,9.2,,90-99,,155,,3.1,1.5,4.6,,6.5,,90-99,,155,,2.9,1.4,4.3,,4.5
Barnet,,90-99,,155,,4.6,2.5,7.0,,7.8,,90-99,,145,,4.8,1.9,6.7,,9.7,,100,,135,,5.1,2.7,7.8,,9.6,,100,,115,,4.0,1.2,5.2,,7.8,,100 ,,110,,3.3,2.7,6.1,,6.5,,100 ,,110,,3.4,2.8,6.2,,7.4
Bexley,,90-99,,90,,4.5,1.4,5.9,,7.6,,90-99,,80,,3.7,0.8,4.5,,x,,90-99,,75,,3.4,1.0,4.4,,7.8,,90-99,,80,,2.6,0.9,3.5,,x,,90-99,,90,,3.4,0.4,3.7,,x,,90-99,,90,,3.4,0.5,3.8,,x
Brent,,90-99,,140,,5.7,2.0,7.7,,10.7,,90-99,,140,,6.4,1.5,7.9,,15.9,,90-99,,130,,5.9,2.4,8.4,,15.2,,90-99,,130,,4.4,2.3,6.7,,12.3,,90-99,,120,,4.6,1.3,5.8,,10.1,,90-99,,120,,4.4,1.3,5.7,,8.4
Bromley,,100,,100,,5.1,2.0,7.2,,11.1,,100,,95,,5.0,1.0,6.0,,8.3,,100,,110,,4.0,1.5,5.5,,10.1,,100,,100,,3.2,1.1,4.3,,6.0,,100 ,,85,,3.2,0.9,4.1,,8.2,,100 ,,85,,3.2,1.0,4.2,,8.2
Croydon,,90-99,,335,,4.6,2.8,7.4,,10.1,,90-99,,290,,4.0,1.9,5.9,,7.2,,90-99,,280,,3.5,1.3,4.8,,5.0,,90-99,,215,,3.0,1.8,4.7,,7.5,,<90,,190,,2.7,1.2,3.8,,4.2,,<90,,190,,2.7,1.1,3.8,,4.2
Ealing,,90-99,,125,,5.6,2.1,7.7,,12.7,,90-99,,135,,4.7,1.4,6.1,,10.4,,90-99,,130,,3.8,0.7,4.6,,8.5,,100,,125,,3.2,0.7,3.9,,6.3,,90-99,,140,,2.9,1.1,3.9,,6.5,,90-99,,140,,2.9,1.1,3.9,,5.8
Enfield,,100,,115,,4.5,2.1,6.6,,8.7,,90-99,,115,,4.6,1.4,6.1,,6.1,,90-99,,110,,3.2,1.8,5.0,,8.0,,100,,115,,3.4,1.3,4.7,,6.0,,100 ,,105,,3.6,1.1,4.7,,x,,100 ,,105,,3.6,1.1,4.6,,x
Greenwich,,90-99,,210,,4.0,1.4,5.4,,6.2,,100,,210,,3.4,1.1,4.5,,6.7,,100,,220,,3.2,1.2,4.4,,4.1,,100,,230,,3.2,0.6,3.7,,4.3,,90-99,,235,,3.3,0.5,3.8,,3.8,,90-99,,235,,3.2,0.6,3.7,,3.0
Harrow,,90-99,,50,,5.1,0.6,5.6,,x,,90-99,,50,,5.7,1.6,7.2,,14.6,,90-99,,30,,3.9,0.3,4.2,,x,,100,,30,,4.8,3.0,7.8,,x,,90-99,,30,,3.5,0.5,4.1,,x,,90-99,,30,,3.8,0.6,4.4,,x
Havering,,90-99,,75,,4.9,0.5,5.3,,8.2,,90-99,,75,,4.5,0.7,5.2,,x,,100,,65,,3.5,0.7,4.1,,x,,100,,55,,3.5,1.4,5.0,,x,,100 ,,65,,4.5,2.3,6.7,,x,,100 ,,65,,4.3,2.0,6.3,,x
Hillingdon,,90-99,,160,,4.4,1.6,6.1,,6.2,,90-99,,135,,3.8,0.6,4.3,,4.4,,90-99,,145,,3.6,1.9,5.5,,6.3,,90-99,,130,,3.9,2.0,6.0,,8.5,,90-99,,115,,3.4,0.8,4.1,,5.2,,90-99,,115,,3.3,0.8,4.0,,5.2
Hounslow,,90-99,,125,,4.1,0.5,4.7,,x,,90-99,,135,,3.5,2.3,5.8,,5.2,,90-99,,140,,3.2,1.2,4.5,,x,,90-99,,125,,2.7,0.4,3.1,,x,,100 ,,125,,2.5,0.5,3.0,,x,,100 ,,125,,2.5,0.6,3.1,,x
Kingston upon Thames,,100,,35,,5.8,1.0,6.8,,x,,100,,40,,5.7,3.1,8.8,,15.4,,100,,45,,3.8,1.9,5.7,,x,,100,,40,,2.7,1.1,3.8,,x,,90-99,,35,,3.1,0.4,3.5,,x,,90-99,,35,,3.4,0.4,3.8,,x
Merton,,100,,35,,4.0,0.9,5.0,,x,,100,,40,,3.4,2.9,6.3,,x,,100,,35,,3.3,0.3,3.6,,0.0,,100,,40,,3.9,1.6,5.5,,x,,100 ,,45,,3.1,0.8,3.9,,x,,100 ,,45,,3.3,0.8,4.1,,x
Redbridge,,90-99,,65,,3.9,2.2,6.1,,9.2,,90-99,,65,,4.4,1.5,5.9,,10.9,,100,,70,,3.4,1.5,4.9,,8.3,,100,,75,,3.4,0.3,3.7,,x,,90-99,,80,,2.7,1.0,3.8,,x,,90-99,,80,,2.7,1.0,3.7,,x
Richmond upon Thames,,100,,30,,4.5,0.3,4.9,,x,,100,,35,,6.4,0.7,7.1,,x,,90-99,,35,,3.7,2.3,6.0,,x,,100,,30,,2.8,0.3,3.1,,0.0,,100 ,,20,,1.9,0.3,2.1,,0.0,,100 ,,20,,1.9,0.2,2.1,,0.0
Sutton,,100,,45,,5.2,0.2,5.4,,x,,100,,45,,4.2,0.6,4.8,,x,,100,,50,,4.4,1.4,5.8,,x,,100,,55,,4.2,1.9,6.1,,x,,100 ,,60,,3.1,0.3,3.3,,x,,100 ,,60,,3.1,0.3,3.4,,x
Waltham Forest,,90-99,,120,,4.4,3.3,7.6,,12.3,,90-99,,125,,4.0,2.9,6.9,,9.8,,100,,125,,5.0,2.2,7.1,,10.6,,100,,115,,3.8,1.0,4.8,,8.0,,100 ,,115,,3.5,1.5,5.0,,7.9,,100 ,,115,,3.3,1.5,4.8,,7.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH EAST,,.,,"3,030",,5.1,1.9,6.9,,11.1,,.,,"3,040",,4.9,1.5,6.4,,8.7,,.,,"3,170",,4.5,1.4,5.9,,8.2,,.,,"3,240",,3.9,1.2,5.1,,6.8,,.,,"3,410",,3.7,1.1,4.8,,5.7,,.,,"3,410",,3.6,1.1,4.8,,5.7
Bracknell Forest,,100,,30,,4.9,1.0,5.9,,x,,100,,25,,5.4,1.0,6.4,,x,,100,,25,,4.6,1.1,5.8,,x,,100,,30,,2.7,0.5,3.2,,x,,100 ,,40,,2.8,1.7,4.5,,x,,100 ,,40,,3,2.1,5.1,,x
Brighton and Hove,,100,,150,,4.6,1.7,6.2,,7.9,,90-99,,145,,5.0,1.7,6.7,,9.1,,100,,170,,3.9,1.8,5.7,,6.5,,100,,195,,3.3,1.4,4.7,,7.6,,100 ,,215,,3.4,1.3,4.7,,6.9,,100 ,,215,,3.2,1.3,4.5,,5.1
Buckinghamshire,,100,,110,,5.2,1.0,6.2,,10.0,,90-99,,115,,4.8,0.9,5.8,,6.2,,100,,125,,3.8,1.1,4.9,,5.5,,100,,155,,4.0,0.9,4.9,,3.9,,90-99,,170,,3.8,0.9,4.7,,4.7,,90-99,,170,,3.7,0.9,4.6,,4.1
East Sussex,,100,,230,,4.9,1.0,5.9,,11.0,,100,,220,,4.4,1.6,6.0,,8.2,,100,,230,,4.9,1.0,5.9,,9.1,,100,,255,,3.9,0.7,4.6,,5.8,,100 ,,275,,4.2,1.7,5.9,,7.7,,100 ,,275,,3.9,1.6,5.5,,8.8
Hampshire,,90-99,,470,,5.9,2.3,8.2,,14.7,,100,,485,,5.2,1.0,6.2,,8.9,,100,,490,,4.8,1.4,6.2,,9.8,,90-99,,450,,4.5,1.3,5.8,,10.4,,100 ,,465,,3.6,1.2,4.8,,5.4,,100 ,,465,,3.6,1.1,4.7,,5.6
Isle of Wight,,90-99,,100,,5.4,3.0,8.3,,14.3,,90-99,,85,,6.4,3.7,10.1,,20.0,,100,,75,,6.0,4.1,10.1,,17.6,,90-99,,60,,4.1,2.6,6.7,,9.7,,100 ,,60,,5.1,2.4,7.5,,14.5,,100 ,,60,,5.4,2.4,7.8,,16.1
Kent,,90-99,,525,,5.1,1.5,6.6,,9.7,,100,,565,,5.1,1.5,6.6,,9.4,,90-99,,600,,4.5,1.6,6.1,,7.7,,90-99,,635,,3.9,1.1,5.1,,7.7,,90-99,,675,,3.4,0.8,4.3,,4.2,,90-99,,675,,3.4,0.8,4.2,,4.2
Medway Towns,,100,,135,,4.5,1.7,6.2,,8.3,,100,,125,,4.0,1.1,5.2,,x,,100,,120,,3.5,1.4,4.9,,x,,100,,135,,3.4,0.8,4.2,,5.9,,100 ,,150,,2.8,0.3,3.1,,x,,100 ,,150,,3,0.4,3.3,,x
Milton Keynes,,90-99,,65,,3.3,0.4,3.7,,x,,100,,85,,3.7,0.6,4.3,,x,,100,,105,,3.5,0.3,3.8,,x,,100,,110,,3.0,0.4,3.3,,x,,100 ,,115,,3.1,0.4,3.6,,x,,100 ,,115,,3,0.6,3.6,,x
Oxfordshire,,90-99,,175,,5.2,2.4,7.6,,13.2,,90-99,,170,,4.4,2.2,6.6,,8.3,,90-99,,155,,4.1,1.0,5.1,,7.8,,100,,135,,3.4,0.8,4.2,,x,,100 ,,145,,3.4,1.3,4.6,,4.9,,100 ,,145,,3.3,1.2,4.6,,4.2
Portsmouth,,100,,130,,4.8,2.2,7.0,,14.8,,100,,125,,3.5,2.1,5.6,,7.1,,100,,130,,3.9,1.5,5.4,,7.6,,100,,140,,4.2,2.5,6.7,,8.5,,90-99,,125,,4.1,2.6,6.7,,7.9,,90-99,,125,,4,2.5,6.5,,7.1
Reading,,100,,85,,3.4,0.5,4.0,,x,,100,,80,,4.2,0.6,4.8,,x,,100,,75,,4.0,0.8,4.7,,x,,100,,75,,3.5,1.6,5.1,,10.4,,100 ,,90,,4,1.8,5.8,,8.9,,100 ,,90,,3.9,1.9,5.8,,10.0
Slough,,100,,30,,5.4,1.3,6.7,,x,,100,,45,,6.3,2.6,8.9,,x,,100,,60,,3.9,0.7,4.7,,x,,100,,50,,5.6,0.5,6.1,,x,,100 ,,50,,3.5,0.5,4.1,,x,,100 ,,50,,3.5,0.5,4.0,,x
Southampton,,100,,110,,5.4,4.1,9.5,,18.0,,100,,110,,5.4,2.4,7.8,,12.5,,90-99,,145,,4.1,2.0,6.2,,10.3,,90-99,,145,,3.2,0.9,4.1,,4.8,,100 ,,165,,4.1,1.1,5.2,,6.6,,100 ,,165,,4,1.3,5.3,,6.0
