Back to index,,,,,,,,,,,,
Table LA3b: Key stage 4 average Attainment 8 scores of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,
Year: 2016,,,,,,,,,,,,
"Coverage: England, All schools2",,,,,,,,,,,,
,,,,,,,,,,,,
LA Code,,,Number at the end of Key Stage 4,Average Attainment 8 score per pupil3,,,,,,,,
,,,,,,,,,,,,
,,ENGLAND,"4,890",22.8,,,,,,,,
,,,,,,,,,,,,
,,NORTH EAST,290,25.9,,,,,,,,
E06000005,841,Darlington,10,26.3,,,,,,,,
E06000047,840,Durham,40,31.3,,,,,,,,
E08000020,390,Gateshead,30,28.3,,,,,,,,
E06000001,805,Hartlepool,10,23.0,,,,,,,,
E06000002,806,Middlesbrough,20,17.1,,,,,,,,
E08000021,391,Newcastle upon Tyne,45,30.9,,,,,,,,
E08000022,392,North Tyneside,15,23.3,,,,,,,,
E06000048,929,Northumberland,25,22.9,,,,,,,,
E06000003,807,Redcar and Cleveland,20,23.7,,,,,,,,
E08000023,393,South Tyneside,20,23.8,,,,,,,,
E06000004,808,Stockton-on-Tees,20,26.9,,,,,,,,
E08000024,394,Sunderland,35,23.2,,,,,,,,
,,,,,,,,,,,,
,,NORTH WEST,800,22.9,,,,,,,,
E06000008,889,Blackburn with Darwen,20,23.3,,,,,,,,
E06000009,890,Blackpool,25,20.4,,,,,,,,
E08000001,350,Bolton,40,22.7,,,,,,,,
E08000002,351,Bury,15,16.2,,,,,,,,
E06000049,895,Cheshire East,20,23.4,,,,,,,,
E06000050,896,Cheshire West and Chester,35,20.4,,,,,,,,
E10000006,909,Cumbria,35,25.7,,,,,,,,
E06000006,876,Halton,15,23.3,,,,,,,,
E08000011,340,Knowsley,20,19.3,,,,,,,,
E10000017,888,Lancashire,105,22.0,,,,,,,,
E08000012,341,Liverpool,65,23.2,,,,,,,,
E08000003,352,Manchester,90,25.4,,,,,,,,
E08000004,353,Oldham,25,26.3,,,,,,,,
E08000005,354,Rochdale,30,28.2,,,,,,,,
E08000006,355,Salford,40,26.3,,,,,,,,
E08000014,343,Sefton,40,23.6,,,,,,,,
E08000013,342,St. Helens,20,14.0,,,,,,,,
E08000007,356,Stockport,15,22.9,,,,,,,,
E08000008,357,Tameside,35,21.1,,,,,,,,
E08000009,358,Trafford,15,15.9,,,,,,,,
E06000007,877,Warrington,20,21.6,,,,,,,,
E08000010,359,Wigan,25,27.8,,,,,,,,
E08000015,344,Wirral,45,22.4,,,,,,,,
,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,500,21.4,,,,,,,,
E08000016,370,Barnsley,20,18.9,,,,,,,,
E08000032,380,Bradford,65,21.5,,,,,,,,
E08000033,381,Calderdale,20,25.5,,,,,,,,
E08000017,371,Doncaster,25,26.3,,,,,,,,
E06000011,811,East Riding of Yorkshire,25,26.0,,,,,,,,
E06000010,810,"Kingston Upon Hull, City of",35,25.7,,,,,,,,
E08000034,382,Kirklees,35,26.3,,,,,,,,
E08000035,383,Leeds,90,17.9,,,,,,,,
E06000012,812,North East Lincolnshire,15,12.1,,,,,,,,
E06000013,813,North Lincolnshire,10,20.4,,,,,,,,
E10000023,815,North Yorkshire,35,23.8,,,,,,,,
E08000018,372,Rotherham,30,22.6,,,,,,,,
E08000019,373,Sheffield,35,24.6,,,,,,,,
E08000036,384,Wakefield,30,14.3,,,,,,,,
E06000014,816,York,20,14.1,,,,,,,,
,,,,,,,,,,,,
,,EAST MIDLANDS,340,22.6,,,,,,,,
E06000015,831,Derby,35,22.4,,,,,,,,
E10000007,830,Derbyshire,35,23.6,,,,,,,,
E06000016,856,Leicester,35,23.9,,,,,,,,
E10000018,855,Leicestershire,30,23.4,,,,,,,,
E10000019,925,Lincolnshire,50,17.8,,,,,,,,
E10000021,928,Northamptonshire,60,20.0,,,,,,,,
E06000018,892,Nottingham,40,21.5,,,,,,,,
E10000024,891,Nottinghamshire,50,29.2,,,,,,,,
E06000017,857,Rutland,0,.,,,,,,,,
,,,,,,,,,,,,
,,WEST MIDLANDS,600,23.4,,,,,,,,
E08000025,330,Birmingham,125,25.3,,,,,,,,
E08000026,331,Coventry,50,18.4,,,,,,,,
E08000027,332,Dudley,40,25.4,,,,,,,,
E06000019,884,Herefordshire,15,22.7,,,,,,,,
E08000028,333,Sandwell,35,21.5,,,,,,,,
E06000051,893,Shropshire,25,22.5,,,,,,,,
E08000029,334,Solihull,20,24.5,,,,,,,,
E10000028,860,Staffordshire,70,23.2,,,,,,,,
E06000021,861,Stoke-on-Trent,35,25.5,,,,,,,,
E06000020,894,Telford and Wrekin,15,21.6,,,,,,,,
E08000030,335,Walsall,35,19.4,,,,,,,,
E10000031,937,Warwickshire,55,26.5,,,,,,,,
E08000031,336,Wolverhampton,35,24.1,,,,,,,,
E10000034,885,Worcestershire,45,21.2,,,,,,,,
,,,,,,,,,,,,
,,EAST OF ENGLAND,480,22.7,,,,,,,,
E06000055,822,Bedford Borough,20,29.4,,,,,,,,
E06000056,823,Central Bedfordshire,15,13.8,,,,,,,,
E10000003,873,Cambridgeshire,45,23.3,,,,,,,,
E10000012,881,Essex,85,18.1,,,,,,,,
E10000015,919,Hertfordshire,70,24.3,,,,,,,,
E06000032,821,Luton,35,25.1,,,,,,,,
E10000020,926,Norfolk,80,26.0,,,,,,,,
E06000031,874,Peterborough,30,23.8,,,,,,,,
E06000033,882,Southend-on-Sea,20,23.8,,,,,,,,
E10000029,935,Suffolk,60,20.3,,,,,,,,
E06000034,883,Thurrock,20,23.5,,,,,,,,
,,,,,,,,,,,,
,,LONDON,800,23.2,,,,,,,,
,,INNER LONDON,330,25.9,,,,,,,,
E09000007,202,Camden,15,32.3,,,,,,,,
E09000001,201,City of London,x,x,,,,,,,,
E09000012,204,Hackney,25,27.5,,,,,,,,
E09000013,205,Hammersmith and Fulham,20,18.2,,,,,,,,
E09000014,309,Haringey,30,34.2,,,,,,,,
E09000019,206,Islington,30,22.1,,,,,,,,
E09000020,207,Kensington and Chelsea,10,24.8,,,,,,,,
E09000022,208,Lambeth,45,29.0,,,,,,,,
E09000023,209,Lewisham,50,24.0,,,,,,,,
E09000025,316,Newham,30,20.2,,,,,,,,
E09000028,210,Southwark,25,28.5,,,,,,,,
E09000030,211,Tower Hamlets,20,27.2,,,,,,,,
E09000032,212,Wandsworth,10,16.6,,,,,,,,
E09000033,213,Westminster,15,25.0,,,,,,,,
,,OUTER LONDON,470,21.3,,,,,,,,
E09000002,301,Barking and Dagenham,40,22.5,,,,,,,,
E09000003,302,Barnet,30,19.5,,,,,,,,
E09000004,303,Bexley,20,18.3,,,,,,,,
E09000005,304,Brent,25,19.3,,,,,,,,
E09000006,305,Bromley,15,18.5,,,,,,,,
E09000008,306,Croydon,90,19.5,,,,,,,,
E09000009,307,Ealing,30,21.2,,,,,,,,
E09000010,308,Enfield,25,27.7,,,,,,,,
E09000011,203,Greenwich,45,24.8,,,,,,,,
E09000015,310,Harrow,15,15.0,,,,,,,,
E09000016,311,Havering,20,22.5,,,,,,,,
E09000017,312,Hillingdon,20,21.5,,,,,,,,
E09000018,313,Hounslow,30,32.4,,,,,,,,
E09000021,314,Kingston upon Thames,5,20.0,,,,,,,,
E09000024,315,Merton,15,20.1,,,,,,,,
E09000026,317,Redbridge,15,17.6,,,,,,,,
E09000027,318,Richmond upon Thames,5,18.9,,,,,,,,
E09000029,319,Sutton,10,15.8,,,,,,,,
E09000031,320,Waltham Forest,15,16.7,,,,,,,,
,,,,,,,,,,,,
,,SOUTH EAST,650,21.8,,,,,,,,
E06000036,867,Bracknell Forest,10,26.8,,,,,,,,
E06000043,846,Brighton and Hove,45,20.4,,,,,,,,
E10000002,825,Buckinghamshire,25,16.7,,,,,,,,
E10000011,845,East Sussex,30,24.5,,,,,,,,
E10000014,850,Hampshire,80,21.7,,,,,,,,
E06000046,921,Isle of Wight,20,14.5,,,,,,,,
E10000016,886,Kent,140,21.4,,,,,,,,
E06000035,887,Medway,25,19.3,,,,,,,,
E06000042,826,Milton Keynes,20,20.3,,,,,,,,
E10000025,931,Oxfordshire,40,20.8,,,,,,,,
E06000044,851,Portsmouth,10,29.0,,,,,,,,
E06000038,870,Reading,15,21.1,,,,,,,,
E06000039,871,Slough,10,30.9,,,,,,,,
E06000045,852,Southampton,30,19.6,,,,,,,,
E10000030,936,Surrey,55,25.1,,,,,,,,
E06000037,869,West Berkshire,15,25.5,,,,,,,,
E10000032,938,West Sussex,55,23.7,,,,,,,,
E06000040,868,Windsor and Maidenhead,10,15.2,,,,,,,,
E06000041,872,Wokingham,10,28.3,,,,,,,,
,,,,,,,,,,,,
,,SOUTH WEST,440,22.9,,,,,,,,
E06000022,800,Bath and North East Somerset,15,32.9,,,,,,,,
E06000028,837,Bournemouth,25,23.8,,,,,,,,
E06000023,801,"Bristol, City of",65,18.7,,,,,,,,
E06000052,908,Cornwall,40,26.0,,,,,,,,
E10000008,878,Devon,50,18.4,,,,,,,,
E10000009,835,Dorset,30,26.0,,,,,,,,
E10000013,916,Gloucestershire,30,21.6,,,,,,,,
E06000053,420,Isles of Scilly,0,.,,,,,,,,
E06000024,802,North Somerset,20,25.5,,,,,,,,
E06000026,879,Plymouth,30,25.8,,,,,,,,
E06000029,836,Poole,10,28.7,,,,,,,,
E10000027,933,Somerset,45,20.8,,,,,,,,
E06000025,803,South Gloucestershire,15,19.0,,,,,,,,
E06000030,866,Swindon,20,24.5,,,,,,,,
E06000027,880,Torbay,15,18.9,,,,,,,,
E06000054,865,Wiltshire,30,27.8,,,,,,,,
,,,,,,,,,,,,
,,,,Source: CLA-NPD matched data,,,,,,,,
,,,,,,,,,,,,
1. Children looked after continuously for at least twelve months as at 31 March excluding those children in respite care. Only children who have been matched to key stage 4 data are included. This is the amended version of key stage 4 data. Includes entries and achievements for these pupils in previous academic years.,,,,,,,,,,,,
"2. All schools includes state-funded schools (academies, free schools, city technology colleges, further education colleges with provision for 14- to 16-year-olds and state-funded special schools), independent schools, independent special schools, non-maintained special schools, hospital schools and alternative provision (including pupil referral units, AP free schools and AP academies as well as state-funded AP placements in other institutions).",,,,,,,,,,,,
3. Attainment 8 is part of the new secondary accountability system being implemented for all schools from 2016. More information on the calculation of this measure is available in the Progress 8 guidance:,,,,,,,,,,,,
https://www.gov.uk/government/publications/progress-8-school-performance-measure,,,,,,,,,,,,
,,,,,,,,,,,,
Numbers relating to national or regional totals have been rounded to the nearest 10. Local authority numbers have been rounded to the nearest 5.,,,,,,,,,,,,
Attainment 8 score averages have been rounded to one decimal place.,,,,,,,,,,,,
x = number less than or equal to 5 or Attainment 8 score average based on number less than or equal to 5.,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,
See methodology and quality document for more information on rounding conventions.,,,,,,,,,,,,
