Back to index,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,
Years: 2016,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LA Code,,,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data2,,Number of looked after children with the following provision for SEN3:,,,,,,,,,Total with SEN5,,,,
,,,,,No SEN,,,"SEN without statement or education, health and care plan4",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,Number,Percentage6,,,
,,,,,,,,,,,,,,,,,,
,,ENGLAND,"35,260",,"15,040",42.7,,"10,720",30.4,,"9,510",27.0,,"20,220",57.3,,,
E06000016,856,Leicester,290,,110,38.9,,100,34.4,,75,26.7,,175,61.1,,,
E10000018,855,Leicestershire,225,,95,41.7,,65,28.7,,65,29.6,,130,58.3,,,
E10000019,925,Lincolnshire,335,,100,30.0,,110,33.3,,120,36.6,,235,70.0,,,
E10000021,928,Northamptonshire,380,,185,48.9,,80,21.4,,110,29.6,,195,51.1,,,
E06000018,892,Nottingham,295,,125,42.7,,115,38.3,,55,19.0,,170,57.3,,,
E10000024,891,Nottinghamshire,425,,185,44.1,,150,35.8,,85,20.0,,235,55.9,,,
E06000017,857,Rutland,15,,x,x,,x,x,,x,x,,10,61.5,,,
,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,"4,950",,"2,180",44.1,,"1,570",31.8,,"1,200",24.2,,"2,770",55.9,,,
E08000025,330,Birmingham,"1,000",,425,42.4,,310,31.2,,265,26.3,,575,57.6,,,
E08000026,331,Coventry,310,,115,37.3,,115,37.7,,75,25.0,,195,62.7,,,
E08000027,332,Dudley,425,,200,47.2,,145,33.7,,80,19.1,,225,52.8,,,
E06000019,884,Herefordshire ,130,,45,35.6,,40,31.8,,45,32.6,,85,64.4,,,
E08000028,333,Sandwell,290,,105,35.3,,110,38.0,,80,26.7,,190,64.7,,,
E06000051,893,Shropshire,145,,70,49.0,,35,23.1,,40,27.9,,75,51.0,,,
E08000029,334,Solihull,185,,90,48.9,,60,32.3,,35,18.8,,95,51.1,,,
E10000028,860,Staffordshire,530,,245,46.0,,160,30.0,,125,24.0,,285,54.0,,,
E06000021,861,Stoke-on-Trent ,290,,155,54.1,,90,31.7,,40,14.1,,135,45.9,,,
E06000020,894,Telford and Wrekin ,165,,50,31.7,,50,31.7,,60,36.6,,110,68.3,,,
