Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA3a: Key stage 4 eligibility and performance of children who have been looked after continuously for at least twelve months1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2012 - 20162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: England, All schools3",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2012,,,,,2013,,,,,,20144,,,,,20155,,,,,,20166,,,
LA Code,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,Number at the end of Key Stage 4,Percentage of pupils:,,,,,Number at the end of Key Stage 4,Percentage of pupils:,,
,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate,,,,Achieving A*-C in both English and Mathematics GCSEs,Entering the English Baccalaureate,Achieving the English Baccalaureate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000013,342,St. Helens,15,x,x,x,,15,x,x,x,,,20,x,x,x,,25,x,x,x,,,20,x,x,x
E08000007,356,Stockport,25,x,x,x,,35,27.3,x,x,,,20,x,x,x,,20,x,x,x,,,15,x,x,x
E08000008,357,Tameside,25,x,x,x,,30,x,x,x,,,25,x,x,x,,35,22.2,x,x,,,35,17.6,x,x
E08000009,358,Trafford,20,27.3,x,x,,20,x,x,x,,,20,42.9,x,x,,20,x,x,x,,,15,x,x,x
E06000007,877,Warrington,15,40.0,x,x,,15,x,x,x,,,20,x,x,x,,20,x,x,x,,,20,x,x,x
E08000010,359,Wigan,30,x,x,x,,35,17.1,x,x,,,20,x,x,x,,30,x,x,x,,,25,25.0,x,x
E08000015,344,Wirral,30,x,x,x,,50,16.0,x,x,,,35,16.7,x,x,,50,16.3,12.2,x,,,45,18.2,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,490,13.9,3.1,1.2,,480,14.7,3.1,1.5,,,470,12.8,6.6,2.3,,510,15.4,5.8,1.8,,,500,15.8,6.7,2.8
E08000016,370,Barnsley,25,x,x,x,,15,x,x,x,,,10,x,x,x,,10,x,x,x,,,20,x,x,x
E08000032,380,Bradford,55,19.3,x,x,,55,x,x,x,,,55,13.0,x,x,,70,18.6,10.0,x,,,65,20.9,x,x
E08000033,381,Calderdale,10,x,x,x,,15,x,x,x,,,20,42.1,x,x,,20,x,x,x,,,20,x,x,x
E08000017,371,Doncaster,40,x,x,x,,30,x,x,x,,,25,x,x,x,,40,x,x,x,,,25,x,x,x
E06000011,811,East Riding of Yorkshire,15,x,x,x,,25,x,x,x,,,25,x,x,x,,30,x,x,x,,,25,x,x,x
E06000010,810,"Kingston Upon Hull, City of",30,19.4,x,x,,45,x,x,x,,,50,x,x,x,,45,20.9,x,x,,,35,17.1,x,x
E08000034,382,Kirklees,35,x,x,x,,35,16.7,x,x,,,40,x,x,x,,40,31.7,x,x,,,35,22.9,x,x
E08000035,383,Leeds,95,14.9,x,x,,90,18.0,x,x,,,80,17.5,7.5,x,,70,8.6,x,x,,,90,7.9,6.7,x
E06000012,812,North East Lincolnshire,15,x,x,x,,10,x,x,x,,,10,x,x,x,,10,x,x,x,,,15,x,x,x
E06000013,813,North Lincolnshire,15,x,x,x,,15,x,x,x,,,10,x,x,x,,15,x,x,x,,,10,x,x,x
E10000023,815,North Yorkshire,35,20.0,x,x,,25,x,x,x,,,45,x,x,x,,45,x,x,x,,,35,27.0,x,x
E08000018,372,Rotherham,30,18.8,x,x,,25,25.9,x,x,,,25,x,x,x,,35,x,x,x,,,30,x,x,x
E08000019,373,Sheffield,45,x,x,x,,45,18.6,x,x,,,35,x,x,x,,45,13.3,x,x,,,35,22.2,x,x
E08000036,384,Wakefield,30,x,x,x,,20,x,x,x,,,20,x,x,x,,25,x,x,x,,,30,x,x,x
E06000014,816,York,15,x,x,x,,25,23.1,x,x,,,20,x,x,x,,15,x,x,x,,,20,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,320,13.6,3.4,x,,320,13.3,5.3,1.9,,,350,13.5,6.6,2.3,,330,12.5,5.8,1.8,,,340,15.4,5.6,1.8
E06000015,831,Derby,35,29.7,x,x,,25,x,x,x,,,30,x,x,x,,35,x,x,x,,,35,18.2,x,x
E10000007,830,Derbyshire,55,x,x,x,,50,18.4,x,x,,,45,x,x,x,,50,x,x,x,,,35,x,x,x
E06000016,856,Leicester,35,x,x,x,,30,x,x,x,,,40,14.3,x,x,,35,x,x,x,,,35,19.4,x,x
E10000018,855,Leicestershire,30,x,x,x,,35,x,x,x,,,25,x,x,x,,25,x,x,x,,,30,26.7,x,x
E10000019,925,Lincolnshire,35,24.3,x,x,,35,16.2,x,x,,,40,22.5,x,x,,40,x,x,x,,,50,12.2,x,x
E10000021,928,Northamptonshire,60,10.0,x,x,,45,x,x,x,,,55,10.5,x,x,,55,20.4,x,x,,,60,9.8,x,x
E06000018,892,Nottingham,30,x,x,x,,45,15.9,x,x,,,40,x,x,x,,30,x,x,x,,,40,x,x,x
E10000024,891,Nottinghamshire,40,x,x,x,,55,12.5,x,x,,,65,14.3,x,x,,55,16.7,x,x,,,50,17.3,x,x
E06000017,857,Rutland,x,x,x,x,,x,x,x,x,,,x,x,x,x,,x,x,x,x,,,0,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,620,18.1,2.1,x,,570,17.3,6.2,2.5,,,640,15.7,6.3,3.3,,590,16.4,8.0,3.0,,,600,17.1,8.3,2.0
E08000025,330,Birmingham,140,20.4,x,x,,115,13.8,7.8,x,,,135,19.0,5.8,x,,135,17.9,11.2,4.5,,,125,17.6,12.0,x
E08000026,331,Coventry,55,15.8,x,x,,40,32.5,x,x,,,45,12.8,x,x,,35,x,x,x,,,50,14.0,x,x
E08000027,332,Dudley,35,27.8,x,x,,45,17.8,x,x,,,55,10.5,x,x,,55,x,x,x,,,40,17.5,x,x
