Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA5:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,2014,,,,,,,,2015,,,,,,,,2016,,,,,,
,,,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6,,Number of looked after children matched to absence data4,,Percentage of sessions missed due to5:,,,,Percentage of looked after children classed as persistent absentees6
,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,Overall absence,Authorised absence,Unauthorised absence,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000021,391,Newcastle upon Tyne,,235,,3.1,2.4,0.7,,5.1,,220,,3.2,2.5,0.8,,6.3,,230,,3.6,2.7,0.9,,10.1,,210,,3.0,2.1,0.9,,6.6
E08000022,392,North Tyneside,,130,,3.5,2.6,0.9,,6.2,,145,,2.8,2.2,0.6,,6.2,,140,,3.9,2.5,1.4,,7.1,,135,,4.4,2.4,2.1,,7.5
E06000048,929,Northumberland,,120,,5.1,4.3,0.8,,12.7,,125,,4.4,3.0,1.4,,7.3,,140,,4.7,3.3,1.4,,10.8,,135,,3.8,3.1,0.7,,13.5
E06000003,807,Redcar & Cleveland,,70,,3.0,2.5,0.5,,x,,75,,2.5,2.3,0.2,,x,,80,,2.4,2.3,0.1,,x,,90,,2.7,2.1,0.6,,x
E08000023,393,South Tyneside,,135,,4.1,2.9,1.2,,7.3,,135,,3.7,2.1,1.6,,6.7,,130,,4.1,2.6,1.5,,8.3,,145,,3.7,2.9,0.8,,7.0
E06000004,808,Stockton-on-Tees,,130,,2.9,2.1,0.8,,5.3,,145,,2.3,1.9,0.4,,x,,180,,2.4,1.9,0.5,,3.9,,190,,2.4,2.1,0.3,,3.6
E08000024,394,Sunderland,,155,,4.5,3.0,1.5,,10.4,,190,,3.5,2.8,0.7,,8.0,,190,,2.8,2.2,0.6,,4.7,,215,,3.3,2.5,0.8,,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,,"5,010",,4.3,3.0,1.3,,9.5,,"5,180",,3.7,2.6,1.1,,8.5,,"5,650",,4.1,2.8,1.3,,9.5,,"5,770",,3.9,2.7,1.1,,8.9
E06000008,889,Blackburn with Darwen,,140,,2.4,2.1,0.4,,5.8,,150,,2.1,1.8,0.3,,x,,155,,3.1,2.4,0.7,,5.8,,145,,4.1,3.4,0.7,,8.9
E06000009,890,Blackpool,,180,,2.4,1.9,0.5,,3.9,,180,,2.1,1.7,0.4,,x,,180,,2.2,1.6,0.5,,3.9,,190,,2.0,1.5,0.5,,x
E08000001,350,Bolton,,235,,3.7,2.9,0.8,,6.9,,235,,2.8,2.2,0.6,,6.8,,265,,3.9,2.8,1.1,,9.0,,290,,3.7,2.7,0.9,,9.0
E08000002,351,Bury,,115,,3.1,2.4,0.7,,7.9,,125,,2.8,1.8,0.9,,4.7,,135,,2.7,2.1,0.6,,5.9,,135,,2.8,2.2,0.6,,4.5
E06000049,895,Cheshire East,,195,,3.9,3.4,0.5,,7.8,,170,,4.2,3.0,1.2,,10.5,,170,,3.8,2.7,1.1,,7.7,,180,,4.0,2.9,1.1,,8.8
