New_geog_code,geog_l,geog_c,geog_n,CLA_12mths,CLA_10over,CLA_convicted,CLA_submisuse,CLA_subint,CLA_suboffint,CLA_immunisation,CLA_teethcheck,CLA_healthassmt,CLA_under5,CLA_devassmt,CLA_5to16,CLA_SDQ,CLA_SDQnormal,CLA_SDQborderline,CLA_SDQconcern
E08000003,LA,352,Manchester,977,634,34,65,41,18,888,962,888,97,91,774,682,398,90,194
E08000004,LA,353,Oldham,293,168,7,11,6,x,259,258,273,54,51,219,185,106,26,53
E08000005,LA,354,Rochdale,380,225,x,10,x,8,377,361,372,62,60,286,229,145,26,58
E08000006,LA,355,Salford,432,260,13,7,x,0,425,374,415,77,77,305,247,122,30,95
E08000007,LA,356,Stockport,200,122,8,17,12,x,184,175,196,30,22,152,145,70,18,57
E08000008,LA,357,Tameside,343,229,19,x,0,x,307,169,305,40,20,270,244,153,35,56
E08000009,LA,358,Trafford,267,160,x,0,0,0,237,235,259,32,x,216,203,125,28,50
E08000010,LA,359,Wigan,376,210,9,12,0,0,366,360,374,51,49,290,278,136,42,100
E08000016,LA,370,Barnsley,152,96,x,x,x,x,152,151,152,16,16,120,88,42,17,29
E08000017,LA,371,Doncaster,360,241,12,10,x,6,357,313,338,28,27,298,239,100,32,107
E08000018,LA,372,Rotherham,289,208,15,21,15,x,259,269,269,22,22,226,170,66,27,77
E08000019,LA,373,Sheffield,350,245,16,10,9,0,311,242,343,31,31,274,241,90,32,119
E08000032,LA,380,Bradford,634,427,30,x,x,x,566,581,605,77,77,501,365,218,37,110
E08000033,LA,381,Calderdale,235,165,x,x,x,x,224,218,223,23,23,188,139,51,21,67
E08000034,LA,382,Kirklees,453,298,19,12,x,7,442,432,443,46,46,353,250,137,31,82
E08000035,LA,383,Leeds,951,607,35,49,17,32,857,892,900,108,103,744,570,256,83,231
E08000036,LA,384,Wakefield,349,197,11,x,x,0,265,238,305,64,48,258,246,146,22,78
E08000020,LA,390,Gateshead,226,164,14,14,11,x,219,214,224,14,13,176,126,58,14,54
E08000021,LA,391,Newcastle upon Tyne,340,247,14,7,x,x,294,304,310,35,35,260,184,89,19,76
E08000022,LA,392,North Tyneside,201,149,15,9,x,8,195,183,197,12,12,161,133,62,19,52
E08000023,LA,393,South Tyneside,207,139,x,10,6,x,194,200,205,23,23,163,24,11,x,11
E08000024,LA,394,Sunderland,371,221,18,14,6,8,228,138,272,61,61,265,94,39,8,47
E06000022,LA,800,Bath and North East Somerset,103,80,x,6,x,x,97,88,87,6,0,75,61,22,8,31
E06000023,LA,801,"Bristol, City of",455,345,37,24,24,0,427,322,372,26,0,363,283,129,30,124
E06000024,LA,802,North Somerset,146,121,7,8,x,x,133,122,131,6,6,114,74,26,15,33
E06000025,LA,803,South Gloucestershire,102,73,6,x,x,0,96,96,95,x,x,83,56,21,x,31
E06000001,LA,805,Hartlepool,128,92,0,x,0,x,123,104,124,12,0,100,95,56,10,29
E06000002,LA,806,Middlesbrough,257,180,14,16,11,x,242,241,243,28,27,196,196,97,29,70
E06000003,LA,807,Redcar and Cleveland,138,94,x,x,x,x,136,135,137,13,13,110,102,53,11,38
E06000004,LA,808,Stockton-on-Tees,273,164,12,13,10,x,247,227,253,26,21,226,159,73,21,65
E06000010,LA,810,"Kingston Upon Hull, City of",486,272,21,16,6,10,420,270,384,76,66,352,100,47,14,39
E06000011,LA,811,East Riding of Yorkshire,210,144,11,7,x,x,190,206,208,15,15,162,137,68,28,41
E06000012,LA,812,North East Lincolnshire,164,105,9,x,x,x,158,161,162,15,15,132,114,61,11,42
E06000013,LA,813,North Lincolnshire,137,94,x,14,14,0,133,132,136,6,6,114,114,44,14,56
