LA Number,,Possible number of Sessions 2007,Authorised absence 2007,Unauthorised absence 2007,Overall absence 2007,Persistent absentees 2007,Possible number of Sessions 2008,Authorised absence 2008,Unauthorised absence 2008,Overall absence 2008,Persistent absentees 2008,Possible number of Sessions 2009,Authorised absence 2009,Unauthorised absence 2009,Overall absence 2009,Persistent absentees 2009,Possible number of Sessions 2010,Authorised absence 2010,Unauthorised absence 2010,Overall absence 2010,Persistent absentees 2010,Possible number of Sessions 2011,Authorised absence 2011,Unauthorised absence 2011,Overall absence 2011,Persistent absentees 2011
316,Newham,81016,3489,988,4477,14,78969,3579,1520,5099,16,69429,3016,656,3672,8,67890,2828,1418,4246,16,0,0,0,0,0
317,Redbridge,18917,930,421,1351,7,20233,1075,550,1625,7,18971,690,375,1065,x,18967,834,297,1131,x,0,0,0,0,0
318,Richmond upon Thames,7233,297,149,446,x,7829,339,51,390,0,9143,416,32,448,0,10311,659,75,734,x,0,0,0,0,0
319,Sutton,16984,814,198,1012,x,13535,852,215,1067,6,13176,690,34,724,x,13585,568,78,646,x,0,0,0,0,0
320,Waltham Forest,35985,1814,953,2767,12,32841,1448,742,2190,8,32439,1463,1104,2567,11,33877,1390,764,2154,x,0,0,0,0,0
330,Birmingham,251516,13745,4520,18265,63,258769,12280,4245,16525,57,256198,11344,5449,16793,50,263167,10604,4523,15127,50,0,0,0,0,0
331,Coventry,68780,3987,1296,5283,16,64874,3821,679,4500,12,66092,3967,691,4658,17,69119,3633,695,4328,14,0,0,0,0,0
332,Dudley,71091,3693,882,4575,15,78479,3414,947,4361,11,80942,3339,1846,5185,16,86869,3185,1082,4267,8,0,0,0,0,0
333,Sandwell,73931,3532,1249,4781,16,72252,3077,1428,4505,17,66358,2957,1652,4609,18,66814,2950,1072,4022,12,0,0,0,0,0
334,Solihull,27364,1282,536,1818,9,30505,1370,242,1612,x,30095,1205,222,1427,x,41981,2175,551,2726,x,0,0,0,0,0
335,Walsall,65782,2832,514,3346,x,59322,2174,369,2543,x,57147,2325,551,2876,x,60464,2354,643,2997,7,0,0,0,0,0
336,Wolverhampton,48498,2278,563,2841,7,49618,1989,319,2308,6,48005,1873,638,2511,7,49124,1843,630,2473,6,0,0,0,0,0
340,Knowsley,41499,2285,1666,3951,17,42119,1644,683,2327,x,42621,1461,825,2286,7,42217,1253,900,2153,x,0,0,0,0,0
341,Liverpool,128102,6749,2090,8839,32,119326,5478,1898,7376,21,112141,4939,2350,7289,20,117539,4883,2773,7656,26,0,0,0,0,0
342,St Helens,41336,2206,651,2857,10,43673,1889,747,2636,10,44971,1594,838,2432,8,47979,1571,684,2255,x,0,0,0,0,0
343,Sefton,43068,1724,953,2677,10,43182,1460,1087,2547,10,45133,1495,482,1977,x,53185,1776,687,2463,6,0,0,0,0,0
344,Wirral,97614,5132,1195,6327,22,97845,3745,1759,5504,15,91037,3888,941,4829,10,92017,3763,963,4726,8,0,0,0,0,0
350,Bolton,53780,2917,1772,4689,19,52779,2600,1746,4346,17,53976,1965,983,2948,6,56124,1792,897,2689,8,0,0,0,0,0
351,Bury,36762,1602,323,1925,x,35705,1421,289,1710,x,35414,1357,221,1578,x,29790,1354,185,1539,x,0,0,0,0,0
352,Manchester,181608,10065,4880,14945,60,185429,10334,5227,15561,57,177671,8950,5419,14369,60,175750,8602,5689,14291,53,0,0,0,0,0
353,Oldham,48831,2541,1218,3759,14,52036,2280,1389,3669,11,43892,1783,792,2575,8,42598,1757,315,2072,x,0,0,0,0,0
354,Rochdale,38424,1949,587,2536,11,45313,2094,664,2758,10,47480,2018,1119,3137,10,53190,2313,1590,3903,17,0,0,0,0,0
355,Salford,82211,4779,1846,6625,22,79146,3101,1277,4378,12,73337,2637,938,3575,11,63565,2166,1086,3252,9,0,0,0,0,0
356,Stockport,44218,2083,776,2859,11,46131,2338,639,2977,12,44737,2483,426,2909,7,42734,1685,579,2264,6,0,0,0,0,0
357,Tameside,52513,2879,682,3561,10,48185,1936,677,2613,7,49394,2006,1252,3258,12,50893,1853,1376,3229,11,0,0,0,0,0
358,Trafford,28307,1377,236,1613,x,30089,1766,206,1972,7,34255,1527,226,1753,x,32636,1150,179,1329,x,0,0,0,0,0
359,Wigan,60661,2385,2208,4593,19,54317,1591,971,2562,x,55382,2227,767,2994,9,58592,2328,372,2700,x,0,0,0,0,0
370,Barnsley,37863,1467,358,1825,x,34504,1588,474,2062,6,31863,1183,606,1789,7,31244,1291,429,1720,6,0,0,0,0,0
371,Doncaster,53760,3240,1289,4529,19,44459,2449,1598,4047,12,39732,2235,936,3171,12,42529,2083,778,2861,6,0,0,0,0,0
372,Rotherham,47234,2537,1186,3723,19,51221,2141,1860,4001,15,47648,1690,1596,3286,14,51508,1890,1268,3158,11,0,0,0,0,0
373,Sheffield,79497,4627,2868,7495,26,78253,4461,2961,7422,32,73241,3424,2389,5813,22,63637,2680,1873,4553,16,0,0,0,0,0
380,Bradford,118637,5925,2669,8594,32,122623,5680,2657,8337,30,121164,6300,3477,9777,31,114034,4275,1695,5970,9,0,0,0,0,0
381,Calderdale,26777,1484,332,1816,x,30363,1750,285,2035,8,29283,930,353,1283,x,35220,1177,675,1852,6,0,0,0,0,0
382,Kirklees,42568,1726,1323,3049,10,50855,2007,861,2868,10,55607,2064,514,2578,7,63530,2540,553,3093,x,0,0,0,0,0
383,Leeds,201127,11471,6637,18108,83,199848,11199,7221,18420,80,197559,10015,6132,16147,60,192444,8926,5214,14140,47,0,0,0,0,0
384,Wakefield,47840,2961,803,3764,15,41079,2839,399,3238,8,39354,2222,393,2615,7,39110,1432,313,1745,x,0,0,0,0,0
390,Gateshead,38516,1488,438,1926,x,40638,1448,344,1792,x,39390,1195,328,1523,x,36431,1293,264,1557,x,0,0,0,0,0
391,Newcastle upon Tyne,66417,3576,467,4043,10,63433,2730,275,3005,7,65867,2915,1034,3949,15,70236,2661,680,3341,9,0,0,0,0,0
392,North Tyneside,28331,1336,593,1929,6,25352,834,158,992,0,23372,838,164,1002,x,22885,803,173,976,x,0,0,0,0,0
393,South Tyneside,27056,1018,278,1296,x,30527,1426,493,1919,7,30110,1517,539,2056,x,33888,1537,862,2399,9,0,0,0,0,0
394,Sunderland,67031,2929,756,3685,12,63412,3309,971,4280,12,59032,2323,577,2900,7,57741,2249,555,2804,7,0,0,0,0,0
