,All_CLA_2010,Boys_CLA_2010,Girls_CLA_2010,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_CLA_2014,Boys_CLA_2014,Girls_CLA_2014,All_non_CLA_2010,Boys_non_CLA_2010,Girls_non_CLA_2010,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013,All_non_CLA_2014,Boys_non_CLA_2014,Girls_non_CLA_2014
Elig_KS2,1731,992,740,2113,1186,927,2305,1248,1057,2298,1226,1072,2448,1351,1097,422087,215490,206597,552373,281941,270432,541758,276529,265229,537843,274957,262886,558232,285361,272871
Elig_maths,1731,991,740,2113,1186,927,2305,1248,1057,2298,1226,1072,2448,1351,1097,422087,215490,206597,552197,281857,270340,541747,276529,265218,537830,274954,262876,555002,283870,271132
Exp_lev_maths,813,461,352,1090,633,457,1283,673,610,1354,722,632,1484,820,664,335960,171497,164463,444713,227182,217531,456353,233013,223340,455846,232632,223214,478490,244108,234382
Elig_read,1729,992,737,2113,1186,927,2303,1246,1057,2296,1224,1072,2446,1350,1096,420449,214904,205545,552373,281941,270432,541758,276529,265229,537843,274957,262886,554945,283852,271093
Exp_lev_read,936,491,445,1236,661,575,1475,726,749,1446,740,706,1666,888,778,350600,172161,178439,463309,226348,236961,469694,231662,238032,461905,229420,232485,492424,246832,245592
Elig_writTA,.,.,.,.,.,.,2291,1242,1049,2295,1223,1072,2446,1350,1096,.,.,.,.,.,.,540910,276139,264771,537425,274794,262631,558232,285361,272871
Exp_lev_writTA,.,.,.,.,.,.,1163,547,616,1251,595,656,1436,697,739,.,.,.,.,.,.,439957,210192,229765,448082,215577,232505,475640,230611,245029
Elig_GPS,.,.,.,.,.,.,.,.,.,2296,1224,1072,2446,1350,1096,.,.,.,.,.,.,.,.,.,537811,274945,262866,554962,283846,271116
Exp_lev_GPS,.,.,.,.,.,.,.,.,.,1022,498,524,1207,582,625,.,.,.,.,.,.,.,.,.,396797,189272,207525,424552,203454,221098
Elig_RWM,.,.,.,.,.,.,2289,1240,1049,2295,1223,1072,2429,1337,1092,.,.,.,.,.,.,540734,276037,264697,537370,274769,262601,554081,283320,270761
Exp_lev_RWM,.,.,.,.,.,.,965,453,512,1033,514,519,1171,582,589,.,.,.,.,.,.,403690,195385,208305,405738,197916,207822,436101,214447,221654
Elig_2lev_prog_maths,.,.,.,2045,1134,911,2217,1198,1019,2231,1188,1043,2382,1311,1071,.,.,.,533152,272291,260861,515403,263266,252137,512942,262562,250380,533198,272897,260301
2lev_prog_maths,.,.,.,1374,781,593,1576,839,737,1646,876,770,1793,972,821,.,.,.,441710,227045,214665,448569,230571,217998,451526,231900,219626,477197,244710,232487
Elig_2lev_prog_read,.,.,.,.,.,.,2217,1198,1019,2228,1188,1040,2380,1309,1071,.,.,.,.,.,.,515194,263082,252112,512068,262041,250027,531746,272024,259722
2lev_prog_read,.,.,.,.,.,.,1713,863,850,1717,889,828,1929,1045,884,.,.,.,.,.,.,460946,231267,229679,451053,228947,222106,482958,245829,237129
Elig_2lev_prog_writ,.,.,.,.,.,.,2221,1201,1020,2229,1189,1040,2378,1308,1070,.,.,.,.,.,.,516060,263448,252612,512646,262256,250390,532461,272325,260136
2lev_prog_writ,.,.,.,.,.,.,1705,876,829,1804,941,863,1953,1038,915,.,.,.,.,.,.,464094,231954,232140,468954,235362,233592,494517,248832,245685
