,All_CLA_2010,Boys_CLA_2010,Girls_CLA_2010,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_CLA_2014,Boys_CLA_2014,Girls_CLA_2014,All_non_CLA_2010,Boys_non_CLA_2010,Girls_non_CLA_2010,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013,All_non_CLA_2014,Boys_non_CLA_2014,Girls_non_CLA_2014
Elig_KS1,1330,749,581,1512,804,708,1683,884,799,1742,949,793,1749,954,795,552159,283115,269044,569023,291338,277685,581292,297460,283832,593816,303961,289855,615091,315091,300000
Exp_lev_reading,846,437,409,969,481,488,1121,546,575,1203,615,588,1235,627,608,467911,229167,238744,485477,237961,247516,505680,249065,256615,526648,260534,266114,551703,273881,277822
Exp_lev_writing,750,369,381,850,398,452,959,443,516,1059,521,538,1062,510,552,447212,213945,233267,462723,221264,241459,483850,232920,250930,504963,244427,260536,530403,258250,272153
Exp_lev_maths,908,493,415,1033,533,500,1188,619,569,1230,647,583,1258,660,598,493160,248718,244442,510160,256877,253283,526511,265349,261162,542713,273579,269134,566729,286173,280556
