,All_2008,Boys_2008,Girls_2008,All_2009,Boys_2009,Girls_2009,All_2010,Boys_2010,Girls_2010,All_2011,Boys_2011,Girls_2011,All_2012,Boys_2012,Girls_2012
Elig_KS1,"1,441",744,697,"1,291",695,596,"1,321",746,575,"1,502",797,705,"1,667",877,790
Exp_lev_reading,871,404,467,795,396,399,839,435,404,964,478,486,"1,114",543,571
Exp_lev_writing,758,324,434,695,325,370,743,366,377,845,395,450,952,440,512
Exp_lev_maths,957,468,489,883,457,426,900,489,411,"1,027",529,498,"1,177",613,564
