,All_2008,Boys_2008,Girls_2008,All_2009,Boys_2009,Girls_2009,All_2010,Boys_2010,Girls_2010,All_2011,Boys_2011,Girls_2011,All_2012,Boys_2012,Girls_2012
Elig_KS2,"2,400","1,366","1,034","2,273","1,269","1,004","1,646",931,715,"2,115","1,186",929,"2,023","1,091",932
Elig_eng,"2,396","1,362","1,034","2,272","1,268","1,004","1,646",931,715,"2,115","1,186",929,"2,020","1,088",932
Exp_lev_eng,"1,189",574,615,"1,098",533,565,827,418,409,"1,137",593,544,"1,208",588,620
Elig_maths,"2,398","1,365","1,033","2,273","1,269","1,004","1,642",929,713,"2,115","1,186",929,"2,023","1,091",932
Exp_lev_maths,"1,127",631,496,"1,080",614,466,810,461,349,"1,092",634,458,"1,141",590,551
Elig_eng_maths,"2,394","1,361","1,033","2,272","1,268","1,004","1,642",929,713,"2,115","1,186",929,"2,020","1,088",932
Exp_lev_eng_maths,918,477,441,851,441,410,661,360,301,916,506,410,"1,000",489,511
2lev_prog_eng,.,.,.,.,.,.,.,.,.,"1,537",844,693,"1,506",760,746
2lev_prog_maths,.,.,.,.,.,.,.,.,.,"1,374",781,593,"1,397",740,657
