Primary_SEN,Primary_school_action_plus,Primary_statement,Secondary_school_action_plus,Secondary_statement,Special_school_action_plus,Special_Statement,PRU_School_Action_Plus,PRU_Statement
SPLD,214,61,336,110,0,25,x,x
MLD,794,179,927,346,0,715,9,x
SLD,20,51,7,38,x,628,0,0
PMLD,x,18,0,x,x,294,0,0
BESD,"1,455",601,"2,557",988,26,"1,258",286,127
SLCN,453,198,140,160,0,111,0,x
HI,16,18,24,14,0,16,0,0
VI,13,11,20,11,0,13,0,0
MSI,x,x,0,x,0,8,0,0
PD,20,43,21,47,0,58,0,0
ASD,13,61,45,84,x,374,x,x
OTH,164,25,608,45,x,15,14,x
