country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Num_elig_2008,Num_perm_ex_2008,Num_fix_ex_2008,Num_elig_2009,Num_perm_ex_2009,Num_fix_ex_2009,Num_elig_2010,Num_perm_ex_2010,Num_fix_ex_2010,Num_elig_2011,Num_perm_ex_2011,Num_fix_ex_2011
921,England,B,North West,359,E08000010,Wigan,190,0,25,188,0,26,200,0,16,195,0,23
921,England,D,Yorks & the Humber ,370,E08000016,Barnsley,121,0,13,109,0,12,106,0,13,99,0,8
921,England,D,Yorks & the Humber ,371,E08000017,Doncaster,167,x,27,144,x,20,152,x,22,168,0,15
921,England,D,Yorks & the Humber ,372,E08000018,Rotherham,177,x,31,164,0,28,177,0,19,179,0,18
921,England,D,Yorks & the Humber ,373,E08000019,Sheffield,278,0,60,255,x,50,229,0,37,229,0,33
921,England,D,Yorks & the Humber ,380,E08000032,Bradford,417,x,53,419,x,57,408,0,43,403,0,38
921,England,D,Yorks & the Humber ,381,E08000033,Calderdale,105,0,11,105,x,8,120,0,10,117,0,8
921,England,D,Yorks & the Humber ,382,E08000034,Kirklees,175,0,26,199,0,20,219,0,29,246,0,20
921,England,D,Yorks & the Humber ,383,E08000035,Leeds,687,0,96,674,x,98,652,x,76,663,x,63
921,England,D,Yorks & the Humber ,384,E08000036,Wakefield,150,0,21,141,x,18,143,0,23,163,0,24
921,England,A,North East ,390,E08000020,Gateshead,140,0,13,132,x,10,122,0,7,129,0,10
921,England,A,North East ,391,E08000021,Newcastle upon Tyne,224,x,22,226,0,23,237,0,27,252,0,27
921,England,A,North East ,392,E08000022,North Tyneside,94,0,9,77,0,8,76,0,x,108,0,9
921,England,A,North East ,393,E08000023,South Tyneside,105,0,20,106,0,17,114,0,8,117,0,12
921,England,A,North East ,394,E08000024,Sunderland,217,0,27,200,0,32,194,x,27,176,x,25
921,England,K,South West ,800,E06000022,Bath & NE Somerset,49,0,8,56,0,x,63,0,12,71,0,7
921,England,K,South West ,801,E06000023,City of Bristol,312,0,55,319,x,54,295,0,43,309,0,45
921,England,K,South West ,802,E06000024,North Somerset,71,0,11,84,0,9,94,0,16,97,x,10
921,England,K,South West ,803,E06000025,South Gloucestershire,61,0,13,53,0,7,58,0,8,52,0,x
921,England,A,North East ,805,E06000001,Hartlepool,61,0,7,65,x,6,66,0,x,73,0,6
921,England,A,North East ,806,E06000002,Middlesbrough,122,0,23,122,0,19,140,x,18,130,x,17
921,England,A,North East ,807,E06000003,Redcar and Cleveland,66,0,12,63,0,7,61,x,10,63,x,15
921,England,A,North East ,808,E06000004,Stockton on Tees,97,0,10,98,0,x,98,0,10,109,0,6
921,England,D,Yorks & the Humber ,810,E06000010,City of Kingston-Upon-Hull,257,x,32,245,0,20,240,x,29,256,x,33
921,England,D,Yorks & the Humber ,811,E06000011,East Riding of Yorkshire,134,x,22,126,0,22,123,0,17,126,0,15
921,England,D,Yorks & the Humber ,812,E06000012,North East Lincolnshire,62,0,x,64,0,x,47,0,x,50,x,7
921,England,D,Yorks & the Humber ,813,E06000013,North Lincolnshire,75,0,7,63,0,11,72,0,14,69,0,10
921,England,D,Yorks & the Humber ,815,E10000023,North Yorkshire,222,x,14,214,x,17,192,0,18,204,0,23
921,England,D,Yorks & the Humber ,816,E06000014,York,76,x,14,80,x,16,97,0,12,109,x,8
921,England,G,East of England ,821,E06000032,Luton,194,x,30,184,x,24,173,0,23,171,0,24
921,England,G,East of England ,822,E06000055,Bedford Borough,.,.,.,71,0,19,62,x,11,59,0,11
921,England,G,East of England ,823,E06000056,Central Bedfordshire,.,.,.,62,x,8,65,0,10,68,x,12
921,England,J,South East,825,E10000002,Buckinghamshire,126,0,15,113,x,16,114,0,11,128,0,11
921,England,J,South East,826,E06000042,Milton Keynes,89,x,12,70,0,x,85,0,7,106,0,9
921,England,E,East Midlands,830,E10000007,Derbyshire,240,x,39,246,0,46,232,0,47,252,0,40
921,England,E,East Midlands,831,E06000015,Derby,197,x,25,198,x,35,212,0,17,206,0,20
921,England,K,South West ,835,E10000009,Dorset,114,0,22,113,0,8,105,0,13,119,0,15
921,England,K,South West ,836,E06000029,Poole,54,0,x,55,0,7,64,0,x,65,0,6
921,England,K,South West ,837,E06000028,Bournemouth,65,0,7,64,0,7,65,0,10,71,0,10
921,England,A,North East ,840,E06000047,Durham,196,x,33,207,x,40,215,x,36,230,x,37
921,England,A,North East ,841,E06000005,Darlington,63,0,8,64,0,8,63,x,11,66,0,10
921,England,J,South East,845,E10000011,East Sussex,232,0,38,228,x,34,223,0,28,236,x,32
921,England,J,South East,846,E06000043,Brighton & Hove,161,0,34,152,0,29,143,x,28,170,0,17
921,England,J,South East,850,E10000014,Hampshire,457,x,63,477,0,82,490,0,57,493,x,76
