country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS2_2008,Elig_eng_2008,Lev4_eng_2008,Elig_maths_2008,Lev4_maths_2008,Elig_engmaths_2008,Lev4_engmaths_2008,Elig_KS2_2009,Elig_eng_2009,Lev4_eng_2009,Elig_maths_2009,Lev4_maths_2009,Elig_engmaths_2009,Lev4_engmaths_2009,Elig_KS2_2010,Elig_eng_2010,Lev4_eng_2010,Elig_maths_2010,Lev4_maths_2010,Elig_engmaths_2010,Lev4_engmaths_2010,Elig_KS2_2011,Elig_eng_2011,Lev4_eng_2011,Elig_maths_2011,Lev4_maths_2011,Elig_engmaths_2011,Lev4_engmaths_2011,Elig_KS2_2012,Elig_eng_2012,Lev4_eng_2012,Elig_maths_2012,Lev4_maths_2012,Elig_engmaths_2012,Lev4_engmaths_2012
921,England,H,London ,306,E09000008,Croydon,17,17,7,17,6,17,x,11,11,8,11,6,11,x,10,10,8,10,8,10,7,25,25,16,25,16,25,15,7,7,x,7,x,7,x
921,England,H,London ,307,E09000009,Ealing,8,8,x,8,x,8,x,17,17,11,17,9,17,9,11,11,8,11,7,11,7,11,11,x,11,7,11,x,8,8,x,8,x,8,x
921,England,H,London ,308,E09000010,Enfield,12,12,9,12,x,12,x,13,13,6,13,x,13,x,6,6,x,6,x,6,x,9,9,7,9,7,9,6,10,10,6,10,x,10,x
921,England,H,London ,309,E09000014,Haringey,19,19,11,19,12,19,10,18,18,10,18,9,18,8,x,x,x,x,x,x,x,21,21,12,21,12,21,10,19,19,10,19,9,19,8
921,England,H,London ,310,E09000015,Harrow,6,6,x,6,x,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,0,x,x,0,x,0,x,0
921,England,H,London ,311,E09000016,Havering,13,13,6,13,x,13,x,x,x,x,x,x,x,x,x,x,x,x,0,x,0,11,11,6,11,6,11,6,x,x,x,x,0,x,0
921,England,H,London ,312,E09000017,Hillingdon,16,16,x,16,7,16,x,12,12,6,12,x,12,x,x,x,x,x,x,x,x,10,10,6,10,6,10,x,x,x,x,x,x,x,x
921,England,H,London ,313,E09000018,Hounslow,11,11,x,11,x,11,x,13,13,9,13,8,13,8,7,7,x,7,6,7,x,14,14,8,14,x,14,x,9,9,6,9,6,9,x
921,England,H,London ,314,E09000021,Kingston upon Thames,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,0,7,7,x,7,x,7,x
921,England,H,London ,315,E09000024,Merton,7,7,x,7,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,6,x,6,x,6,x,x,x,x,x,x,x,x
921,England,H,London ,316,E09000025,Newham,31,31,19,31,20,31,17,27,27,12,27,10,27,7,15,15,7,14,7,14,x,13,13,6,13,x,13,x,13,13,8,13,7,13,6
921,England,H,London ,317,E09000026,Redbridge,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,H,London ,318,E09000027,Richmond upon Thames,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,0,x,0,x,0,x,x,0,x,0,x,0,x,x,0,x,x,x,0
921,England,H,London ,319,E09000029,Sutton,x,x,x,x,x,x,x,x,x,x,x,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,H,London ,320,E09000031,Waltham Forest,10,10,7,10,x,10,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x,8,8,x,8,x,8,x,16,16,10,16,11,16,9
921,England,F,West Midlands,330,E08000025,Birmingham,81,81,45,81,42,81,36,86,86,43,86,47,86,38,55,55,33,54,32,54,28,79,79,44,79,45,79,37,77,77,41,77,38,77,32
921,England,F,West Midlands,331,E08000026,Coventry,23,23,13,23,15,23,13,25,25,11,25,15,25,11,15,15,x,15,9,15,x,27,27,10,27,13,27,8,14,14,9,14,6,14,6
921,England,F,West Midlands,332,E08000027,Dudley,26,25,9,26,13,25,8,31,31,12,31,13,31,9,13,13,x,13,x,13,x,23,23,12,23,11,23,10,35,35,24,35,26,35,22
921,England,F,West Midlands,333,E08000028,Sandwell,24,24,17,24,16,24,14,22,22,14,22,15,22,12,8,8,x,8,x,8,x,21,21,11,21,9,21,7,32,32,14,32,13,32,11
921,England,F,West Midlands,334,E08000029,Solihull,8,8,x,8,x,8,x,9,9,6,9,6,9,6,x,x,x,x,x,x,x,6,6,x,6,x,6,x,10,10,x,10,x,10,x
921,England,F,West Midlands,335,E08000030,Walsall,13,12,x,13,x,12,x,18,18,9,18,8,18,7,18,18,10,18,9,18,8,19,19,10,19,9,19,6,14,14,9,14,9,14,8
921,England,F,West Midlands,336,E08000031,Wolverhampton,18,18,7,18,9,18,x,17,17,9,17,6,17,6,17,17,9,17,9,17,9,15,15,10,15,11,15,10,15,15,9,15,9,15,7
921,England,B,North West,340,E08000011,Knowsley,13,13,6,13,7,13,x,20,20,10,20,10,20,7,11,11,6,11,7,11,6,x,x,x,x,x,x,x,14,14,12,14,7,14,7
921,England,B,North West,341,E08000012,Liverpool,43,43,24,43,17,43,11,27,27,12,27,12,27,9,21,21,10,21,10,21,7,42,42,29,42,32,42,27,35,35,20,35,20,35,17
921,England,B,North West,342,E08000013,St Helens,11,11,6,11,6,11,6,12,12,7,12,8,12,7,20,20,15,20,14,20,13,13,13,8,13,7,13,6,17,16,14,17,12,16,12
921,England,B,North West,343,E08000014,Sefton,21,21,15,21,14,21,13,10,10,6,10,6,10,x,19,19,13,19,13,19,12,18,18,8,18,7,18,6,15,15,9,15,9,15,8
921,England,B,North West,344,E08000015,Wirral,39,39,25,39,25,39,23,23,23,13,23,11,23,10,27,27,14,27,15,27,13,25,25,17,25,15,25,15,27,27,17,27,15,27,13
921,England,B,North West,350,E08000001,Bolton,14,14,x,14,8,14,x,16,16,7,16,7,16,6,15,15,7,15,x,15,x,22,22,11,22,11,22,9,16,16,10,16,11,16,10
921,England,B,North West,351,E08000002,Bury,13,13,8,13,7,13,6,11,11,x,11,6,11,x,7,7,x,7,x,7,x,7,7,x,7,x,7,x,10,9,7,10,x,9,x
921,England,B,North West,352,E08000003,Manchester,68,68,34,68,30,68,29,56,56,33,56,27,56,26,27,27,10,27,10,27,8,56,56,27,56,35,56,25,40,40,25,40,26,40,22
921,England,B,North West,353,E08000004,Oldham,20,20,9,20,10,20,8,10,10,x,10,x,10,x,7,7,x,7,x,7,x,11,11,6,11,6,11,6,15,15,7,15,8,15,6
921,England,B,North West,354,E08000005,Rochdale,20,20,10,20,12,20,10,14,14,x,14,7,14,x,7,7,x,7,x,7,x,18,18,14,18,13,18,11,16,16,7,16,7,16,6
921,England,B,North West,355,E08000006,Salford,19,19,10,19,11,19,9,16,16,12,16,11,16,10,11,11,6,11,7,11,6,21,21,12,21,11,21,9,15,15,11,15,11,15,11
921,England,B,North West,356,E08000007,Stockport,20,20,14,20,9,20,9,12,12,x,12,6,12,x,8,8,6,8,7,8,6,7,7,x,7,x,7,x,9,9,x,9,x,9,x
921,England,B,North West,357,E08000008,Tameside,17,17,12,17,11,17,10,11,11,6,11,x,11,x,17,17,12,17,10,17,9,17,17,10,17,11,17,9,14,14,12,14,11,14,11
921,England,B,North West,358,E08000009,Trafford,10,10,x,10,x,10,x,17,17,12,17,12,17,10,x,x,x,x,x,x,x,6,6,x,6,x,6,x,14,14,10,14,8,14,8
921,England,B,North West,359,E08000010,Wigan,15,15,7,15,8,15,7,15,15,x,15,7,15,x,13,13,6,13,7,13,6,15,15,11,15,10,15,9,23,23,15,23,12,23,11
921,England,D,Yorks & the Humber ,370,E08000016,Barnsley,9,9,x,9,x,9,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6,6,x,6,x,6,x
921,England,D,Yorks & the Humber ,371,E08000017,Doncaster,8,8,6,8,6,8,x,7,7,x,7,x,7,x,9,9,x,9,x,9,x,10,10,7,10,x,10,x,17,17,7,17,8,17,7
921,England,D,Yorks & the Humber ,372,E08000018,Rotherham,12,12,6,12,6,12,x,15,15,6,15,6,15,x,18,18,6,18,9,18,6,19,19,8,19,8,19,7,13,13,10,13,10,13,9
921,England,D,Yorks & the Humber ,373,E08000019,Sheffield,21,21,7,21,x,21,x,13,13,0,13,0,13,0,19,19,8,19,8,19,6,22,22,9,22,8,22,8,20,20,9,20,9,20,6
921,England,D,Yorks & the Humber ,380,E08000032,Bradford,34,34,14,34,20,34,11,33,33,14,33,19,33,13,23,23,12,23,15,23,12,30,30,18,30,17,30,15,25,25,20,25,20,25,17
921,England,D,Yorks & the Humber ,381,E08000033,Calderdale,8,8,7,8,x,8,x,8,8,6,8,6,8,6,9,9,x,9,x,9,x,14,14,10,14,10,14,10,8,8,6,8,6,8,6
921,England,D,Yorks & the Humber ,382,E08000034,Kirklees,19,19,11,19,9,19,9,21,21,9,21,11,21,7,14,14,7,14,7,14,6,18,18,12,18,9,18,9,18,18,10,18,10,18,9
921,England,D,Yorks & the Humber ,383,E08000035,Leeds,61,61,26,61,26,61,22,58,58,30,58,31,58,25,34,34,15,34,14,34,10,58,58,33,58,23,58,21,53,53,32,53,29,53,27
921,England,D,Yorks & the Humber ,384,E08000036,Wakefield,9,9,x,9,x,9,x,10,10,6,10,7,10,x,x,x,x,x,x,x,x,12,12,x,12,x,12,x,18,17,6,18,9,17,x
921,England,A,North East ,390,E08000020,Gateshead,8,8,x,8,x,8,x,9,9,x,9,x,9,x,8,8,6,8,x,8,x,7,7,x,7,x,7,x,12,12,x,12,6,12,x
921,England,A,North East ,391,E08000021,Newcastle upon Tyne,28,27,16,28,14,27,11,16,16,8,16,11,16,7,8,8,x,8,x,8,x,22,22,13,22,13,22,12,22,22,14,22,16,22,13
921,England,A,North East ,392,E08000022,North Tyneside,7,7,x,7,x,7,x,8,8,x,8,x,8,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14,14,7,14,8,14,6
921,England,A,North East ,393,E08000023,South Tyneside,8,8,x,8,x,8,x,11,11,7,11,7,11,7,x,x,x,x,0,x,0,7,7,x,7,x,7,x,12,12,6,12,x,12,x
921,England,A,North East ,394,E08000024,Sunderland,12,12,10,12,11,12,10,19,19,8,19,9,19,8,11,11,7,11,7,11,7,12,12,x,12,x,12,x,11,11,x,11,x,11,x
921,England,K,South West ,800,E06000022,Bath & NE Somerset,x,x,x,x,x,x,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,K,South West ,801,E06000023,City of Bristol,32,32,13,32,14,32,12,36,36,19,36,17,36,15,17,17,10,17,9,17,8,27,27,18,27,14,27,12,19,19,15,19,13,19,13
921,England,K,South West ,802,E06000024,North Somerset,6,6,x,6,x,6,x,9,9,x,9,x,9,x,6,6,x,6,x,6,x,8,8,x,8,x,8,x,6,6,x,6,x,6,x
921,England,K,South West ,803,E06000025,South Gloucestershire,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,A,North East ,805,E06000001,Hartlepool,9,9,x,9,x,9,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7,7,x,7,x,7,x,6,6,x,6,x,6,x
921,England,A,North East ,806,E06000002,Middlesbrough,10,10,x,10,x,10,x,7,7,x,7,x,7,x,6,6,x,6,x,6,x,6,6,x,6,x,6,x,16,16,9,16,8,16,8
921,England,A,North East ,807,E06000003,Redcar and Cleveland,x,x,x,x,0,x,0,x,x,x,x,x,x,x,x,x,0,x,0,x,0,x,x,x,x,x,x,x,7,7,x,7,x,7,x
921,England,A,North East ,808,E06000004,Stockton on Tees,10,10,x,10,x,10,x,12,12,x,12,x,12,x,x,x,x,x,x,x,x,11,11,8,11,9,11,8,11,11,6,11,x,11,x
921,England,D,Yorks & the Humber ,810,E06000010,City of Kingston-Upon-Hull,21,21,17,21,15,21,14,26,26,9,26,14,26,7,14,14,x,14,7,14,x,21,21,9,21,10,21,7,12,12,6,12,6,12,x
921,England,D,Yorks & the Humber ,811,E06000011,East Riding of Yorkshire,13,13,6,13,x,13,x,10,10,x,10,x,10,x,10,10,6,10,6,10,6,10,10,x,10,x,10,x,9,9,8,9,6,9,6
921,England,D,Yorks & the Humber ,812,E06000012,North East Lincolnshire,6,6,x,6,x,6,x,6,6,x,6,x,6,x,x,x,0,x,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,D,Yorks & the Humber ,813,E06000013,North Lincolnshire,6,6,x,6,x,6,x,6,6,x,6,x,6,x,x,x,0,x,0,x,0,x,x,x,x,x,x,x,7,7,x,7,x,7,x
921,England,D,Yorks & the Humber ,815,E10000023,North Yorkshire,18,18,6,18,x,18,x,19,19,9,19,10,19,7,17,17,7,17,6,17,x,20,20,11,20,6,20,6,10,10,x,10,x,10,x
921,England,D,Yorks & the Humber ,816,E06000014,York,7,7,x,7,x,7,x,9,9,6,9,6,9,6,9,9,x,9,x,9,x,9,9,6,9,x,9,x,13,13,7,13,9,13,6
921,England,G,East of England ,821,E06000032,Luton,18,18,x,18,x,18,x,14,14,8,14,7,14,6,15,15,10,15,9,15,7,17,17,9,17,8,17,7,16,16,10,16,11,16,9
921,England,G,East of England ,822,E06000055,Bedford Borough,.,.,.,.,.,.,.,x,x,0,x,0,x,0,x,x,x,x,0,x,0,7,7,x,7,x,7,x,7,7,x,7,x,7,x
921,England,G,East of England ,823,E06000056,Central Bedfordshire,.,.,.,.,.,.,.,x,x,x,x,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,J,South East,825,E10000002,Buckinghamshire,9,9,6,9,x,9,x,13,13,8,13,6,13,6,11,11,x,11,x,11,x,8,8,x,8,x,8,x,11,11,x,11,x,11,x
921,England,J,South East,826,E06000042,Milton Keynes,7,7,x,7,x,7,0,8,8,x,8,x,8,x,6,6,x,6,0,6,0,9,9,x,9,x,9,x,8,8,x,8,x,8,x
921,England,E,East Midlands,830,E10000007,Derbyshire,17,17,9,17,8,17,6,19,19,8,19,7,19,x,14,14,x,14,x,14,x,18,18,9,18,10,18,8,19,19,13,19,12,19,11
921,England,E,East Midlands,831,E06000015,Derby,17,17,7,17,7,17,x,18,18,9,18,11,18,8,13,13,9,13,8,13,6,15,15,x,15,7,15,x,14,14,7,14,6,14,6
921,England,K,South West ,835,E10000009,Dorset,9,9,6,9,6,9,6,11,11,7,11,7,11,6,11,11,8,11,x,11,x,9,9,x,9,x,9,x,7,7,x,7,x,7,x
921,England,K,South West ,836,E06000029,Poole,6,6,x,6,x,6,x,x,x,x,x,x,x,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,K,South West ,837,E06000028,Bournemouth,6,6,x,6,x,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,9,9,6,9,x,9,x
