country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,Elig_KS2_2008,Elig_eng_2008,Lev4_eng_2008,Elig_maths_2008,Lev4_maths_2008,Elig_engmaths_2008,Lev4_engmaths_2008,Elig_KS2_2009,Elig_eng_2009,Lev4_eng_2009,Elig_maths_2009,Lev4_maths_2009,Elig_engmaths_2009,Lev4_engmaths_2009,Elig_KS2_2010,Elig_eng_2010,Lev4_eng_2010,Elig_maths_2010,Lev4_maths_2010,Elig_engmaths_2010,Lev4_engmaths_2010,Elig_KS2_2011,Elig_eng_2011,Lev4_eng_2011,Elig_maths_2011,Lev4_maths_2011,Elig_engmaths_2011,Lev4_engmaths_2011,Elig_KS2_2012,Elig_eng_2012,Lev4_eng_2012,Elig_maths_2012,Lev4_maths_2012,Elig_engmaths_2012,Lev4_engmaths_2012
921,England,B,North West,876,E06000006,Halton,x,x,x,x,x,x,x,6,6,x,6,x,6,x,10,10,x,10,x,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,B,North West,877,E06000007,Warrington,7,7,x,7,x,7,x,8,8,x,8,6,8,x,6,6,x,6,x,6,x,7,7,x,7,x,7,x,10,10,x,10,x,10,x
921,England,K,South West ,878,E10000008,Devon,21,21,14,21,12,21,12,16,16,10,16,11,16,9,14,14,7,14,x,14,x,14,14,x,14,x,14,x,9,9,x,9,x,9,x
921,England,K,South West ,879,E06000026,City of Plymouth,18,18,9,18,7,18,6,20,20,10,20,9,20,7,12,12,6,12,6,12,x,12,12,6,12,x,12,x,16,16,8,16,8,16,7
921,England,K,South West ,880,E06000027,Torbay,7,7,x,7,x,7,0,12,12,7,12,x,12,x,x,x,x,x,x,x,x,7,7,x,7,x,7,x,x,x,x,x,x,x,x
921,England,G,East of England ,881,E10000012,Essex,55,55,26,55,28,55,22,57,57,28,57,29,57,20,54,54,38,54,37,54,33,49,49,29,49,27,49,23,30,30,20,30,21,30,17
921,England,G,East of England ,882,E06000033,Southend,19,19,10,19,10,19,9,19,19,13,19,12,19,10,7,7,x,7,x,7,x,8,8,7,8,7,8,7,6,6,x,6,x,6,x
921,England,G,East of England ,883,E06000034,Thurrock,9,9,6,9,7,9,6,x,x,x,x,x,x,x,x,x,x,x,0,x,0,6,6,x,6,x,6,x,10,10,x,10,6,10,x
921,England,F,West Midlands,884,E06000019,Herefordshire,x,x,x,x,x,x,x,6,x,x,6,x,x,0,6,6,x,6,x,6,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
921,England,F,West Midlands,885,E10000034,Worcestershire,21,21,11,21,13,21,10,19,19,x,19,7,19,x,16,16,8,16,9,16,8,21,21,9,21,9,21,6,20,20,11,20,10,20,9
921,England,J,South East,886,E10000016,Kent,38,38,15,38,12,38,11,50,50,16,50,16,50,10,37,37,17,37,22,37,16,52,52,24,52,25,52,18,52,52,24,52,21,52,18
921,England,J,South East,887,E06000035,Medway,9,9,x,9,x,9,x,8,8,x,8,x,8,x,12,12,8,12,7,12,6,9,9,6,9,x,9,x,8,8,x,8,x,8,x
921,England,B,North West,888,E10000017,Lancashire,49,49,23,49,16,49,15,46,46,21,46,21,46,18,35,35,19,35,17,35,17,54,54,25,54,23,54,17,39,39,22,39,21,39,20
921,England,B,North West,889,E06000008,Blackburn and Darwin,12,12,7,12,6,12,x,10,10,x,10,x,10,x,8,8,6,8,6,8,x,15,15,8,15,6,15,x,12,12,8,12,9,12,7
921,England,B,North West,890,E06000009,Blackpool,14,14,6,14,8,14,6,11,11,x,11,x,11,x,x,x,x,x,x,x,x,12,12,8,12,8,12,7,16,16,8,16,8,16,8
921,England,E,East Midlands,891,E10000024,Nottinghamshire,15,15,x,15,6,15,x,24,24,12,24,15,24,11,15,15,6,15,x,15,x,11,11,6,11,9,11,6,18,18,11,18,10,18,9
921,England,E,East Midlands,892,E06000018,City of Nottingham,21,21,11,21,12,21,10,17,17,8,17,8,17,7,10,10,x,10,x,10,x,14,14,x,14,7,14,x,20,20,11,20,9,20,8
921,England,F,West Midlands,893,E06000051,Shropshire,6,6,x,6,x,6,x,10,10,6,10,x,10,x,0,0,0,0,0,0,0,x,x,x,x,x,x,x,6,6,x,6,x,6,x
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,8,8,x,8,x,8,x,8,8,6,8,x,8,x,7,7,x,7,x,7,x,6,6,x,6,x,6,x,9,9,6,9,x,9,x
921,England,B,North West,895,E06000049,Cheshire East,.,.,.,.,.,.,.,11,11,x,11,x,11,x,11,11,7,11,7,11,6,9,9,7,9,8,9,7,10,10,6,10,x,10,x
921,England,B,North West,896,E06000050,Cheshire West & Chester,.,.,.,.,.,.,.,14,14,7,14,x,14,x,16,16,6,16,7,16,x,10,10,x,10,x,10,x,8,8,6,8,x,8,x
921,England,K,South West ,908,E06000052,Cornwall,11,11,x,11,x,11,x,14,14,x,14,6,14,x,12,12,x,12,7,12,x,11,11,6,11,9,11,x,18,18,8,18,8,18,8
921,England,B,North West,909,E10000006,Cumbria,24,24,12,24,12,24,7,19,19,11,19,8,19,7,13,13,8,13,8,13,7,20,20,14,20,12,20,12,14,14,10,14,10,14,10
921,England,K,South West ,916,E10000013,Gloucestershire,16,16,10,16,10,16,8,11,11,x,11,x,11,x,10,10,x,10,x,10,x,10,10,7,10,x,10,x,10,10,x,10,x,10,x
921,England,G,East of England ,919,E10000015,Hertfordshire,47,47,21,47,18,47,16,35,35,18,35,16,35,13,33,33,19,33,10,33,10,27,27,14,27,14,27,12,24,24,14,24,13,24,12
921,England,J,South East,921,E06000046,Isle of Wight,x,x,x,x,x,x,x,8,8,x,8,x,8,x,9,9,7,9,6,9,6,9,9,x,9,x,9,x,x,x,x,x,0,x,0
921,England,E,East Midlands,925,E10000019,Lincolnshire,26,26,12,26,12,26,10,22,22,11,22,13,22,9,17,17,x,17,8,17,x,25,25,11,25,9,25,7,26,26,14,26,14,26,11
921,England,G,East of England ,926,E10000020,Norfolk,54,54,25,54,26,54,19,35,35,18,35,18,35,12,31,31,16,31,12,31,9,31,31,15,31,15,31,13,32,32,19,32,18,32,16
921,England,E,East Midlands,928,E10000021,Northamptonshire,24,24,9,24,6,24,6,16,16,7,16,x,16,x,15,15,11,15,10,15,8,28,28,14,28,13,28,11,19,19,9,19,9,19,8
921,England,A,North East ,929,E06000048,Northumberland,12,12,x,12,x,12,x,14,14,7,14,8,14,6,9,9,x,9,x,9,x,10,10,x,10,x,10,x,10,10,7,10,8,10,7
921,England,J,South East,931,E10000025,Oxfordshire,17,17,6,17,x,17,x,13,13,x,13,x,13,x,10,10,x,10,x,10,x,7,7,x,7,x,7,x,10,10,6,10,6,10,6
921,England,K,South West ,933,E10000027,Somerset,6,6,x,6,x,6,x,10,10,6,10,6,10,x,8,8,x,8,x,8,x,11,11,9,11,8,11,8,7,7,x,7,6,7,x
921,England,G,East of England ,935,E10000029,Suffolk,32,32,18,32,18,32,15,37,37,16,37,16,37,13,24,24,10,24,10,24,8,20,20,11,20,10,20,10,28,28,11,28,12,28,10
921,England,J,South East,936,E10000030,Surrey,20,20,11,20,8,20,7,26,26,8,26,10,26,6,16,16,7,16,6,16,x,22,22,10,22,11,22,8,20,20,15,20,15,20,15
921,England,F,West Midlands,937,E10000031,Warwickshire,26,26,11,26,7,26,7,17,17,6,17,6,17,x,13,13,6,13,7,13,x,25,25,9,25,9,25,8,24,24,19,24,17,24,16
921,England,J,South East,938,E10000032,West Sussex,31,31,14,31,12,31,10,22,22,12,22,14,22,12,17,17,6,17,x,17,x,28,28,12,28,10,28,8,10,10,7,10,6,10,x
