country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,num_school_age_child,SEN,No_SEN,Without_statement,with_statement
921,England,D,Yorks & the Humber ,816,E06000014,York,122,76,46,49,27
921,England,G,East of England ,821,E06000032,Luton,193,127,66,81,46
921,England,G,East of England ,822,E06000055,Bedford Borough,68,51,17,26,25
921,England,G,East of England ,823,E06000056,Central Bedfordshire,72,56,16,33,23
921,England,J,South East,825,E10000002,Buckinghamshire,182,140,42,68,72
921,England,J,South East,826,E06000042,Milton Keynes,125,87,38,44,43
921,England,E,East Midlands,830,E10000007,Derbyshire,259,205,54,110,95
921,England,E,East Midlands,831,E06000015,Derby,217,161,56,115,46
921,England,K,South West ,835,E10000009,Dorset,134,105,29,61,44
921,England,K,South West ,836,E06000029,Poole,75,46,29,21,25
921,England,K,South West ,837,E06000028,Bournemouth,89,68,21,37,31
921,England,A,North East ,840,E06000047,Durham,249,197,52,110,87
921,England,A,North East ,841,E06000005,Darlington,75,46,29,30,16
921,England,J,South East,845,E10000011,East Sussex,275,211,64,102,109
921,England,J,South East,846,E06000043,Brighton & Hove,207,163,44,109,54
921,England,J,South East,850,E10000014,Hampshire,485,370,115,224,146
921,England,J,South East,851,E06000044,Portsmouth,145,106,39,81,25
921,England,J,South East,852,E06000045,Southampton,153,109,44,87,22
921,England,E,East Midlands,855,E10000018,Leicestershire,160,113,47,61,52
921,England,E,East Midlands,856,E06000016,Leicester City,224,171,53,105,66
921,England,E,East Midlands,857,E06000017,Rutland,12,9,x,8,x
921,England,F,West Midlands,860,E10000028,Staffordshire,364,235,129,141,94
921,England,F,West Midlands,861,E06000021,Stoke,196,140,56,84,56
921,England,K,South West ,865,E06000054,Wiltshire,176,132,44,66,66
921,England,K,South West ,866,E06000030,Swindon,109,84,25,46,38
921,England,J,South East,867,E06000036,Bracknell Forest,44,34,10,17,17
921,England,J,South East,868,E06000040,Royal Borough of Windsor & Maidenhead,35,25,10,12,13
921,England,J,South East,869,E06000037,West Berkshire,54,40,14,21,19
921,England,J,South East,870,E06000038,Reading,94,81,13,48,33
921,England,J,South East,871,E06000039,Slough,63,54,9,36,18
921,England,J,South East,872,E06000041,Wokingham,31,25,6,8,17
921,England,G,East of England ,873,E10000003,Cambridgeshire,203,164,39,89,75
921,England,G,East of England ,874,E06000031,City of Peterborough,132,98,34,42,56
921,England,B,North West,876,E06000006,Halton,50,32,18,22,10
921,England,B,North West,877,E06000007,Warrington,110,75,35,46,29
921,England,K,South West ,878,E10000008,Devon,262,225,37,102,123
921,England,K,South West ,879,E06000026,City of Plymouth,174,142,32,81,61
921,England,K,South West ,880,E06000027,Torbay,99,78,21,45,33
921,England,G,East of England ,881,E10000012,Essex,655,449,206,246,203
921,England,G,East of England ,882,E06000033,Southend,128,86,42,46,40
921,England,G,East of England ,883,E06000034,Thurrock,93,67,26,32,35
921,England,F,West Midlands,884,E06000019,Herefordshire,75,57,18,33,24
921,England,F,West Midlands,885,E10000034,Worcestershire,268,218,50,118,100
921,England,J,South East,886,E10000016,Kent,686,552,134,362,190
921,England,J,South East,887,E06000035,Medway,157,122,35,72,50
921,England,B,North West,888,E10000017,Lancashire,605,411,194,209,202
921,England,B,North West,889,E06000008,Blackburn and Darwin,161,110,51,70,40
921,England,B,North West,890,E06000009,Blackpool,178,115,63,76,39
921,England,E,East Midlands,891,E10000024,Nottinghamshire,284,210,74,153,57
921,England,E,East Midlands,892,E06000018,City of Nottingham,215,163,52,116,47
921,England,F,West Midlands,893,E06000051,Shropshire,90,68,22,31,37
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,141,97,44,54,43
921,England,B,North West,895,E06000049,Cheshire East,223,158,65,94,64
921,England,B,North West,896,E06000050,Cheshire West & Chester,168,138,30,61,77
921,England,K,South West ,908,E06000052,Cornwall,214,164,50,100,64
921,England,B,North West,909,E10000006,Cumbria,267,179,88,89,90
921,England,K,South West ,916,E10000013,Gloucestershire,184,143,41,78,65
921,England,G,East of England ,919,E10000015,Hertfordshire,458,332,126,205,127
921,England,J,South East,921,E06000046,Isle of Wight,72,44,28,18,26
921,England,E,East Midlands,925,E10000019,Lincolnshire,240,184,56,94,90
921,England,G,East of England ,926,E10000020,Norfolk,480,338,142,151,187
921,England,E,East Midlands,928,E10000021,Northamptonshire,298,231,67,120,111
921,England,A,North East ,929,E06000048,Northumberland,139,108,31,48,60
921,England,J,South East,931,E10000025,Oxfordshire,163,129,34,69,60
921,England,K,South West ,933,E10000027,Somerset,163,138,25,96,42
921,England,G,East of England ,935,E10000029,Suffolk,365,239,126,133,106
921,England,J,South East,936,E10000030,Surrey,340,244,96,117,127
921,England,F,West Midlands,937,E10000031,Warwickshire,276,201,75,111,90
921,England,J,South East,938,E10000032,West Sussex,323,259,64,145,114
