country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,LAC_2008,FT_Schooling_2008,Poss_sess_2008,Auth_ab_2008,Unauth_ab_2008,Overall_ab_2008,Persist_ab_2008,LAC_2009,FT_Schooling_2009,Poss_sess_2009,Auth_ab_2009,Unauth_ab_2009,Overall_ab_2009,Persist_ab_2009,LAC_2010,FT_Schooling_2010,Poss_sess_2010,Auth_ab_2010,Unauth_ab_2010,Overall_ab_2010,Persist_ab_2010,LAC_2011,FT_Schooling_2011,Poss_sess_2011,Auth_ab_2011,Unauth_ab_2011,Overall_ab_2011,Persist_ab_2011,LAC_2012,FT_Schooling_2012,Poss_sess_2012,Auth_ab_2012,Unauth_ab_2012,Overall_ab_2012,Persist_ab_2012
921,England,K,South West ,866,E06000030,Swindon,156,104,30565,1534,400,1934,11,170,118,33691,1614,249,1863,8,179,109,31895,1472,156,1628,6,169,107,31211,1130,191,1321,6,169,95,29112,1012,169,1181,x
921,England,J,South East,867,E06000036,Bracknell Forest,52,28,7724,520,158,678,x,52,28,8239,403,86,489,x,59,23,6884,373,71,444,x,55,26,6970,322,79,401,x,59,30,9148,249,47,296,x
921,England,J,South East,868,E06000040,Royal Borough of Windsor & Maidenhead,52,24,7196,425,77,502,x,40,18,5204,268,116,384,x,64,23,6592,267,38,305,0,76,38,11656,478,42,520,x,61,31,9388,270,63,333,0
921,England,J,South East,869,E06000037,West Berkshire,75,36,10320,462,172,634,x,56,35,10222,413,80,493,x,76,41,12414,541,44,585,x,91,45,13782,467,132,599,x,84,47,13946,368,30,398,x
921,England,J,South East,870,E06000038,Reading,152,93,27577,1094,148,1242,x,139,83,24032,827,125,952,x,126,80,23370,983,146,1129,x,138,74,21428,855,161,1016,x,146,77,22923,791,372,1163,8
921,England,J,South East,871,E06000039,Slough,80,32,9196,453,160,613,x,73,30,8510,456,114,570,x,95,43,12266,777,315,1092,x,118,60,17812,701,128,829,x,111,54,15566,878,80,958,x
921,England,J,South East,872,E06000041,Wokingham,41,20,5690,384,338,722,x,43,19,5205,307,240,547,x,51,22,6194,283,126,409,x,49,25,6952,289,90,379,x,49,22,6772,153,17,170,0
921,England,G,East of England ,873,E10000003,Cambridgeshire,274,156,45262,2438,714,3152,17,284,161,47036,2212,244,2456,7,329,186,53974,2774,485,3259,14,343,193,55548,2394,399,2793,12,332,186,55608,1980,516,2496,10
921,England,G,East of England ,874,E06000031,City of Peterborough,279,156,45435,1742,373,2115,8,235,145,40480,1891,391,2282,9,239,153,44824,1456,857,2313,8,223,129,37303,1463,220,1683,7,219,114,34563,1135,416,1551,7
921,England,B,North West,876,E06000006,Halton,125,90,27348,922,126,1048,6,122,77,23054,550,310,860,x,122,71,21124,736,202,938,x,90,52,15949,417,257,674,x,81,46,14327,275,272,547,x
921,England,B,North West,877,E06000007,Warrington,147,106,31815,1492,430,1922,11,161,109,33085,1167,734,1901,7,174,112,34439,1194,778,1972,7,176,103,30921,1158,417,1575,7,164,108,33666,1198,599,1797,11
921,England,K,South West ,878,E10000008,Devon,405,249,72115,3807,1225,5032,22,371,229,67590,4159,1014,5173,22,389,223,65144,2940,1141,4081,17,413,220,64667,2737,672,3409,13,426,217,65759,2426,429,2855,11
921,England,K,South West ,879,E06000026,City of Plymouth,288,168,48815,2655,173,2828,8,277,178,51963,2369,348,2717,13,266,158,46256,2315,243,2558,10,265,164,48294,2298,437,2735,14,268,162,49721,1839,625,2464,13
921,England,K,South West ,880,E06000027,Torbay,135,81,22907,993,371,1364,x,132,83,24559,766,142,908,x,123,83,24510,845,135,980,x,143,96,28792,1000,95,1095,x,152,89,25450,803,210,1013,x
921,England,G,East of England ,881,E10000012,Essex,940,607,177913,9256,2799,12055,51,993,627,181855,8206,1653,9859,48,1011,615,181593,8023,2187,10210,41,1113,632,183852,7695,2223,9918,48,1075,597,182122,6796,849,7645,34
921,England,G,East of England ,882,E06000033,Southend,230,151,43208,1707,766,2473,11,210,138,40461,1612,611,2223,12,209,126,38105,1659,830,2489,11,197,119,34880,1317,240,1557,6,186,122,37282,1172,405,1577,x
921,England,G,East of England ,883,E06000034,Thurrock,140,80,23358,1111,87,1198,x,147,78,22750,856,139,995,x,153,83,24641,1017,144,1161,8,141,79,22598,836,156,992,x,135,81,22954,796,202,998,x
921,England,F,West Midlands,884,E06000019,Herefordshire,119,79,23187,1089,352,1441,7,106,76,21638,995,264,1259,7,117,70,20690,1013,356,1369,x,118,63,18584,894,81,975,x,124,62,18321,641,39,680,x
921,England,F,West Midlands,885,E10000034,Worcestershire,354,220,63676,3101,863,3964,19,372,222,65079,2879,716,3595,15,407,239,69508,3166,595,3761,16,432,254,75603,3666,1096,4762,26,444,243,75269,2910,508,3418,17
921,England,J,South East,886,E10000016,Kent,875,526,153317,8366,1869,10235,56,876,523,153108,7889,2315,10204,51,917,560,164931,8401,2517,10918,53,1022,597,173693,7822,2772,10594,46,1173,633,191987,7572,2247,9819,50
921,England,J,South East,887,E06000035,Medway,261,149,43717,2692,348,3040,19,239,133,38443,1716,651,2367,11,230,124,35676,1457,405,1862,x,252,120,34604,1251,473,1724,x,299,135,40513,1395,320,1715,8
921,England,B,North West,888,E10000017,Lancashire,1004,591,173655,9210,2293,11503,55,951,555,164411,7627,1120,8747,38,960,556,165260,6520,1902,8422,31,985,567,169349,6160,1869,8029,27,949,553,170614,4970,1448,6418,16
921,England,B,North West,889,E06000008,Blackburn and Darwin,242,156,45128,2550,960,3510,19,239,152,45499,2012,439,2451,12,257,156,46086,1455,391,1846,9,265,153,44734,1277,244,1521,8,250,145,44305,831,217,1048,x
921,England,B,North West,890,E06000009,Blackpool,198,105,30944,1228,343,1571,6,203,113,33817,975,307,1282,x,243,143,43160,1488,307,1795,7,285,158,46495,1433,577,2010,9,310,153,47090,1086,470,1556,x
921,England,E,East Midlands,891,E10000024,Nottinghamshire,313,188,54574,2229,710,2939,11,311,202,59479,2233,479,2712,7,354,229,66521,2802,605,3407,11,430,241,70026,2628,676,3304,9,482,264,79507,2682,818,3500,13
921,England,E,East Midlands,892,E06000018,City of Nottingham,336,188,54688,2458,876,3334,22,315,165,48726,2122,1057,3179,15,327,180,53369,1991,417,2408,8,353,186,52967,2104,746,2850,14,371,198,59601,2229,800,3029,15
921,England,F,West Midlands,893,E06000051,Shropshire,129,64,16458,622,143,765,x,127,67,19474,775,219,994,x,135,70,20399,852,294,1146,6,153,70,20734,840,54,894,x,140,73,22512,962,59,1021,x
921,England,F,West Midlands,894,E06000020,Telford and Wrekin,165,93,28342,1326,753,2079,8,173,95,28391,1257,280,1537,10,182,105,30675,1129,482,1611,9,197,116,34345,1090,113,1203,x,200,126,39055,1227,129,1356,6
921,England,B,North West,895,E06000049,Cheshire East,.,.,.,.,.,.,.,240,139,41621,2418,728,3146,14,271,143,43683,1739,337,2076,x,337,197,60147,2218,571,2789,13,346,202,61334,1826,618,2444,8
921,England,B,North West,896,E06000050,Cheshire West & Chester,.,.,.,.,.,.,.,222,145,43116,1838,315,2153,10,246,150,45624,1751,363,2114,8,262,150,46046,1444,685,2129,x,243,149,45502,1309,552,1861,7
921,England,K,South West ,908,E06000052,Cornwall,301,196,57872,2227,915,3142,15,297,189,54790,2091,800,2891,14,304,208,62481,2094,590,2684,8,297,201,60301,1801,504,2305,6,306,206,61992,1730,531,2261,8
921,England,B,North West,909,E10000006,Cumbria,348,236,69714,3412,920,4332,21,349,218,65058,2474,868,3342,11,331,208,63666,2760,686,3446,14,362,231,67273,2726,609,3335,15,395,246,74804,3036,642,3678,19
921,England,K,South West ,916,E10000013,Gloucestershire,284,189,56556,2960,884,3844,18,310,180,52573,2988,812,3800,23,335,172,50414,2730,823,3553,19,336,177,51213,2581,996,3577,20,316,158,47084,1680,284,1964,9
921,England,G,East of England ,919,E10000015,Hertfordshire,738,427,125611,6460,1593,8053,36,666,418,121175,6737,1249,7986,38,730,419,123932,6245,1467,7712,36,789,426,125646,5777,1158,6935,30,714,400,122037,5298,1527,6825,32
921,England,J,South East,921,E06000046,Isle of Wight,141,83,24382,1573,351,1924,10,147,98,28299,1517,838,2355,14,138,85,25331,1628,929,2557,17,128,74,20040,1205,828,2033,13,111,62,18830,778,482,1260,6
921,England,E,East Midlands,925,E10000019,Lincolnshire,382,256,73591,3142,597,3739,18,389,258,74699,3857,440,4297,13,384,250,72744,3387,404,3791,15,369,231,66495,2549,547,3096,13,338,230,69771,2442,214,2656,7
921,England,G,East of England ,926,E10000020,Norfolk,663,417,123308,6517,816,7333,32,623,393,116904,5573,1344,6917,30,636,395,113704,5632,1306,6938,32,685,399,117969,5346,1500,6846,29,706,393,120690,4786,1318,6104,22
921,England,E,East Midlands,928,E10000021,Northamptonshire,402,244,69744,4165,966,5131,27,387,221,64669,2886,1160,4046,25,447,251,73463,3074,910,3984,21,490,262,77131,3064,724,3788,18,518,255,77544,2793,471,3264,16
921,England,A,North East ,929,E06000048,Northumberland,234,145,41604,2512,577,3089,14,207,130,37413,1770,576,2346,13,203,128,37976,1832,678,2510,15,211,124,36469,1426,361,1787,9,189,120,35505,1051,233,1284,7
921,England,J,South East,931,E10000025,Oxfordshire,280,174,48536,2174,861,3035,15,287,174,50275,2628,1194,3822,23,276,168,49566,2155,1108,3263,14,274,152,44069,1817,442,2259,12,267,135,40635,1401,312,1713,x
921,England,K,South West ,933,E10000027,Somerset,247,166,47855,3509,810,4319,22,236,146,42338,2901,755,3656,18,252,132,38133,2392,1327,3719,22,294,149,43830,2411,478,2889,14,267,141,41140,2219,308,2527,12
921,England,G,East of England ,935,E10000029,Suffolk,504,319,93291,4228,619,4847,22,509,322,94026,4259,1194,5453,30,522,312,91260,3853,1658,5511,21,565,314,90172,3930,1603,5533,28,584,319,96216,4230,1245,5475,24
921,England,J,South East,936,E10000030,Surrey,545,302,87460,4308,1609,5917,29,562,309,90045,4934,1937,6871,40,563,283,82541,4639,1914,6553,32,519,267,78585,4112,1409,5521,28,521,293,89199,3920,1248,5168,24
921,England,F,West Midlands,937,E10000031,Warwickshire,336,232,66462,3220,670,3890,20,358,237,69777,3642,539,4181,21,396,260,75763,3912,579,4491,19,431,271,81044,3678,871,4549,18,450,248,76092,3478,585,4063,16
921,England,J,South East,938,E10000032,West Sussex,506,285,83407,3912,1462,5374,29,521,310,89236,4138,1468,5606,25,529,304,88121,4159,815,4974,24,526,289,84456,4345,1112,5457,26,488,266,79694,3483,959,4442,17
