country_code,country_name,gor_code,gor_name,la_code,la_9digit,la_name,LAC_2008,FT_Schooling_2008,Poss_sess_2008,Auth_ab_2008,Unauth_ab_2008,Overall_ab_2008,Persist_ab_2008,LAC_2009,FT_Schooling_2009,Poss_sess_2009,Auth_ab_2009,Unauth_ab_2009,Overall_ab_2009,Persist_ab_2009,LAC_2010,FT_Schooling_2010,Poss_sess_2010,Auth_ab_2010,Unauth_ab_2010,Overall_ab_2010,Persist_ab_2010,LAC_2011,FT_Schooling_2011,Poss_sess_2011,Auth_ab_2011,Unauth_ab_2011,Overall_ab_2011,Persist_ab_2011,LAC_2012,FT_Schooling_2012,Poss_sess_2012,Auth_ab_2012,Unauth_ab_2012,Overall_ab_2012,Persist_ab_2012
921,England,H,London ,301,E09000002,Barking and Dagenham,221,118,33280,1585,464,2049,11,226,116,33414,1577,207,1784,7,248,117,34863,1207,113,1320,x,251,134,38503,1125,129,1254,x,277,140,41052,1383,618,2001,13
921,England,H,London ,302,E09000003,Barnet,266,161,46302,2070,595,2665,10,244,152,44492,2017,1114,3131,12,230,144,43304,2072,826,2898,14,221,135,39678,2011,1090,3101,13,200,116,34485,1363,420,1783,9
921,England,H,London ,303,E09000004,Bexley,147,87,25476,1330,905,2235,13,153,91,26972,1189,386,1575,7,151,77,23308,854,196,1050,x,140,77,22102,750,223,973,6,152,81,24758,647,221,868,x
921,England,H,London ,304,E09000005,Brent,267,142,41610,2019,494,2513,11,249,139,40791,2322,823,3145,15,263,136,39999,2550,614,3164,22,256,130,37248,2224,913,3137,20,245,124,37344,1656,881,2537,16
921,England,H,London ,305,E09000006,Bromley,192,113,32953,1576,912,2488,12,182,99,29080,1488,596,2084,11,170,96,28299,1404,290,1694,8,185,108,31408,1261,482,1743,11,186,98,29187,937,303,1240,6
921,England,H,London ,306,E09000008,Croydon,690,331,95576,4402,2705,7107,38,688,335,96785,4444,2726,7170,34,686,291,84593,3420,1615,5035,21,640,280,82115,2836,1050,3886,14,515,212,65571,1957,1170,3127,16
921,England,H,London ,307,E09000009,Ealing,303,150,43938,2076,347,2423,10,254,124,35959,1888,750,2638,15,271,135,38828,1819,562,2381,14,261,129,37429,1439,265,1704,11,263,124,38372,1244,281,1525,8
921,England,H,London ,308,E09000010,Enfield,210,116,34073,1427,452,1879,11,189,112,32214,1452,699,2151,10,188,113,33070,1551,480,2031,7,198,112,33163,1058,597,1655,9,220,116,36043,1244,472,1716,7
921,England,H,London ,309,E09000014,Haringey,316,175,50110,1926,1004,2930,11,315,169,49717,1818,567,2385,9,364,201,58984,2935,1821,4756,23,411,224,64969,2572,1586,4158,24,429,232,70388,2392,630,3022,11
921,England,H,London ,310,E09000015,Harrow,101,52,15426,647,17,664,x,82,49,13382,679,76,755,x,95,47,13270,768,211,979,7,84,29,8306,339,26,365,x,79,28,8757,423,261,684,x
921,England,H,London ,311,E09000016,Havering,133,77,22156,1186,210,1396,6,138,72,21068,1034,103,1137,6,137,73,21026,943,154,1097,x,128,64,18472,644,121,765,x,124,56,17172,604,248,852,x
921,England,H,London ,312,E09000017,Hillingdon,339,181,52408,2611,619,3230,15,321,162,47258,2084,756,2840,10,294,135,39478,1496,227,1723,6,272,142,42453,1549,805,2354,9,259,128,39287,1551,813,2364,11
921,England,H,London ,313,E09000018,Hounslow,242,133,38821,1479,799,2278,10,226,126,36757,1515,201,1716,x,236,134,38921,1376,907,2283,7,253,142,42022,1360,523,1883,x,222,123,37843,1021,154,1175,x
921,England,H,London ,314,E09000021,Kingston upon Thames,54,33,9602,648,77,725,x,68,36,10491,605,106,711,x,80,39,11517,654,356,1010,6,79,47,13866,521,267,788,x,88,41,12880,348,144,492,x
921,England,H,London ,315,E09000024,Merton,67,38,10737,424,328,752,x,75,33,9410,378,89,467,x,88,40,11815,406,343,749,x,85,35,9714,317,29,346,0,74,40,12142,453,147,600,x
921,England,H,London ,316,E09000025,Newham,466,273,78969,3579,1520,5099,25,403,245,69443,3020,659,3679,22,422,232,68213,2813,1371,4184,25,384,198,57771,2100,1028,3128,15,338,175,53280,1530,369,1899,x
921,England,H,London ,317,E09000026,Redbridge,115,68,19927,1073,550,1623,8,117,64,18963,696,375,1071,x,147,63,18961,836,295,1131,7,142,71,20521,689,313,1002,6,149,73,21977,737,66,803,x
921,England,H,London ,318,E09000027,Richmond upon Thames,60,28,7791,338,51,389,x,62,31,9143,416,32,448,x,56,34,10311,659,75,734,x,63,34,10185,378,231,609,x,56,29,8963,248,26,274,0
921,England,H,London ,319,E09000029,Sutton,88,45,13535,852,215,1067,8,77,47,13420,698,26,724,x,89,46,13585,568,78,646,x,110,51,14934,661,203,864,x,111,53,15439,641,296,937,x
921,England,H,London ,320,E09000031,Waltham Forest,229,113,33069,1442,659,2101,13,224,119,33811,1512,1130,2642,15,233,123,35398,1411,1017,2428,12,227,123,35671,1778,769,2547,13,211,112,34037,1294,339,1633,9
921,England,F,West Midlands,330,E08000025,Birmingham,1543,895,258601,12430,4054,16484,79,1539,899,257326,11361,5464,16825,81,1534,913,264320,10601,4510,15111,78,1480,903,265823,10047,6432,16479,72,1428,826,248880,9042,4459,13501,56
921,England,F,West Midlands,331,E08000026,Coventry,389,228,65050,3810,679,4489,23,367,221,66400,3976,691,4667,23,410,234,69521,3650,695,4345,28,445,257,76111,3707,903,4610,24,418,243,73257,2547,1070,3617,15
921,England,F,West Midlands,332,E08000027,Dudley,382,264,77503,3383,939,4322,19,408,272,80942,3339,1846,5185,26,454,292,86867,3183,1082,4265,17,486,306,90257,3042,1089,4131,14,520,324,99433,2969,737,3706,15
921,England,F,West Midlands,333,E08000028,Sandwell,398,260,74311,3219,1508,4727,25,364,232,68484,3050,1660,4710,25,348,235,68094,3012,1088,4100,21,401,250,74576,3154,1571,4725,23,430,244,71430,2064,1986,4050,16
921,England,F,West Midlands,334,E08000029,Solihull,222,106,30811,1402,244,1646,6,225,106,30347,1231,223,1454,x,268,144,41981,2175,551,2726,8,283,152,44811,1722,608,2330,13,268,139,43014,1488,637,2125,7
921,England,F,West Midlands,335,E08000030,Walsall,339,208,59936,2202,369,2571,8,350,203,57876,2347,552,2899,10,377,212,62601,2429,656,3085,14,398,225,64186,2112,1133,3245,15,396,227,66657,1825,474,2299,7
921,England,F,West Midlands,336,E08000031,Wolverhampton,277,172,49800,1992,311,2303,10,262,165,48279,1896,638,2534,11,279,173,49272,1865,628,2493,8,301,183,53395,1863,404,2267,10,390,217,64849,1925,970,2895,14
921,England,B,North West,340,E08000011,Knowsley,230,139,42105,1644,683,2327,12,241,146,42621,1461,825,2286,9,239,146,42003,1245,856,2101,9,245,141,40660,1377,659,2036,6,222,125,38560,978,556,1534,x
921,England,B,North West,341,E08000012,Liverpool,673,403,119445,5381,1891,7272,34,650,376,113676,4948,2354,7302,37,676,404,119403,4929,2784,7713,37,751,454,135194,5066,2522,7588,38,734,444,136263,4619,2065,6684,30
921,England,B,North West,342,E08000013,St Helens,249,145,43609,1889,747,2636,11,243,148,44789,1579,834,2413,13,263,161,47979,1571,684,2255,9,271,171,51089,1633,601,2234,10,262,152,46846,1182,545,1727,7
921,England,B,North West,343,E08000014,Sefton,245,150,43110,1459,1087,2546,11,255,155,45703,1574,575,2149,9,276,178,53185,1776,687,2463,13,287,185,54921,2323,689,3012,11,298,195,59994,2131,494,2625,12
921,England,B,North West,344,E08000015,Wirral,527,327,98429,3755,1761,5516,23,486,301,91247,3871,932,4803,22,488,303,91561,3688,941,4629,20,506,317,92308,3328,1726,5054,23,519,326,101580,3373,1234,4607,21
921,England,B,North West,350,E08000001,Bolton,313,177,52563,2596,1686,4282,28,317,186,53976,1965,983,2948,14,324,189,56094,1792,897,2689,13,384,218,64805,2049,619,2668,12,378,223,68671,1915,662,2577,8
921,England,B,North West,351,E08000002,Bury,224,123,35884,1423,289,1712,8,214,119,35722,1381,240,1621,x,194,100,29986,1368,186,1554,9,213,105,31579,1040,358,1398,7,228,114,35149,842,223,1065,x
921,England,B,North West,352,E08000003,Manchester,1140,642,186985,10322,5231,15553,91,1045,610,179236,8915,5426,14341,72,1038,596,177429,8658,5771,14429,78,1014,583,173033,8216,5950,14166,72,1022,570,172753,6540,6718,13258,69
921,England,B,North West,353,E08000004,Oldham,280,177,52010,2387,1389,3776,15,249,153,43892,1783,792,2575,11,248,144,42598,1757,315,2072,8,242,141,41376,1588,1392,2980,12,233,130,40034,1069,466,1535,6
921,England,B,North West,354,E08000005,Rochdale,255,155,44696,2031,655,2686,13,275,159,47078,2016,1118,3134,16,306,175,52218,2288,1564,3852,24,308,181,53912,1827,1631,3458,15,340,191,59513,1928,1139,3067,15
921,England,B,North West,355,E08000006,Salford,446,272,79136,3105,1275,4380,21,400,251,73645,2642,938,3580,15,366,219,64325,2143,1081,3224,15,383,221,65413,2558,1190,3748,19,423,234,71097,2113,1079,3192,15
921,England,B,North West,356,E08000007,Stockport,246,154,46025,2301,638,2939,20,238,147,44641,2483,426,2909,13,234,144,42600,1685,579,2264,12,212,116,35387,1309,562,1871,7,208,119,36214,1505,225,1730,9
921,England,B,North West,357,E08000008,Tameside,248,160,47875,1936,677,2613,12,238,164,48708,1959,1252,3211,16,255,170,51517,1867,1376,3243,15,261,162,48285,1736,1353,3089,15,280,170,52413,1963,1173,3136,17
921,England,B,North West,358,E08000009,Trafford,170,102,29779,1760,128,1888,9,183,111,33943,1526,222,1748,7,170,109,33561,1174,183,1357,x,196,121,36339,1570,369,1939,6,202,116,35813,1294,249,1543,x
921,England,B,North West,359,E08000010,Wigan,304,183,54317,1591,971,2562,15,324,188,55904,2234,767,3001,11,357,199,58904,2331,372,2703,12,362,195,58638,2429,1120,3549,19,357,204,62083,2008,946,2954,15
921,England,D,Yorks & the Humber ,370,E08000016,Barnsley,194,121,34484,1588,474,2062,7,182,109,31863,1183,606,1789,9,183,106,31244,1291,429,1720,8,173,99,28362,1027,471,1498,6,151,78,23150,532,159,691,x
921,England,D,Yorks & the Humber ,371,E08000017,Doncaster,281,155,44317,2447,1596,4043,18,284,140,39484,2221,925,3146,18,285,151,42357,2066,766,2832,12,313,165,45248,2052,693,2745,14,292,155,48092,2031,530,2561,6
921,England,D,Yorks & the Humber ,372,E08000018,Rotherham,249,172,51529,2144,1860,4004,25,286,162,47953,1690,1596,3286,21,295,174,51366,1894,1266,3160,14,279,175,50680,2233,1753,3986,21,282,177,53056,1791,1311,3102,9
921,England,D,Yorks & the Humber ,373,E08000019,Sheffield,477,269,77957,4428,2940,7368,51,428,250,73063,3393,2379,5772,30,420,222,63635,2694,1873,4567,21,426,224,65211,2580,1873,4453,22,425,224,67656,2498,490,2988,12
921,England,D,Yorks & the Humber ,380,E08000032,Bradford,659,410,122311,5680,2657,8337,46,692,414,120758,6285,3458,9743,51,699,398,113727,4275,1695,5970,24,682,399,116027,4248,1722,5970,20,660,382,116541,3333,926,4259,17
921,England,D,Yorks & the Humber ,381,E08000033,Calderdale,187,100,30363,1750,285,2035,10,194,99,29586,932,353,1285,x,225,118,35523,1180,675,1855,8,217,115,34827,878,169,1047,x,262,148,45650,1117,176,1293,x
921,England,D,Yorks & the Humber ,382,E08000034,Kirklees,314,171,50816,2007,861,2868,16,350,193,55765,2138,513,2651,13,380,215,63510,2526,444,2970,10,427,241,71300,2505,855,3360,13,453,242,73573,2195,568,2763,11
921,England,D,Yorks & the Humber ,383,E08000035,Leeds,1027,673,199855,11165,7221,18386,105,1032,671,197395,9992,6132,16124,95,1030,649,192824,8888,5191,14079,69,1103,661,194874,8331,5908,14239,73,1126,614,187515,5982,3427,9409,49
921,England,D,Yorks & the Humber ,384,E08000036,Wakefield,241,147,42927,2903,419,3322,14,231,141,41028,2270,416,2686,10,260,141,40533,1427,316,1743,x,263,163,46785,1738,742,2480,12,293,171,52342,1876,1006,2882,13
921,England,A,North East ,390,E08000020,Gateshead,213,139,40510,1448,281,1729,6,225,131,39336,1195,328,1523,x,193,121,36431,1293,264,1557,x,207,129,37760,829,571,1400,6,251,142,43908,1345,714,2059,11
921,England,A,North East ,391,E08000021,Newcastle upon Tyne,332,220,63997,2790,275,3065,14,325,225,66227,2910,1034,3944,21,345,237,70849,2683,680,3363,14,375,251,72232,2544,1223,3767,18,403,241,71698,2391,1188,3579,20
921,England,A,North East ,392,E08000022,North Tyneside,155,92,24738,828,158,986,x,136,76,22640,815,164,979,x,146,75,22229,788,173,961,x,175,106,31695,1121,468,1589,8,199,132,40186,879,241,1120,x
921,England,A,North East ,393,E08000023,South Tyneside,179,104,30527,1426,493,1919,13,167,100,30110,1517,539,2056,13,188,114,33412,1484,796,2280,14,202,116,33337,1331,404,1735,8,217,125,37963,1160,493,1653,8
921,England,A,North East ,394,E08000024,Sunderland,323,211,63406,3296,971,4267,25,293,196,59016,2326,577,2903,15,290,192,57731,2248,557,2805,8,288,175,51377,1488,444,1932,10,267,158,47850,1651,700,2351,14
921,England,K,South West ,800,E06000022,Bath & NE Somerset,99,46,12986,526,144,670,x,79,54,15857,626,372,998,x,96,62,18093,778,91,869,x,121,70,20331,778,269,1047,x,105,62,19452,501,199,700,x
921,England,K,South West ,801,E06000023,City of Bristol,457,297,85508,3775,1842,5617,26,477,313,88734,4074,2176,6250,35,473,290,85221,3800,1529,5329,30,483,304,90073,4154,1438,5592,29,481,288,88506,3846,1038,4884,20
921,England,K,South West ,802,E06000024,North Somerset,107,70,19978,769,274,1043,x,134,81,23134,658,525,1183,x,149,92,26751,1179,328,1507,6,157,94,26827,998,403,1401,6,158,99,30624,973,145,1118,x
921,England,K,South West ,803,E06000025,South Gloucestershire,116,59,16823,1039,514,1553,11,122,50,14270,951,210,1161,8,116,56,16613,1070,94,1164,6,116,52,15288,824,223,1047,x,144,67,20744,993,187,1180,x
921,England,A,North East ,805,E06000001,Hartlepool,89,60,17468,669,310,979,x,89,65,19335,820,487,1307,7,103,65,19667,572,145,717,x,112,73,21989,578,67,645,x,114,70,21151,625,71,696,x
921,England,A,North East ,806,E06000002,Middlesbrough,175,119,35001,1794,487,2281,13,183,119,35445,1626,845,2471,13,203,138,39222,1402,647,2049,6,222,128,36757,1159,492,1651,7,220,131,39817,1149,302,1451,7
921,England,A,North East ,807,E06000003,Redcar and Cleveland,96,64,17829,670,114,784,x,96,63,19037,702,132,834,x,91,60,17395,653,151,804,x,99,63,17549,644,75,719,x,114,69,20936,659,126,785,x
921,England,A,North East ,808,E06000004,Stockton on Tees,147,93,26544,850,595,1445,x,157,96,29183,736,496,1232,x,170,98,28845,833,268,1101,x,183,107,31028,731,352,1083,x,200,117,35744,917,354,1271,x
921,England,D,Yorks & the Humber ,810,E06000010,City of Kingston-Upon-Hull,400,249,72950,3073,3023,6096,34,407,238,71203,3005,2788,5793,32,396,234,69713,2950,1926,4876,29,437,251,71599,2771,1399,4170,22,459,267,81954,2374,1990,4364,22
