LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_Incs,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_Incs,Miss_Away_MoreOnce,Miss_Away_31Mar
11,E06000003,LA,807,Redcar and Cleveland,34,109,20,0,14,29,8,0
13,E06000004,LA,808,Stockton-on-Tees,55,458,36,0,43,240,26,0
45,E06000010,LA,810,"Kingston Upon Hull, City of",78,640,50,0,x,8,x,0
44,E06000011,LA,811,East Riding of Yorkshire,37,230,22,0,22,43,6,0
48,E06000012,LA,812,North East Lincolnshire,40,182,20,x,10,27,7,0
49,E06000013,LA,813,North Lincolnshire,40,249,25,x,16,37,9,0
50,E10000023,LA,815,North Yorkshire,62,161,26,0,21,135,15,0
54,E06000014,LA,816,York,18,51,9,0,20,158,15,0
86,E06000032,LA,821,Luton,60,436,39,0,..,..,..,..
81,E06000055,LA,822,Bedford,59,500,43,x,..,..,..,..
82,E06000056,LA,823,Central Bedfordshire,51,170,25,7,27,98,15,0
131,E10000002,LA,825,Buckinghamshire,77,503,58,x,55,185,33,0
137,E06000042,LA,826,Milton Keynes,90,657,60,x,42,109,17,x
57,E10000007,LA,830,Derbyshire,50,115,24,0,70,270,43,x
56,E06000015,LA,831,Derby,26,153,20,0,38,342,24,0
154,E10000009,LA,835,Dorset,64,239,34,x,x,6,x,0
159,E06000029,LA,836,Poole,38,177,21,x,9,14,x,0
150,E06000028,LA,837,Bournemouth,37,213,29,x,34,174,24,0
4,E06000047,LA,840,Durham,42,186,25,x,..,..,..,..
3,E06000005,LA,841,Darlington,40,203,29,0,..,..,..,..
132,E10000011,LA,845,East Sussex,31,83,9,x,8,16,x,0
130,E06000043,LA,846,Brighton and Hove,x,x,0,0,..,..,..,..
133,E10000014,LA,850,Hampshire,245,1633,158,8,155,609,79,x
139,E06000044,LA,851,Portsmouth,33,109,18,x,55,249,36,x
142,E06000045,LA,852,Southampton,53,223,32,0,28,72,14,0
59,E10000018,LA,855,Leicestershire,58,396,38,0,14,28,7,0
58,E06000016,LA,856,Leicester,x,43,x,0,32,84,18,0
64,E06000017,LA,857,Rutland,0,0,0,0,x,x,x,0
73,E10000028,LA,860,Staffordshire,101,421,59,15,16,37,7,0
74,E06000021,LA,861,Stoke-on-Trent,70,282,44,0,..,..,..,..
164,E06000054,LA,865,Wiltshire,62,402,36,0,12,19,x,0
162,E06000030,LA,866,Swindon,57,343,40,x,16,27,x,0
129,E06000036,LA,867,Bracknell Forest,31,149,21,0,17,44,8,0
146,E06000040,LA,868,Windsor and Maidenhead,18,60,13,0,6,29,6,0
144,E06000037,LA,869,West Berkshire,29,176,23,0,x,x,x,0
140,E06000038,LA,870,Reading,36,206,20,0,9,15,x,0
141,E06000039,LA,871,Slough,41,247,28,x,11,14,x,0
147,E06000041,LA,872,Wokingham,11,50,6,0,x,11,x,0
83,E10000003,LA,873,Cambridgeshire,89,491,48,x,32,94,17,0
88,E06000031,LA,874,Peterborough,63,291,37,x,14,23,x,x
23,E06000006,LA,876,Halton,45,320,28,x,x,x,0,0
36,E06000007,LA,877,Warrington,35,136,21,x,19,63,10,0
153,E10000008,LA,878,Devon,134,932,95,x,68,186,29,0
158,E06000026,LA,879,Plymouth,10,21,x,0,59,363,33,0
163,E06000027,LA,880,Torbay,32,186,16,x,0,0,0,0
84,E10000012,LA,881,Essex,190,880,106,10,103,399,58,6
89,E06000033,LA,882,Southend-on-Sea,52,353,35,x,x,x,0,0
91,E06000034,LA,883,Thurrock,87,371,48,x,35,56,16,x
69,E06000019,LA,884,Herefordshire,8,45,6,0,x,x,0,0
79,E10000034,LA,885,Worcestershire,111,340,50,7,21,35,x,6
135,E10000016,LA,886,Kent,478,2166,235,43,73,84,10,x
136,E06000035,LA,887,Medway,65,362,39,x,..,..,..,..
25,E10000017,LA,888,Lancashire,151,909,83,x,140,447,61,x
16,E06000008,LA,889,Blackburn with Darwen,44,188,24,0,..,..,..,..
17,E06000009,LA,890,Blackpool,98,663,71,9,55,197,31,x
63,E10000024,LA,891,Nottinghamshire,139,968,85,x,7,9,x,0
62,E06000018,LA,892,Nottingham,93,505,59,0,67,288,39,0
71,E06000051,LA,893,Shropshire,29,125,16,0,10,19,x,0
75,E06000020,LA,894,Telford and Wrekin,31,74,14,0,11,15,x,0
20,E06000049,LA,895,Cheshire East,69,372,54,0,28,81,14,0
21,E06000050,LA,896,Cheshire West and Chester,65,377,40,0,21,53,12,0
152,E06000052,LA,908,Cornwall,77,371,52,0,x,x,0,0
22,E10000006,LA,909,Cumbria,73,333,44,0,31,45,8,0
155,E10000013,LA,916,Gloucestershire,73,385,46,0,..,..,..,..
85,E10000015,LA,919,Hertfordshire,176,892,116,x,36,80,16,0
134,E06000046,LA,921,Isle of Wight,42,211,28,x,41,455,35,x
60,E10000019,LA,925,Lincolnshire,60,308,39,0,26,121,16,0
87,E10000020,LA,926,Norfolk,107,435,62,x,..,..,..,..
61,E10000021,LA,928,Northamptonshire,156,395,71,x,95,196,47,x
10,E06000048,LA,929,Northumberland,30,144,16,0,21,56,11,0
138,E10000025,LA,931,Oxfordshire,105,481,61,x,16,26,x,0
160,E10000027,LA,933,Somerset,51,168,28,x,6,7,x,x
90,E10000029,LA,935,Suffolk,135,1031,85,x,x,x,x,0
143,E10000030,LA,936,Surrey,176,879,105,17,41,80,15,0
77,E10000031,LA,937,Warwickshire,79,286,44,0,x,25,x,0
145,E10000032,LA,938,West Sussex,94,377,50,x,40,78,13,x
