LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2017,CLA_taken2017,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
122,E09000021,LA,314,Kingston upon Thames,60,21,32,28,6,7,11,21,15,33,x,x,6,x,0,0,16,20,x,0,37,0,0,0,x,0,0
123,E09000024,LA,315,Merton,100,38,51,49,8,13,17,27,35,40,x,x,15,19,x,0,21,9,0,0,58,28,x,0,x,0,0
103,E09000025,LA,316,Newham,308,135,169,139,37,37,43,101,90,139,x,x,40,78,11,0,31,33,0,0,160,95,7,0,13,0,0
124,E09000026,LA,317,Redbridge,186,58,105,81,24,32,32,46,52,108,7,8,11,18,10,0,24,34,x,0,119,17,x,0,9,0,0
125,E09000027,LA,318,Richmond upon Thames,67,28,44,23,7,11,9,28,12,34,x,x,x,x,x,0,16,16,0,0,38,10,x,0,x,0,0
126,E09000029,LA,319,Sutton,124,52,58,66,16,14,20,37,37,47,x,x,25,19,0,0,30,22,9,0,71,14,x,0,x,0,0
127,E09000031,LA,320,Waltham Forest,171,54,89,82,24,25,15,58,49,79,0,6,13,19,11,0,43,29,0,0,112,x,0,0,x,0,0
66,E08000025,LA,330,Birmingham,740,364,431,309,137,131,119,218,135,476,10,14,66,53,28,0,93,200,7,x,331,134,23,0,40,x,0
67,E08000026,LA,331,Coventry,283,136,172,111,57,47,40,84,55,244,6,x,14,x,x,0,9,63,x,x,137,63,x,0,x,x,0
68,E08000027,LA,332,Dudley,160,85,83,77,41,28,30,43,18,109,0,x,9,20,11,0,x,56,x,0,70,23,x,0,x,0,0
70,E08000028,LA,333,Sandwell,248,142,154,94,60,50,52,53,33,185,x,x,14,22,x,0,18,118,x,0,102,21,x,0,x,0,0
72,E08000029,LA,334,Solihull,161,48,97,64,14,34,31,55,27,43,x,12,54,x,9,0,34,33,0,0,113,x,x,0,0,0,0
76,E08000030,LA,335,Walsall,183,98,98,85,56,33,24,42,28,109,x,x,10,33,18,x,8,75,0,0,79,22,x,0,x,0,0
78,E08000031,LA,336,Wolverhampton,166,85,96,70,35,37,33,46,15,104,0,x,25,18,x,0,11,50,0,0,71,28,0,7,10,0,0
24,E08000011,LA,340,Knowsley,106,67,57,49,19,30,20,26,11,52,x,x,20,31,0,0,0,64,0,0,37,x,0,0,x,0,0
26,E08000012,LA,341,Liverpool,418,204,218,200,85,77,80,122,54,301,x,x,12,73,6,0,18,188,x,0,211,14,0,0,x,0,0
32,E08000013,LA,342,St. Helens,133,65,70,63,23,30,21,41,18,70,x,x,7,36,6,0,x,59,0,0,65,x,x,0,x,0,0
31,E08000014,LA,343,Sefton,165,94,81,84,31,29,32,53,20,56,x,x,16,80,x,0,7,86,0,0,69,8,0,0,x,0,x
