LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2017,CLA_2017,CLA_stp2017,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_RPC_All_Place,CLA_RPC_CARPL,CLA_RPC_CLOSE,CLA_RPC_ALLEG,CLA_RPC_STAND,CLA_RPC_APPRR,CLA_RPC_CREQB,CLA_RPC_CREQO,CLA_RPC_CHILD,CLA_RPC_LAREQ,CLA_RPC_PLACE,CLA_RPC_OTHER
45,E08000033,LA,381,Calderdale,317,413,0,173,144,15,46,59,142,55,267,19,6,x,21,x,235,x,32,18,25,x,0,0,54,216,0,x,32,x,0,15,189,0,0,78,18,32,0,194,123,186,76,x,39,x,8,328,194,134,11,203,64,x,x,x,0,24,18,14,7,28,39
49,E08000034,LA,382,Kirklees,698,974,9,364,334,52,85,163,267,131,492,113,59,21,13,0,492,25,64,x,107,7,x,0,150,418,0,45,85,0,0,6,364,x,x,208,45,64,0,395,303,387,173,x,122,x,8,533,395,138,x,487,142,x,11,22,6,75,35,23,x,37,120
50,E08000035,LA,383,Leeds,1253,1649,30,710,543,71,156,261,519,246,934,170,37,74,x,x,983,x,67,59,60,42,0,x,150,838,0,x,178,0,x,44,857,x,7,256,62,67,x,902,351,863,203,x,137,35,x,1151,902,249,x,766,82,0,12,x,0,71,34,26,x,120,416
56,E08000036,LA,384,Wakefield,519,650,0,293,226,31,114,104,163,107,445,23,10,x,30,x,346,32,48,27,54,x,x,0,x,330,0,62,77,0,x,15,321,x,x,125,19,48,0,328,191,317,87,x,93,x,11,480,328,152,x,448,236,x,x,x,0,16,x,8,x,37,138
6,E08000020,LA,390,Gateshead,380,534,18,224,156,17,50,94,143,76,345,8,x,14,x,x,330,18,x,7,20,0,0,x,36,215,0,32,97,0,0,10,331,x,0,32,9,x,x,225,155,222,128,x,26,x,x,343,225,118,x,179,40,0,x,0,0,9,10,x,0,106,11
9,E08000021,LA,391,Newcastle upon Tyne,535,781,8,277,258,33,81,97,213,111,446,x,22,19,30,x,416,36,20,x,43,12,0,x,80,254,0,x,146,0,x,x,402,x,x,86,21,20,x,228,307,227,254,0,50,x,x,350,228,122,x,294,6,x,x,x,0,36,19,11,x,198,20
10,E08000022,LA,392,North Tyneside,296,433,87,170,126,26,32,52,114,72,285,x,0,6,x,0,220,x,16,0,45,x,0,0,54,157,0,18,67,0,0,x,213,x,x,41,23,16,0,197,99,195,72,x,26,x,x,333,197,136,37,187,106,7,6,0,x,19,11,14,6,12,x
13,E08000023,LA,393,South Tyneside,275,401,x,142,133,16,40,48,115,56,244,11,x,14,x,0,208,10,18,x,30,x,x,0,39,175,0,19,42,0,0,0,151,x,x,72,31,18,0,160,115,160,84,0,31,0,0,209,160,49,x,128,43,0,x,x,0,21,16,6,10,6,19
15,E08000024,LA,394,Sunderland,541,875,x,289,252,44,100,119,193,85,520,12,x,0,x,x,419,26,9,23,60,x,x,0,134,205,0,69,133,0,0,x,369,x,24,96,38,x,0,362,179,361,117,0,59,x,x,532,362,170,x,377,236,x,x,14,0,68,8,11,10,14,13
165,E06000053,,420,Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,E06000022,LA,800,Bath and North East Somerset,160,225,x,87,73,10,17,28,65,40,122,24,x,x,7,0,129,x,x,6,8,10,x,0,23,65,0,12,60,0,0,7,68,x,0,68,15,x,0,65,95,65,59,0,27,0,9,125,65,60,x,118,25,x,0,x,0,18,13,x,x,x,47
160,E06000023,LA,801,"Bristol, City of",684,977,0,361,323,28,54,122,284,196,466,101,x,64,29,x,553,14,12,x,93,9,x,0,56,397,0,x,194,0,x,40,415,x,x,173,73,12,0,396,288,361,176,x,100,33,x,477,396,81,x,434,83,6,x,x,x,68,43,37,x,74,113
166,E06000024,LA,802,North Somerset,226,325,0,109,117,9,23,41,98,55,194,17,x,7,x,0,177,13,7,x,22,x,0,0,29,120,0,28,48,0,x,11,122,6,0,72,19,7,0,131,95,124,25,0,61,7,9,203,131,72,x,190,15,x,x,x,x,23,18,15,x,30,77
170,E06000025,LA,803,South Gloucestershire,178,256,27,99,79,7,14,23,81,53,146,11,x,11,x,x,131,x,7,12,17,7,x,0,x,68,0,x,78,0,0,13,115,x,x,25,22,7,0,125,53,116,20,0,26,9,7,295,125,170,117,129,78,0,0,0,x,x,9,x,x,x,24
7,E06000001,LA,805,Hartlepool,257,328,12,142,115,17,36,60,86,58,231,x,x,9,7,x,215,7,8,8,12,x,0,x,66,119,0,12,60,0,0,10,186,x,x,44,15,8,x,179,78,170,45,x,14,x,19,246,176,70,x,98,23,x,x,7,0,10,10,x,x,18,23
8,E06000002,LA,806,Middlesbrough,442,617,29,239,203,27,84,96,166,69,371,21,23,19,x,x,322,x,56,x,55,x,0,0,110,253,0,x,63,0,x,x,185,x,0,159,x,56,0,196,246,193,192,x,50,x,x,302,196,106,x,176,16,x,x,x,0,27,15,9,x,66,33
12,E06000003,LA,807,Redcar and Cleveland,235,320,x,123,112,17,37,43,98,40,227,x,x,x,x,0,185,10,11,x,22,x,0,0,49,143,0,x,27,0,x,6,112,x,x,88,18,11,0,112,123,101,86,x,30,8,x,173,112,61,x,139,15,x,x,x,0,43,17,7,x,15,32
14,E06000004,LA,808,Stockton-on-Tees,434,556,30,241,193,24,79,99,173,59,386,21,15,x,x,0,305,9,44,11,65,0,0,0,53,286,0,27,68,0,0,7,254,x,0,102,x,44,0,302,132,298,91,0,30,x,x,488,302,186,54,211,88,x,x,6,0,26,12,9,x,25,38
48,E06000010,LA,810,"Kingston Upon Hull, City of",694,948,20,385,309,39,138,165,235,117,638,19,7,x,21,x,518,15,67,26,65,x,x,0,100,428,0,x,117,x,0,17,516,x,x,101,x,67,0,463,231,443,166,x,64,15,x,518,463,55,x,480,224,x,9,x,10,65,14,30,21,101,x
47,E06000011,LA,811,East Riding of Yorkshire,287,374,x,152,135,8,41,59,110,69,272,7,0,x,x,0,225,8,16,x,34,x,0,0,45,158,0,x,65,x,0,x,185,x,x,78,6,16,0,200,87,139,19,55,66,x,x,488,200,288,201,242,102,x,0,0,0,44,20,x,0,0,56
51,E06000012,LA,812,North East Lincolnshire,297,442,x,172,125,19,38,81,118,41,285,x,x,0,x,x,229,9,10,x,44,x,0,0,44,178,0,x,56,0,x,6,254,0,x,25,x,10,0,214,83,207,39,x,44,x,0,259,214,45,x,215,70,0,x,x,x,36,9,11,18,26,38
52,E06000013,LA,813,North Lincolnshire,226,305,x,124,102,19,30,51,88,38,208,x,x,0,7,0,183,x,15,x,14,0,0,0,40,122,0,24,40,0,0,8,184,x,0,24,0,x,0,172,54,162,24,x,29,7,x,240,172,68,14,187,111,0,x,0,0,37,16,7,x,10,0
53,E10000023,LA,815,North Yorkshire,423,580,36,256,167,33,57,59,173,101,385,16,x,x,14,x,309,16,40,17,37,x,x,0,58,226,0,x,104,0,x,18,342,x,x,28,7,40,0,350,73,228,x,105,55,17,x,607,350,257,184,259,51,x,x,x,0,46,8,17,x,30,94
57,E06000014,LA,816,York,205,268,x,108,97,11,25,35,82,52,191,8,x,0,x,0,166,x,11,x,18,x,0,0,25,120,0,x,53,0,x,x,158,x,x,26,x,11,0,126,79,120,52,x,26,x,x,148,126,22,x,90,23,x,0,x,0,11,10,7,0,x,33
92,E06000032,LA,821,Luton,364,554,52,211,153,14,32,68,142,108,190,74,56,34,10,0,268,x,11,40,35,x,0,0,35,187,0,x,119,x,0,34,150,x,x,189,12,11,0,193,171,163,69,0,98,x,x,339,193,146,x,340,45,x,0,x,0,40,14,10,x,24,199
87,E06000055,LA,822,Bedford,265,388,0,149,116,18,34,49,97,67,168,46,12,26,13,0,181,16,x,32,30,x,0,0,x,140,0,31,69,0,x,21,108,10,x,137,7,x,0,145,120,127,74,0,43,x,x,284,145,139,19,184,19,0,0,0,0,0,0,0,0,0,165
88,E06000056,LA,823,Central Bedfordshire,304,415,x,179,125,9,36,74,99,86,234,16,10,14,30,0,211,x,13,40,23,10,x,0,26,181,0,15,76,0,6,47,135,x,x,136,13,13,0,129,175,115,84,x,52,x,39,316,129,187,12,186,94,0,0,6,0,24,11,9,x,x,34
139,E10000002,LA,825,Buckinghamshire,454,663,x,253,201,18,65,83,187,101,317,68,11,22,36,0,328,14,26,13,64,x,x,0,89,232,0,x,106,0,x,13,139,x,x,231,36,26,0,203,251,177,80,12,137,14,34,355,201,154,x,287,96,x,x,x,x,54,28,16,0,40,44
145,E06000042,LA,826,Milton Keynes,395,538,7,233,162,22,56,73,153,91,263,33,27,41,17,14,311,6,13,19,46,0,0,0,66,201,0,17,111,0,0,41,234,9,0,133,6,13,0,234,161,207,76,6,65,21,20,400,234,166,x,280,46,x,x,x,x,68,46,18,x,35,51
61,E10000007,LA,830,Derbyshire,630,877,0,362,268,37,97,98,242,156,529,38,6,13,16,28,467,27,26,28,62,20,0,0,47,333,0,85,165,0,0,28,415,x,x,168,18,26,0,413,217,348,115,54,84,11,18,826,413,413,196,277,58,x,x,x,0,41,10,13,x,41,108
60,E06000015,LA,831,Derby,448,647,0,257,191,23,70,97,168,90,344,56,19,19,x,x,327,16,21,11,56,x,x,14,59,260,0,38,91,0,0,9,158,10,0,213,32,21,14,174,274,165,148,x,124,7,x,256,174,82,x,258,24,x,x,x,x,32,15,17,x,36,119
163,E10000009,LA,835,Dorset,484,691,20,241,243,19,69,108,176,112,435,21,6,x,x,14,363,19,x,29,35,21,0,x,75,211,0,57,141,0,0,13,324,13,x,117,11,15,x,318,166,252,55,57,84,9,27,501,317,184,18,318,0,0,0,0,0,0,0,0,278,x,x
168,E06000029,LA,836,Poole,192,272,x,134,58,6,23,31,89,43,160,13,x,x,12,0,133,9,x,23,20,0,x,0,23,84,0,32,53,0,0,20,131,7,x,42,x,6,0,101,91,90,55,0,17,11,19,185,100,85,x,124,13,x,0,0,0,17,x,12,7,36,32
159,E06000028,LA,837,Bournemouth,238,344,0,134,104,15,26,40,104,53,204,20,x,x,x,x,177,13,8,x,19,13,x,0,39,114,0,x,63,0,x,8,124,x,x,94,8,8,0,108,130,103,69,0,44,x,x,189,108,81,x,263,180,0,0,0,0,9,13,x,x,24,26
5,E06000047,LA,840,Durham,816,1108,31,462,354,70,130,207,312,97,792,10,x,x,12,0,660,32,48,x,57,x,x,9,78,423,0,x,239,0,x,7,604,x,x,94,56,48,9,622,194,588,131,28,56,6,7,1041,622,419,225,410,133,37,13,x,x,34,17,9,20,80,64
4,E06000005,LA,841,Darlington,219,308,x,125,94,17,36,56,72,38,197,13,x,x,0,0,148,15,18,x,32,x,0,0,22,114,0,23,60,0,0,0,101,9,0,64,27,18,0,127,92,126,64,0,x,x,0,248,127,121,29,180,94,0,7,x,0,22,13,14,x,13,9
140,E10000011,LA,845,East Sussex,558,733,x,313,245,27,62,119,223,127,494,32,x,9,17,x,429,30,23,7,65,x,x,0,x,315,0,72,101,0,x,24,391,x,x,113,20,23,0,474,84,417,x,45,63,x,16,716,474,242,158,432,198,6,x,x,x,94,45,20,11,39,12
138,E06000043,LA,846,Brighton and Hove,454,627,17,233,221,19,50,72,183,130,347,40,x,28,26,x,326,31,13,33,46,x,x,0,x,207,0,60,128,0,x,38,202,x,x,200,24,13,0,175,279,146,175,x,56,x,48,230,175,55,x,496,167,x,x,x,0,49,21,24,9,45,173
141,E10000014,LA,850,Hampshire,1440,1936,7,819,621,53,198,289,606,294,1277,48,37,26,38,14,1074,41,138,33,142,x,x,0,190,734,0,x,406,0,x,79,824,x,x,420,46,138,0,1024,416,789,139,203,204,32,73,1602,1024,578,162,1244,416,27,27,15,9,128,86,35,161,70,270
147,E06000044,LA,851,Portsmouth,358,477,0,226,132,15,45,58,154,86,296,20,x,x,32,0,280,x,22,x,40,0,0,0,40,191,0,31,96,0,0,45,244,x,0,66,x,22,0,155,203,134,134,x,44,x,25,236,155,81,x,311,129,0,0,10,0,65,37,27,24,19,0
150,E06000045,LA,852,Southampton,540,754,0,301,239,22,87,159,196,76,431,55,31,x,11,x,402,40,50,x,33,x,x,7,x,369,0,84,44,0,x,11,266,x,x,178,36,50,x,263,277,257,156,x,111,x,10,370,263,107,x,419,74,0,x,x,x,32,17,8,x,27,253
63,E10000018,LA,855,Leicestershire,509,721,34,291,218,39,72,97,188,113,437,37,13,x,16,x,385,25,15,33,43,x,x,0,89,225,0,48,147,0,0,29,282,x,x,201,7,15,0,369,140,327,56,30,67,12,17,819,369,450,310,273,133,x,x,x,x,23,16,11,7,19,54
62,E06000016,LA,856,Leicester,695,916,0,367,328,34,130,165,236,130,439,112,72,51,14,7,516,23,48,10,76,13,0,9,157,362,x,56,114,0,x,14,490,20,x,117,x,48,9,366,329,359,224,x,96,x,9,469,366,103,x,308,161,x,6,12,0,48,14,7,x,34,24
68,E06000017,LA,857,Rutland,39,59,0,23,16,x,7,12,16,x,34,x,x,x,x,0,31,x,0,x,x,x,0,0,10,18,0,x,x,0,0,x,22,x,0,13,x,0,0,13,26,13,x,0,19,0,x,33,13,20,x,19,7,0,0,x,0,x,0,x,0,0,7
78,E10000028,LA,860,Staffordshire,994,1305,15,568,426,37,109,204,407,237,842,51,53,11,37,0,721,35,56,83,93,6,0,0,115,632,0,x,189,x,0,86,474,x,x,428,27,56,0,681,313,526,155,106,121,49,37,1473,681,792,479,675,253,x,7,13,x,113,34,57,57,90,47
79,E06000021,LA,861,Stoke-on-Trent,653,867,39,340,313,32,147,173,224,77,540,54,31,13,6,9,467,28,62,x,77,x,0,9,91,446,0,54,62,0,0,7,327,x,x,244,6,62,9,326,327,320,221,x,103,x,x,452,326,126,x,410,196,0,x,9,x,55,7,30,x,78,23
173,E06000054,LA,865,Wiltshire,441,583,32,238,203,29,35,68,203,106,379,15,x,8,31,x,332,21,18,22,42,x,0,x,58,255,0,x,96,0,x,24,222,x,x,176,20,18,x,293,148,225,30,52,89,16,29,447,286,161,13,346,249,x,0,0,0,26,x,6,6,55,0
171,E06000030,LA,866,Swindon,327,471,0,179,148,18,50,69,124,66,257,20,21,x,x,15,268,x,18,8,24,x,x,0,53,130,0,x,107,0,x,20,190,x,x,95,22,18,0,222,105,217,19,0,71,x,x,284,222,62,x,212,52,x,8,x,0,48,12,9,x,7,70
137,E06000036,LA,867,Bracknell Forest,116,165,0,70,46,6,8,19,50,33,94,11,x,6,x,0,82,x,x,x,20,0,x,x,22,58,0,8,28,0,0,x,63,8,0,40,x,x,x,64,52,62,18,0,27,x,x,124,64,60,8,104,31,0,x,x,0,21,7,10,x,7,21
154,E06000040,LA,868,Windsor and Maidenhead,109,142,0,60,49,x,x,16,42,36,86,10,6,x,x,x,79,x,x,0,20,x,x,0,13,53,0,8,35,0,0,7,53,x,0,37,12,x,0,44,65,44,36,0,22,0,7,88,44,44,x,80,52,x,x,0,x,8,0,8,0,x,6
152,E06000037,LA,869,West Berkshire,161,230,6,91,70,6,16,32,69,38,135,8,9,x,x,0,133,x,6,7,7,x,x,x,39,87,0,7,28,0,0,16,109,x,0,37,6,6,x,102,59,86,19,x,36,14,x,201,102,99,40,95,24,x,0,x,0,9,10,x,x,21,23
148,E06000038,LA,870,Reading,262,361,x,136,126,18,33,54,98,59,162,54,x,30,x,0,210,x,7,9,18,12,x,0,56,136,0,23,47,0,0,11,102,x,x,143,7,7,0,81,181,77,94,0,80,x,x,138,81,57,x,195,33,0,x,x,x,11,x,13,0,24,103
149,E06000039,LA,871,Slough,191,295,7,108,83,17,17,25,81,51,91,36,37,18,x,x,144,8,x,x,27,x,0,0,36,101,0,16,38,0,0,12,x,6,0,111,67,x,0,64,127,58,64,0,55,6,8,118,64,54,x,202,68,x,x,x,x,22,15,8,x,52,28
155,E06000041,LA,872,Wokingham,75,104,x,41,34,x,x,x,33,31,53,x,8,x,x,0,55,x,0,x,12,x,x,x,x,44,0,x,21,0,0,8,36,0,x,32,x,0,x,22,53,22,15,0,30,0,8,97,22,75,22,68,34,0,0,x,0,10,6,10,x,0,x
89,E10000003,LA,873,Cambridgeshire,691,961,9,392,299,35,84,135,264,173,554,43,x,23,49,x,510,34,9,x,134,x,0,0,154,268,0,x,193,0,x,70,224,x,x,362,94,9,0,376,315,271,70,83,198,22,47,601,376,225,x,359,198,9,x,x,0,30,18,21,6,44,27
94,E06000031,LA,874,Peterborough,356,537,15,197,159,18,27,68,137,106,264,38,28,17,x,x,281,x,x,27,35,7,0,0,48,181,0,x,95,0,x,25,184,x,0,150,18,x,0,158,198,141,99,x,89,15,x,275,158,117,x,229,38,x,x,x,x,49,17,13,x,37,66
25,E06000006,LA,876,Halton,266,336,16,140,126,15,50,70,85,46,257,x,x,0,x,x,155,15,33,9,38,6,0,10,39,165,0,36,x,0,x,6,122,x,x,91,7,33,10,154,112,151,78,x,28,x,6,290,154,136,24,221,40,x,x,x,x,34,11,x,x,8,119
38,E06000007,LA,877,Warrington,381,503,x,203,178,14,72,91,147,57,346,17,x,0,7,x,250,16,53,15,39,x,x,x,48,247,0,x,58,0,x,7,203,7,x,108,6,53,x,232,149,228,115,0,27,x,x,361,232,129,x,243,94,x,7,x,0,27,23,7,8,19,49
162,E10000008,LA,878,Devon,682,1009,25,409,273,26,68,118,300,170,625,20,12,x,15,x,498,36,22,8,103,x,6,x,87,366,0,x,161,0,x,21,347,x,0,263,37,22,x,509,173,357,58,133,111,x,x,782,509,273,100,559,200,x,6,x,x,77,22,35,10,102,99
167,E06000026,LA,879,Plymouth,391,565,27,217,174,24,53,83,139,92,355,11,x,9,10,x,288,27,x,19,44,0,0,x,x,210,0,51,79,0,x,x,199,x,0,152,19,12,x,249,142,239,51,0,56,10,35,326,249,77,x,269,93,0,0,0,0,x,x,x,0,165,6
172,E06000027,LA,880,Torbay,284,391,26,151,133,17,32,60,125,50,264,12,x,0,x,0,220,14,7,x,33,x,x,0,37,188,0,22,37,0,0,x,148,16,0,101,12,7,0,146,138,142,59,x,77,x,x,210,146,64,x,528,0,0,0,0,0,0,0,0,0,0,528
90,E10000012,LA,881,Essex,1012,1477,22,599,413,46,100,140,453,273,789,80,19,50,57,17,766,41,18,84,94,x,x,0,106,528,0,108,268,x,x,100,641,x,x,323,25,18,0,790,222,564,63,146,138,80,21,1376,790,586,364,493,158,x,x,14,0,70,28,27,12,18,157
95,E06000033,LA,882,Southend-on-Sea,282,413,0,159,123,17,41,49,113,62,246,6,8,x,14,x,227,16,8,0,31,0,0,0,53,137,0,x,60,0,x,11,200,x,0,58,13,x,0,148,134,140,92,x,37,6,x,233,148,85,x,247,149,0,0,0,0,25,11,10,x,48,x
97,E06000034,LA,883,Thurrock,345,529,0,232,113,14,22,52,137,120,213,24,25,52,31,0,252,x,6,53,31,x,0,0,63,160,0,x,112,0,x,59,114,26,x,187,11,x,0,136,209,127,113,0,46,9,50,214,136,78,x,232,34,x,10,15,x,44,14,9,13,11,78
74,E06000019,LA,884,Herefordshire,301,378,7,154,147,13,41,78,112,57,277,10,x,x,7,0,242,9,11,16,7,16,0,0,31,182,0,x,66,0,x,9,219,0,0,71,0,11,0,234,67,203,15,22,43,9,9,337,234,103,36,145,14,x,0,0,0,9,x,7,x,x,104
84,E10000034,LA,885,Worcestershire,767,1012,x,428,339,53,117,148,296,153,658,65,7,12,25,0,569,32,45,6,107,8,0,0,85,409,0,x,210,0,x,30,389,x,x,272,49,45,0,595,172,557,48,21,100,17,24,979,595,384,212,647,199,x,12,10,x,88,45,57,27,64,137
143,E10000016,LA,886,Kent,1898,3176,13,1251,647,54,133,255,749,707,1310,90,49,188,261,0,1377,55,24,257,167,11,7,0,176,903,0,x,719,0,x,483,1212,24,10,546,82,24,0,1568,330,1064,76,170,104,334,150,2697,1568,1129,799,1468,491,33,15,x,x,213,85,65,19,63,473
144,E06000035,LA,887,Medway,390,564,57,207,183,24,51,87,157,71,340,26,x,15,7,x,302,36,x,0,44,x,x,0,31,200,x,67,88,x,x,x,238,x,x,108,34,x,0,196,194,192,98,0,67,x,x,607,195,412,218,248,115,x,x,x,x,43,27,11,x,23,15
27,E10000017,LA,888,Lancashire,1848,2374,18,989,859,114,317,431,659,327,1617,90,87,12,15,27,1208,39,326,68,111,89,x,x,380,1192,0,96,174,0,6,10,761,32,6,684,33,326,6,1464,384,1285,228,170,152,x,x,2261,1464,797,413,950,209,11,12,35,8,161,76,62,10,46,320
18,E06000008,LA,889,Blackburn with Darwen,369,501,0,208,161,20,75,85,136,53,300,x,30,x,22,0,246,17,65,x,22,x,0,10,81,227,0,31,30,0,0,6,214,14,0,47,19,65,10,219,150,216,103,x,43,x,x,338,219,119,x,206,59,0,x,x,0,18,9,12,x,41,54
19,E06000009,LA,890,Blackpool,525,732,24,285,240,40,76,130,200,79,474,x,0,0,x,26,370,30,42,14,61,x,0,x,109,338,0,41,37,0,0,0,276,x,0,164,22,42,x,275,250,275,132,0,118,0,0,363,275,88,x,389,175,9,12,9,0,76,33,24,13,11,27
67,E10000024,LA,891,Nottinghamshire,773,1105,29,433,340,44,90,126,343,170,662,59,6,8,38,0,599,44,17,28,74,x,0,x,77,411,0,89,196,0,0,37,479,14,x,224,33,17,x,506,267,440,124,43,127,23,16,1070,506,564,297,463,9,x,x,x,0,113,34,51,0,11,237
66,E06000018,LA,892,Nottingham,616,817,83,338,278,41,60,114,254,147,393,108,34,55,x,x,490,9,0,31,77,9,0,0,108,290,0,68,143,0,7,35,225,x,x,353,23,0,0,226,390,203,282,0,96,23,12,364,226,138,x,381,24,0,x,0,x,39,15,11,12,11,263
76,E06000051,LA,893,Shropshire,291,400,0,172,119,12,26,58,134,61,256,15,0,x,9,x,201,x,15,17,45,x,0,0,18,173,0,x,90,0,x,19,181,x,x,85,7,15,0,177,114,137,36,29,48,11,30,511,177,334,220,136,87,0,0,0,0,x,x,x,0,45,0
80,E06000020,LA,894,Telford and Wrekin,379,475,0,215,164,23,82,87,146,41,312,36,13,8,x,x,276,24,29,8,36,x,x,x,63,207,0,54,55,0,0,x,206,x,x,131,6,29,x,234,145,232,86,x,55,0,x,377,234,143,x,325,57,x,14,x,x,27,25,10,x,54,132
22,E06000049,LA,895,Cheshire East,428,562,38,222,206,16,49,86,204,73,395,18,7,0,x,x,310,15,41,x,50,7,x,0,67,285,0,22,54,0,0,x,227,x,x,130,22,41,0,252,176,246,92,x,81,x,x,406,252,154,x,357,173,x,x,x,0,61,11,10,7,52,35
23,E06000050,LA,896,Cheshire West and Chester,484,655,x,250,234,18,80,95,193,98,459,13,x,x,x,x,326,x,87,30,33,x,x,0,82,337,0,11,54,0,0,x,244,x,x,134,12,87,0,312,172,306,104,x,65,x,x,471,312,159,x,313,0,0,0,0,0,0,0,0,0,27,286
161,E06000052,LA,908,Cornwall,414,623,103,231,183,23,28,47,209,107,386,16,x,x,x,x,325,x,22,15,30,11,x,0,34,277,0,x,80,x,0,x,279,x,x,89,17,22,0,336,78,229,x,103,61,x,10,452,336,116,38,492,186,x,x,x,0,55,17,51,21,68,88
24,E10000006,LA,909,Cumbria,627,890,8,357,270,36,84,160,272,75,608,15,0,x,x,0,447,34,47,10,80,x,x,0,103,388,0,78,x,0,x,x,294,x,x,209,61,47,0,443,184,253,12,190,165,0,7,583,443,140,x,374,106,x,x,8,x,62,26,12,8,55,91
164,E10000013,LA,916,Gloucestershire,611,887,32,338,273,29,73,125,256,128,514,49,18,12,18,0,481,30,22,21,47,x,x,x,85,267,0,x,208,0,x,16,377,13,x,153,41,22,x,509,102,454,25,36,76,x,x,676,509,167,65,504,10,x,0,x,x,66,98,29,x,15,275
91,E10000015,LA,919,Hertfordshire,904,1374,x,526,378,35,83,139,390,257,650,109,43,63,39,0,682,36,7,73,98,8,0,0,86,512,0,x,236,0,x,74,559,7,6,296,29,7,0,592,312,537,107,22,164,33,41,821,592,229,x,647,266,15,10,x,x,147,53,48,9,64,31
142,E06000046,LA,921,Isle of Wight,226,297,6,116,110,9,34,46,81,56,209,10,x,x,x,x,153,10,27,7,29,0,0,0,x,126,0,11,55,x,0,x,142,0,0,56,x,x,0,193,33,192,10,x,17,0,x,255,193,62,29,132,76,x,x,x,x,14,x,x,10,x,13
64,E10000019,LA,925,Lincolnshire,690,952,109,379,311,56,91,136,247,160,611,30,18,x,15,x,550,x,34,31,57,x,0,0,145,329,0,x,182,0,x,32,574,x,x,74,x,34,0,580,110,355,x,224,58,x,31,997,580,417,307,268,202,x,x,0,0,20,11,12,0,11,9
93,E10000020,LA,926,Norfolk,1106,1508,8,610,496,71,112,233,459,231,988,47,12,32,20,7,838,45,43,x,154,15,0,x,175,660,0,92,176,x,x,12,510,x,x,455,84,43,x,884,222,666,55,212,160,6,7,1114,884,230,8,633,507,x,x,x,x,19,54,31,x,14,0
65,E10000021,LA,928,Northamptonshire,1004,1487,71,576,428,59,141,185,365,254,755,92,41,72,20,24,705,40,27,74,137,17,x,x,224,472,0,x,244,0,x,96,443,x,14,477,38,27,x,752,252,637,27,58,174,57,51,1056,752,304,52,754,310,x,19,x,0,101,23,19,206,21,35
11,E06000048,LA,929,Northumberland,406,629,x,208,198,25,70,80,162,69,383,11,x,x,x,x,320,20,18,x,31,9,x,x,77,159,0,x,126,0,x,x,283,7,x,60,34,18,x,303,103,254,57,47,43,x,x,487,303,184,81,256,89,x,x,x,0,34,13,8,x,48,53
146,E10000025,LA,931,Oxfordshire,667,937,29,368,299,46,71,120,271,159,502,59,35,27,22,22,467,27,22,45,102,x,x,0,124,294,0,x,193,x,0,54,344,x,x,262,27,22,0,451,216,344,32,58,175,49,9,539,451,88,x,392,304,0,x,x,0,29,17,9,10,12,7
169,E10000027,LA,933,Somerset,476,728,x,266,210,25,43,85,206,117,438,18,8,10,x,x,358,16,23,10,60,x,x,0,60,293,0,36,87,0,0,13,245,x,0,191,x,23,0,348,128,274,32,62,95,x,x,539,348,191,63,355,118,x,x,x,0,59,27,26,x,16,97
96,E10000029,LA,935,Suffolk,832,1109,7,497,335,46,93,118,333,242,671,56,17,35,41,12,584,39,29,103,57,x,x,0,92,431,0,x,240,0,x,68,474,x,x,302,22,29,0,683,149,402,29,187,104,94,16,919,683,236,87,608,65,x,0,x,0,103,39,20,50,169,159
151,E10000030,LA,936,Surrey,871,1263,11,501,370,40,71,135,331,294,620,66,82,63,40,0,616,22,x,71,139,10,x,0,114,381,0,54,322,0,0,141,470,x,x,327,52,10,0,449,422,371,97,35,225,43,100,719,449,270,x,443,99,x,x,x,x,66,45,54,27,38,96
82,E10000031,LA,937,Warwickshire,698,1003,x,408,290,38,73,127,263,197,549,50,41,x,34,x,531,31,56,46,18,x,x,0,85,356,0,67,190,0,0,78,439,0,6,175,22,56,0,416,282,366,100,24,128,26,54,719,416,303,21,584,72,0,x,0,0,20,8,x,x,8,467
