LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_Stayput_18,CL_Stayput_FFC_18
136,E12000008,REGION,J,SOUTH EAST,1770,90,1680,40,x,40,820,20,800,240,10,240,70,x,60,360,20,330,40,x,40,200,30,180,1500,60,1450,70,10,60,180,20,160,220,40,180,80,x,80,340,10,330,150,x,150,x,0,x,x,0,x,60,0,60,10,0,10,10,x,10,90,x,90,310,x,310,x,0,x,10,0,10,30,x,20,240,0,240,30,x,30,180,20,160,1560,60,1500,40,x,40,30,10,30,140,20,120,520,230
157,E12000009,REGION,K,SOUTH WEST,870,60,800,10,0,10,330,20,310,180,10,170,60,x,50,180,20,160,20,x,20,100,10,90,730,50,680,40,10,40,90,10,90,140,30,110,50,0,50,130,10,120,100,10,90,x,0,x,0,0,0,10,x,x,0,0,0,10,x,10,30,x,20,100,x,100,x,0,x,x,x,x,10,x,10,150,0,150,50,x,40,90,10,90,770,60,720,10,x,x,x,0,x,90,10,80,290,140
102,E09000001,LA,201,City of London,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,x
101,E09000007,LA,202,Camden,51,x,x,x,0,x,31,x,x,9,0,9,x,0,x,6,0,6,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,0,x,x,0,x,35,0,35,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,6,x,x,0,0,0,51,x,x,0,0,0,0,0,0,0,0,0,8,0
124,E09000011,LA,203,Greenwich,87,0,87,x,0,x,50,0,50,10,0,10,x,0,x,19,0,19,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,6,0,6,x,0,x,32,0,32,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,30,0,30,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,39,29
103,E09000012,LA,204,Hackney,76,6,70,x,0,x,41,x,x,19,x,x,0,0,0,10,0,10,x,0,x,x,x,0,70,x,x,x,x,x,x,x,0,x,x,x,0,0,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,17,0,17,x,0,x,x,x,0,x,x,x,0,0,0,x,x,0,0,0,0,27,17
104,E09000013,LA,205,Hammersmith and Fulham,53,x,x,x,0,x,25,x,x,x,x,x,0,0,0,20,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,9,x,8,x,0,x,24,x,x,x,0,x,0,0,0,0,0,0,x,x,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,8,0,8,x,0,x,0,0,0,53,x,x,0,0,0,0,0,0,0,0,0,15,6
106,E09000019,LA,206,Islington,104,x,x,0,0,0,52,x,x,9,0,9,x,0,x,36,0,36,x,0,x,x,0,x,98,x,x,x,0,x,x,0,x,7,0,7,0,0,0,52,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,32,0,32,x,0,x,x,0,x,x,x,x,0,0,0,x,0,x,x,0,x,33,28
107,E09000020,LA,207,Kensington and Chelsea,37,x,x,0,0,0,22,0,22,x,x,x,x,0,x,7,x,x,0,0,0,x,x,x,x,x,x,x,0,x,x,x,x,x,x,x,x,0,x,18,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,7,0,7,x,0,x,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,9,7
108,E09000022,LA,208,Lambeth,90,8,82,12,x,x,30,x,x,11,x,x,x,0,x,30,x,x,x,0,x,x,0,x,81,x,x,x,x,x,0,0,0,16,x,x,x,0,x,36,0,36,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,6,0,6,x,0,x,0,0,0,0,0,0,6,x,x,12,0,12,x,0,x,0,0,0,x,8,x,0,0,0,0,0,0,x,0,x,21,11
