LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_Stayput_18,CL_Stayput_FFC_18
110,E09000025,LA,316,Newham,98,6,92,x,0,x,49,x,x,17,x,x,0,0,0,x,0,x,x,x,x,17,x,14,78,x,x,x,0,x,x,x,x,9,x,x,0,0,0,42,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,23,0,23,0,0,0,17,x,x,81,x,x,0,0,0,6,0,6,11,x,x,36,21
131,E09000026,LA,317,Redbridge,63,x,x,x,0,x,26,x,x,x,x,x,0,0,0,16,0,16,x,0,x,8,0,8,53,x,x,x,0,x,x,0,x,x,x,x,x,0,x,24,0,24,6,0,6,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,14,0,14,0,0,0,8,0,8,55,x,x,0,0,0,0,0,0,8,0,8,28,13
132,E09000027,LA,318,Richmond upon Thames,39,0,39,0,0,0,25,0,25,x,0,x,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,x,0,x,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,x,0,x,8,7
133,E09000029,LA,319,Sutton,56,x,x,x,0,x,27,x,x,12,x,x,x,0,x,8,0,8,0,0,0,x,x,x,x,x,x,0,0,0,x,0,x,7,x,x,x,0,x,31,0,31,x,x,x,x,x,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,x,0,x,0,x,51,x,x,x,0,x,0,0,0,x,x,x,x,x
134,E09000031,LA,320,Waltham Forest,65,x,x,x,0,x,44,x,x,x,0,x,0,0,0,13,0,13,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,0,0,0,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,22,0,22,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,27,22
71,E08000025,LA,330,Birmingham,245,13,232,x,x,x,101,x,x,29,x,x,x,x,x,76,x,x,14,x,x,13,x,12,218,x,x,14,x,x,13,x,x,51,x,x,10,0,10,55,0,55,7,0,7,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,45,0,45,0,0,0,0,0,0,14,x,x,36,0,36,7,x,x,13,x,x,232,x,x,x,0,x,x,0,x,x,x,x,48,36
72,E08000026,LA,331,Coventry,81,x,x,0,0,0,28,x,x,20,x,x,x,0,x,25,x,x,x,0,x,x,x,x,74,x,x,x,x,x,x,x,x,10,x,x,x,0,x,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,x,x,13,0,13,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,21,13
73,E08000027,LA,332,Dudley,67,x,x,x,0,x,35,x,x,12,x,x,x,0,x,10,0,10,x,0,x,x,0,x,x,x,x,x,x,x,x,0,x,14,x,x,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,17,x,x,0,0,0,0,0,0,x,x,x,18,0,18,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,26,18
75,E08000028,LA,333,Sandwell,60,x,x,x,0,x,24,0,24,x,0,x,0,0,0,14,0,14,x,0,x,12,x,8,43,0,43,x,0,x,x,x,x,9,0,9,x,0,x,8,0,8,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,7,0,7,x,0,x,12,x,x,48,0,48,0,0,0,0,0,0,12,x,x,21,7
77,E08000029,LA,334,Solihull,59,8,51,x,0,x,32,x,x,x,x,x,x,0,x,13,x,x,x,0,x,x,x,x,50,x,x,x,0,x,x,x,x,12,x,x,x,0,x,14,0,14,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,7,0,7,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x,0,0,0,14,x
81,E08000030,LA,335,Walsall,50,x,x,0,0,0,24,0,24,6,0,6,x,0,x,14,x,x,x,0,x,x,0,x,44,0,44,x,x,x,x,0,x,6,0,6,x,0,x,6,0,6,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,x,0,x,0,0,0,0,0,0,x,x,x,17,0,17,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,21,16
83,E08000031,LA,336,Wolverhampton,69,x,x,x,0,x,27,x,x,14,x,x,7,0,7,11,0,11,x,x,x,x,0,x,63,x,x,x,0,x,x,0,x,14,x,x,x,0,x,12,x,x,6,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,9,0,9,0,0,0,0,0,0,x,0,x,15,0,15,x,x,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,20,13
26,E08000011,LA,340,Knowsley,33,x,x,0,0,0,16,x,x,x,x,x,0,0,0,7,0,7,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,11,x,x,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,10,0,10,0,0,0,x,0,x,x,x,x,0,0,0,x,0,x,0,0,0,12,10
28,E08000012,LA,341,Liverpool,103,x,x,x,0,x,39,0,39,11,0,11,x,0,x,33,x,x,10,0,10,x,0,x,87,x,x,12,x,x,x,0,x,21,x,x,x,0,x,18,0,18,6,0,6,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,0,x,12,0,12,x,0,x,0,0,0,9,x,x,20,0,20,0,0,0,x,0,x,x,x,x,x,0,x,0,0,0,x,0,x,29,18
34,E08000013,LA,342,St. Helens,34,x,x,0,0,0,10,0,10,x,0,x,x,x,0,11,0,11,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,7,0,7,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,11,0,11,0,0,0,0,0,0,34,x,x,0,0,0,0,0,0,0,0,0,13,11
33,E08000014,LA,343,Sefton,56,x,x,x,0,x,18,0,18,14,0,14,x,0,x,17,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,12,x,x,6,0,6,6,0,6,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,14,0,14,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,26,14
40,E08000015,LA,344,Wirral,64,x,x,x,0,x,21,0,21,13,0,13,x,0,x,19,0,19,0,0,0,x,x,x,59,0,59,x,0,x,x,x,x,24,0,24,x,0,x,7,0,7,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,x,0,x,14,0,14,x,0,x,x,x,x,x,0,62,0,0,0,x,x,x,0,0,0,28,14
20,E08000001,LA,350,Bolton,51,9,42,0,0,0,29,x,x,x,x,x,x,0,x,13,x,x,x,0,x,0,0,0,x,x,x,x,x,x,0,0,0,11,x,x,x,0,x,14,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,x,x,0,12,0,12,x,x,x,0,0,0,51,9,42,0,0,0,0,0,0,0,0,0,17,11
21,E08000002,LA,351,Bury,37,x,x,x,0,x,15,x,x,x,0,x,x,0,x,15,x,x,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,9,x,x,x,0,x,8,0,8,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,x,0,x,7,0,7,x,0,x,0,0,0,37,x,x,0,0,0,0,0,0,0,0,0,10,7
29,E08000003,LA,352,Manchester,164,8,156,x,x,x,64,x,x,25,x,x,13,0,13,27,x,x,x,0,x,21,x,18,128,x,x,15,x,x,21,x,x,15,x,x,8,0,8,26,0,26,20,0,20,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,13,x,x,x,0,x,x,0,x,x,x,x,34,0,34,11,0,11,21,x,x,143,x,x,0,0,0,0,0,0,21,x,x,51,30
30,E08000004,LA,353,Oldham,40,x,x,x,0,x,7,x,x,9,x,x,x,0,x,17,x,x,x,0,x,0,0,0,x,x,x,x,x,x,0,0,0,15,x,x,x,x,x,x,0,x,x,x,x,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,40,x,x,0,0,0,0,0,0,0,0,0,6,x
31,E08000005,LA,354,Rochdale,42,x,x,x,0,x,20,x,x,x,0,x,x,0,x,10,x,x,x,0,x,0,0,0,x,x,x,x,x,0,0,0,0,11,x,x,x,0,x,7,0,7,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,0,8,0,8,x,0,x,0,0,0,42,x,x,0,0,0,0,0,0,0,0,0,13,8
32,E08000006,LA,355,Salford,65,x,x,x,0,x,39,x,x,12,x,x,x,0,x,x,0,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,10,x,x,x,0,x,6,x,x,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,19,0,19,0,0,0,0,0,0,x,0,x,16,0,16,0,0,0,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,18,15
35,E08000007,LA,356,Stockport,29,0,29,0,0,0,x,0,x,10,0,10,x,0,x,9,0,9,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,x,0,x,11,0,11,x,0,x,x,0,x,x,0,x,0,0,0,x,0,x,0,0,0,17,11
36,E08000008,LA,357,Tameside,54,x,x,x,0,x,15,x,x,6,0,6,x,0,x,18,0,18,6,x,x,x,x,x,46,x,x,x,x,x,x,x,x,8,x,x,x,0,x,11,0,11,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,10,0,10,x,0,x,x,x,x,x,x,x,x,0,x,x,x,x,0,0,0,12,9
37,E08000009,LA,358,Trafford,37,x,x,x,0,x,x,0,x,8,x,x,6,0,6,13,x,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,9,x,x,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,9,x,x,0,0,0,0,0,0,x,0,x,8,0,8,x,0,x,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,14,7
39,E08000010,LA,359,Wigan,50,x,x,x,0,x,18,0,18,x,x,x,x,0,x,14,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,8,x,x,x,0,x,11,0,11,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,12,x,x,0,0,0,0,0,0,x,0,x,10,0,10,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,16,10
43,E08000016,LA,370,Barnsley,25,x,x,0,0,0,x,x,x,8,x,x,x,0,x,8,0,8,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,x,x,0,0,0,0,x,0,x,0,0,0,7,0,7,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,25,x,x,0,0,0,0,0,0,0,0,0,7,x
46,E08000017,LA,371,Doncaster,68,x,x,x,0,x,23,x,x,19,x,x,6,0,6,14,x,x,x,x,x,0,0,0,x,x,x,x,0,x,0,0,0,15,x,x,x,0,x,10,0,10,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,x,x,0,0,0,0,0,0,x,0,x,11,0,11,0,0,0,0,0,0,68,x,x,0,0,0,0,0,0,0,0,0,19,11
54,E08000018,LA,372,Rotherham,57,x,x,x,0,x,25,x,x,x,0,x,x,0,x,17,0,17,x,0,x,0,0,0,53,x,x,x,0,x,0,0,0,9,x,x,35,0,35,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,57,x,x,0,0,0,0,0,0,0,0,0,20,x
55,E08000019,LA,373,Sheffield,74,x,x,x,0,x,30,x,x,15,0,15,x,0,x,15,x,x,x,0,x,6,0,6,66,x,x,x,x,x,x,0,x,6,0,6,8,0,8,13,0,13,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,6,0,6,0,0,0,0,0,0,x,x,0,16,0,16,x,x,0,6,0,6,68,x,x,0,0,0,x,0,x,x,0,x,25,15
44,E08000032,LA,380,Bradford,76,x,x,x,0,x,30,x,x,22,x,x,x,0,x,9,x,x,x,x,x,x,0,x,66,x,x,x,x,x,x,0,x,18,x,x,x,0,x,7,0,7,8,0,8,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,11,x,x,x,0,x,0,0,0,x,x,x,12,0,12,6,x,x,x,0,x,x,x,x,0,0,0,x,0,x,x,0,x,23,12
45,E08000033,LA,381,Calderdale,33,x,x,x,0,x,11,0,11,x,0,x,x,0,x,8,x,x,x,0,x,x,x,x,x,x,x,x,0,x,x,x,x,6,0,6,x,0,x,x,x,0,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,9,0,9,0,0,0,0,0,0,x,0,x,9,0,9,0,0,0,x,x,x,x,x,x,0,0,0,0,0,0,x,x,x,15,8
49,E08000034,LA,382,Kirklees,78,x,x,x,0,x,30,x,x,13,x,x,x,0,x,25,x,x,x,0,x,x,x,0,72,x,x,x,0,x,x,x,0,11,x,x,7,0,7,16,0,16,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,12,0,12,x,0,x,x,0,x,x,0,x,12,0,12,x,0,x,x,x,0,x,x,x,0,0,0,0,0,0,x,x,0,23,12
50,E08000035,LA,383,Leeds,127,6,121,x,0,x,38,0,38,18,0,18,x,0,x,14,0,14,x,0,x,46,6,40,78,0,78,x,0,x,x,x,x,14,0,14,6,0,6,x,0,x,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,x,0,x,23,0,23,x,0,x,46,6,40,81,0,81,0,0,0,0,0,0,46,6,40,54,21
56,E08000036,LA,384,Wakefield,56,x,x,x,0,x,29,0,29,9,x,x,x,0,x,10,0,10,x,0,x,x,x,x,48,x,x,x,0,x,x,x,x,9,x,x,x,0,x,7,0,7,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,8,0,8,0,0,0,0,0,0,x,0,x,11,0,11,8,0,8,x,x,x,x,x,x,0,0,0,x,x,x,x,x,0,15,7
6,E08000020,LA,390,Gateshead,49,6,43,x,x,x,8,0,8,14,x,x,x,0,x,17,x,x,0,0,0,x,0,x,x,6,x,x,0,x,x,0,x,9,x,x,x,0,x,x,0,x,12,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,x,0,x,11,0,11,x,0,x,x,0,x,x,6,x,0,0,0,0,0,0,x,0,x,20,10
9,E08000021,LA,391,Newcastle upon Tyne,69,6,63,x,0,x,24,x,x,17,x,x,x,0,x,17,x,x,0,0,0,x,0,x,x,6,x,x,0,x,x,0,x,8,x,x,6,x,x,x,0,x,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,12,0,12,x,0,x,0,0,0,x,0,x,18,0,18,x,x,x,x,0,x,x,6,x,0,0,0,0,0,0,x,0,x,x,x
10,E08000022,LA,392,North Tyneside,41,x,x,0,0,0,18,x,x,14,x,x,x,0,x,x,0,x,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,6,x,x,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,x,0,x,9,0,9,0,0,0,0,0,0,x,x,x,0,0,0,x,0,x,0,0,0,18,9
13,E08000023,LA,393,South Tyneside,30,x,x,x,0,x,7,x,x,7,x,x,x,0,x,8,x,x,x,0,x,0,0,0,30,x,x,0,0,0,0,0,0,12,x,x,x,0,x,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,30,x,x,0,0,0,0,0,0,0,0,0,8,x
15,E08000024,LA,394,Sunderland,67,x,x,x,0,x,18,x,x,19,x,x,x,0,x,15,0,15,6,x,x,x,0,x,59,x,x,x,0,x,x,0,x,7,x,x,x,0,x,8,0,8,x,x,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,22,x,x,8,0,8,x,0,x,0,0,0,x,0,x,7,0,7,x,0,x,x,0,x,x,x,x,x,0,x,0,0,0,x,0,x,x,x
165,E06000053,LA,420,Isles of Scilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,E06000022,LA,800,Bath and North East Somerset,30,x,x,0,0,0,x,0,x,13,x,x,x,0,x,8,x,x,0,0,0,0,0,0,x,x,x,x,x,x,0,0,0,6,x,x,x,0,x,6,0,6,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,6,0,6,x,0,x,0,0,0,30,x,x,0,0,0,0,0,0,0,0,0,12,6
160,E06000023,LA,801,"Bristol, City of",107,9,98,x,0,x,45,x,x,14,x,x,x,0,x,34,x,x,x,x,x,x,0,x,92,x,x,x,x,x,x,0,x,15,x,x,8,0,8,27,x,x,8,0,8,0,0,0,0,0,0,x,x,x,0,0,0,x,0,x,x,0,x,10,x,x,x,0,x,0,0,0,7,x,x,20,0,20,x,0,x,x,0,x,101,x,x,x,x,x,0,0,0,x,0,x,33,20
166,E06000024,LA,802,North Somerset,37,x,x,0,0,0,17,x,x,x,0,x,x,0,x,11,x,x,x,0,x,0,0,0,x,x,x,x,0,x,0,0,0,7,x,x,x,0,x,10,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,6,0,6,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,37,x,x,0,0,0,0,0,0,0,0,0,11,x
170,E06000025,LA,803,South Gloucestershire,36,x,x,x,0,x,17,x,x,11,0,11,x,0,x,x,0,x,x,0,x,x,0,x,x,x,x,x,0,x,x,0,x,x,x,x,x,0,x,7,0,7,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,10,0,10,x,0,x,x,x,x,0,0,0,x,0,x,0,0,0,10,x
7,E06000001,LA,805,Hartlepool,15,x,x,x,0,x,x,x,x,x,0,x,x,0,x,x,x,x,x,0,x,0,0,0,15,x,x,0,0,0,0,0,0,x,x,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,15,x,x,0,0,0,0,0,0,0,0,0,7,x
8,E06000002,LA,806,Middlesbrough,49,x,x,0,0,0,19,x,x,10,x,x,x,0,x,13,x,x,x,0,x,x,0,x,x,x,x,x,x,x,x,0,x,11,x,x,x,0,x,12,0,12,7,0,7,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,x,0,x,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,22,x
12,E06000003,LA,807,Redcar and Cleveland,23,x,x,0,0,0,15,x,x,x,x,x,x,0,x,x,0,x,x,0,x,0,0,0,23,x,x,0,0,0,0,0,0,x,x,x,x,0,x,x,x,x,x,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,x,x,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,23,x,x,0,0,0,0,0,0,0,0,0,10,8
14,E06000004,LA,808,Stockton-on-Tees,41,x,x,x,0,x,16,0,16,x,x,x,0,0,0,12,x,x,x,0,x,0,0,0,35,x,x,x,0,x,0,0,0,6,x,x,0,0,0,7,0,7,x,0,x,0,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,x,0,x,6,0,6,x,0,x,0,0,0,41,x,x,0,0,0,0,0,0,0,0,0,9,6
48,E06000010,LA,810,"Kingston Upon Hull, City of",73,x,x,x,0,x,25,0,25,22,x,x,x,0,x,16,x,x,x,0,x,0,0,0,65,x,x,x,x,x,0,0,0,x,0,x,6,0,6,9,0,9,34,0,34,x,0,x,x,0,x,0,0,0,x,0,x,0,0,0,x,0,x,8,x,x,0,0,0,0,0,0,x,x,x,x,0,x,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,29,x
47,E06000011,LA,811,East Riding of Yorkshire,42,x,x,0,0,0,21,0,21,13,x,x,x,0,x,x,x,x,x,x,x,0,0,0,42,x,x,0,0,0,0,0,0,10,x,x,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,42,x,x,0,0,0,0,0,0,0,0,0,17,14
51,E06000012,LA,812,North East Lincolnshire,33,x,x,0,0,0,16,x,x,x,0,x,x,0,x,9,0,9,x,0,x,x,0,x,x,x,x,0,0,0,x,0,x,14,x,10,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,x,0,x,x,x,x,0,0,0,0,0,0,x,0,x,x,x
52,E06000013,LA,813,North Lincolnshire,25,x,x,0,0,0,17,x,x,x,x,x,0,0,0,x,0,x,x,0,x,0,0,0,25,x,x,0,0,0,0,0,0,x,x,x,x,0,x,6,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,25,x,x,0,0,0,0,0,0,0,0,0,8,6
53,E10000023,LA,815,North Yorkshire,67,x,x,x,0,x,28,x,x,15,x,x,x,0,x,10,0,10,6,0,6,x,x,x,59,x,x,x,x,x,x,x,x,7,x,6,7,0,7,8,0,8,10,0,10,0,0,0,0,0,0,x,x,x,0,0,0,x,0,x,0,0,0,12,0,12,0,0,0,0,0,0,x,x,x,12,0,12,x,0,x,x,x,x,x,x,x,0,0,0,x,x,x,x,x,0,22,12
57,E06000014,LA,816,York,22,x,x,0,0,0,16,x,x,0,0,0,x,0,x,x,0,x,x,x,x,0,0,0,x,x,x,x,0,x,0,0,0,x,x,x,0,0,0,x,0,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,0,0,0,x,0,x,7,0,7,0,0,0,0,0,0,22,x,x,0,0,0,0,0,0,0,0,0,9,6
92,E06000032,LA,821,Luton,70,x,x,x,0,x,36,x,x,11,0,11,x,0,x,12,0,12,x,x,x,x,x,x,57,x,x,6,x,x,x,x,x,12,0,12,x,x,x,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,6,x,x,6,0,6,x,x,x,6,x,x,64,x,x,x,x,x,x,x,0,x,0,x,13,6
87,E06000055,LA,822,Bedford,37,x,x,0,0,0,20,x,x,x,0,x,x,0,x,x,0,x,x,0,x,0,0,0,x,x,x,0,0,0,0,0,0,x,x,x,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,x,x,x
88,E06000056,LA,823,Central Bedfordshire,44,x,x,0,0,0,23,x,x,10,x,x,0,0,0,x,0,x,x,0,x,x,0,x,37,x,x,x,0,x,x,0,x,8,x,x,x,0,x,8,0,8,x,0,x,0,0,0,0,0,0,0,0,0,x,0,x,0,0,0,0,0,0,13,x,x,0,0,0,0,0,0,x,0,x,x,0,x,0,0,0,x,0,x,38,x,x,0,0,0,0,0,0,6,0,6,6,x
