LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2017,CEA_male,CEA_female,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other
122,E09000021,LA,314,Kingston upon Thames,55,34,21,x,10,15,7,x,x,15,x,x,0,0,13,0,0,x,x,9,6,0,0,0,0,0,0,13
123,E09000024,LA,315,Merton,113,70,43,x,20,11,25,x,10,38,8,x,x,x,41,6,x,0,x,0,25,0,x,x,0,x,0,13
103,E09000025,LA,316,Newham,275,150,125,17,35,37,62,20,20,84,7,7,0,6,117,19,x,0,7,6,39,0,0,6,x,x,0,54
124,E09000026,LA,317,Redbridge,174,97,77,9,30,29,33,10,11,52,x,x,x,x,47,0,x,x,x,12,30,x,x,x,x,0,x,56
125,E09000027,LA,318,Richmond upon Thames,81,45,36,x,15,x,19,x,0,35,x,x,0,0,9,9,x,x,7,7,0,0,x,0,x,x,0,36
126,E09000029,LA,319,Sutton,127,68,59,7,20,16,22,8,25,29,10,x,0,x,12,21,12,x,x,13,40,x,x,0,x,x,x,x
127,E09000031,LA,320,Waltham Forest,169,95,74,x,42,15,29,10,x,60,7,x,0,x,38,8,x,0,22,7,0,0,0,x,0,x,0,69
66,E08000025,LA,330,Birmingham,724,404,320,32,216,86,115,28,41,206,22,137,0,x,236,23,7,21,6,6,64,13,13,21,x,x,x,142
67,E08000026,LA,331,Coventry,248,136,112,18,63,31,38,11,18,69,18,30,0,6,51,34,x,13,x,x,65,x,x,x,x,8,x,0
68,E08000027,LA,332,Dudley,212,104,108,9,62,39,30,9,7,56,31,14,x,0,52,12,7,x,22,11,0,0,x,x,0,0,0,55
70,E08000028,LA,333,Sandwell,175,101,74,18,35,27,20,x,x,57,36,0,x,7,x,0,40,6,11,x,53,0,0,7,0,x,0,7
72,E08000029,LA,334,Solihull,144,77,67,8,34,15,20,11,11,45,0,18,0,0,40,8,x,9,x,0,50,0,0,x,0,10,0,x
76,E08000030,LA,335,Walsall,164,91,73,6,48,30,22,8,10,40,18,13,0,0,16,9,23,6,12,13,11,x,x,x,x,0,0,30
78,E08000031,LA,336,Wolverhampton,186,96,90,x,46,37,29,9,x,51,10,37,x,x,53,0,0,x,7,x,19,x,x,6,0,0,0,43
24,E08000011,LA,340,Knowsley,110,51,59,x,35,16,18,7,x,23,9,10,x,0,19,x,0,0,8,17,0,0,x,0,0,0,0,39
26,E08000012,LA,341,Liverpool,340,177,163,23,88,50,65,12,14,88,35,8,0,x,19,6,43,14,37,45,12,6,x,8,x,0,x,97
32,E08000013,LA,342,St. Helens,121,60,61,x,30,21,17,x,8,32,x,21,0,x,26,10,0,x,17,x,26,x,x,x,0,0,0,7
31,E08000014,LA,343,Sefton,180,96,84,16,38,29,33,x,x,50,x,x,x,8,36,x,0,9,10,8,8,x,6,x,0,0,0,76
38,E08000015,LA,344,Wirral,251,135,116,12,57,47,66,8,7,54,x,12,0,x,66,9,27,10,45,40,15,7,x,x,0,0,0,10
18,E08000001,LA,350,Bolton,186,92,94,21,53,33,25,12,8,34,21,21,x,0,31,x,0,x,12,12,12,16,x,x,0,x,0,50
19,E08000002,LA,351,Bury,114,59,55,10,21,15,27,x,x,30,x,x,0,0,32,10,x,x,17,x,11,x,x,x,0,0,0,19
27,E08000003,LA,352,Manchester,535,293,242,36,123,83,97,29,35,132,x,77,x,x,135,32,11,17,33,26,55,8,x,11,x,8,x,102
28,E08000004,LA,353,Oldham,145,70,75,12,43,21,28,10,11,20,15,9,0,x,40,11,0,0,9,9,6,9,x,x,0,0,0,31
29,E08000005,LA,354,Rochdale,155,80,75,9,64,29,13,x,x,34,20,26,0,x,45,6,0,x,7,9,13,7,x,0,0,0,0,18
30,E08000006,LA,355,Salford,236,121,115,8,56,41,51,12,16,52,15,13,x,0,90,7,14,7,33,x,10,19,x,x,0,0,0,17
33,E08000007,LA,356,Stockport,120,56,64,8,33,20,20,x,x,28,6,16,0,0,25,x,6,x,6,19,6,x,x,0,x,x,0,18
