New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceaAdop
E92000001,NATIONAL,999,ENGLAND,30430,5050
E12000001,REGION,A,NORTH EAST,1990,390
E12000002,REGION,B,NORTH WEST,4380,770
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2830,630
E12000004,REGION,D,EAST MIDLANDS,2260,480
E12000005,REGION,E,WEST MIDLANDS,3470,590
E12000006,REGION,F,EAST OF ENGLAND,2720,510
E12000007,REGION,G,LONDON,5870,560
E12000007,REGION,H,INNER LONDON,2490,260
E12000007,REGION,I,OUTER LONDON,3380,300
E12000008,REGION,J,SOUTH EAST,4020,690
E12000009,REGION,K,SOUTH WEST,2890,440
E09000001,LA,201,City of London,x,0
E09000007,LA,202,Camden,158,21
E09000011,LA,203,Greenwich,312,39
E09000012,LA,204,Hackney,157,16
E09000013,LA,205,Hammersmith and Fulham,160,21
E09000019,LA,206,Islington,157,17
E09000020,LA,207,Kensington and Chelsea,76,x
E09000022,LA,208,Lambeth,303,21
E09000023,LA,209,Lewisham,235,28
E09000028,LA,210,Southwark,273,33
E09000030,LA,211,Tower Hamlets,190,15
E09000032,LA,212,Wandsworth,138,11
E09000033,LA,213,Westminster,105,9
E09000002,LA,301,Barking and Dagenham,272,17
E09000003,LA,302,Barnet,167,12
E09000004,LA,303,Bexley,170,19
E09000005,LA,304,Brent,241,11
E09000006,LA,305,Bromley,186,14
E09000008,LA,306,Croydon,350,24
E09000009,LA,307,Ealing,260,25
E09000010,LA,308,Enfield,184,20
E09000014,LA,309,Haringey,262,38
E09000015,LA,310,Harrow,140,10
E09000016,LA,311,Havering,129,15
E09000017,LA,312,Hillingdon,199,19
E09000018,LA,313,Hounslow,150,11
E09000021,LA,314,Kingston upon Thames,67,7
E09000024,LA,315,Merton,107,10
E09000025,LA,316,Newham,273,28
E09000026,LA,317,Redbridge,140,11
E09000027,LA,318,Richmond upon Thames,50,x
E09000029,LA,319,Sutton,72,12
E09000031,LA,320,Waltham Forest,179,21
E08000025,LA,330,Birmingham,758,120
E08000026,LA,331,Coventry,330,52
E08000027,LA,332,Dudley,156,24
E08000028,LA,333,Sandwell,245,41
E08000029,LA,334,Solihull,124,13
E08000030,LA,335,Walsall,176,26
E08000031,LA,336,Wolverhampton,224,50
E08000011,LA,340,Knowsley,89,10
E08000012,LA,341,Liverpool,342,49
E08000013,LA,342,St. Helens,148,18
E08000014,LA,343,Sefton,181,45
E08000015,LA,344,Wirral,201,39
E08000001,LA,350,Bolton,167,59
E08000002,LA,351,Bury,127,21
E08000003,LA,352,Manchester,560,68
E08000004,LA,353,Oldham,150,32
E08000005,LA,354,Rochdale,159,28
E08000006,LA,355,Salford,210,22
E08000007,LA,356,Stockport,119,21
E08000008,LA,357,Tameside,128,32
E08000009,LA,358,Trafford,113,13
E08000010,LA,359,Wigan,160,36
E08000016,LA,370,Barnsley,92,17
E08000017,LA,371,Doncaster,233,37
E08000018,LA,372,Rotherham,130,36
E08000019,LA,373,Sheffield,264,53
E08000032,LA,380,Bradford,326,60
E08000033,LA,381,Calderdale,87,23
E08000034,LA,382,Kirklees,274,56
E08000035,LA,383,Leeds,438,110
E08000036,LA,384,Wakefield,171,43
E08000020,LA,390,Gateshead,206,33
E08000021,LA,391,Newcastle upon Tyne,219,58
E08000022,LA,392,North Tyneside,126,25
E08000023,LA,393,South Tyneside,147,37
E08000024,LA,394,Sunderland,212,37
E06000022,LA,800,Bath and North East Somerset,71,x
E06000023,LA,801,"Bristol, City of",325,49
E06000024,LA,802,North Somerset,128,23
E06000025,LA,803,South Gloucestershire,85,9
E06000001,LA,805,Hartlepool,79,13
E06000002,LA,806,Middlesbrough,206,22
E06000003,LA,807,Redcar and Cleveland,75,21
E06000004,LA,808,Stockton-on-Tees,174,28
E06000010,LA,810,"Kingston Upon Hull, City of",216,60
E06000011,LA,811,East Riding of Yorkshire,159,32
E06000012,LA,812,North East Lincolnshire,107,30
E06000013,LA,813,North Lincolnshire,82,26
E10000023,LA,815,North Yorkshire,170,28
E06000014,LA,816,York,80,15
E06000032,LA,821,Luton,166,13
E06000055,LA,822,Bedford,78,10
E06000056,LA,823,Central Bedfordshire,101,15
E10000002,LA,825,Buckinghamshire,129,30
E06000042,LA,826,Milton Keynes,155,27
E10000007,LA,830,Derbyshire,296,82
E06000015,LA,831,Derby,185,53
E10000009,LA,835,Dorset,171,17
E06000029,LA,836,Poole,81,8
E06000028,LA,837,Bournemouth,125,22
E06000047,LA,840,Durham,287,73
E06000005,LA,841,Darlington,106,21
E10000011,LA,845,East Sussex,211,57
E06000043,LA,846,Brighton and Hove,179,38
E10000014,LA,850,Hampshire,426,56
E06000044,LA,851,Portsmouth,148,26
E06000045,LA,852,Southampton,184,30
E10000018,LA,855,Leicestershire,240,48
E06000016,LA,856,Leicester,198,40
E06000017,LA,857,Rutland,17,0
E10000028,LA,860,Staffordshire,364,87
E06000021,LA,861,Stoke-on-Trent,173,28
E06000054,LA,865,Wiltshire,220,40
E06000030,LA,866,Swindon,133,16
E06000036,LA,867,Bracknell Forest,48,10
E06000040,LA,868,Windsor and Maidenhead,47,12
E06000037,LA,869,West Berkshire,68,6
E06000038,LA,870,Reading,95,26
E06000039,LA,871,Slough,104,17
E06000041,LA,872,Wokingham,35,x
