New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_Noinf,ChildDied,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_Noinf,ChildDied
E09000015,LA,310,Harrow,130,x,41,25,6,30,x,21,0,124,9,x,43,8,x,6,0,10,0,x,33,0,0,0,7,x,6,0
E09000016,LA,311,Havering,94,9,x,11,x,29,8,27,x,61,7,x,x,x,0,0,x,0,x,0,41,0,0,x,x,0,27,x
E09000017,LA,312,Hillingdon,263,30,90,26,13,46,14,44,0,212,16,9,59,11,0,0,9,0,0,x,94,0,x,x,x,10,44,0
E09000018,LA,313,Hounslow,187,x,40,23,7,35,21,54,x,114,7,x,64,x,x,0,0,x,x,0,30,0,x,x,x,x,54,x
E09000021,LA,314,Kingston upon Thames,89,6,23,13,x,16,x,22,x,63,6,x,14,8,0,0,0,x,0,x,24,0,0,x,x,x,22,x
E09000024,LA,315,Merton,96,11,21,13,x,16,6,27,0,63,x,x,x,15,0,0,0,0,0,0,36,0,x,x,x,0,27,0
E09000025,LA,316,Newham,252,31,42,32,13,44,13,77,0,175,20,21,64,7,0,0,x,0,0,x,37,0,0,x,10,9,77,0
E09000026,LA,317,Redbridge,120,10,40,16,7,31,x,10,x,104,6,x,76,x,0,0,0,x,0,0,11,0,0,x,7,0,10,x
E09000027,LA,318,Richmond upon Thames,40,x,10,6,7,7,x,x,0,36,x,x,19,0,0,x,0,0,0,0,10,x,0,x,x,x,x,0
E09000029,LA,319,Sutton,77,7,24,19,x,18,x,x,0,74,x,0,20,x,0,x,0,x,0,x,40,0,0,x,x,x,x,0
E09000031,LA,320,Waltham Forest,159,8,59,17,x,65,x,x,0,148,x,7,82,x,0,0,0,x,x,0,34,0,0,7,12,x,x,0
E08000025,LA,330,Birmingham,644,31,117,88,66,167,58,114,x,526,79,45,20,14,0,0,x,x,0,17,251,11,0,26,14,46,114,x
E08000026,LA,331,Coventry,187,7,30,30,12,67,17,24,0,141,22,8,19,x,x,0,x,x,x,x,72,0,x,15,8,x,24,0
E08000027,LA,332,Dudley,157,8,13,29,x,43,8,54,0,102,17,0,6,x,0,0,x,0,0,x,53,0,0,x,17,x,55,0
E08000028,LA,333,Sandwell,148,8,28,35,x,45,0,26,x,110,31,0,17,13,0,0,0,0,0,x,43,x,0,x,0,9,26,x
E08000029,LA,334,Solihull,305,19,90,41,x,80,15,57,0,233,16,x,37,15,x,x,0,0,x,x,146,x,0,x,0,18,57,0
E08000030,LA,335,Walsall,135,x,16,29,14,42,16,13,0,104,19,x,20,0,0,0,0,x,x,0,50,x,0,7,15,0,13,0
E08000031,LA,336,Wolverhampton,111,x,14,16,12,30,12,22,x,84,8,0,9,x,0,0,x,0,0,x,50,0,0,x,x,x,22,x
E08000011,LA,340,Knowsley,79,x,9,23,x,35,x,0,0,77,26,x,x,x,0,0,0,0,0,0,27,x,0,x,7,7,0,0
E08000012,LA,341,Liverpool,316,22,80,31,20,79,23,60,x,241,69,x,12,11,x,0,0,x,0,7,121,x,0,12,16,0,59,x
E08000013,LA,342,St. Helens,51,x,7,9,10,15,6,x,x,48,10,x,x,x,0,0,x,x,x,0,21,0,0,x,x,0,x,x
E08000014,LA,343,Sefton,105,7,23,25,7,23,17,x,0,98,23,x,x,8,0,0,x,0,0,x,53,x,0,x,0,x,x,0
E08000015,LA,344,Wirral,207,12,34,51,17,61,x,28,x,178,38,x,41,x,0,0,11,0,0,x,62,x,0,13,x,x,27,x
E08000001,LA,350,Bolton,124,14,13,24,8,45,9,11,0,102,17,0,x,x,0,0,x,x,x,x,65,x,0,6,8,x,11,0
E08000002,LA,351,Bury,103,7,12,25,8,29,x,18,0,84,15,x,8,x,0,0,x,0,x,0,37,0,0,x,9,6,18,0
E08000003,LA,352,Manchester,533,37,98,68,20,72,37,201,0,305,62,x,36,19,0,0,16,x,6,x,121,7,x,14,32,8,201,0
E08000004,LA,353,Oldham,100,6,18,29,8,25,12,x,0,95,12,0,22,x,0,0,0,x,0,0,47,x,0,x,x,x,x,0
E08000005,LA,354,Rochdale,89,x,9,21,x,26,6,22,0,61,11,x,x,x,0,0,x,0,x,0,34,0,0,x,x,x,22,0
E08000006,LA,355,Salford,166,11,46,69,14,19,x,x,0,150,14,11,x,x,0,0,x,0,0,x,102,0,0,13,12,0,x,0
E08000007,LA,356,Stockport,132,11,28,27,8,47,0,9,x,111,12,9,10,19,0,0,0,0,0,x,51,x,0,x,0,12,9,x
E08000008,LA,357,Tameside,99,x,7,22,0,19,x,48,0,48,13,x,x,0,0,0,x,0,0,0,20,x,0,x,x,x,48,0
E08000009,LA,358,Trafford,114,7,15,36,10,28,9,8,x,103,13,x,x,11,0,x,x,0,x,0,63,x,0,7,x,x,7,x
E08000010,LA,359,Wigan,140,6,21,29,16,33,18,17,0,118,17,x,7,8,0,0,x,0,x,x,75,0,0,x,x,0,17,0
E08000016,LA,370,Barnsley,110,x,19,18,6,31,x,29,0,78,8,x,x,0,0,0,x,0,0,x,49,0,0,x,11,x,28,0
E08000017,LA,371,Doncaster,206,12,15,31,10,67,6,63,x,131,20,6,x,x,x,0,37,x,x,x,42,0,0,x,11,x,63,x
E08000018,LA,372,Rotherham,116,6,17,32,10,22,12,17,0,96,9,x,15,x,0,0,0,0,x,x,53,0,0,x,x,x,17,0
E08000019,LA,373,Sheffield,221,13,30,47,26,65,12,28,0,168,20,8,29,11,0,0,6,x,0,x,71,x,0,18,7,16,28,0
E08000032,LA,380,Bradford,258,18,31,44,8,97,8,52,0,194,33,x,11,9,0,0,19,0,x,x,102,0,0,12,x,9,52,0
E08000033,LA,381,Calderdale,84,8,22,20,x,32,0,0,0,80,13,x,x,x,0,0,x,0,0,15,31,x,0,x,0,x,x,0
E08000034,LA,382,Kirklees,160,8,20,43,9,45,13,22,0,132,8,x,x,11,0,0,x,0,0,x,86,x,x,6,x,11,22,0
E08000035,LA,383,Leeds,420,26,65,140,8,107,27,44,x,353,55,14,x,8,0,0,x,6,0,x,235,0,0,18,22,11,43,x
E08000036,LA,384,Wakefield,138,10,18,23,17,28,10,30,x,100,8,x,15,x,0,0,0,0,x,0,64,x,0,x,7,0,30,x
E08000020,LA,390,Gateshead,98,x,26,29,x,26,11,x,0,95,10,x,x,16,0,0,x,0,x,0,49,0,0,x,9,x,x,0
E08000021,LA,391,Newcastle upon Tyne,184,19,15,48,19,38,13,32,0,143,19,x,x,22,0,0,0,0,0,12,72,x,0,9,6,x,32,0
E08000022,LA,392,North Tyneside,82,x,16,19,13,11,15,x,0,74,13,x,x,x,0,0,0,0,0,0,46,0,0,x,x,x,x,0
E08000023,LA,393,South Tyneside,93,9,21,29,x,22,7,0,0,90,11,x,0,6,0,0,x,x,x,x,43,x,0,x,9,10,0,0
E08000024,LA,394,Sunderland,148,9,11,47,8,17,13,42,x,99,13,x,24,x,0,0,0,0,0,x,52,x,x,x,x,x,42,x
E06000022,LA,800,Bath and North East Somerset,76,x,20,27,x,19,x,x,0,69,9,x,6,6,0,0,0,x,0,x,28,0,0,x,10,x,x,0
E06000023,LA,801,"Bristol, City of",299,x,57,43,29,92,28,45,x,231,29,9,47,17,0,0,18,0,x,7,76,0,0,13,27,x,45,x
E06000024,LA,802,North Somerset,84,x,17,21,8,18,9,8,x,67,10,x,9,x,0,0,x,0,x,x,37,0,0,x,x,x,8,x
E06000025,LA,803,South Gloucestershire,134,x,7,32,13,59,9,9,x,122,28,x,x,x,0,0,x,x,0,x,65,0,x,0,x,8,9,x
E06000001,LA,805,Hartlepool,46,x,x,17,x,6,9,x,0,46,7,x,x,x,0,0,x,0,0,x,20,0,0,0,x,x,0,0
E06000002,LA,806,Middlesbrough,80,x,12,16,7,20,8,13,0,65,11,x,x,7,0,0,x,0,0,x,28,0,x,x,x,x,13,0
