New_geog_code,geog_l,geog_c,geog_n,CLA_started2014,CLA_taken2014,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E92000001,NATIONAL,999,ENGLAND,30430,10920,16400,14030,6090,5970,5260,8610,4510,16890,690,1040,2940,5710,1190,100,1870,5930,340,50,18400,3850,790,10,1040,20,10
E12000001,REGION,A,NORTH EAST,1980,420,1030,950,490,460,350,550,130,1190,30,50,170,440,50,0,60,210,40,10,1520,150,20,0,40,0,0
E12000002,REGION,B,NORTH WEST,4740,2120,2560,2180,1030,1110,940,1240,420,2990,80,130,430,820,180,10,110,1280,70,0,2490,630,140,0,120,10,0
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2690,1190,1450,1240,680,620,500,640,260,1790,40,50,190,430,110,0,80,730,30,10,1370,300,130,0,140,0,0
E12000004,REGION,D,EAST MIDLANDS,2250,740,1230,1020,480,460,380,590,340,1240,50,70,190,470,80,10,150,510,10,0,1420,200,20,0,80,10,0
E12000005,REGION,E,WEST MIDLANDS,3600,1430,1870,1740,780,760,660,980,430,2080,100,130,370,650,140,0,120,790,50,0,2100,490,100,0,70,0,0
E12000006,REGION,F,EAST OF ENGLAND,2720,950,1460,1260,520,520,490,720,470,1670,70,30,280,480,60,0,130,580,30,10,1720,250,90,0,50,0,0
E12000007,REGION,G,LONDON,5770,2030,3200,2560,810,770,870,1890,1430,2750,120,290,500,880,410,40,770,690,50,10,3330,1180,100,0,400,0,0
E12000007,REGION,H,INNER LONDON,2380,880,1300,1090,380,300,340,710,650,1070,40,160,240,420,180,30,250,350,20,0,1290,450,60,0,210,0,0
E12000007,REGION,I,OUTER LONDON,3380,1150,1910,1480,430,470,530,1180,770,1690,80,130,260,470,220,10,530,340,30,0,2040,730,40,0,200,0,0
E12000008,REGION,J,SOUTH EAST,4040,1280,2210,1830,760,750,640,1200,680,1720,130,180,490,1020,130,10,360,700,60,10,2640,420,110,0,110,0,0
E12000009,REGION,K,SOUTH WEST,2630,770,1380,1260,530,520,420,800,360,1460,80,110,320,510,50,20,90,440,20,10,1820,220,80,0,30,0,0
E09000001,LA,201,City of London,x,0,x,0,x,x,0,0,x,x,0,0,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0
E09000007,LA,202,Camden,120,51,71,49,20,18,14,40,28,54,x,10,14,21,8,x,8,21,x,0,62,24,x,0,7,0,0
E09000011,LA,203,Greenwich,270,121,158,112,40,56,60,68,46,154,11,22,x,35,21,x,21,27,6,0,135,88,0,0,14,0,0
E09000012,LA,204,Hackney,163,68,91,72,17,15,31,58,42,88,0,9,6,30,11,0,19,24,11,x,88,31,x,0,6,0,0
E09000013,LA,205,Hammersmith and Fulham,122,50,68,54,19,19,19,38,27,62,x,6,12,23,10,0,8,25,x,0,59,23,x,0,12,x,0
E09000019,LA,206,Islington,152,53,82,70,23,17,17,54,41,82,0,x,15,18,10,0,24,29,0,0,84,19,x,0,15,0,0
E09000020,LA,207,Kensington and Chelsea,75,14,40,35,14,7,x,22,28,18,x,8,13,11,9,x,14,7,0,0,52,6,x,0,9,0,0
E09000022,LA,208,Lambeth,331,132,192,139,51,36,58,94,92,141,8,37,47,45,28,x,20,42,x,0,176,77,12,0,23,0,0
E09000023,LA,209,Lewisham,237,97,130,107,42,37,40,70,48,77,x,x,29,72,21,x,31,40,x,0,113,49,7,0,27,0,0
E09000028,LA,210,Southwark,255,84,136,119,50,44,36,65,60,142,6,9,21,46,7,x,22,34,x,x,154,42,x,0,13,x,0
E09000030,LA,211,Tower Hamlets,206,91,108,98,28,23,29,56,70,90,x,25,10,31,19,x,25,26,x,0,95,56,7,0,20,0,0
E09000032,LA,212,Wandsworth,134,50,69,65,18,29,15,35,37,64,x,18,17,12,7,x,13,27,x,0,76,19,x,x,8,0,0
E09000033,LA,213,Westminster,90,20,44,46,10,8,8,26,38,23,x,12,11,18,10,x,12,x,0,0,56,10,x,0,14,0,0
E09000002,LA,301,Barking and Dagenham,310,164,152,158,41,61,69,98,41,203,11,11,9,50,x,x,22,43,x,0,143,118,x,0,x,0,0
E09000003,LA,302,Barnet,166,70,94,72,23,19,19,63,42,47,x,6,39,59,7,0,7,29,x,0,82,37,x,0,14,0,0
E09000004,LA,303,Bexley,163,56,82,81,26,24,33,50,30,56,x,x,6,85,x,0,7,17,x,0,102,34,x,x,x,0,0
E09000005,LA,304,Brent,236,100,137,99,28,19,39,82,68,146,x,x,13,x,39,0,25,16,x,0,104,73,10,0,32,0,0
E09000006,LA,305,Bromley,167,43,89,78,36,22,25,50,34,83,x,13,15,21,17,0,14,21,x,0,113,16,x,x,11,0,0
E09000008,LA,306,Croydon,400,52,289,111,33,28,30,223,86,123,x,11,15,19,24,0,203,26,0,0,318,23,x,0,29,x,0
E09000009,LA,307,Ealing,243,96,122,121,30,41,41,74,57,137,7,21,19,26,12,x,19,25,9,0,134,54,8,0,13,0,0
E09000010,LA,308,Enfield,176,56,95,81,24,20,20,67,45,94,x,7,14,8,24,0,28,10,0,0,102,46,0,0,18,0,0
E09000014,LA,309,Haringey,226,93,131,95,37,25,31,66,67,89,x,12,18,37,23,18,25,41,0,0,105,50,x,0,28,0,0
E09000015,LA,310,Harrow,135,40,73,62,25,16,25,46,23,83,6,9,x,16,9,0,7,16,0,0,85,23,x,0,10,0,0
E09000016,LA,311,Havering,147,77,75,72,16,20,36,58,17,101,x,x,11,16,6,0,7,8,0,0,70,68,x,0,0,0,0
E09000017,LA,312,Hillingdon,200,47,117,83,14,30,33,56,67,81,x,x,9,27,24,0,57,22,x,0,142,20,x,0,11,0,0
E09000018,LA,313,Hounslow,160,56,72,88,23,20,15,56,46,86,x,x,20,23,x,x,21,18,0,0,101,37,x,0,x,0,0
E09000021,LA,314,Kingston upon Thames,52,13,29,23,8,x,6,12,21,24,x,x,x,x,x,0,16,9,0,0,37,x,x,0,x,0,0
E09000024,LA,315,Merton,114,35,75,39,13,17,13,32,39,53,x,x,16,18,x,0,15,13,0,0,74,21,x,0,x,0,0
E09000025,LA,316,Newham,267,74,130,137,47,25,40,81,74,134,x,7,29,51,18,x,25,26,x,0,169,43,x,0,24,0,0
E09000026,LA,317,Redbridge,145,29,82,63,17,26,20,40,42,84,x,6,16,13,9,0,14,x,0,0,101,23,x,0,15,0,0
E09000027,LA,318,Richmond upon Thames,47,8,27,20,6,7,7,22,x,23,x,x,0,13,x,0,x,x,x,0,38,x,x,0,x,0,0
