New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_2014,CLA_stp2014,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain ,,,
E09000019,LA,206,Islington,306,460,0,167,139,14,25,49,122,96,134,63,6,92,x,6,241,x,x,7,39,8,0,x,0,46,138,0,11,101,9,x,28,0,153,x,6,117,19,x,x,216,49,41,60,95,209,70,x,,,
E09000020,LA,207,Kensington and Chelsea,98,171,x,50,48,11,7,7,33,40,27,30,x,31,8,0,62,x,x,0,17,6,7,0,0,11,38,0,x,45,x,0,13,0,62,x,x,26,x,x,0,70,19,9,20,23,72,35,x,,,
E09000022,LA,208,Lambeth,534,825,0,324,210,30,82,80,190,152,114,115,18,249,38,0,388,20,x,59,40,18,x,x,0,75,194,0,65,186,14,0,24,0,165,x,13,345,x,x,x,342,130,62,101,111,420,190,x,,,
E09000023,LA,209,Lewisham,500,725,42,261,239,28,70,77,203,122,156,108,27,189,17,x,386,25,8,23,46,x,8,x,0,81,199,0,38,174,8,0,7,0,203,12,x,228,46,8,x,332,104,64,112,212,262,247,x,,,
E09000028,LA,210,Southwark,550,811,0,309,241,28,78,101,187,156,190,91,15,235,18,x,424,29,6,28,50,10,0,x,0,63,263,0,72,148,x,0,18,0,306,6,x,225,0,6,x,355,100,95,103,141,406,92,x,,,
E09000030,LA,211,Tower Hamlets,323,505,x,175,148,20,34,43,113,113,88,61,123,42,x,x,245,12,0,27,17,9,13,0,0,47,116,0,22,133,x,0,12,0,212,x,x,103,x,0,0,216,73,34,72,100,223,38,x,,,
E09000032,LA,212,Wandsworth,207,339,34,115,92,9,26,30,76,66,67,51,8,73,7,x,135,8,6,22,21,13,x,0,0,30,89,0,25,57,x,x,12,0,126,x,x,68,x,6,0,134,47,26,44,58,149,67,x,,,
E09000033,LA,213,Westminster,176,277,6,94,82,7,17,29,65,58,39,41,8,55,31,x,139,6,x,x,17,7,x,0,0,22,100,0,10,39,x,0,11,0,107,x,7,46,11,x,0,121,42,13,51,31,140,20,x,,,
E09000002,LA,301,Barking and Dagenham,458,715,0,225,233,22,86,102,176,72,279,47,21,85,22,x,380,11,15,29,x,17,x,0,0,110,149,0,53,141,x,x,23,0,270,0,x,172,0,15,0,300,110,48,98,185,273,109,x,,,
E09000003,LA,302,Barnet,309,470,0,180,129,14,32,40,128,95,141,68,11,62,16,11,213,6,x,x,69,6,8,x,0,28,142,0,27,108,x,0,x,0,132,6,x,160,x,x,x,203,70,36,51,112,195,103,x,,,
E09000004,LA,303,Bexley,254,418,38,133,121,13,43,44,102,52,190,21,x,36,x,0,194,16,x,18,17,x,x,x,0,35,93,0,38,86,x,0,9,0,170,11,x,64,x,x,x,182,46,26,43,148,103,195,92,,,
