"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Premises","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","Previous.full.inspection.event.type","Previous.full.inspection.event.date","Previous.full.inspection.publication.date","Previous.full.inspection.event.number","Previous.overall.experiences.and.progress.of.children.and.young.people","Previous.outcomes.in.education.and.related.learning.activities","Previous.health.services","Previous.how.well.children.and.young.people.are.helped.and.protected","Previous.effectiveness.of.leaders.and.managers"
"1","Ofsted Social Care Provider Webpage","2587047",NA,"Children's home","26/05/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cheshire East","Macclesfield","For profit",NA,7," ","","Compass Children's Homes Limited","Full inspection","03/01/2023","09/03/2023",10224792,"Outstanding","","","Outstanding","Outstanding","Full inspection","01/03/2022","14/04/2022",10186320,"Outstanding","","","Outstanding","Outstanding"
"2","Ofsted Social Care Provider Webpage","2590342",NA,"Children's home","17/06/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Cheshire East","Congleton","For profit",NA,3," ","","Unity Residential Care Services Limited","Full inspection","05/12/2022","23/01/2023",10224810,"Good","","","Good","Good","Full inspection","08/12/2021","25/01/2022",10185266,"Good","","","Good","Good"
"3","Ofsted Social Care Provider Webpage","2590726",NA,"Children's home","14/07/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Fylde","For profit",NA,2," ","","Sandcastle Care Ltd","Full inspection","08/02/2023","24/03/2023",10224816,"Good","","","Good","Good","Full inspection","08/06/2021","08/07/2021",10186915,"Outstanding","","","Outstanding","Outstanding"
"4","Ofsted Social Care Provider Webpage","2592361",NA,"Children's home","27/04/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Newham","Leyton and Wanstead","For profit",NA,3," ","","Raise House Limited","Full inspection","24/05/2022","13/07/2022",10224842,"Good","","","Good","Good","Full inspection","05/05/2021","02/06/2021",10186789,"Good","","","Good","Good"
"5","Ofsted Social Care Provider Webpage","2593071",NA,"Children's home","18/09/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicester","Leicester East","For profit",NA,3," ","","Changing Lives Care Group Ltd","Full inspection","21/03/2023","05/05/2023",10224854,"Good","","","Good","Good","Full inspection","22/09/2021","21/10/2021",10187258,"Outstanding","","","Good","Outstanding"
"6","Ofsted Social Care Provider Webpage","SC044231",NA,"Children's home","10/10/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Ribble Valley","For profit",NA,4," ","","Progress Care and Education Limited","Full inspection","26/07/2023","04/09/2023",10272380,"Good","","","Good","Good","Full inspection","12/04/2022","24/05/2022",10222793,"Good","","","Good","Good"
"7","Ofsted Social Care Provider Webpage","2544217",NA,"Children's home","18/07/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottinghamshire","Bassetlaw","For profit",NA,5," ","","Absolute Childrens Services Ltd","Full inspection","07/09/2023","18/10/2023",10272381,"Good","","","Good","Good","Full inspection","03/05/2022","09/06/2022",10222416,"Good","","","Good","Good"
"8","Ofsted Social Care Provider Webpage","SC033817",NA,"Children's home","18/10/2002","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","North Northamptonshire","Kettering","For profit",NA,4," ","","Keys Direct Care Limited","Full inspection","19/03/2024","30/04/2024",10272241,"Good","","","Good","Requires improvement to be good","Full inspection","08/03/2023","24/04/2023",10222627,"Outstanding","","","Good","Outstanding"
"9","Ofsted Social Care Provider Webpage","SC034108",NA,"Children's home","10/09/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Tameside","Denton and Reddish","Local Authority",NA,6," ","","Tameside Metropolitan Borough Council ","Full inspection","02/08/2023","12/09/2023",10272243,"Good","","","Good","Requires improvement to be good","Full inspection","12/10/2022","14/11/2022",10222633,"Good","","","Good","Good"
"10","Ofsted Social Care Provider Webpage","SC454901",NA,"Children's home","20/11/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottinghamshire","Bassetlaw","For profit",NA,5," ","","Keys Child Care Ltd","Full inspection","14/11/2023","18/12/2023",10271842,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","16/11/2022","30/12/2022",10223468,"Good","","","Good","Good"
"11","Ofsted Social Care Provider Webpage","SC456157",NA,"Children's home","31/10/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Warrington","Warrington South","For profit",NA,4," ","","Bright Futures Care Limited","Full inspection","24/10/2023","06/12/2023",10271846,"Good","","","Good","Good","Full inspection","20/03/2023","25/05/2023",10223473,"Good","","","Good","Good"
"12","Ofsted Social Care Provider Webpage","SC361789",NA,"Children's home","05/10/2007","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Cornwall","St Austell and Newquay","Local Authority",NA,6," ","","Cornwall Council","Full inspection","29/11/2023","23/01/2024",10272514,"Good","","","Good","Good","Full inspection","20/03/2023","09/05/2023",10223047,"Good","","","Good","Good"
"13","Ofsted Social Care Provider Webpage","SC367551",NA,"Children's home","25/01/2008","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Stoke-on-Trent","Stoke-on-Trent North","For profit",NA,3," ","","Crystal Care Solutions Limited","Full inspection","11/07/2023","23/08/2023",10272515,"Good","","","Good","Requires improvement to be good","Full inspection","03/05/2022","09/06/2022",10223069,"Good","","","Good","Good"
"14","Ofsted Social Care Provider Webpage","SC368137",NA,"Children's home","10/12/2007","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Devon","Torridge and West Devon","For profit",NA,2," ","","Phoenix Childcare Ltd","Full inspection","23/05/2023","07/07/2023",10272516,"Good","","","Good","Good","Full inspection","19/07/2022","02/09/2022",10223071,"Good","","","Good","Good"
"15","Ofsted Social Care Provider Webpage","2522796",NA,"Children's home","05/07/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Peterborough","Peterborough","For profit",NA,6," ","","Florinee Homes Ltd","Full inspection","22/01/2024","19/02/2024",10273600,"Good","","","Good","Good","Full inspection","24/05/2022","01/07/2022",10224491,"Outstanding","","","Good","Outstanding"
"16","Ofsted Social Care Provider Webpage","2523037",NA,"Children's home","17/04/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Calderdale","Halifax","For profit",NA,2," ","","Time-Out Childrens Homes Limited","Full inspection","26/02/2024","23/04/2024",10273602,"Outstanding","","","Outstanding","Good","Full inspection","25/01/2023","13/03/2023",10224498,"Outstanding","","","Outstanding","Outstanding"
"17","Ofsted Social Care Provider Webpage","2525634",NA,"Children's home","18/04/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Essex","Braintree","For profit",NA,5," ","","SureCare Residential Ltd","Full inspection","16/08/2023","15/09/2023",10273603,"Good","","","Good","Good","Full inspection","03/10/2022","07/11/2022",10224499,"Good","","","Good","Requires improvement to be good"
"18","Ofsted Social Care Provider Webpage","1230416",NA,"Children's home","09/05/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Bedford","North East Bedfordshire","For profit",NA,4," ","","Cambian Childcare Limited","Full inspection","23/01/2024","16/02/2024",10273671,"Good","","","Good","Good","Full inspection","11/10/2022","11/11/2022",10223938,"Outstanding","","","Outstanding","Outstanding"
"19","Ofsted Social Care Provider Webpage","1233981",NA,"Children's home","17/08/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Kirklees","Huddersfield","For profit",NA,2," ","","Time-Out Childrens Homes Limited","Full inspection","15/08/2023","29/09/2023",10273675,"Good","","","Good","Outstanding","Full inspection","06/09/2022","13/10/2022",10223960,"Good","","","Good","Good"
"20","Ofsted Social Care Provider Webpage","1234430",NA,"Children's home","28/07/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Birmingham","Birmingham, Erdington","For profit",NA,3," ","","Positive Pathways Limited","Full inspection","02/05/2023","05/06/2023",10273676,"Good","","","Good","Good","Full inspection","14/06/2022","05/08/2022",10223966,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"21","Ofsted Social Care Provider Webpage","SC475088",NA,"Children's home","03/09/2014","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Essex","Harwich and North Essex","For profit",NA,4," ","","Shalamar Children Limited","Full inspection","19/09/2023","18/10/2023",10273722,"Good","","","Good","Good","Full inspection","05/01/2023","08/02/2023",10223657,"Good","","","Good","Good"
"22","Ofsted Social Care Provider Webpage","SC038564",NA,"Children's home","25/06/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","North Tyneside","North Tyneside","Local Authority",NA,5," ","","North Tyneside Council","Full inspection","11/09/2023","25/10/2023",10272709,"Good","","","Good","Good","Full inspection","07/11/2022","15/12/2022",10222736,"Good","","","Good","Good"
"23","Ofsted Social Care Provider Webpage","SC040266",NA,"Children's home","15/08/2003","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Wigan","Wigan","Local Authority",NA,3," ","","Wigan Council","Full inspection","21/11/2023","02/01/2024",10272348,"Good","","","Good","Good","Full inspection","08/06/2021","19/07/2021",10186424,"Inadequate","","","Inadequate","Inadequate"
"24","Ofsted Social Care Provider Webpage","SC040733",NA,"Children's home","25/02/2004","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Salford","Worsley and Eccles South","Local Authority",NA,4," ","","Salford City Council","Full inspection","16/08/2023","03/10/2023",10272349,"Good","","","Good","Good","Full inspection","31/08/2022","07/10/2022",10245685,"Good","","","Good","Good"
"25","Ofsted Social Care Provider Webpage","SC403850",NA,"Children's home","02/02/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Kent","Dartford","Local Authority",NA,6,"Short-break-only children's home","","Kent County Council","Full inspection","27/02/2024","02/04/2024",10272350,"Good","","","Good","Good","Full inspection","15/12/2022","09/03/2023",10223221,"Good","","","Good","Good"
"26","Ofsted Social Care Provider Webpage","SC403895",NA,"Children's home","15/12/2009","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Stoke-on-Trent","Stoke-on-Trent Central","Local Authority",NA,2," ","","Stoke On Trent City Council","Full inspection","23/01/2024","13/03/2024",10272351,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","12/07/2022","26/08/2022",10223223,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"27","Ofsted Social Care Provider Webpage","SC409506",NA,"Children's home","31/03/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Bedford","Bedford","Local Authority",NA,7,"Short-break-only children's home","","Bedford Borough Council","Full inspection","01/08/2023","06/09/2023",10272353,"Outstanding","","","Outstanding","Outstanding","Full inspection","11/07/2022","22/08/2022",10223253,"Outstanding","","","Good","Outstanding"
"28","Ofsted Social Care Provider Webpage","SC409851",NA,"Children's home","07/06/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Hounslow","Brentford and Isleworth","For profit",NA,4," ","","Westgate Lifestyle Project Limited","Full inspection","13/06/2023","26/07/2023",10272354,"Good","","","Good","Good","Full inspection","17/05/2022","04/07/2022",10223255,"Good","","","Good","Good"
"29","Ofsted Social Care Provider Webpage","SC454707",NA,"Children's home","08/10/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","South Gloucestershire","Filton and Bradley Stoke","Third Sector",NA,7,"Short-break-only children's home","","Kids","Full inspection","05/12/2023","22/01/2024",10272228,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","31/01/2023","10/03/2023",10223465,"Good","","","Good","Requires improvement to be good"
"30","Ofsted Social Care Provider Webpage","SC456539",NA,"Children's home","15/02/2013","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Bolton","Bolton South East","For profit",NA,1," ","","Cambian Childcare Limited","Full inspection","20/06/2023","04/08/2023",10272229,"Requires improvement to be good","","","Requires improvement to be good","Inadequate","Full inspection","14/02/2023","29/03/2023",10223488,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"31","Ofsted Social Care Provider Webpage","SC456543",NA,"Children's home","15/02/2013","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Rochdale","Heywood and Middleton","For profit",NA,1," ","","Cambian Childcare Limited","Full inspection","06/09/2023","05/10/2023",10272230,"Good","","","Good","Good","Full inspection","18/01/2023","03/03/2023",10223490,"Good","","","Good","Requires improvement to be good"
"32","Ofsted Social Care Provider Webpage","2731377",NA,"Children's home","29/06/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","Newcastle-under-Lyme","For profit",NA,2,"","","Core Children Ltd","Full inspection","26/02/2024","11/04/2024",10302348,"Good","","","Good","Good","","","",NA,"","","","",""
"33","Ofsted Social Care Provider Webpage","SC454900",NA,"Children's home","23/11/2012","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Plymouth","South West Devon","Local Authority",NA,6,"Short-break-only children's home","","Plymouth City Council","Full inspection","19/12/2023","24/01/2024",10271897,"Good","","","Good","Good","Monitoring inspection","21/03/2023","18/05/2023",10275987,"Requires improvement to be good","","","",""
"34","Ofsted Social Care Provider Webpage","SC456532",NA,"Children's home","06/03/2013","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Rochdale","Heywood and Middleton","For profit",NA,2," ","","Cambian Childcare Limited","Full inspection","17/10/2023","23/11/2023",10271898,"Inadequate","","","Inadequate","Inadequate","Full inspection","11/01/2023","13/02/2023",10223485,"Good","","","Good","Good"
"35","Ofsted Social Care Provider Webpage","1256059",NA,"Children's home","24/05/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","North Northamptonshire","Kettering","For profit",NA,5," ","","Homes 2 Inspire Limited","Full inspection","31/10/2023","29/11/2023",10271900,"Good","","","Good","Good","Full inspection","18/10/2022","22/11/2022",10224135,"Good","","","Good","Good"
"36","Ofsted Social Care Provider Webpage","1256061",NA,"Children's home","24/05/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","North Northamptonshire","Wellingborough","For profit",NA,5," ","","Homes 2 Inspire Limited","Full inspection","13/06/2023","17/07/2023",10271901,"Good","","","Good","Good","Full inspection","11/01/2023","27/02/2023",10224137,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"37","Ofsted Social Care Provider Webpage","1256658",NA,"Children's home","04/07/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Halton","Halton","For profit",NA,2," ","","Lytham Care Limited","Full inspection","21/02/2024","21/03/2024",10271902,"Good","","","Good","Good","Full inspection","05/04/2022","23/05/2022",10224149,"Good","","","Good","Good"
"38","Ofsted Social Care Provider Webpage","1257740",NA,"Children's home","31/07/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","Burton","For profit",NA,4," ","","Orchard Children Homes Ltd","Full inspection","29/11/2023","18/01/2024",10271904,"Outstanding","","","Outstanding","Outstanding","Full inspection","31/01/2023","14/03/2023",10224167,"Good","","","Good","Good"
"39","Ofsted Social Care Provider Webpage","1258092",NA,"Children's home","30/08/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Essex","Colchester","For profit",NA,4," ","","Cambian Childcare Limited","Full inspection","06/02/2024","14/03/2024",10271905,"Good","","","Good","Outstanding","Full inspection","15/11/2022","16/12/2022",10224172,"Good","","","Good","Good"
"40","Ofsted Social Care Provider Webpage","1259419",NA,"Children's home","10/11/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Leicestershire","Loughborough","For profit",NA,1," ","","Blue Mountain Homes Ltd","Full inspection","14/11/2023","13/12/2023",10271906,"Outstanding","","","Outstanding","Outstanding","Full inspection","18/01/2023","23/02/2023",10224194,"Outstanding","","","Outstanding","Outstanding"
"41","Ofsted Social Care Provider Webpage","2496627",NA,"Children's home","29/10/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Durham","North West Durham","For profit",NA,3," ","","Witherslack Group Limited","Full inspection","18/12/2023","05/02/2024",10273287,"Good","","","Good","Good","Full inspection","22/02/2023","04/04/2023",10224382,"Good","","","Good","Good"
"42","Ofsted Social Care Provider Webpage","2496764",NA,"Children's home","28/11/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","Nottingham","Nottingham East","For profit",NA,4," ","","A&m Care Solutions Ltd - T/a Metropolitan Care Solutions","Full inspection","05/02/2024","08/03/2024",10273288,"Outstanding","","","Outstanding","Outstanding","Full inspection","21/02/2023","03/04/2023",10224383,"Good","","","Requires improvement to be good","Good"
"43","Ofsted Social Care Provider Webpage","2502176",NA,"Children's home","04/01/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Durham","North West Durham","For profit",NA,3," ","","Nuevavida Ne Ltd","Full inspection","12/12/2023","30/01/2024",10273289,"Good","","","Good","Outstanding","Full inspection","25/05/2022","05/07/2022",10224393,"Good","","","Good","Good"
"44","Ofsted Social Care Provider Webpage","2507724",NA,"Children's home","15/03/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Coventry","Coventry North West","Local Authority",NA,4," ","","Coventry City Council","Full inspection","01/08/2023","18/09/2023",10274166,"Good","","","Good","Good","Full inspection","11/05/2022","27/06/2022",10224423,"Good","","","Requires improvement to be good","Requires improvement to be good"
"45","Ofsted Social Care Provider Webpage","2509684",NA,"Children's home","30/11/2018","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Somerset","Yeovil","For profit",NA,4," ","","South West Childcare Services","Full inspection","31/10/2023","07/12/2023",10274167,"Good","","","Good","Good","Full inspection","16/11/2022","30/12/2022",10224444,"Good","","","Good","Requires improvement to be good"
"46","Ofsted Social Care Provider Webpage","2509802",NA,"Children's home","26/08/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","St Helens","St Helens South and Whiston","For profit",NA,3," ","","Continuum Support - Care Services Ltd","Full inspection","13/09/2023","24/10/2023",10274168,"Good","","","Good","Outstanding","Full inspection","08/11/2022","28/12/2022",10224447,"Good","","","Good","Good"
"47","Ofsted Social Care Provider Webpage","2511289",NA,"Children's home","21/01/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Plymouth","Plymouth, Sutton and Devonport","For profit",NA,1," ","","Cambian Childcare Limited","Full inspection","07/11/2023","05/12/2023",10274169,"Good","","","Good","Good","Full inspection","18/08/2022","13/10/2022",10224459,"Good","","","Good","Requires improvement to be good"
"48","Ofsted Social Care Provider Webpage","2513341",NA,"Children's home","06/08/2019","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Herefordshire","Hereford and South Herefordshire","For profit",NA,5," ","","Keys Care Limited","Full inspection","21/11/2023","27/12/2023",10274170,"Good","","","Good","Outstanding","Full inspection","14/02/2023","31/03/2023",10224465,"Outstanding","","","Outstanding","Outstanding"
"49","Ofsted Social Care Provider Webpage","SC411046",NA,"Children's home","26/07/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Rossendale and Darwen","For profit",NA,3," ","","Lifetime Opportunities Ltd","Full inspection","23/02/2023","12/04/2023",10223261,"Good","","","Good","Requires improvement to be good","Full inspection","22/06/2021","30/07/2021",10186497,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"50","Ofsted Social Care Provider Webpage","SC412296",NA,"Children's home","15/11/2010","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","East Sussex","Bexhill and Battle","For profit",NA,4," ","","Springfield Road Childrens Homes Ltd","Full inspection","28/09/2022","01/12/2022",10223268,"Outstanding","","","Outstanding","Outstanding","Full inspection","21/04/2021","08/06/2021",10187008,"Outstanding","","","Good","Outstanding"
"51","Ofsted Social Care Provider Webpage","SC489820",NA,"Children's home","09/10/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Dorset","South Dorset","For profit",NA,4," ","","Potensial Ltd","Full inspection","02/01/2024","29/01/2024",10273566,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","06/09/2022","13/10/2022",10223838,"Good","","","Good","Good"
"52","Ofsted Social Care Provider Webpage","1159397",NA,"Children's home","04/04/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Selby and Ainsty","For profit",NA,4," ","","Cambian Childcare Limited","Full inspection","14/08/2023","28/09/2023",10273569,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","16/08/2022","04/10/2022",10245573,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"53","Ofsted Social Care Provider Webpage","1159763",NA,"Children's home","08/09/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","North East","Darlington","Sedgefield","For profit",NA,7," ","","Witherslack Group Limited","Full inspection","06/03/2024","24/04/2024",10273571,"Good","","","Good","Good","Full inspection","30/12/2022","08/02/2023",10270175,"Good","","","Good","Requires improvement to be good"
"54","Ofsted Social Care Provider Webpage","1159868",NA,"Children's home","29/10/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Dorset","West Dorset","For profit",NA,3," ","","Cambian Childcare Limited","Full inspection","05/06/2023","13/07/2023",10273572,"Good","","","Good","Good","Full inspection","09/08/2022","21/09/2022",10245562,"Requires improvement to be good","","","Requires improvement to be good","Inadequate"
"55","Ofsted Social Care Provider Webpage","1211772",NA,"Children's home","17/12/2015","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","North Yorkshire","Richmond (Yorks)","For profit",NA,6," ","","Aspris Children's Services Limited","Full inspection","22/01/2024","07/03/2024",10273573,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","05/07/2022","19/08/2022",10223883,"Requires improvement to be good","","","Requires improvement to be good","Good"
"56","Ofsted Social Care Provider Webpage","1214396",NA,"Children's home","13/01/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Herefordshire","North Herefordshire","For profit",NA,2," ","","River Valley Care Ltd","Full inspection","05/12/2023","11/01/2024",10273575,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","21/02/2023","05/05/2023",10223892,"Good","","","Good","Requires improvement to be good"
"57","Ofsted Social Care Provider Webpage","1221700",NA,"Children's home","02/02/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Ribble Valley","For profit",NA,5," ","","Hexagon Care Services Limited","Full inspection","21/09/2023","01/11/2023",10273576,"Good","","","Good","Good","Full inspection","16/02/2023","03/04/2023",10223898,"Good","","","Good","Good"
"58","Ofsted Social Care Provider Webpage","2539752",NA,"Children's home","16/04/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Oxfordshire","Oxford West and Abingdon","For profit",NA,4," ","","Keys Care Limited","Full inspection","16/01/2024","15/02/2024",10273660,"Good","","","Good","Outstanding","Full inspection","20/03/2023","12/05/2023",10224580,"Good","","","Good","Good"
"59","Ofsted Social Care Provider Webpage","1235384",NA,"Children's home","12/08/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","South Ribble","For profit",NA,2," ","","New Horizons (NW) Ltd","Full inspection","05/12/2023","26/01/2024",10273455,"Outstanding","","","Outstanding","Outstanding","Full inspection","01/03/2023","19/04/2023",10223969,"Good","","","Good","Outstanding"
"60","Ofsted Social Care Provider Webpage","1235653",NA,"Children's home","12/04/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","London","London","Merton","Wimbledon","For profit",NA,4," ","","Children Of The Mangrove Limited","Full inspection","13/09/2023","23/10/2023",10273456,"Good","","","Good","Good","Full inspection","02/08/2022","21/09/2022",10223971,"Good","","","Good","Requires improvement to be good"
"61","Ofsted Social Care Provider Webpage","1236832",NA,"Children's home","08/07/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East of England","East of England","Central Bedfordshire","South West Bedfordshire","For profit",NA,4," ","","Benjamin UK Ltd","Full inspection","05/03/2024","08/04/2024",10273457,"Good","","","Good","Good","Full inspection","26/04/2022","31/05/2022",10223985,"Good","","","Good","Good"
"62","Ofsted Social Care Provider Webpage","1241023",NA,"Children's home","18/08/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","West Sussex","Horsham","For profit",NA,8," ","","Treehouse Educare Limited","Full inspection","21/02/2024","02/04/2024",10273460,"Good","","","Good","Good","Full inspection","14/12/2022","30/01/2023",10224005,"Good","","","Good","Good"
"63","Ofsted Social Care Provider Webpage","1241776",NA,"Children's home","16/02/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Warwickshire","Rugby","For profit",NA,4," ","","Hexagon Care Services Limited","Full inspection","21/11/2023","09/01/2024",10273461,"Requires improvement to be good","","","Requires improvement to be good","Good","Full inspection","16/08/2022","07/10/2022",10224011,"Good","","","Requires improvement to be good","Good"
"64","Ofsted Social Care Provider Webpage","1244160",NA,"Children's home","18/10/2016","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South East","South East","Oxfordshire","Oxford West and Abingdon","For profit",NA,8," ","","Witherslack Group Limited","Full inspection","19/12/2023","01/02/2024",10273462,"Good","","","Good","Good","Full inspection","10/01/2023","08/03/2023",10224029,"Good","","","Good","Good"
