"","Web.link","URN","Linked.Education.URN","Provision.type","Registration.date","Registration.status","Name","Address.1","Address.2","Town","County","Postcode","Ofsted.region","Government.Office.Region","Local.authority","Parliamentary.constituency","Sector","Premises","Places","Short.break.only.children.s.home","Multi.building.children.s.home","Organisation.which.owns.the.provider","Latest.full.inspection.event.type","Latest.full.inspection.date","Latest.full.inspection.publication.date","Latest.full.inspection.event.number","Overall.experiences.and.progress.of.children.and.young.people","Outcomes.in.education.and.related.learning.activities","Health.services","How.well.children.and.young.people.are.helped.and.protected","The.effectiveness.of.leaders.and.managers","Previous.full.inspection.event.type","Previous.full.inspection.event.date","Previous.full.inspection.publication.date","Previous.full.inspection.event.number","Previous.overall.experiences.and.progress.of.children.and.young.people","Previous.outcomes.in.education.and.related.learning.activities","Previous.health.services","Previous.how.well.children.and.young.people.are.helped.and.protected","Previous.effectiveness.of.leaders.and.managers"
"860","Ofsted Social Care Provider Webpage","2614738",NA,"Children's home","16/06/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Sandwell","Warley","For profit",NA,4," ","","Clear Water Care Homes Ltd","Full inspection","23/05/2023","28/06/2023",10273948,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","07/06/2022","21/07/2022",10224999,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good"
"861","Ofsted Social Care Provider Webpage","2614999",NA,"Children's home","26/02/2021","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","East Midlands","East Midlands","West Northamptonshire","South Northamptonshire","For profit",NA,3," ","","GAC Family Services Ltd","Full inspection","05/09/2023","05/10/2023",10273949,"Good","","","Good","Good","Full inspection","20/09/2022","18/10/2022",10245556,"Good","","","Good","Good"
"862","Ofsted Social Care Provider Webpage","2586943",NA,"Children's home","22/06/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","South Staffordshire","For profit",NA,4," ","","Horizon Care and Education Group Limited","Full inspection","06/12/2023","30/01/2024",10272081,"Good","","","Good","Requires improvement to be good","Full inspection","22/03/2023","11/05/2023",10224787,"Good","","","Good","Requires improvement to be good"
"863","Ofsted Social Care Provider Webpage","2578677",NA,"Children's home","09/03/2020","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","South West","South West","Devon","North Devon","For profit",NA,3," ","","SW Education & Care Ltd","Full inspection","22/01/2024","04/03/2024",10272082,"Good","","","Good","Good","Full inspection","11/01/2023","22/02/2023",10224757,"Good","","","Good","Good"
"864","Ofsted Social Care Provider Webpage","SC018241",NA,"Children's home","27/09/2000","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North East, Yorkshire and the Humber","Yorkshire and The Humber","Barnsley","Barnsley Central","For profit",NA,4," ","","Dove Adolescent Services Limited","Full inspection","07/02/2024","12/03/2024",10272088,"Outstanding","","","Outstanding","Outstanding","Full inspection","06/03/2023","20/04/2023",10222494,"Outstanding","","","Outstanding","Outstanding"
"865","Ofsted Social Care Provider Webpage","2728682",NA,"Children's home","25/06/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Blackpool North and Cleveleys","For profit",NA,2,"","","Safety and Focused Care Ltd","Full inspection","27/11/2023","10/01/2024",10303528,"Good","","","Good","Good","","","",NA,"","","","",""
"866","Ofsted Social Care Provider Webpage","2730637",NA,"Children's home","08/06/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Staffordshire","Cannock Chase","For profit",NA,4,"","","Support and Sustain Care Ltd","Full inspection","13/11/2023","18/01/2024",10303568,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","","","",NA,"","","","",""
"867","Ofsted Social Care Provider Webpage","2721136",NA,"Children's home","21/04/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","West Midlands","West Midlands","Birmingham","Birmingham, Ladywood","For profit",NA,3,"","","TJY Care Ltd","Full inspection","31/10/2023","05/12/2023",10303569,"Good","","","Good","Outstanding","","","",NA,"","","","",""
"868","Ofsted Social Care Provider Webpage","2743634",NA,"Children's home","21/09/2023","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Liverpool","Liverpool, West Derby","For profit",NA,1,"","","Tab Care and Support Ltd","Full inspection","23/01/2024","29/02/2024",10313629,"Good","","","Good","Good","","","",NA,"","","","",""
"869","Ofsted Social Care Provider Webpage","1240844",NA,"Children's home","16/02/2017","Active","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","North West","North West","Lancashire","Wyre and Preston North","For profit",NA,2," ","","Your Chapter Holdings Limited","Full inspection","16/01/2024","15/02/2024",10313759,"Requires improvement to be good","","","Requires improvement to be good","Requires improvement to be good","Full inspection","02/10/2023","13/11/2023",10273459,"Inadequate","","","Inadequate","Inadequate"
