,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_CLA_2014,Boys_CLA_2014,Girls_CLA_2014,All_CLA_2015,Boys_CLA_2015,Girls_CLA_2015,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013,All_non_CLA_2014,Boys_non_CLA_2014,Girls_non_CLA_2014,All_non_CLA_2015,Boys_non_CLA_2015,Girls_non_CLA_2015
Elig_KS4,5024,2933,2091,4866,2729,2137,4872,2721,2151,4796,2592,2204,4936,2666,2270,631938,323947,307991,626395,321536,304859,637934,326535,311399,623657,319754,303903,617303,316592,300711
Lev2,1682,836,846,1809,860,949,1811,846,965,793,306,487,901,392,509,498113,243414,254699,507111,249264,257847,516256,252407,263849,394060,182829,211231,395745,185127,210618
Lev2_EM,684,318,366,727,322,405,755,327,428,586,230,356,683,299,384,369520,177412,192108,368360,174164,194196,373907,174284,199623,329759,152669,177090,328228,153202,175026
GCSE_EM,713,334,379,748,330,418,791,344,447,689,288,401,784,354,430,373287,179670,193617,371590,176116,195474,378666,177204,201462,342926,161132,181794,340527,161200,179327
Elig_KS4prog_eng,3988,2220,1768,3946,2106,1840,4075,2190,1885,4046,2100,1946,4147,2159,1988,556473,283426,273047,554088,283287,270801,566075,288572,277503,554490,283284,271206,548091,280367,267724
Exp_KS4prog_eng,1316,570,746,1237,529,708,1333,575,758,1409,557,852,1526,642,884,391038,183850,207188,368197,169787,198410,389293,180473,208820,388121,181747,206374,381509,180205,201304
Elig_KS4prog_maths,3965,2191,1774,3925,2089,1836,4078,2200,1878,4058,2114,1944,4153,2163,1990,557672,285315,272357,555153,284723,270430,567763,290242,277521,555898,284600,271298,549213,281463,267750
Exp_KS4prog_maths,1058,544,514,1198,598,600,1193,561,632,1064,508,556,1218,582,636,353939,175198,178741,373089,184568,188521,393348,193830,199518,356822,175523,181299,360349,179043,181306
