,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_CLA_2014,Boys_CLA_2014,Girls_CLA_2014,All_CLA_2015,Boys_CLA_2015,Girls_CLA_2015,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013,All_non_CLA_2014,Boys_non_CLA_2014,Girls_non_CLA_2014,All_non_CLA_2015,Boys_non_CLA_2015,Girls_non_CLA_2015
Elig_KS1,1512,804,708,1686,887,799,1746,950,796,1753,955,798,1907,1064,843,569023,291338,277685,581289,297457,283832,593810,303959,289851,615134,315117,300017,641045,327875,313170
Lev2_read,969,481,488,1124,549,575,1205,614,591,1240,628,612,1362,714,648,485477,237961,247516,505677,249062,256615,526645,260534,266111,551720,273897,277823,580407,288208,292199
Lev2_maths,1033,533,500,1191,622,569,1231,646,585,1263,661,602,1386,743,643,510160,256877,253283,526508,265346,261162,542711,273579,269132,566743,286184,280559,595516,299965,295551
Lev2_writ,850,398,452,962,446,516,1061,520,541,1067,511,556,1210,603,607,462723,221264,241459,483847,232917,250930,504960,244427,260533,530408,258256,272152,561461,273888,287573
