Table LA2: Eligibility and performance of children who have been looked after continuously for at least 12 months1 at Key Stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-20142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,2011,,,,,,2012,,,,,,,,2013,,,,,,,,,2014,,,,,,,
,Percentage with UPN3,"Number eligible to sit Key Stage 2 tasks and tests4,5",,Percentage who achieved at least Level 46 in the following:,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,,,Percentage with UPN3,Number eligible to sit Key Stage 2 tasks and tests4,,Percentage who achieved at least Level 46 in the following:,,,,
,,,,Mathematics,Reading,,,,,Mathematics,Reading,,,,,Mathematics,Reading,Writing7,"Reading, writing and mathematics",,,,,Mathematics,Reading,Writing7,"Grammar, Punctuation and Spelling8","Reading, writing and mathematics",,,,,Mathematics,Reading,Writing7,"Grammar, Punctuation and Spelling8","Reading, writing and mathematics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockport,100,10,,x,x,,100,5,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,91,91,73,64,73
Tameside,100,15,,59,76,,100,15,,65,71,,100,15,,76,94,65,65,,100,10,,64,64,64,x,x,,100,20,,75,75,60,60,60
Trafford,100,x,,x,x,,100,5,,x,x,,100,15,,53,73,60,47,,100,10,,x,x,x,x,x,,100,10,,64,91,55,55,x
Warrington,100,5,,x,x,,100,5,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x
Wigan,100,15,,41,35,,100,15,,67,67,,100,25,,52,70,65,48,,100,20,,52,57,52,43,43,,100,15,,67,60,60,53,60
Wirral,100,25,,56,63,,100,25,,60,68,,90-99,25,,56,78,52,44,,100,30,,71,64,50,57,43,,90-99,35,,60,69,57,40,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,.,200,,45,50,,.,260,,44,56,,.,270,,55,61,46,38,,.,280,,59,60,53,41,43,,.,290,,55,64,56,44,45
Barnsley,100,x,,x,x,,100,x,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
Bradford,100,30,,57,56,,100,30,,57,63,,100,35,,70,79,70,58,,100,40,,60,65,60,40,45,,100,30,,70,63,57,43,53
Calderdale,100,10,,x,x,,100,15,,71,79,,100,10,,x,x,x,x,,100,20,,70,75,50,40,45,,100,25,,74,78,65,48,61
Doncaster,100,10,,x,x,,100,10,,x,x,,100,20,,50,45,30,x,,100,15,,69,75,69,69,63,,100,20,,58,63,58,42,47
East Riding of Yorkshire,100,10,,x,x,,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x
"Kingston Upon Hull, City of",100,15,,50,40,,100,20,,48,48,,100,15,,44,63,38,x,,100,25,,65,54,54,46,50,,100,20,,50,61,61,39,50
Kirklees,100,15,,46,46,,100,20,,50,67,,100,25,,43,57,43,39,,100,25,,77,69,69,50,54,,100,30,,55,58,61,48,55
Leeds,100,35,,40,53,,100,60,,39,63,,90-99,55,,51,60,40,35,,100,45,,51,49,47,34,34,,100,60,,56,60,52,42,43
North East Lincolnshire,100,x,,x,x,,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
