Table LA4:  Offending by children who had been looked after continuously for at least 12 months1,,,,,,,,,,,,,,,,,,
Years: 2014,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Number of children looked after at 31 March who had been looked after for at least 12 months2,,Number of looked after children aged 10 or older at 31 March3,,Looked after children aged 10 and above,,,,,,,,,,,,,
,,,,,Number convicted or subject to a final warning or reprimand during the year4,Percentage convicted or subject to a final warning or reprimand during the year,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Thurrock,190,,135,,x,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LONDON,"6,550",,"4,750",,270,5.7,,,,,,,,,,,,
INNER LONDON,"2,920",,"2,110",,140,6.5,,,,,,,,,,,,
Camden,160,,130,,x,x,,,,,,,,,,,,
City of London,5,,5,,x,x,,,,,,,,,,,,
Hackney,225,,160,,15,8.9,,,,,,,,,,,,
Hammersmith and Fulham,135,,105,,10,8.7,,,,,,,,,,,,
Haringey,365,,235,,20,8.0,,,,,,,,,,,,
Islington,200,,155,,15,9.6,,,,,,,,,,,,
Kensington and Chelsea,55,,50,,x,x,,,,,,,,,,,,
Lambeth,330,,225,,25,11.9,,,,,,,,,,,,
Lewisham,340,,250,,15,5.2,,,,,,,,,,,,
Newham,255,,205,,10,3.9,,,,,,,,,,,,
Southwark,380,,250,,10,3.2,,,,,,,,,,,,
Tower Hamlets,205,,155,,x,x,,,,,,,,,,,,
Wandsworth,130,,100,,15,14.3,,,,,,,,,,,,
Westminster,125,,85,,x,x,,,,,,,,,,,,
OUTER LONDON,"3,620",,"2,640",,130,5.0,,,,,,,,,,,,
Barking and Dagenham,260,,160,,x,x,,,,,,,,,,,,
Barnet,205,,155,,x,x,,,,,,,,,,,,
Bexley,150,,105,,5,5.8,,,,,,,,,,,,
Brent,215,,160,,10,7.6,,,,,,,,,,,,
Bromley,180,,125,,10,9.6,,,,,,,,,,,,
Croydon,465,,380,,30,7.4,,,,,,,,,,,,
Ealing,255,,180,,10,5.0,,,,,,,,,,,,
Enfield,200,,140,,5,4.3,,,,,,,,,,,,
Greenwich,395,,270,,5,2.2,,,,,,,,,,,,
Harrow,90,,70,,x,x,,,,,,,,,,,,
Havering,120,,85,,x,x,,,,,,,,,,,,
Hillingdon,230,,180,,5,3.3,,,,,,,,,,,,
Hounslow,210,,160,,5,4.4,,,,,,,,,,,,
Kingston upon Thames,80,,50,,x,x,,,,,,,,,,,,
Merton,85,,60,,5,9.7,,,,,,,,,,,,
Redbridge,140,,95,,10,9.5,,,,,,,,,,,,
Richmond upon Thames,50,,40,,x,x,,,,,,,,,,,,
Sutton,115,,80,,x,x,,,,,,,,,,,,
Waltham Forest,170,,135,,5,4.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOUTH EAST,"6,030",,"4,020",,240,6.1,,,,,,,,,,,,
Bracknell Forest,75,,55,,x,x,,,,,,,,,,,,
Brighton and Hove,325,,225,,15,6.2,,,,,,,,,,,,
Buckinghamshire,315,,205,,x,x,,,,,,,,,,,,
East Sussex,425,,275,,x,x,,,,,,,,,,,,
Hampshire,810,,550,,40,7.5,,,,,,,,,,,,
Isle of Wight,115,,80,,10,15.0,,,,,,,,,,,,
Kent,"1,250",,820,,60,7.1,,,,,,,,,,,,
Medway,275,,155,,10,7.1,,,,,,,,,,,,
Milton Keynes,190,,125,,x,x,,,,,,,,,,,,
Oxfordshire,250,,190,,x,x,,,,,,,,,,,,
Portsmouth,215,,135,,15,12.7,,,,,,,,,,,,
Reading,160,,100,,10,12.2,,,,,,,,,,,,
Slough,120,,75,,x,x,,,,,,,,,,,,
Southampton,345,,160,,10,7.5,,,,,,,,,,,,
Surrey,520,,375,,20,5.6,,,,,,,,,,,,
West Berkshire,105,,75,,10,10.8,,,,,,,,,,,,
West Sussex,420,,330,,20,5.5,,,,,,,,,,,,
Windsor and Maidenhead,70,,45,,x,x,,,,,,,,,,,,
Wokingham,55,,45,,x,x,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SOUTH WEST,"3,690",,"2,630",,150,5.7,,,,,,,,,,,,
Bath and North East Somerset,100,,75,,x,x,,,,,,,,,,,,
Bournemouth,180,,115,,5,5.2,,,,,,,,,,,,
"Bristol, City of",495,,365,,25,6.3,,,,,,,,,,,,
Cornwall,295,,250,,x,x,,,,,,,,,,,,
Devon,450,,330,,5,2.1,,,,,,,,,,,,
Dorset,230,,180,,20,10.0,,,,,,,,,,,,
Gloucestershire,320,,200,,20,9.4,,,,,,,,,,,,
Isles of Scilly,0,,0,,x,.,,,,,,,,,,,,
North Somerset,155,,115,,x,x,,,,,,,,,,,,
Plymouth,260,,180,,x,x,,,,,,,,,,,,
Poole,105,,75,,x,x,,,,,,,,,,,,
Somerset,330,,220,,25,12.2,,,,,,,,,,,,
South Gloucestershire,115,,70,,10,11.1,,,,,,,,,,,,
Swindon,170,,120,,15,10.7,,,,,,,,,,,,
Torbay,205,,125,,x,x,,,,,,,,,,,,
Wiltshire,285,,205,,10,5.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Source: SSDA903,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1. Offending data is collected for children aged 10 or over who have been continuously looked after for at least 12 months as at 31 March excluding those children in respite care.,,,,,,,,,,,,,,,,,,
2. Children of all ages who have been continuously looked after for at least 12 months.,,,,,,,,,,,,,,,,,,
3. Children aged 10 to 17 at 31 March 2014 who have been continuously looked after for at least 12 months.,,,,,,,,,,,,,,,,,,
4. This includes children who were convicted or subject to a final warning or reprimand under the Crime and Disorder Act 1998 during the year for an offence committed while being looked after.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"All numbers relating to national or regional totals have been rounded to the nearest 10, all Local Authority numbers have been rounded to the nearest 5.",,,,,,,,,,,,,,,,,,
x = number less than or equal to 5 or percentage where the numerator is less than or equal to 5 or the denominator is less than or equal to 10.,,,,,,,,,,,,,,,,,,
. = not applicable,,,,,,,,,,,,,,,,,,
See technical notes 19 and 20 for more information on rounding conventions.,,,,,,,,,,,,,,,,,,
