"Table LA9:  Exclusions from school of children who have been looked after continuously for at least 12 months1,2,3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,
,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed exclusion
,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrington,100,, 115 ,,0.00,9.48,,100,, 105 ,,0.00,12.38,,100,,115,,0.00,12.93,,100,,105,,0.00,12.15
Wigan,100,, 210 ,,0.00,7.58,,100,, 215 ,,0.00,10.80,,100,,230,,x,9.17,,100,,245,,x,9.02
Wirral,90-99,, 330 ,,0.00,11.89,,90-99,, 340 ,,0.00,11.24,,90-99,,345,,0.00,10.37,,90-99,,350,,0.00,8.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORKSHIRE AND THE HUMBER,.,," 3,160 ",,x,11.63,,.,," 3,270 ",,x,9.95,,.,," 3,270 ",,x,9.67,,.,," 3,400 ",,x,8.23
Barnsley,90-99,, 110 ,,0.00,11.71,,100,, 105 ,,0.00,7.62,,100,,85,,0.00,7.23,,100,,70,,0.00,10.00
Bradford,90-99,, 440 ,,0.00,10.20,,90-99,, 435 ,,0.00,8.99,,90-99,,420,,0.00,8.10,,90-99,,420,,0.00,5.71
Calderdale,100,, 130 ,,0.00,7.63,,100,, 130 ,,0.00,6.25,,90-99,,160,,0.00,9.26,,100,,185,,0.00,7.07
Doncaster,100,, 165 ,,x,13.33,,100,, 185 ,,0.00,8.65,,100,,165,,x,14.63,,90-99,,185,,x,11.89
East Riding of Yorkshire,90-99,, 125 ,,0.00,13.49,,100,, 130 ,,0.00,11.54,,100,,115,,0.00,11.40,,90-99,,145,,0.00,12.41
Kingston Upon Hull,90-99,, 255 ,,x,11.76,,90-99,, 280 ,,x,11.74,,100,,300,,0.00,10.70,,90-99,,315,,0.00,9.18
Kirklees,100,, 235 ,,0.00,12.71,,100,, 260 ,,0.00,7.75,,100,,265,,0.00,5.66,,100,,295,,0.00,6.80
Leeds,90-99,, 680 ,,0.00,11.01,,90-99,, 695 ,,x,9.04,,90-99,,680,,0.00,9.38,,90-99,,670,,0.00,7.17
North East Lincolnshire,100,, 50 ,,0.00,x,,100,, 50 ,,x,13.46,,100,,50,,x,x,,100,,60,,x,9.84
North Lincolnshire,90-99,, 75 ,,0.00,19.18,,100,, 75 ,,0.00,13.51,,100,,70,,0.00,9.72,,90-99,,75,,0.00,x
North Yorkshire,90-99,, 200 ,,0.00,8.96,,90-99,, 210 ,,0.00,10.85,,90-99,,225,,0.00,8.97,,90-99,,230,,0.00,7.36
Rotherham,90-99,, 190 ,,0.00,9.95,,90-99,, 190 ,,0.00,9.42,,90-99,,190,,x,6.38,,100,,185,,x,7.61
Sheffield,90-99,, 245 ,,0.00,15.23,,90-99,, 235 ,,0.00,14.10,,90-99,,245,,0.00,12.65,,90-99,,235,,0.00,11.44
Wakefield,90-99,, 150 ,,0.00,15.23,,90-99,, 170 ,,0.00,14.12,,90-99,,185,,0.00,11.96,,90-99,,195,,0.00,9.14
York,90-99,, 100 ,,0.00,11.88,,90-99,, 115 ,,x,6.90,,100,,115,,0.00,14.66,,90-99,,130,,0.00,9.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST MIDLANDS,.,," 1,760 ",,0.45,13.56,,.,," 1,840 ",,x,11.80,,.,," 1,880 ",,x,11.54,,.,," 2,000 ",,0.30,10.40
Derby,90-99,, 225 ,,0.00,7.59,,90-99,, 215 ,,0.00,9.26,,90-99,,210,,x,8.02,,90-99,,230,,x,7.33
Derbyshire,90-99,, 240 ,,0.00,19.50,,100,, 265 ,,0.00,14.98,,100,,260,,0.00,17.24,,100,,280,,x,15.05
Leicester,90-99,, 215 ,,x,13.36,,90-99,, 215 ,,0.00,13.02,,100,,220,,0.00,9.05,,100,,225,,0.00,9.82
Leicestershire,100,, 130 ,,x,13.95,,100,, 145 ,,0.00,10.42,,100,,150,,x,9.33,,90-99,,155,,0.00,9.15
Lincolnshire,90-99,, 255 ,,x,12.06,,90-99,, 245 ,,0.00,9.72,,90-99,,245,,0.00,12.60,,90-99,,240,,x,9.24
Northamptonshire,90-99,, 265 ,,x,11.41,,100,, 280 ,,x,12.14,,100,,280,,x,11.11,,100,,280,,x,10.00
Nottingham,90-99,, 190 ,,x,12.17,,90-99,, 200 ,,x,11.62,,90-99,,215,,0.00,9.26,,90-99,,225,,0.00,6.64
