New_geog_code,geog_l,geog_c,geog_n,CLA_started2013,CLA_taken2013,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,,,,,,,,,
E09000016,LA,311,Havering,99,42,54,45,15,16,14,36,18,57,x,x,7,24,x,0,x,12,0,x,54,30,0,0,0,0,0,,,,,,,,,
E09000017,LA,312,Hillingdon,189,36,111,78,19,24,26,69,51,63,x,x,15,12,8,0,85,x,0,x,143,27,x,0,9,0,0,,,,,,,,,
E09000018,LA,313,Hounslow,140,75,66,74,28,26,23,35,28,90,x,x,7,16,6,0,16,22,x,0,64,50,x,0,x,0,0,,,,,,,,,
E09000021,LA,314,Kingston upon Thames,73,25,42,31,14,18,12,10,19,35,0,x,14,9,x,0,13,21,0,0,43,x,x,0,x,0,0,,,,,,,,,
E09000024,LA,315,Merton,93,21,56,37,10,x,7,33,38,28,0,x,9,26,x,0,23,11,0,0,65,10,0,0,7,0,0,,,,,,,,,
E09000025,LA,316,Newham,223,93,121,102,42,37,34,77,33,118,8,15,24,31,x,0,23,19,x,0,126,68,x,0,x,0,0,,,,,,,,,
E09000026,LA,317,Redbridge,107,20,61,46,13,18,9,39,28,60,x,7,7,10,x,0,18,7,x,0,73,11,x,0,14,0,0,,,,,,,,,
E09000027,LA,318,Richmond upon Thames,52,21,26,26,8,9,9,20,6,23,x,7,x,11,x,0,x,9,0,x,29,12,0,0,x,0,0,,,,,,,,,
E09000029,LA,319,Sutton,82,31,44,38,16,13,15,25,13,17,x,x,35,18,x,0,8,13,0,0,51,12,6,0,0,0,0,,,,,,,,,
E09000031,LA,320,Waltham Forest,120,52,68,52,28,17,11,42,22,60,x,7,7,25,x,x,11,19,0,0,62,29,x,0,6,0,0,,,,,,,,,
E08000025,LA,330,Birmingham,708,377,373,335,165,136,103,213,91,514,14,9,60,71,23,0,17,206,x,0,306,158,11,0,25,0,0,,,,,,,,,
E08000026,LA,331,Coventry,282,137,143,139,68,65,43,84,22,218,7,x,14,23,10,x,x,77,0,0,135,60,0,0,9,x,0,,,,,,,,,
E08000027,LA,332,Dudley,199,110,100,99,48,45,34,63,9,144,x,x,x,31,8,0,x,66,x,0,87,39,x,0,x,0,0,,,,,,,,,
E08000028,LA,333,Sandwell,204,109,113,91,54,47,41,50,12,145,0,0,11,14,7,0,27,58,x,0,90,49,x,0,x,0,0,,,,,,,,,
E08000029,LA,334,Solihull,115,44,64,51,25,18,14,39,19,32,x,13,44,x,x,0,13,35,0,0,70,9,0,0,x,0,0,,,,,,,,,
E08000030,LA,335,Walsall,253,102,131,122,57,65,53,56,22,72,x,0,93,74,8,x,x,66,x,0,144,34,x,0,7,0,0,,,,,,,,,
E08000031,LA,336,Wolverhampton,243,102,126,117,58,60,46,64,15,137,8,6,33,40,14,0,x,53,x,0,135,34,14,0,6,0,0,,,,,,,,,
E08000011,LA,340,Knowsley,68,23,34,34,17,18,16,16,x,32,x,x,6,20,7,0,0,14,x,0,45,x,x,x,0,0,0,,,,,,,,,
E08000012,LA,341,Liverpool,280,125,141,139,73,69,41,83,14,199,x,6,10,32,8,0,22,106,x,0,148,17,0,x,7,0,0,,,,,,,,,
E08000013,LA,342,St. Helens,185,73,98,87,50,55,35,40,x,164,x,x,x,10,x,0,0,68,0,0,108,x,x,0,x,0,0,,,,,,,,,
E08000014,LA,343,Sefton,123,51,64,59,30,28,18,39,8,53,x,x,44,8,9,0,x,40,x,0,71,6,x,0,x,0,0,,,,,,,,,
E08000015,LA,344,Wirral,188,70,107,81,42,46,33,42,25,65,x,x,16,80,11,x,x,60,x,0,114,6,x,0,x,0,0,,,,,,,,,
E08000001,LA,350,Bolton,172,94,82,90,52,39,35,40,6,95,7,x,29,26,x,x,7,68,x,0,75,19,6,0,x,0,0,,,,,,,,,
E08000002,LA,351,Bury,119,60,60,59,28,25,19,36,11,80,0,x,x,16,7,0,11,44,0,0,59,11,x,0,0,0,0,,,,,,,,,
E08000003,LA,352,Manchester,514,279,275,239,88,103,109,153,61,257,15,32,63,71,38,x,35,116,x,0,226,136,22,0,9,0,0,,,,,,,,,
E08000004,LA,353,Oldham,144,84,69,75,38,42,24,34,6,111,0,12,x,13,x,0,0,39,0,0,58,39,6,0,x,0,0,,,,,,,,,
E08000005,LA,354,Rochdale,223,116,114,109,47,47,43,61,25,120,x,8,58,25,x,0,x,81,x,0,101,25,8,0,6,0,0,,,,,,,,,
E08000006,LA,355,Salford,193,76,92,101,40,41,39,57,16,124,x,6,x,50,0,x,x,37,0,0,117,34,x,0,0,0,0,,,,,,,,,
