New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2013,CLA_2013,CLA_stp2013,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E06000029,LA,836,Poole,145,223,x,86,59,x,23,27,54,37,134,7,0,x,x,0,118,8,x,9,x,0,x,0,0,16,68,0,16,44,x,0,x,0,116,x,0,23,x,x,0,104,26,14,27,83,54,94,40
E06000028,LA,837,Bournemouth,265,409,6,133,132,23,53,42,91,56,222,19,x,x,x,15,197,14,x,12,6,19,14,0,0,42,63,0,31,129,0,0,0,0,117,0,x,142,x,x,0,179,67,19,42,118,133,46,x
E06000047,LA,840,Durham,626,924,75,348,278,46,126,147,206,101,608,9,x,0,x,0,476,49,27,7,63,x,x,0,0,57,275,0,116,175,x,0,x,0,463,7,x,118,8,27,0,379,161,86,112,467,110,400,290
E06000005,LA,841,Darlington,208,286,x,113,95,25,46,21,86,30,197,8,x,x,x,0,161,15,x,x,24,x,x,0,0,11,58,0,16,123,0,0,0,0,147,x,x,57,0,x,0,126,50,32,35,107,86,94,8
E10000011,LA,845,East Sussex,598,795,60,341,257,43,107,129,224,95,529,41,x,11,7,6,477,37,20,8,43,7,6,0,0,102,278,0,112,104,x,0,6,0,410,7,x,136,21,20,0,366,158,74,120,491,70,221,151
E06000043,LA,846,Brighton and Hove,443,656,21,228,215,41,64,79,175,84,359,48,13,13,8,x,364,26,14,x,34,x,x,x,0,73,197,0,82,89,x,0,7,0,207,x,0,216,x,14,x,280,102,61,89,169,246,50,x
E10000014,LA,850,Hampshire,1131,1571,29,629,502,78,159,201,429,264,1019,37,26,11,18,20,833,50,84,47,86,x,19,7,0,192,416,x,107,406,9,0,24,10,687,x,x,324,22,84,7,724,224,183,213,765,309,521,212
E06000044,LA,851,Portsmouth,307,411,7,171,136,27,53,60,104,63,264,19,x,7,11,x,238,15,13,x,30,7,x,x,0,59,126,0,49,68,x,0,14,0,176,11,x,90,10,13,x,186,74,47,72,120,170,45,x
E06000045,LA,852,Southampton,482,640,12,276,206,36,135,122,134,55,390,45,25,15,7,0,413,23,23,x,12,7,x,x,0,148,140,0,78,116,0,0,x,0,341,8,x,97,10,23,x,321,113,48,87,239,218,81,x
E10000018,LA,855,Leicestershire,435,598,19,251,184,42,93,85,134,81,371,43,12,0,x,x,324,34,14,8,40,11,x,0,0,78,158,0,58,141,0,0,11,0,308,x,x,100,9,14,0,315,95,25,72,320,81,329,248
E06000016,LA,856,Leicester,521,723,20,275,246,33,110,109,173,96,342,92,47,27,7,6,405,20,19,8,53,8,6,0,x,110,258,x,55,89,7,0,x,10,411,44,7,36,x,19,x,314,132,75,127,292,207,79,x
E06000017,LA,857,Rutland,31,39,0,17,14,x,7,9,7,7,28,x,0,0,x,0,31,0,0,0,0,0,0,0,0,x,11,0,0,15,0,0,x,0,24,x,0,x,0,0,0,28,x,x,x,14,17,10,x
E10000028,LA,860,Staffordshire,953,1217,34,515,438,49,169,209,326,200,835,44,30,x,18,21,679,52,59,52,90,10,11,0,0,135,423,0,125,266,x,0,29,0,487,x,x,398,x,59,0,647,198,108,191,664,237,672,435
E06000021,LA,861,Stoke-on-Trent,479,683,46,267,212,40,105,97,151,86,415,22,19,9,9,x,346,17,43,17,49,x,x,0,x,76,236,x,74,91,0,0,13,0,275,0,x,154,0,43,x,307,118,54,68,262,197,123,x
E06000054,LA,865,Wiltshire,446,607,46,245,201,26,81,81,175,83,397,21,x,6,16,x,334,30,16,13,39,x,10,0,0,77,146,0,47,176,0,0,12,0,262,x,x,149,13,16,0,285,114,47,85,306,110,148,38
E06000030,LA,866,Swindon,250,376,9,143,107,12,30,37,98,73,227,8,x,x,x,7,196,6,7,14,x,17,6,0,0,52,68,0,18,109,x,0,x,0,176,8,x,54,x,7,0,152,53,45,38,171,73,64,x
E06000036,LA,867,Bracknell Forest,103,148,x,51,52,6,16,17,43,21,86,10,x,x,x,0,75,x,x,x,16,x,x,0,0,13,32,0,18,39,x,0,x,0,61,x,x,34,0,x,0,68,23,12,13,57,42,48,6
E06000040,LA,868,Windsor and Maidenhead,106,150,0,66,40,6,16,24,42,18,91,6,8,x,0,0,75,9,x,0,13,x,x,x,0,22,35,0,22,26,x,0,x,0,41,9,0,47,x,x,x,63,33,10,17,32,64,41,x
E06000037,LA,869,West Berkshire,144,178,x,84,60,8,23,27,52,34,127,8,x,x,x,0,118,x,x,x,9,6,x,0,0,21,58,0,13,52,0,0,10,0,100,6,0,29,x,x,0,111,22,11,22,98,43,77,34
E06000038,LA,870,Reading,227,322,6,129,98,19,44,51,79,34,150,47,10,18,x,x,185,13,x,x,7,10,x,0,0,46,85,0,49,47,0,0,6,0,102,x,x,115,x,x,0,157,53,17,40,69,145,27,x
E06000039,LA,871,Slough,182,276,10,91,91,16,36,32,54,44,105,32,26,16,x,0,146,x,0,0,25,6,0,0,0,26,45,0,41,69,x,0,10,0,80,x,x,99,x,0,0,120,37,25,20,52,125,45,x
E06000041,LA,872,Wokingham,86,114,0,51,35,x,13,15,33,21,69,8,x,x,x,x,65,x,x,x,6,x,8,0,0,18,38,0,x,29,0,0,x,0,48,0,x,26,10,x,0,62,16,8,11,35,50,62,12
E10000003,LA,873,Cambridgeshire,463,622,40,255,208,25,64,90,181,103,395,33,15,12,x,x,352,19,12,8,59,x,8,0,0,102,168,x,55,136,x,0,8,0,223,11,x,214,x,12,0,341,91,31,109,277,167,182,15
E06000031,LA,874,Peterborough,350,474,20,205,145,24,66,55,129,76,285,32,11,15,x,x,279,8,8,17,18,18,x,0,0,54,118,x,78,95,x,0,x,0,179,x,0,160,0,8,0,243,68,39,76,155,187,59,x
E06000006,LA,876,Halton,145,190,x,82,63,14,28,29,55,19,136,x,x,0,x,0,117,x,0,x,16,x,0,0,x,38,70,0,13,24,0,0,x,0,120,x,x,17,x,0,x,110,20,15,31,104,34,116,82
E06000007,LA,877,Warrington,227,326,x,120,107,14,39,44,92,38,216,6,x,0,x,0,159,12,11,8,27,7,x,0,0,31,99,0,31,66,0,0,x,0,142,x,0,72,x,11,0,160,48,19,48,137,78,113,35
E10000008,LA,878,Devon,693,1080,146,388,305,41,90,103,258,201,659,24,x,x,x,0,450,34,20,21,111,28,29,0,0,87,231,0,79,295,0,x,x,0,377,10,8,270,8,20,0,429,169,95,93,565,94,245,151
E06000026,LA,879,Plymouth,372,523,32,204,168,26,60,59,138,89,338,9,x,8,8,x,298,11,14,9,21,11,6,x,x,96,103,x,48,123,x,0,x,0,251,10,x,86,6,14,x,289,36,47,95,253,106,71,x
E06000027,LA,880,Torbay,301,395,33,157,144,16,65,75,103,42,286,13,0,x,x,0,229,20,11,6,29,x,x,0,0,48,119,0,41,93,0,0,0,0,118,10,x,154,7,11,0,187,75,39,50,163,118,39,x
E10000012,LA,881,Essex,1260,1841,117,688,572,54,167,226,499,314,1094,89,15,34,22,6,926,84,41,88,96,10,11,x,0,151,598,x,155,352,0,x,39,10,766,10,x,435,x,41,x,849,295,116,319,905,267,496,229
E06000033,LA,882,Southend-on-Sea,235,322,x,123,112,15,33,33,108,46,211,7,x,9,x,0,191,7,9,x,24,x,0,0,0,34,110,0,24,65,x,0,x,0,151,x,x,58,11,9,0,160,56,19,61,113,115,102,x
E06000034,LA,883,Thurrock,264,363,16,158,106,14,38,49,112,51,204,16,16,16,10,x,213,7,6,7,x,21,7,x,0,91,77,0,13,83,0,0,19,0,113,12,x,129,x,6,x,161,67,36,31,93,163,83,x
E06000019,LA,884,Herefordshire,216,313,x,107,109,16,51,48,70,31,204,11,0,0,0,x,175,12,8,x,8,x,x,0,0,43,59,0,28,81,x,0,0,0,161,x,x,43,x,8,0,157,44,15,39,155,49,77,28
E10000034,LA,885,Worcestershire,635,878,x,375,260,29,105,127,233,141,557,44,13,x,16,0,464,23,31,35,75,x,x,x,0,74,230,x,97,229,x,0,21,0,291,10,x,255,44,31,x,423,133,79,147,465,144,374,230
E10000016,LA,886,Kent,1828,2649,227,1100,728,103,338,332,640,415,1537,83,10,53,142,x,1459,95,31,82,97,23,10,31,0,301,572,0,287,659,x,x,186,10,1260,15,13,473,x,31,31,1140,431,257,334,1516,186,1123,937
E06000035,LA,887,Medway,407,606,69,228,179,31,85,98,118,75,362,24,x,13,0,x,307,31,8,10,44,x,x,x,0,53,115,x,82,152,x,0,0,0,268,13,x,111,x,8,x,265,107,33,81,236,139,292,153
E10000017,LA,888,Lancashire,1475,1932,199,811,664,115,320,310,497,233,1336,67,54,8,10,0,1051,64,147,35,102,39,13,0,24,324,712,0,212,221,6,0,x,10,744,27,10,489,34,147,24,1019,291,163,347,1126,261,686,425
E06000008,LA,889,Blackburn with Darwen,345,480,38,200,145,19,93,85,117,31,294,15,21,7,8,0,250,26,30,10,24,0,x,0,x,72,154,0,72,45,x,x,0,0,216,32,0,62,x,30,x,208,88,49,72,171,146,78,x
E06000009,LA,890,Blackpool,483,632,32,273,210,48,116,105,142,72,450,23,x,x,x,7,350,35,27,16,49,6,0,0,0,120,193,x,93,72,x,0,0,0,327,0,x,126,0,27,0,292,147,44,132,264,184,63,x
E10000024,LA,891,Nottinghamshire,874,1153,49,476,398,64,176,178,289,167,775,65,x,x,17,11,658,67,9,24,78,20,15,x,x,84,263,0,201,322,x,0,16,10,588,x,12,252,8,9,x,634,183,57,174,521,283,420,137
E06000018,LA,892,Nottingham,561,791,96,298,263,44,114,101,207,95,404,94,9,36,18,0,435,28,x,13,64,15,x,x,0,91,189,0,136,135,10,0,11,0,249,7,8,266,26,x,x,355,135,71,117,189,343,123,x
E06000051,LA,893,Shropshire,241,319,50,124,117,10,35,48,99,49,228,6,x,x,x,0,168,7,x,9,45,x,9,0,0,31,107,x,7,95,0,0,x,0,166,9,0,63,x,x,0,154,72,15,51,165,69,279,210
E06000020,LA,894,Telford and Wrekin,320,414,55,163,157,21,56,61,119,63,280,28,7,x,x,0,243,13,15,x,35,x,8,0,0,33,148,x,33,100,x,0,0,0,164,0,x,139,x,15,0,232,55,33,85,174,133,94,x
E06000049,LA,895,Cheshire East,376,555,46,195,181,11,59,97,139,70,355,12,x,0,x,0,271,23,29,10,32,0,11,0,0,49,222,0,44,61,0,0,x,0,217,9,0,120,x,29,0,255,87,34,114,200,153,108,x
E06000050,LA,896,Cheshire West and Chester,384,496,49,212,172,20,58,91,155,60,371,12,0,0,0,x,290,18,17,8,35,x,14,0,x,76,199,0,42,67,0,0,0,0,230,9,0,126,x,17,x,250,96,38,78,186,179,87,x
E06000052,LA,908,Cornwall,463,737,184,268,195,26,54,59,222,102,441,14,0,0,6,x,364,15,14,10,30,6,15,0,9,59,218,x,47,138,0,0,0,10,338,x,x,93,0,14,9,284,94,85,84,380,59,89,30
E10000006,LA,909,Cumbria,629,847,91,348,281,47,127,135,218,102,610,17,x,0,0,0,483,25,40,x,50,8,18,x,0,178,277,x,83,84,x,x,0,10,410,11,6,154,6,40,x,435,132,62,123,491,111,144,33
E10000013,LA,916,Gloucestershire,522,707,96,295,227,40,101,110,149,122,476,25,9,x,x,x,426,17,27,26,23,x,x,0,0,104,168,0,68,181,x,0,11,0,330,x,0,142,21,27,0,364,83,75,88,450,55,178,123
E10000015,LA,919,Hertfordshire,1037,1496,12,564,473,62,166,188,363,258,816,123,39,41,18,0,810,54,21,36,89,x,22,x,x,212,405,0,114,304,x,0,34,0,723,x,x,283,x,21,x,658,241,138,178,711,269,171,x
E06000046,LA,921,Isle of Wight,179,243,19,90,89,8,26,28,68,49,170,6,0,x,0,x,132,x,13,x,19,x,x,0,0,29,73,0,11,66,0,0,0,0,164,0,0,x,0,13,0,110,46,23,31,151,23,35,12
E10000019,LA,925,Lincolnshire,583,789,113,306,277,53,126,116,206,82,562,13,x,x,x,0,471,36,33,7,32,x,0,0,0,79,275,0,103,126,0,0,6,0,536,x,x,10,x,33,0,387,141,55,118,507,40,340,300
E10000020,LA,926,Norfolk,1077,1452,71,561,516,64,170,168,417,258,1009,37,x,16,12,0,767,60,30,8,171,18,12,x,7,114,470,x,163,325,x,x,x,0,495,0,x,467,69,30,11,721,236,120,218,811,195,167,x
E10000021,LA,928,Northamptonshire,729,1113,124,434,295,30,131,131,255,182,555,54,63,41,13,x,497,55,14,67,67,8,13,6,x,67,208,x,126,322,x,0,69,0,367,x,6,333,0,14,8,459,181,89,124,541,125,295,170
E06000048,LA,929,Northumberland,316,427,15,168,148,31,66,60,111,48,298,6,x,0,x,7,254,16,x,x,23,x,9,0,0,42,125,0,21,128,0,0,x,0,240,9,x,57,x,x,0,236,51,29,73,230,70,180,110
E10000025,LA,931,Oxfordshire,416,693,73,250,166,27,58,67,162,102,331,31,25,20,7,x,297,24,8,31,49,x,x,0,x,63,142,0,57,153,x,0,28,0,250,x,x,144,7,8,x,281,100,35,68,297,94,81,x
E10000027,LA,933,Somerset,513,789,61,274,239,39,91,90,163,130,497,12,x,x,x,0,335,36,25,19,74,21,x,0,0,87,150,0,69,202,x,x,0,0,328,24,x,116,18,25,0,268,171,73,54,378,99,148,49
E10000029,LA,935,Suffolk,735,1003,11,447,288,66,121,133,290,125,652,53,7,12,x,7,520,59,35,34,60,8,18,x,0,83,357,x,128,164,x,0,x,10,492,14,x,180,11,35,x,478,166,91,180,537,138,197,59
E10000030,LA,936,Surrey,831,1169,x,439,392,60,132,140,294,205,691,50,45,27,18,0,630,47,9,33,59,22,22,9,0,134,272,0,87,337,x,0,60,0,534,x,x,242,35,9,9,555,189,87,141,433,342,261,x
E10000031,LA,937,Warwickshire,698,986,10,399,299,34,132,130,257,145,591,38,15,10,43,x,554,31,44,43,9,7,9,0,x,164,245,x,67,220,0,0,44,0,504,0,x,141,7,44,x,462,149,87,120,428,238,286,48
E10000032,LA,938,West Sussex,670,1010,47,381,289,38,107,95,255,175,551,54,16,29,10,10,473,34,19,28,98,x,15,x,0,94,258,0,77,239,x,0,32,0,414,0,0,218,18,19,x,439,157,74,144,545,90,382,292
