New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E08000025,LA,330,Birmingham,177,7,9,53,33,13,62,43,x,12,x,18,0,9,59,x,0,6,x,169
E08000026,LA,331,Coventry,59,0,0,21,18,x,17,9,11,7,6,0,0,0,19,0,0,x,11,52
E08000027,LA,332,Dudley,34,x,x,x,12,0,12,x,x,0,0,x,0,0,19,0,0,0,x,31
E08000028,LA,333,Sandwell,36,x,6,9,7,x,11,11,0,0,x,6,0,0,6,x,0,x,0,27
E08000029,LA,334,Solihull,75,x,x,33,13,x,19,x,x,0,12,16,x,x,33,0,0,x,x,66
E08000030,LA,335,Walsall,43,7,x,x,19,x,7,7,0,x,8,0,x,0,14,0,0,0,0,36
E08000031,LA,336,Wolverhampton,22,x,0,x,6,x,9,x,0,0,x,x,x,0,7,0,0,x,0,17
E08000011,LA,340,Knowsley,22,0,x,x,12,x,6,7,x,0,x,x,0,0,x,0,0,x,x,21
E08000012,LA,341,Liverpool,67,x,x,31,8,0,23,21,12,0,x,x,0,x,24,0,0,x,12,64
E08000013,LA,342,St. Helens,14,0,x,x,x,x,6,x,0,x,0,x,0,x,x,0,0,0,0,14
E08000014,LA,343,Sefton,29,0,0,8,11,x,8,x,0,0,0,x,x,0,11,x,0,x,0,24
E08000015,LA,344,Wirral,74,6,x,9,30,7,18,12,0,x,17,x,0,0,32,0,0,x,0,68
E08000001,LA,350,Bolton,34,x,x,8,12,x,9,x,x,0,x,x,0,0,13,0,0,x,x,29
E08000002,LA,351,Bury,29,x,x,11,11,0,x,x,6,0,x,x,x,0,7,x,0,0,6,25
E08000003,LA,352,Manchester,145,11,6,38,31,17,42,33,0,6,11,9,7,x,38,x,x,x,0,117
E08000004,LA,353,Oldham,29,0,x,x,10,x,9,x,0,x,x,x,x,x,8,0,0,x,0,27
E08000005,LA,354,Rochdale,18,0,0,x,9,x,x,x,x,x,x,x,x,x,x,0,0,x,x,17
E08000006,LA,355,Salford,53,0,x,20,22,0,10,8,7,x,x,x,0,x,25,0,0,x,7,53
E08000007,LA,356,Stockport,30,0,x,x,8,x,10,x,0,x,x,x,x,0,11,0,0,0,0,26
E08000008,LA,357,Tameside,31,x,x,x,9,x,12,7,x,x,x,x,0,0,12,x,0,x,x,29
E08000009,LA,358,Trafford,25,0,x,6,9,0,9,6,0,x,x,x,x,0,9,0,0,0,0,25
E08000010,LA,359,Wigan,39,0,x,19,9,0,8,9,x,x,x,x,0,0,18,0,0,x,x,38
E08000016,LA,370,Barnsley,21,x,0,10,x,0,7,x,x,x,x,0,x,0,8,0,0,0,x,19
