LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS4_total,KS4_Pass_EM_5_total,KS4_Pass_EM_5_total_%,KS4_Pass_EM_4_total,KS4_Pass_EM_4_total_%,KS4_Att8_total,KS4_Ave_Att8_total,KS4_Prog8_Elig_total,KS4_Sum_Prog8_total,KS4_Prog8_Ave_total
132,E10000011,LA,845,East Sussex,63,6,9.523809524,12,19.04761905,1255.75,19.93253968,54,-46.961,-0.869648148
130,E06000043,LA,846,Brighton and Hove,30,x,x,x,x,481.75,16.05833333,23,-36.9,-1.604347826
133,E10000014,LA,850,Hampshire,112,8,7.142857143,22,19.64285714,2233.25,19.93973214,94,-112.967,-1.201776596
139,E06000044,LA,851,Portsmouth,24,x,x,7,29.16666667,604,25.16666667,23,-31.623,-1.374913043
142,E06000045,LA,852,Southampton,25,x,x,x,x,387.75,15.51,20,-28.051,-1.40255
59,E10000018,LA,855,Leicestershire,39,x,x,6,15.38461538,710,18.20512821,31,-40.139,-1.294806452
58,E06000016,LA,856,Leicester,37,6,16.21621622,8,21.62162162,776.25,20.97972973,28,-23.293,-0.831892857
64,E06000017,LA,857,Rutland,x,x,x,x,x,x,x,x,x,x
73,E10000028,LA,860,Staffordshire,59,x,x,9,15.25423729,1301.75,22.06355932,49,-54.046,-1.102979592
74,E06000021,LA,861,Stoke-on-Trent,33,x,x,9,27.27272727,963.25,29.18939394,29,-21.757,-0.750241379
164,E06000054,LA,865,Wiltshire,28,x,x,8,28.57142857,701,25.03571429,21,-1.918,-0.091333333
162,E06000030,LA,866,Swindon,21,x,x,x,x,293.5,13.97619048,18,-28.235,-1.568611111
129,E06000036,LA,867,Bracknell Forest,9,x,x,x,x,63,7,7,-15.406,-2.200857143
146,E06000040,LA,868,Windsor and Maidenhead,6,x,x,x,x,120,20,x,x,x
144,E06000037,LA,869,West Berkshire,7,x,x,x,x,113.75,16.25,6,-11.274,-1.879
140,E06000038,LA,870,Reading,11,x,x,x,x,214.5,19.5,10,-10.7,-1.07
141,E06000039,LA,871,Slough,17,x,x,x,x,369.88,21.75764706,13,-8.424,-0.648
147,E06000041,LA,872,Wokingham,6,x,x,x,x,116.5,19.41666667,x,x,x
83,E10000003,LA,873,Cambridgeshire,43,x,x,x,x,769.25,17.88953488,35,-40.451,-1.155742857
88,E06000031,LA,874,Peterborough,32,x,x,6,18.75,628.75,19.6484375,22,-23.534,-1.069727273
23,E06000006,LA,876,Halton,12,x,x,x,x,363,30.25,10,-2.455,-0.2455
36,E06000007,LA,877,Warrington,22,x,x,6,27.27272727,364,16.54545455,18,-21.009,-1.167166667
153,E10000008,LA,878,Devon,52,x,x,6,11.53846154,844.75,16.24519231,38,-36.091,-0.949763158
158,E06000026,LA,879,Plymouth,32,x,x,x,x,520.5,16.265625,26,-46.361,-1.783115385
163,E06000027,LA,880,Torbay,21,x,x,x,x,477.5,22.73809524,19,-24.712,-1.300631579
84,E10000012,LA,881,Essex,81,x,x,9,11.11111111,1562.25,19.28703704,60,-68.327,-1.138783333
89,E06000033,LA,882,Southend-on-Sea,15,x,x,x,x,362.75,24.18333333,13,-8.097,-0.622846154
91,E06000034,LA,883,Thurrock,31,x,x,7,22.58064516,725,23.38709677,18,-11.431,-0.635055556
