LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS2_read,Exp_KS2_stand_read,Exp_KS2_stand_read_%,Elig_KS2_writ,Exp_KS2_stand_writ,Exp_KS2_stand_writ_%,Elig_KS2_maths,Exp_KS2_stand_maths,Exp_KS2_stand_maths_%,Elig_KS2_GPS,Exp_KS2_stand_GPS,Exp_KS2_stand_GPS_%,Elig_KS2_RWM,Exp_KS2_stand_RWM,Exp_KS2_stand_RWM_%,Elig_KS2_prog_read,Sum_KS2_prog_read,Ave_KS2_prog_read,Elig_KS2_prog_writ,Sum_KS2_prog_writ,Ave_KS2_prog_writ,Elig_KS2_prog_maths,Sum_KS2_prog_maths,Ave_KS2_prog_maths
112,E09000005,LA,304,Brent,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,11,-2.22,-0.201818182,11,-2.54,-0.230909091,11,5.7,0.518181818
113,E09000006,LA,305,Bromley,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,8,39.18,4.8975,8,0.19,0.02375,8,19.69,2.46125
114,E09000008,LA,306,Croydon,12,x,x,12,x,x,12,x,x,12,x,x,12,x,x,11,-7.75,-0.704545455,11,-50.69,-4.608181818,11,-32.68,-2.970909091
115,E09000009,LA,307,Ealing,17,x,x,17,10,58.82352941,17,11,64.70588235,17,11,64.70588235,17,9,52.94117647,14,19.31,1.379285714,14,16.61,1.186428571,14,-10.57,-0.755
116,E09000010,LA,308,Enfield,7,x,x,7,x,x,7,x,x,7,x,x,7,x,x,7,15.35,2.192857143,7,37.41,5.344285714,7,12.48,1.782857143
98,E09000014,LA,309,Haringey,18,10,55.55555556,18,9,50,18,8,44.44444444,18,10,55.55555556,18,6,33.33333333,16,-3.13,-0.195625,16,-40.12,-2.5075,16,-43.46,-2.71625
118,E09000015,LA,310,Harrow,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,10,-13.03,-1.303,10,-23.89,-2.389,10,-15.75,-1.575
119,E09000016,LA,311,Havering,6,x,x,6,x,x,6,x,x,6,x,x,6,x,x,6,-12.64,-2.106666667,6,-7.58,-1.263333333,6,-5.65,-0.941666667
120,E09000017,LA,312,Hillingdon,8,x,x,8,x,x,8,x,x,8,x,x,8,x,x,8,2.39,0.29875,8,22.39,2.79875,8,14.01,1.75125
121,E09000018,LA,313,Hounslow,6,x,x,6,x,x,6,x,x,6,x,x,6,x,x,6,24.5,4.083333333,6,-12.15,-2.025,6,-20.13,-3.355
122,E09000021,LA,314,Kingston upon Thames,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
123,E09000024,LA,315,Merton,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
103,E09000025,LA,316,Newham,9,x,x,9,x,x,9,x,x,9,x,x,9,x,x,9,-11.22,-1.246666667,9,-23.31,-2.59,9,-37.86,-4.206666667
124,E09000026,LA,317,Redbridge,7,x,x,7,x,x,7,x,x,7,x,x,7,x,x,6,3.66,0.61,6,25.94,4.323333333,6,-0.87,-0.145
125,E09000027,LA,318,Richmond upon Thames,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
126,E09000029,LA,319,Sutton,10,x,x,10,x,x,10,x,x,10,x,x,10,x,x,10,26.9,2.69,10,32.8,3.28,10,23.75,2.375
127,E09000031,LA,320,Waltham Forest,10,x,x,10,x,x,10,x,x,10,x,x,10,x,x,7,-28.49,-4.07,7,-55.53,-7.932857143,7,-25.75,-3.678571429
66,E08000025,LA,330,Birmingham,84,28,33.33333333,84,30,35.71428571,84,31,36.9047619,84,38,45.23809524,84,20,23.80952381,78,-258.47,-3.313717949,78,-182.98,-2.345897436,78,-193.35,-2.478846154
67,E08000026,LA,331,Coventry,23,9,39.13043478,23,7,30.43478261,23,8,34.7826087,23,12,52.17391304,23,x,x,21,-54.39,-2.59,23,-56.8,-2.469565217,21,-16.99,-0.809047619
68,E08000027,LA,332,Dudley,31,16,51.61290323,31,15,48.38709677,31,18,58.06451613,31,13,41.93548387,31,11,35.48387097,30,-25.35,-0.845,30,-17.81,-0.593666667,30,-3,-0.1
70,E08000028,LA,333,Sandwell,21,7,33.33333333,21,8,38.0952381,21,8,38.0952381,21,10,47.61904762,21,x,x,19,-14.27,-0.751052632,20,2,0.1,19,24.7,1.3
72,E08000029,LA,334,Solihull,10,x,x,10,x,x,10,x,x,10,x,x,10,x,x,8,-10.47,-1.30875,9,32.35,3.594444444,9,-1.68,-0.186666667
76,E08000030,LA,335,Walsall,29,13,44.82758621,29,17,58.62068966,29,13,44.82758621,29,15,51.72413793,29,10,34.48275862,27,-34.38,-1.273333333,27,26.12,0.967407407,27,5.08,0.188148148
78,E08000031,LA,336,Wolverhampton,36,15,41.66666667,36,15,41.66666667,36,14,38.88888889,36,16,44.44444444,36,9,25,34,-7.21,-0.212058824,35,-58.73,-1.678,33,-1.91,-0.057878788
24,E08000011,LA,340,Knowsley,11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,11,29.18,2.652727273,11,6.78,0.616363636,11,-10.75,-0.977272727
26,E08000012,LA,341,Liverpool,45,20,44.44444444,45,17,37.77777778,45,18,40,45,19,42.22222222,45,11,24.44444444,42,-58.23,-1.386428571,43,-105.43,-2.451860465,42,-94.66,-2.253809524
32,E08000013,LA,342,St. Helens,21,12,57.14285714,21,14,66.66666667,21,13,61.9047619,21,13,61.9047619,21,10,47.61904762,21,22.74,1.082857143,21,31.26,1.488571429,21,11.9,0.566666667
31,E08000014,LA,343,Sefton,19,7,36.84210526,19,7,36.84210526,19,9,47.36842105,19,8,42.10526316,19,6,31.57894737,19,-25.85,-1.360526316,19,-51.83,-2.727894737,19,-8.15,-0.428947368
38,E08000015,LA,344,Wirral,34,18,52.94117647,34,20,58.82352941,34,17,50,34,18,52.94117647,34,13,38.23529412,33,16.05,0.486363636,34,14.17,0.416764706,33,25.37,0.768787879
18,E08000001,LA,350,Bolton,37,14,37.83783784,37,16,43.24324324,37,17,45.94594595,37,17,45.94594595,37,11,29.72972973,32,-22.19,-0.6934375,34,-10.39,-0.305588235,32,28.09,0.8778125
19,E08000002,LA,351,Bury,15,7,46.66666667,15,6,40,15,8,53.33333333,15,8,53.33333333,15,x,x,15,-15.88,-1.058666667,15,-23.54,-1.569333333,15,-14.33,-0.955333333
27,E08000003,LA,352,Manchester,52,28,53.84615385,52,25,48.07692308,52,23,44.23076923,52,25,48.07692308,52,17,32.69230769,45,33.82,0.751555556,45,-54.79,-1.217555556,45,14.68,0.326222222
28,E08000004,LA,353,Oldham,16,7,43.75,16,9,56.25,16,8,50,16,9,56.25,16,6,37.5,16,9.33,0.583125,16,1.36,0.085,16,10.61,0.663125
