LA_order,New_geog_code,geog_l,geog_c,geog_n,Elig_KS2_read,Exp_KS2_stand_read,Exp_KS2_stand_read_%,Elig_KS2_writ,Exp_KS2_stand_writ,Exp_KS2_stand_writ_%,Elig_KS2_maths,Exp_KS2_stand_maths,Exp_KS2_stand_maths_%,Elig_KS2_GPS,Exp_KS2_stand_GPS,Exp_KS2_stand_GPS_%,Elig_KS2_RWM,Exp_KS2_stand_RWM,Exp_KS2_stand_RWM_%,Elig_KS2_prog_read,Sum_KS2_prog_read,Ave_KS2_prog_read,Elig_KS2_prog_writ,Sum_KS2_prog_writ,Ave_KS2_prog_writ,Elig_KS2_prog_maths,Sum_KS2_prog_maths,Ave_KS2_prog_maths
69,E06000019,LA,884,"Herefordshire, County of",11,x,x,11,x,x,11,x,x,11,x,x,11,x,x,11,-39.34,-3.576363636,11,2.78,0.252727273,11,-58.37,-5.306363636
79,E10000034,LA,885,Worcestershire,38,11,28.94736842,38,16,42.10526316,37,17,45.94594595,38,16,42.10526316,37,8,21.62162162,37,-195.07,-5.272162162,37,-183.57,-4.961351351,36,-102.66,-2.851666667
135,E10000016,LA,886,Kent,75,35,46.66666667,74,38,51.35135135,75,34,45.33333333,75,38,50.66666667,74,26,35.13513514,71,-100.98,-1.422253521,71,-121.57,-1.712253521,71,-91.41,-1.287464789
136,E06000035,LA,887,Medway,24,9,37.5,24,14,58.33333333,24,11,45.83333333,24,10,41.66666667,24,7,29.16666667,20,-36.9,-1.845,21,-3.89,-0.185238095,20,-45.6,-2.28
25,E10000017,LA,888,Lancashire,77,37,48.05194805,77,33,42.85714286,76,40,52.63157895,77,40,51.94805195,76,28,36.84210526,70,23.11,0.330142857,72,15.24,0.211666667,69,59.88,0.867826087
16,E06000008,LA,889,Blackburn with Darwen,13,x,x,13,6,46.15384615,13,7,53.84615385,13,6,46.15384615,13,x,x,12,20.35,1.695833333,11,-4.25,-0.386363636,12,8.29,0.690833333
17,E06000009,LA,890,Blackpool,17,8,47.05882353,17,9,52.94117647,17,9,52.94117647,17,10,58.82352941,17,6,35.29411765,15,-26.96,-1.797333333,15,-10.77,-0.718,15,-6.7,-0.446666667
63,E10000024,LA,891,Nottinghamshire,40,17,42.5,40,20,50,40,18,45,40,22,55,40,13,32.5,38,-32.27,-0.849210526,39,-25.17,-0.645384615,39,-57.91,-1.484871795
62,E06000018,LA,892,Nottingham,38,13,34.21052632,38,14,36.84210526,38,15,39.47368421,38,15,39.47368421,38,9,23.68421053,37,-11.77,-0.318108108,37,-116.06,-3.136756757,36,-47.05,-1.306944444
71,E06000051,LA,893,Shropshire,19,10,52.63157895,19,7,36.84210526,19,11,57.89473684,19,9,47.36842105,19,7,36.84210526,18,59.31,3.295,18,-53.83,-2.990555556,18,50.93,2.829444444
75,E06000020,LA,894,Telford and Wrekin,12,x,x,12,x,x,12,x,x,12,6,50,12,x,x,12,-80.93,-6.744166667,12,-42.95,-3.579166667,12,-66.42,-5.535
20,E06000049,LA,895,Cheshire East,21,9,42.85714286,21,10,47.61904762,21,7,33.33333333,21,13,61.9047619,21,x,x,21,-31.28,-1.48952381,21,-1.36,-0.064761905,20,-50.15,-2.5075
21,E06000050,LA,896,Cheshire West and Chester,25,11,44,25,11,44,25,11,44,25,12,48,25,9,36,21,-60.18,-2.865714286,22,-52.49,-2.385909091,21,-23.15,-1.102380952
152,E06000052,LA,908,Cornwall,19,8,42.10526316,19,8,42.10526316,19,10,52.63157895,19,8,42.10526316,19,7,36.84210526,19,-12.44,-0.654736842,19,-49.88,-2.625263158,19,-48,-2.526315789
22,E10000006,LA,909,Cumbria,44,24,54.54545455,44,25,56.81818182,44,28,63.63636364,44,24,54.54545455,44,20,45.45454545,41,33.77,0.823658537,42,-25.03,-0.595952381,41,40.27,0.982195122
155,E10000013,LA,916,Gloucestershire,21,9,42.85714286,21,8,38.0952381,21,7,33.33333333,21,8,38.0952381,21,x,x,21,13.44,0.64,21,26.82,1.277142857,20,-1.76,-0.088
85,E10000015,LA,919,Hertfordshire,41,19,46.34146341,41,21,51.2195122,41,21,51.2195122,41,24,58.53658537,41,12,29.26829268,39,-7.83,-0.200769231,41,-0.41,-0.01,39,-50.43,-1.293076923
134,E06000046,LA,921,Isle of Wight,6,x,x,6,x,x,6,x,x,6,x,x,6,x,x,x,x,x,x,x,x,x,x,x
60,E10000019,LA,925,Lincolnshire,26,6,23.07692308,26,6,23.07692308,26,6,23.07692308,26,6,23.07692308,26,x,x,22,-74.6,-3.390909091,23,-123.03,-5.349130435,22,-111.04,-5.047272727
87,E10000020,LA,926,Norfolk,46,20,43.47826087,46,17,36.95652174,46,22,47.82608696,46,20,43.47826087,46,14,30.43478261,42,-3.08,-0.073333333,42,-42.02,-1.00047619,42,-81.23,-1.934047619
61,E10000021,LA,928,Northamptonshire,35,14,40,35,16,45.71428571,35,12,34.28571429,35,12,34.28571429,35,8,22.85714286,33,-78.24,-2.370909091,34,-52,-1.529411765,33,-138.32,-4.191515152
10,E06000057,LA,929,Northumberland,17,6,35.29411765,17,7,41.17647059,17,8,47.05882353,17,7,41.17647059,17,x,x,17,-13.48,-0.792941176,17,-24.17,-1.421764706,17,-4.61,-0.271176471
138,E10000025,LA,931,Oxfordshire,18,9,50,18,6,33.33333333,18,8,44.44444444,18,9,50,18,x,x,16,17.51,1.094375,17,-47.49,-2.793529412,17,1.59,0.093529412
160,E10000027,LA,933,Somerset,21,8,38.0952381,21,9,42.85714286,21,8,38.0952381,21,11,52.38095238,21,x,x,17,3.34,0.196470588,18,-0.76,-0.042222222,17,-32.29,-1.899411765
90,E10000029,LA,935,Suffolk,33,20,60.60606061,33,22,66.66666667,33,14,42.42424242,33,19,57.57575758,33,12,36.36363636,31,40.97,1.321612903,31,69.44,2.24,31,-56.05,-1.808064516
143,E10000030,LA,936,Surrey,21,8,38.0952381,21,11,52.38095238,21,7,33.33333333,21,9,42.85714286,21,x,x,19,0.31,0.016315789,20,14.44,0.722,20,-55.85,-2.7925
77,E10000031,LA,937,Warwickshire,35,18,51.42857143,35,22,62.85714286,35,19,54.28571429,35,22,62.85714286,35,15,42.85714286,35,-11.9,-0.34,35,32.67,0.933428571,35,-43.51,-1.243142857
145,E10000032,LA,938,West Sussex,22,7,31.81818182,22,6,27.27272727,22,8,36.36363636,22,7,31.81818182,22,x,x,18,-72.7,-4.038888889,18,-115.92,-6.44,16,-58.02,-3.62625
