LA_order,New_geog_code,geog_l,geog_c,geog_n,No_SEN,No_SEN_%,SEN_support,SEN_support_%,SEN_statement_EHCP,SEN_statement_EHCP_%
53,E08000036,LA,384,Wakefield,103,40.39215686,82,32.15686275,70,27.45098039
5,E08000037,LA,390,Gateshead,82,43.15789474,52,27.36842105,56,29.47368421
8,E08000021,LA,391,Newcastle upon Tyne,134,51.73745174,69,26.64092664,56,21.62162162
9,E08000022,LA,392,North Tyneside,59,44.6969697,48,36.36363636,25,18.93939394
12,E08000023,LA,393,South Tyneside,49,32.45033113,46,30.46357616,56,37.08609272
14,E08000024,LA,394,Sunderland,95,43.77880184,76,35.02304147,46,21.19815668
156,E06000053,LA,420,Isles of Scilly,0,.,0,.,0,.
149,E06000022,LA,800,Bath and North East Somerset,41,50.61728395,14,17.28395062,26,32.09876543
151,E06000023,LA,801,"Bristol, City of",146,41.83381089,104,29.79942693,99,28.36676218
157,E06000024,LA,802,North Somerset,38,33.92857143,41,36.60714286,33,29.46428571
161,E06000025,LA,803,South Gloucestershire,29,33.72093023,20,23.25581395,37,43.02325581
6,E06000001,LA,805,Hartlepool,58,53.21100917,22,20.18348624,29,26.60550459
7,E06000002,LA,806,Middlesbrough,105,49.52830189,55,25.94339623,52,24.52830189
11,E06000003,LA,807,Redcar and Cleveland,47,40.51724138,36,31.03448276,33,28.44827586
13,E06000004,LA,808,Stockton-on-Tees,95,42.60089686,74,33.1838565,54,24.21524664
45,E06000010,LA,810,"Kingston Upon Hull, City of",179,49.72222222,115,31.94444444,66,18.33333333
44,E06000011,LA,811,East Riding of Yorkshire,78,52.34899329,34,22.81879195,37,24.83221477
48,E06000012,LA,812,North East Lincolnshire,76,48.40764331,47,29.93630573,34,21.65605096
49,E06000013,LA,813,North Lincolnshire,48,42.85714286,36,32.14285714,28,25
50,E10000023,LA,815,North Yorkshire,94,45.85365854,50,24.3902439,61,29.75609756
54,E06000014,LA,816,York,43,38.05309735,36,31.85840708,34,30.08849558
86,E06000032,LA,821,Luton,67,36.61202186,65,35.51912568,51,27.86885246
81,E06000055,LA,822,Bedford,56,42.7480916,39,29.77099237,36,27.48091603
82,E06000056,LA,823,Central Bedfordshire,69,45.69536424,45,29.8013245,37,24.50331126
131,E10000002,LA,825,Buckinghamshire,82,39.04761905,38,18.0952381,90,42.85714286
137,E06000042,LA,826,Milton Keynes,73,38.02083333,61,31.77083333,58,30.20833333
57,E10000007,LA,830,Derbyshire,103,36.91756272,79,28.31541219,97,34.76702509
56,E06000015,LA,831,Derby,79,37.79904306,62,29.66507177,68,32.53588517
154,E10000009,LA,835,Dorset,88,37.93103448,81,34.9137931,63,27.15517241
159,E06000029,LA,836,Poole,25,26.88172043,32,34.40860215,36,38.70967742
150,E06000028,LA,837,Bournemouth,53,42.74193548,41,33.06451613,30,24.19354839
4,E06000047,LA,840,County Durham,181,45.47738693,103,25.87939698,114,28.64321608
3,E06000005,LA,841,Darlington,51,48.57142857,36,34.28571429,18,17.14285714
132,E10000011,LA,845,East Sussex,127,39.81191223,84,26.3322884,108,33.85579937
130,E06000043,LA,846,Brighton and Hove,67,34.53608247,68,35.05154639,59,30.41237113
133,E10000014,LA,850,Hampshire,309,43.70579915,232,32.81471004,166,23.47949081
139,E06000044,LA,851,Portsmouth,64,37.20930233,54,31.39534884,54,31.39534884
142,E06000045,LA,852,Southampton,137,42.15384615,126,38.76923077,62,19.07692308
59,E10000018,LA,855,Leicestershire,95,41.48471616,59,25.76419214,75,32.7510917
58,E06000016,LA,856,Leicester,144,44.58204334,104,32.19814241,75,23.21981424
64,E06000017,LA,857,Rutland,12,54.54545455,x,x,x,x
73,E10000028,LA,860,Staffordshire,260,48.59813084,147,27.47663551,128,23.92523364
74,E06000021,LA,861,Stoke-on-Trent,188,56.96969697,91,27.57575758,51,15.45454545
164,E06000054,LA,865,Wiltshire,88,38.59649123,54,23.68421053,86,37.71929825
162,E06000030,LA,866,Swindon,52,37.41007194,48,34.5323741,39,28.05755396
129,E06000036,LA,867,Bracknell Forest,15,32.60869565,12,26.08695652,19,41.30434783
146,E06000040,LA,868,Windsor and Maidenhead,21,46.66666667,9,20,15,33.33333333
144,E06000037,LA,869,West Berkshire,32,39.50617284,25,30.86419753,24,29.62962963
140,E06000038,LA,870,Reading,45,39.82300885,23,20.3539823,45,39.82300885
141,E06000039,LA,871,Slough,31,39.74358974,25,32.05128205,22,28.20512821
147,E06000041,LA,872,Wokingham,x,x,x,x,23,60.52631579
83,E10000003,LA,873,Cambridgeshire,124,41.47157191,77,25.75250836,98,32.77591973
88,E06000031,LA,874,Peterborough,70,37.6344086,52,27.95698925,64,34.40860215
23,E06000006,LA,876,Halton,60,46.15384615,46,35.38461538,24,18.46153846
36,E06000007,LA,877,Warrington,101,49.02912621,52,25.24271845,53,25.72815534
153,E10000008,LA,878,Devon,103,29.34472934,120,34.18803419,128,36.46723647
158,E06000026,LA,879,Plymouth,69,33.17307692,74,35.57692308,65,31.25
163,E06000027,LA,880,Torbay,54,30,71,39.44444444,55,30.55555556
