time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,accommodation_suitability,number,percentage
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 24,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 24,Accommodation considered suitable,250,28
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 24,No information,620,70
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 24,Suitability total,880,100
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 25,Accommodation considered not suitable,10,1
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 25,Accommodation considered suitable,120,15
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 25,No information,640,84
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Aged 25,Suitability total,770,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,Accommodation considered not suitable,20,3
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,Accommodation considered suitable,430,54
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,No information,350,44
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 22,Suitability total,800,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,Accommodation considered not suitable,10,1
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,Accommodation considered suitable,380,48
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,No information,410,51
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 23,Suitability total,800,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,Accommodation considered suitable,320,43
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,No information,410,55
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 24,Suitability total,750,100
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,Accommodation considered not suitable,10,2
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,Accommodation considered suitable,300,57
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,No information,220,41
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Aged 25,Suitability total,520,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,Accommodation considered not suitable,50,4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,Accommodation considered suitable,560,45
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,No information,640,52
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 22,Suitability total,1250,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,Accommodation considered not suitable,50,4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,Accommodation considered suitable,340,28
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,No information,840,68
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 23,Suitability total,1230,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,Accommodation considered not suitable,30,2
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,Accommodation considered suitable,250,21
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,No information,880,76
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 24,Suitability total,1150,100
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,Accommodation considered not suitable,c,c
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,Accommodation considered suitable,110,10
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,No information,930,89
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Aged 25,Suitability total,1040,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 22,Accommodation considered not suitable,60,5
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 22,Accommodation considered suitable,530,47
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 22,No information,530,48
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 22,Suitability total,1120,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 23,Accommodation considered not suitable,30,3
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 23,Accommodation considered suitable,330,32
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 23,No information,680,65
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 23,Suitability total,1030,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 24,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 24,Accommodation considered suitable,290,27
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 24,No information,780,71
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 24,Suitability total,1100,100
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 25,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 25,Accommodation considered suitable,160,17
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 25,No information,780,81
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Aged 25,Suitability total,960,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 22,Accommodation considered not suitable,120,5
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 22,Accommodation considered suitable,1480,60
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 22,No information,880,36
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 22,Suitability total,2480,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 23,Accommodation considered not suitable,100,4
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 23,Accommodation considered suitable,1170,49
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 23,No information,1120,47
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 23,Suitability total,2390,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 24,Accommodation considered not suitable,70,3
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 24,Accommodation considered suitable,860,37
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 24,No information,1420,60
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 24,Suitability total,2340,100
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 25,Accommodation considered not suitable,40,2
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 25,Accommodation considered suitable,440,20
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 25,No information,1700,78
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Aged 25,Suitability total,2180,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 22,Accommodation considered not suitable,80,5
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 22,Accommodation considered suitable,810,50
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 22,No information,720,45
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 22,Suitability total,1610,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 23,Accommodation considered not suitable,70,5
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 23,Accommodation considered suitable,490,33
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 23,No information,910,62
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 23,Suitability total,1470,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 24,Accommodation considered not suitable,50,3
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 24,Accommodation considered suitable,420,28
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 24,No information,1060,69
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 24,Suitability total,1530,100
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 25,Accommodation considered not suitable,30,2
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 25,Accommodation considered suitable,300,19
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 25,No information,1200,79
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Aged 25,Suitability total,1530,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 22,Accommodation considered not suitable,40,4
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 22,Accommodation considered suitable,440,48
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 22,No information,450,48
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 22,Suitability total,930,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 23,Accommodation considered not suitable,30,3
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 23,Accommodation considered suitable,280,32
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 23,No information,570,65
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 23,Suitability total,870,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 24,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 24,Accommodation considered suitable,210,24
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 24,No information,640,74
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 24,Suitability total,860,100
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 25,Accommodation considered not suitable,10,1
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 25,Accommodation considered suitable,130,17
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 25,No information,620,82
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Aged 25,Suitability total,760,100
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 22,Accommodation considered not suitable,70,7
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 22,Accommodation considered suitable,630,63
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 22,No information,290,29
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 22,Suitability total,990,100
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 23,Accommodation considered not suitable,60,6
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 23,Accommodation considered suitable,560,54
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 23,No information,420,40
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 23,Suitability total,1040,100
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 24,Accommodation considered not suitable,30,3
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 24,Accommodation considered suitable,440,43
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 24,No information,550,54
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 24,Suitability total,1020,100
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 25,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 25,Accommodation considered suitable,220,25
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 25,No information,640,72
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Aged 25,Suitability total,890,100
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 22,Accommodation considered not suitable,50,3
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 22,Accommodation considered suitable,850,57
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 22,No information,590,40
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 22,Suitability total,1490,100
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 23,Accommodation considered not suitable,40,3
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 23,Accommodation considered suitable,610,46
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 23,No information,700,52
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 23,Suitability total,1350,100
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 24,Accommodation considered not suitable,30,3
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 24,Accommodation considered suitable,420,32
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 24,No information,870,66
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 24,Suitability total,1320,100
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 25,Accommodation considered not suitable,20,2
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 25,Accommodation considered suitable,210,16
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 25,No information,1060,82
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Aged 25,Suitability total,1300,100
