time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2023,Reporting year,National,E92000001,England,All children,2. Over 20 miles,17650,21
2023,Reporting year,National,E92000001,England,All children,2.i Over 20 miles inside LA boundary,3580,4
2023,Reporting year,National,E92000001,England,All children,2.ii Over 20 miles outside LA boundary,14080,17
2023,Reporting year,National,E92000001,England,All children,Distance not known or not recorded,7860,9
2023,Reporting year,National,E92000001,England,All children,Total,83760,100
2023,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,43290,76
2023,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,29440,52
2023,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,13850,24
2023,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,10390,18
2023,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2640,5
2023,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,7740,14
2023,Reporting year,National,E92000001,England,Foster placements,Distance not known or not recorded,2970,5
2023,Reporting year,National,E92000001,England,Foster placements,Total,56650,100
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1. 20 miles or less,3450,40
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.i 20 miles or less inside LA boundary,2310,27
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.ii 20 miles or less outside LA boundary,1150,13
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2. Over 20 miles,730,8
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.i Over 20 miles inside LA boundary,190,2
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.ii Over 20 miles outside LA boundary,540,6
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Distance not known or not recorded,4460,52
2023,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Total,8650,100
2023,Reporting year,National,E92000001,England,Other placements,1. 20 miles or less,1390,57
2023,Reporting year,National,E92000001,England,Other placements,1.i 20 miles or less inside LA boundary,880,36
2023,Reporting year,National,E92000001,England,Other placements,1.ii 20 miles or less outside LA boundary,510,21
2023,Reporting year,National,E92000001,England,Other placements,2. Over 20 miles,940,38
2023,Reporting year,National,E92000001,England,Other placements,2.i Over 20 miles inside LA boundary,110,5
2023,Reporting year,National,E92000001,England,Other placements,2.ii Over 20 miles outside LA boundary,820,34
2023,Reporting year,National,E92000001,England,Other placements,Distance not known or not recorded,120,5
2023,Reporting year,National,E92000001,England,Other placements,Total,2440,100
2023,Reporting year,National,E92000001,England,Placed for adoption,1. 20 miles or less,900,40
2023,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,290,13
2023,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,600,27
2023,Reporting year,National,E92000001,England,Placed for adoption,2. Over 20 miles,1130,51
2023,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,160,7
2023,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,970,44
2023,Reporting year,National,E92000001,England,Placed for adoption,Distance not known or not recorded,200,9
2023,Reporting year,National,E92000001,England,Placed for adoption,Total,2220,100
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1. 20 miles or less,5350,92
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1.i 20 miles or less inside LA boundary,4710,81
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1.ii 20 miles or less outside LA boundary,640,11
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2. Over 20 miles,450,8
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2.i Over 20 miles inside LA boundary,60,1
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2.ii Over 20 miles outside LA boundary,380,7
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,Distance not known or not recorded,20,k
2023,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,Total,5820,100
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,1. 20 miles or less,3880,49
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,1.i 20 miles or less inside LA boundary,2190,27
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,1.ii 20 miles or less outside LA boundary,1690,21
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,2. Over 20 miles,4020,50
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,2.i Over 20 miles inside LA boundary,410,5
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,2.ii Over 20 miles outside LA boundary,3620,45
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,Distance not known or not recorded,90,1
2023,Reporting year,National,E92000001,England,Secure homes and children's homes,Total,7990,100
2022,Reporting year,National,E92000001,England,All children,1. 20 miles or less,58960,72
2022,Reporting year,National,E92000001,England,All children,1.i 20 miles or less inside LA boundary,40220,49
2022,Reporting year,National,E92000001,England,All children,1.ii 20 miles or less outside LA boundary,18750,23
2022,Reporting year,National,E92000001,England,All children,2. Over 20 miles,17010,21
2022,Reporting year,National,E92000001,England,All children,2.i Over 20 miles inside LA boundary,3410,4
2022,Reporting year,National,E92000001,England,All children,2.ii Over 20 miles outside LA boundary,13610,17
2022,Reporting year,National,E92000001,England,All children,Distance not known or not recorded,6110,7
2022,Reporting year,National,E92000001,England,All children,Total,82090,100
2022,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,44600,78
2022,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,30150,53
2022,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,14450,25
2022,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,10180,18
2022,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2560,4
2022,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,7610,13
2022,Reporting year,National,E92000001,England,Foster placements,Distance not known or not recorded,2410,4
2022,Reporting year,National,E92000001,England,Foster placements,Total,57190,100
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1. 20 miles or less,3370,45
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.i 20 miles or less inside LA boundary,2280,30
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.ii 20 miles or less outside LA boundary,1090,15
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2. Over 20 miles,710,10
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.i Over 20 miles inside LA boundary,200,3
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.ii Over 20 miles outside LA boundary,520,7
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Distance not known or not recorded,3390,45
2022,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Total,7470,100
2022,Reporting year,National,E92000001,England,Other placements,1. 20 miles or less,1050,59
2022,Reporting year,National,E92000001,England,Other placements,1.i 20 miles or less inside LA boundary,670,38
2022,Reporting year,National,E92000001,England,Other placements,1.ii 20 miles or less outside LA boundary,370,21
2022,Reporting year,National,E92000001,England,Other placements,2. Over 20 miles,710,39
2022,Reporting year,National,E92000001,England,Other placements,2.i Over 20 miles inside LA boundary,60,4
2022,Reporting year,National,E92000001,England,Other placements,2.ii Over 20 miles outside LA boundary,640,36
2022,Reporting year,National,E92000001,England,Other placements,Distance not known or not recorded,40,2
2022,Reporting year,National,E92000001,England,Other placements,Total,1790,100
2022,Reporting year,National,E92000001,England,Placed for adoption,1. 20 miles or less,970,41
2022,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,350,15
2022,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,620,26
2022,Reporting year,National,E92000001,England,Placed for adoption,2. Over 20 miles,1160,50
2022,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,160,7
2022,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1000,43
2022,Reporting year,National,E92000001,England,Placed for adoption,Distance not known or not recorded,210,9
2022,Reporting year,National,E92000001,England,Placed for adoption,Total,2340,100
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1. 20 miles or less,5270,93
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1.i 20 miles or less inside LA boundary,4610,81
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,1.ii 20 miles or less outside LA boundary,660,12
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2. Over 20 miles,410,7
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2.i Over 20 miles inside LA boundary,50,1
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,2.ii Over 20 miles outside LA boundary,350,6
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,Distance not known or not recorded,20,k
2022,Reporting year,National,E92000001,England,Placed with parents or other person with parental responsibility,Total,5700,100
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,1. 20 miles or less,3710,49
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,1.i 20 miles or less inside LA boundary,2150,28
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,1.ii 20 miles or less outside LA boundary,1560,20
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,2. Over 20 miles,3850,51
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,2.i Over 20 miles inside LA boundary,370,5
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,2.ii Over 20 miles outside LA boundary,3480,46
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,Distance not known or not recorded,50,1
2022,Reporting year,National,E92000001,England,Secure homes and children's homes,Total,7600,100
2021,Reporting year,National,E92000001,England,All children,1. 20 miles or less,59330,73
2021,Reporting year,National,E92000001,England,All children,1.i 20 miles or less inside LA boundary,40860,51
2021,Reporting year,National,E92000001,England,All children,1.ii 20 miles or less outside LA boundary,18460,23
2021,Reporting year,National,E92000001,England,All children,2. Over 20 miles,16860,21
2021,Reporting year,National,E92000001,England,All children,2.i Over 20 miles inside LA boundary,3430,4
2021,Reporting year,National,E92000001,England,All children,2.ii Over 20 miles outside LA boundary,13440,17
2021,Reporting year,National,E92000001,England,All children,Distance not known or not recorded,4590,6
2021,Reporting year,National,E92000001,England,All children,Total,80780,100
2021,Reporting year,National,E92000001,England,Foster placements,1. 20 miles or less,44930,79
2021,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,30580,54
2021,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,14350,25
2021,Reporting year,National,E92000001,England,Foster placements,2. Over 20 miles,9910,17
2021,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2620,5
2021,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,7290,13
2021,Reporting year,National,E92000001,England,Foster placements,Distance not known or not recorded,2150,4
2021,Reporting year,National,E92000001,England,Foster placements,Total,57000,100
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1. 20 miles or less,3240,53
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.i 20 miles or less inside LA boundary,2220,37
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,1.ii 20 miles or less outside LA boundary,1020,17
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2. Over 20 miles,690,11
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.i Over 20 miles inside LA boundary,170,3
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,2.ii Over 20 miles outside LA boundary,520,9
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Distance not known or not recorded,2140,35
2021,Reporting year,National,E92000001,England,Independent and semi-independent living arrangements/ supported accommodation,Total,6070,100
2021,Reporting year,National,E92000001,England,Other placements,1. 20 miles or less,950,55
2021,Reporting year,National,E92000001,England,Other placements,1.i 20 miles or less inside LA boundary,610,35
