time_period,time_identifier,geographic_level,country_code,country_name,care_leaver_age,accommodation_suitability,number,percentage
2021,Reporting year,National,E92000001,England,18 years,Total,11540,100
2021,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered suitable,28260,88
2021,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered unsuitable,1740,5
2021,Reporting year,National,E92000001,England,19 to 21 years,No information,2210,7
2021,Reporting year,National,E92000001,England,19 to 21 years,Total,32200,100
2021,Reporting year,National,E92000001,England,19 years,Accommodation considered suitable,10100,90
2021,Reporting year,National,E92000001,England,19 years,Accommodation considered unsuitable,610,5
2021,Reporting year,National,E92000001,England,19 years,No information,510,5
2021,Reporting year,National,E92000001,England,19 years,Total,11220,100
2021,Reporting year,National,E92000001,England,20 years,Accommodation considered suitable,9360,88
2021,Reporting year,National,E92000001,England,20 years,Accommodation considered unsuitable,600,6
2021,Reporting year,National,E92000001,England,20 years,No information,680,6
2021,Reporting year,National,E92000001,England,20 years,Total,10650,100
2021,Reporting year,National,E92000001,England,21 years,Accommodation considered suitable,8790,85
2021,Reporting year,National,E92000001,England,21 years,Accommodation considered unsuitable,530,5
2021,Reporting year,National,E92000001,England,21 years,No information,1020,10
2021,Reporting year,National,E92000001,England,21 years,Total,10330,100
2020,Reporting year,National,E92000001,England,17 years,Accommodation considered suitable,310,65
2020,Reporting year,National,E92000001,England,17 years,Accommodation considered unsuitable,50,11
2020,Reporting year,National,E92000001,England,17 years,No information,110,24
2020,Reporting year,National,E92000001,England,17 years,Total,470,100
2020,Reporting year,National,E92000001,England,18 years,Accommodation considered suitable,10120,91
2020,Reporting year,National,E92000001,England,18 years,Accommodation considered unsuitable,510,5
2020,Reporting year,National,E92000001,England,18 years,No information,520,5
2020,Reporting year,National,E92000001,England,18 years,Total,11140,100
2020,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered suitable,26350,85
2020,Reporting year,National,E92000001,England,19 to 21 years,Accommodation considered unsuitable,1860,6
2020,Reporting year,National,E92000001,England,19 to 21 years,No information,2670,9
2020,Reporting year,National,E92000001,England,19 to 21 years,Total,30870,100
2020,Reporting year,National,E92000001,England,19 years,Accommodation considered suitable,9420,88
2020,Reporting year,National,E92000001,England,19 years,Accommodation considered unsuitable,630,6
2020,Reporting year,National,E92000001,England,19 years,No information,610,6
2020,Reporting year,National,E92000001,England,19 years,Total,10660,100
2020,Reporting year,National,E92000001,England,20 years,Accommodation considered suitable,8900,86
2020,Reporting year,National,E92000001,England,20 years,Accommodation considered unsuitable,580,6
2020,Reporting year,National,E92000001,England,20 years,No information,850,8
2020,Reporting year,National,E92000001,England,20 years,Total,10330,100
2020,Reporting year,National,E92000001,England,21 years,Accommodation considered suitable,8030,81
2020,Reporting year,National,E92000001,England,21 years,Accommodation considered unsuitable,640,6
2020,Reporting year,National,E92000001,England,21 years,No information,1200,12
2020,Reporting year,National,E92000001,England,21 years,Total,9870,100
