time_period,time_identifier,level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,cla_exclusions_matched,cla_permanent_exclusions,cla_permanent_exclusions_%,cla_fixed_term_exclusions,cla_fixed_term_exclusions_%
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Exclusions,355,c,c,47,13.24
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Exclusions,265,c,c,20,7.55
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Exclusions,161,c,c,30,18.63
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Exclusions,314,c,c,27,8.6
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Exclusions,350,c,c,41,11.71
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Exclusions,130,c,c,11,8.46
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Exclusions,490,c,c,38,7.76
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Exclusions,205,c,c,26,12.68
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Exclusions,200,c,c,21,10.5
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Exclusions,310,c,c,33,10.65
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Exclusions,273,c,c,32,11.72
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Exclusions,138,c,c,14,10.14
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Exclusions,626,c,c,101,16.13
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Exclusions,205,c,c,27,13.17
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Exclusions,250,c,c,22,8.8
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Exclusions,230,c,c,30,13.04
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Exclusions,130,c,c,22,16.92
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Exclusions,206,c,c,32,15.53
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Exclusions,177,c,c,14,7.91
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Exclusions,241,c,c,31,12.86
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Exclusions,122,c,c,11,9.02
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Exclusions,236,c,c,33,13.98
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Exclusions,181,c,c,28,15.47
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Exclusions,239,c,c,27,11.3
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Exclusions,413,c,c,37,8.96
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Exclusions,152,c,c,20,13.16
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Exclusions,310,c,c,31,10
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Exclusions,621,c,c,91,14.65
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Exclusions,216,c,c,24,11.11
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Exclusions,167,c,c,16,9.58
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Exclusions,218,c,c,26,11.93
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Exclusions,115,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Exclusions,139,c,c,13,9.35
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Exclusions,188,c,c,20,10.64
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Exclusions,0,.,.,.,.
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Exclusions,64,c,c,10,15.63
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Exclusions,290,c,c,49,16.9
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Exclusions,90,c,c,8,8.89
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Exclusions,69,c,c,7,10.14
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Exclusions,94,c,c,12,12.77
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Exclusions,175,c,c,16,9.14
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Exclusions,98,c,c,16,16.33
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Exclusions,201,c,c,9,4.48
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,"Kingston Upon Hull, City of",Exclusions,295,c,c,35,11.86
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Exclusions,127,c,c,18,14.17
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Exclusions,134,c,c,22,16.42
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Exclusions,95,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Exclusions,170,c,c,20,11.76
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Exclusions,90,c,c,8,8.89
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Exclusions,157,c,c,30,19.11
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Exclusions,110,c,c,13,11.82
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Exclusions,128,c,c,13,10.16
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Exclusions,185,c,c,18,9.73
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Exclusions,153,c,c,31,20.26
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Exclusions,248,c,c,40,16.13
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Exclusions,181,c,c,28,15.47
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,835,E10000009,Dorset,Exclusions,201,c,c,25,12.44
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,836,E06000029,Poole,Exclusions,72,c,c,10,13.89
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,Exclusions,108,c,c,23,21.3
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Exclusions,359,c,c,40,11.14
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Exclusions,83,c,c,12,14.46
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Exclusions,293,c,c,40,13.65
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Exclusions,169,c,c,27,15.98
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Exclusions,624,c,c,75,12.02
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Exclusions,150,c,c,33,22
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Exclusions,273,c,c,25,9.16
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Exclusions,190,c,c,14,7.37
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Exclusions,278,c,c,26,9.35
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Exclusions,18,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Exclusions,466,c,c,43,9.23
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Exclusions,299,c,c,27,9.03
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Exclusions,200,c,c,17,8.5
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Exclusions,116,c,c,17,14.66
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Exclusions,35,c,c,6,17.14
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Exclusions,36,c,c,8,22.22
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Exclusions,65,c,c,8,12.31
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Exclusions,90,c,c,9,10
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Exclusions,63,c,c,10,15.87
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Exclusions,23,c,c,6,26.09
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Exclusions,261,c,c,28,10.73
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Exclusions,141,c,c,18,12.77
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Exclusions,108,c,c,12,11.11
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Exclusions,172,c,c,13,7.56
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Exclusions,292,c,c,46,15.75
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Exclusions,174,c,c,23,13.22
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Exclusions,156,c,c,18,11.54
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Exclusions,424,c,c,47,11.08
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Exclusions,94,c,c,12,12.77
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Exclusions,124,c,c,9,7.26
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Exclusions,135,c,c,14,10.37
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Exclusions,316,c,c,37,11.71
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Exclusions,826,c,c,86,10.41
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Exclusions,185,c,c,24,12.97
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Exclusions,803,c,c,70,8.72
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Exclusions,157,c,c,19,12.1
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Exclusions,210,c,c,13,6.19
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Exclusions,387,c,c,41,10.59
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Exclusions,292,c,c,46,15.75
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Exclusions,124,c,c,10,8.06
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Exclusions,160,c,c,23,14.38
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Exclusions,201,c,c,17,8.46
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Exclusions,196,c,c,17,8.67
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Exclusions,189,c,c,23,12.17
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Exclusions,303,c,c,32,10.56
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Exclusions,224,c,c,31,13.84
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Exclusions,397,c,c,67,16.88
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Exclusions,80,c,c,c,c
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Exclusions,283,c,c,27,9.54
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Exclusions,465,c,c,40,8.6
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Exclusions,363,c,c,46,12.67
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Exclusions,152,c,c,21,13.82
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Exclusions,223,c,c,32,14.35
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Exclusions,210,c,c,43,20.48
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Exclusions,344,c,c,44,12.79
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Exclusions,325,c,c,42,12.92
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Exclusions,306,c,c,49,16.01
2016/17,year ending 31 march 2017,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Exclusions,247,c,c,32,12.96
