,All_CLA_2016,Boys_CLA_2016,Girls_CLA_2016,All_non_CLA_2016,Boys_non_CLA_2016,Girls_non_CLA_2016
Elig_KS1,1822,1053,769,640210,327425,312785
Exp_KS1_stand_read,907,478,429,474287,228578,245709
Exp_KS1_stand_writ,675,325,350,419809,191981,227828
Exp_KS1_stand_maths,830,472,358,465341,234956,230385
Exp_KS1_stand_sci,1058,585,473,523854,260233,263621
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
