Table 3a: List of new children's homes registrations (joiners) between 1 April 2016 and 31 March 2017,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
1159385,Children's home,West Midlands,West Midlands,Shropshire,Private,4,14/06/2016
1159397,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,4,04/04/2016
1183826,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Private,8,04/04/2016
1185533,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,5,05/01/2017
1212704,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,3,15/09/2016
1221357,Children's home,North West,North West,Blackpool,Private,4,09/06/2016
1223491,Children's home,West Midlands,West Midlands,Shropshire,Private,3,20/04/2016
1223681,Children's home,North West,North West,Lancashire,Private,2,14/04/2016
1225136,Children's home,North West,North West,Lancashire,Private,4,18/05/2016
1225371,Children's home,North West,North West,Warrington,Private,2,27/04/2016
1226397,Children's home,West Midlands,West Midlands,Birmingham,Private,4,29/10/2016
1226612,Children's home,East of England,East of England,Essex,Private,4,15/07/2016
1226971,Residential special school (registered as a children's home),South West,South West,South Gloucestershire,Voluntary,9,06/04/2016
1226977,Children's home,South East,South East,Kent,Private,2,12/04/2016
1226978,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,2,26/05/2016
1227330,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,3,04/05/2016
1227335,Children's home,North West,North West,Lancashire,Private,3,27/05/2016
1227869,Children's home,West Midlands,West Midlands,Walsall,Private,5,17/10/2016
1228090,Children's home,West Midlands,West Midlands,Birmingham,Private,4,27/04/2016
1228091,Children's home,North West,North West,Cheshire West and Chester,Private,3,27/06/2016
1228092,Children's home,East of England,East of England,Essex,Private,4,20/04/2016
1228191,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,29/04/2016
1228921,Children's home,North West,North West,Lancashire,Private,5,17/05/2016
1229417,Children's home,"North East, Yorkshire and the Humber",North East,Middlesbrough,Private,1,05/04/2016
1229534,Children's home,North West,North West,Lancashire,Private,8,27/04/2016
1229977,Children's home,South East,South East,Oxfordshire,Local Authority,6,05/09/2016
1230268,Children's home,East of England,East of England,Southend on Sea,Private,5,05/05/2016
1230411,Children's home,South East,South East,Surrey,Local Authority,2,26/04/2016
1230415,Children's home,West Midlands,West Midlands,Birmingham,Private,4,05/07/2016
1230416,Children's home,East of England,East of England,Bedford,Private,4,09/05/2016
1230725,Children's home,East of England,East of England,Essex,Private,6,07/06/2016
1230940,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,5,27/05/2016
1231311,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,3,08/08/2016
1231399,Children's home,North West,North West,Blackpool,Private,3,30/06/2016
1231404,Children's home,North West,North West,Liverpool,Private,5,19/01/2017
1231458,Children's home,West Midlands,West Midlands,Birmingham,Private,4,13/05/2016
1231525,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,East Riding of Yorkshire,Private,1,14/04/2016
1231812,Children's home,West Midlands,West Midlands,Birmingham,Private,4,09/09/2016
1232171,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Private,3,18/05/2016
1232200,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,3,08/06/2016
1232271,Children's home,South West,South West,Gloucestershire,Private,4,06/06/2016
