Table 4a: List of new children's homes registrations (joiners) between 1 April 2017 and 31 March 2018,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
1256913,Children's home,South East,South East,Kent,Private,2,23/03/2018
1256973,Children's home,South East,South East,Surrey,Private,6,04/08/2017
1257013,Children's home,East Midlands,East Midlands,Nottingham,Private,6,20/07/2017
1257022,Children's home,London,London,Havering,Private,6,25/07/2017
1257065,Children's home,South East,South East,Hampshire,Local Authority,4,22/06/2017
1257074,Children's home,West Midlands,West Midlands,Herefordshire,Private,8,10/10/2017
1257101,Children's home,London,London,Bexley,Private,3,01/08/2017
1257182,Children's home,London,London,Barnet,Private,2,24/08/2017
1257202,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,19/12/2017
1257289,Children's home,London,London,Lewisham,Voluntary,5,27/07/2017
1257573,Children's home,South East,South East,Hampshire,Local Authority,5,22/06/2017
1257739,Children's home,North West,North West,Lancashire,Private,3,10/08/2017
1257740,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,31/07/2017
1257796,Children's home,East of England,East of England,Cambridgeshire,Private,12,31/05/2017
1258026,Children's home,West Midlands,West Midlands,Birmingham,Private,2,24/09/2017
1258089,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Wakefield,Private,4,02/02/2018
1258091,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,20/08/2017
1258092,Children's home,East of England,East of England,Essex,Private,4,30/08/2017
1258095,Children's home,West Midlands,West Midlands,Staffordshire,Private,6,03/08/2017
1258134,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,5,14/08/2017
1258199,Children's home,South East,South East,Surrey,Private,5,20/07/2017
1258276,Children's home,East of England,East of England,Suffolk,Private,6,01/06/2017
1258343,Children's home,South West,South West,Wiltshire,Private,4,19/09/2017
1258386,Children's home,South East,South East,Kent,Private,3,04/09/2017
1258434,Children's home,West Midlands,West Midlands,Walsall,Private,4,20/12/2017
1258463,Children's home,South East,South East,Kent,Private,1,31/10/2017
