Table 1b: List of children's homes de-registrations (leavers) between 1 April 2014 and 31 March 2015,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
SC001041,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,6,04/11/2014
SC001883,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,23/06/2014
SC002923,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North East Lincolnshire,Private,7,11/09/2014
SC004023,Children's home,South West,South West,"Bournemouth, Christchurch & Poole",Private,3,24/03/2015
SC005582,Children's home,North West,North West,Tameside,Private,6,15/09/2014
SC006019,Children's home,North West,North West,Lancashire,Private,6,12/12/2014
SC008492,Children's home,North West,North West,Stockport,Private,6,11/12/2014
SC013059,Children's home,South East,South East,Oxfordshire,Private,8,24/10/2014
SC014567,Residential special school (registered as a children's home),South East,South East,West Sussex,Private,20,29/09/2014
SC015257,Children's home,East of England,East of England,Peterborough,Private,3,28/04/2014
SC020618,Children's home,West Midlands,West Midlands,Shropshire,Private,1,04/07/2014
SC022881,Children's home,London,London,Newham,Private,7,24/03/2015
SC023654,Children's home,South East,South East,Kent,Private,7,09/03/2015
SC024987,Children's home,West Midlands,West Midlands,Dudley,Private,3,15/09/2014
SC025008,Children's home,West Midlands,West Midlands,Dudley,Private,2,01/09/2014
SC025696,Children's home,London,London,Islington,Voluntary,8,09/04/2014
SC028280,Children's home,South West,South West,Cornwall,Voluntary,3,12/12/2014
SC029301,Children's home,South West,South West,Devon,Private,2,06/05/2014
SC030945,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,6,12/12/2014
SC030951,Children's home,West Midlands,West Midlands,Warwickshire,Voluntary,30,03/03/2015
SC031340,Children's home,London,London,Southwark,Private,2,11/07/2014
SC031776,Children's home,London,London,Wandsworth,Local Authority,7,05/07/2014
SC031931,Children's home,West Midlands,West Midlands,Staffordshire,Local Authority,5,23/06/2014
SC032068,Children's home,West Midlands,West Midlands,Staffordshire,Private,14,13/10/2014
SC032086,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Local Authority,5,09/01/2015
SC032107,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Local Authority,6,09/01/2015
SC032132,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Local Authority,5,05/01/2015
SC033229,Children's home,London,London,Tower Hamlets,Local Authority,6,25/02/2015
SC033438,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Local Authority,12,30/03/2015
SC033506,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Local Authority,4,26/01/2015
SC033572,Children's home,North West,North West,Manchester,Local Authority,6,27/08/2014
SC033596,Children's home,North West,North West,Manchester,Local Authority,9,24/04/2014
SC033597,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Local Authority,6,09/12/2014
SC033755,Children's home,East Midlands,East Midlands,Derbyshire,Local Authority,4,17/11/2014
SC034181,Children's home,North West,North West,Cumberland,Local Authority,6,29/12/2014
SC034951,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Local Authority,5,01/08/2014
SC034984,Children's home,London,London,Kensington and Chelsea,Local Authority,8,02/06/2014
SC035375,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Local Authority,8,25/02/2015
SC035405,Children's home,East Midlands,East Midlands,Nottingham,Local Authority,6,14/04/2014
SC036370,Children's home,South West,South West,Devon,Local Authority,7,16/06/2014
SC036466,Secure children's home,North West,North West,St Helens,Local Authority,29,02/06/2014
SC036657,Children's home,West Midlands,West Midlands,Wolverhampton,Local Authority,8,26/09/2014
SC036688,Children's home,West Midlands,West Midlands,Wolverhampton,Local Authority,8,30/04/2014
SC036767,Residential special school (registered as a children's home),South West,South West,Devon,Voluntary,17,06/05/2014
SC037350,Children's home,South East,South East,Portsmouth,Local Authority,6,12/07/2014
SC038381,Children's home,South East,South East,Kent,Voluntary,9,01/07/2014
SC038468,Children's home,South West,South West,Cornwall,Local Authority,6,12/01/2015
SC040167,Children's home,West Midlands,West Midlands,Staffordshire,Private,6,28/07/2014
SC040314,Children's home,South West,South West,Cornwall,Local Authority,6,05/12/2014
SC040466,Children's home,North West,North West,Salford,Local Authority,4,09/03/2015
SC042795,Children's home,North West,North West,Lancashire,Private,4,02/02/2015
SC043696,Children's home,North West,North West,Knowsley,Local Authority,2,30/06/2014
SC045321,Children's home,East of England,East of England,Essex,Local Authority,8,08/08/2014
SC045381,Secure children's home,East of England,East of England,Essex,Local Authority,16,08/08/2014
SC046353,Children's home,South East,South East,Oxfordshire,Private,8,23/09/2014
SC050791,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,02/05/2014
SC051963,Children's home,North West,North West,Sefton,Private,3,31/07/2014
SC051974,Children's home,North West,North West,Sefton,Private,4,31/07/2014
SC054728,Children's home,North West,North West,Lancashire,Private,6,30/03/2015
SC058429,Children's home,North West,North West,Lancashire,Private,7,29/10/2014
SC059758,Children's home,South West,South West,Cornwall,Local Authority,6,05/12/2014
SC059955,Children's home,South West,South West,Cornwall,Local Authority,2,05/12/2014
SC060439,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,3,12/07/2014
SC060595,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,East Riding of Yorkshire,Private,6,29/05/2014
SC060744,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Local Authority,4,22/01/2015
SC061377,Children's home,North West,North West,Sefton,Private,6,27/05/2014
SC061717,Children's home,South East,South East,Hampshire,Private,9,23/09/2014
SC062193,Children's home,East Midlands,East Midlands,Leicestershire,Private,2,17/12/2014
SC062436,Children's home,North West,North West,Lancashire,Private,10,28/09/2014
SC062593,Children's home,West Midlands,West Midlands,Birmingham,Private,4,26/09/2014
SC062811,Children's home,East Midlands,East Midlands,Derbyshire,Private,7,27/05/2014
SC063051,Children's home,London,London,Croydon,Private,6,07/10/2014
SC063064,Children's home,North West,North West,Halton,Private,4,17/06/2014
SC064369,Children's home,North West,North West,Lancashire,Private,4,27/07/2014
SC064529,Children's home,North West,North West,Blackpool,Private,4,31/07/2014
SC064629,Children's home,South East,South East,Kent,Private,6,16/06/2014
SC065027,Children's home,South West,South West,"Bournemouth, Christchurch & Poole",Voluntary,4,16/06/2014
SC065055,Children's home,South West,South West,Somerset,Private,2,02/03/2015
SC065096,Children's home,North West,North West,Bury,Private,6,02/02/2015
SC065112,Children's home,East Midlands,East Midlands,Leicestershire,Private,5,12/12/2014
SC065848,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Local Authority,4,31/10/2014
SC066245,Children's home,North West,North West,Lancashire,Private,8,28/07/2014
SC066552,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,4,25/02/2015
SC067254,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,East Riding of Yorkshire,Private,8,27/01/2015
SC067798,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,4,13/06/2014
SC067870,Children's home,North West,North West,Lancashire,Private,7,05/08/2014
SC068178,Children's home,South East,South East,East Sussex,Local Authority,4,15/12/2014
SC068188,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,8,13/11/2014
SC068211,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Barnsley,Local Authority,4,12/12/2014
SC068246,Children's home,South East,South East,Kent,Private,4,08/08/2014
SC068260,Children's home,South East,South East,Hampshire,Private,6,23/09/2014
SC069186,Children's home,West Midlands,West Midlands,Wolverhampton,Local Authority,6,26/09/2014
SC358429,Children's home,West Midlands,West Midlands,Walsall,Private,3,10/06/2014
SC359203,Children's home,West Midlands,West Midlands,Coventry,Private,8,06/03/2015
SC359275,Children's home,"North East, Yorkshire and the Humber",North East,North Tyneside,Local Authority,4,31/03/2015
SC360833,Children's home,East Midlands,East Midlands,Derbyshire,Private,6,27/10/2014
SC362135,Children's home,North West,North West,Lancashire,Private,6,02/02/2015
SC362151,Children's home,North West,North West,Blackpool,Private,6,23/12/2014
SC362158,Children's home,North West,North West,Blackpool,Private,6,02/02/2015
SC362165,Children's home,North West,North West,Lancashire,Private,8,25/11/2014
SC362987,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,East Riding of Yorkshire,Private,6,02/03/2015
SC362997,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,4,16/02/2015
SC365001,Children's home,South East,South East,East Sussex,Private,6,02/12/2014
SC367454,Children's home,East Midlands,East Midlands,Lincolnshire,Private,3,30/03/2015
SC367462,Children's home,East Midlands,East Midlands,Lincolnshire,Private,3,12/03/2015
SC367679,Children's home,West Midlands,West Midlands,Shropshire,Private,2,12/03/2015
SC367694,Children's home,North West,North West,St Helens,Local Authority,15,11/07/2014
SC367798,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North East Lincolnshire,Local Authority,2,22/08/2014
SC367951,Children's home,West Midlands,West Midlands,Coventry,Private,6,26/02/2015
SC368181,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,20/05/2014
SC370917,Children's home,South East,South East,Oxfordshire,Private,7,23/09/2014
SC371245,Children's home,West Midlands,West Midlands,Warwickshire,Private,4,02/02/2015
SC371552,Children's home,North West,North West,Blackpool,Private,4,24/09/2014
SC375824,Children's home,North West,North West,Lancashire,Private,6,04/12/2014
SC377681,Children's home,North West,North West,Rochdale,Private,4,10/04/2014
SC387546,Children's home,West Midlands,West Midlands,Coventry,Private,6,02/02/2015
SC390076,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,7,08/08/2014
SC390201,Children's home,North West,North West,Lancashire,Private,7,08/08/2014
SC390209,Children's home,South West,South West,North Somerset,Private,6,16/03/2015
SC391236,Children's home,South West,South West,Devon,Local Authority,6,09/05/2014
SC391731,Children's home,West Midlands,West Midlands,Dudley,Voluntary,3,05/07/2014
SC394229,Children's home,North West,North West,Cheshire East,Local Authority,4,18/09/2014
SC394547,Children's home,South West,South West,Bristol,Private,3,06/01/2015
SC396884,Children's home,North West,North West,Stockport,Private,6,03/02/2015
SC400110,Children's home,"North East, Yorkshire and the Humber",North East,Sunderland,Voluntary,4,21/08/2014
SC400360,Children's home,London,London,Wandsworth,Voluntary,4,12/03/2015
SC401239,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Barnsley,Private,3,28/10/2014
SC402700,Residential special school (registered as a children's home),London,London,Croydon,Private,9,14/08/2014
SC402817,Children's home,North West,North West,Lancashire,Private,4,04/12/2014
SC402856,Children's home,North West,North West,Cheshire East,Private,7,15/09/2014
SC402900,Residential special school (registered as a children's home),South East,South East,Southampton,Voluntary,14,08/08/2014
SC402979,Children's home,East of England,East of England,Essex,Private,6,04/09/2014
SC402980,Children's home,West Midlands,West Midlands,Coventry,Private,4,27/02/2015
SC403564,Children's home,London,London,Haringey,Private,5,19/03/2015
SC403937,Children's home,North West,North West,Lancashire,Private,2,11/02/2015
SC405470,Residential special school (registered as a children's home),London,London,Hillingdon,Voluntary,12,03/03/2015
SC407030,Children's home,North West,North West,Lancashire,Private,4,26/03/2015
SC407246,Residential special school (registered as a children's home),East of England,East of England,Suffolk,Private,8,12/07/2014
SC407800,Residential special school (registered as a children's home),North West,North West,Cheshire West and Chester,Private,17,26/09/2014
SC408867,Children's home,South West,South West,Somerset,Local Authority,4,31/10/2014
SC409532,Children's home,North West,North West,Wigan,Private,6,03/12/2014
SC410156,Children's home,East of England,East of England,Cambridgeshire,Private,3,17/12/2014
SC410186,Children's home,West Midlands,West Midlands,Solihull,Private,4,25/03/2015
SC410910,Children's home,East Midlands,East Midlands,Lincolnshire,Private,4,12/12/2014
SC411572,Children's home,South West,South West,Devon,Private,2,24/11/2014
SC416551,Children's home,North West,North West,Westmorland and Furness,Private,4,30/04/2014
SC418612,Children's home,North West,North West,Liverpool,Private,4,12/03/2015
SC419341,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,6,12/05/2014
SC419393,Children's home,East of England,East of England,Essex,Voluntary,9,27/11/2014
SC420032,Children's home,South East,South East,Kent,Local Authority,8,12/07/2014
SC424978,Children's home,North West,North West,Lancashire,Private,9,08/08/2014
SC425511,Children's home,West Midlands,West Midlands,Sandwell,Private,2,12/07/2014
SC425999,Children's home,West Midlands,West Midlands,Sandwell,Private,6,11/12/2014
SC429168,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Private,5,25/02/2015
SC433376,Children's home,North West,North West,Manchester,Private,6,23/10/2014
SC434174,Children's home,South West,South West,Somerset,Local Authority,4,26/11/2014
SC434413,Children's home,North West,North West,Tameside,Private,3,17/10/2014
SC434859,Children's home,North West,North West,Manchester,Private,6,23/10/2014
SC435572,Children's home,East of England,East of England,Luton,Private,3,25/11/2014
