Table 4b: List of children's homes de-registrations (leavers) between 1 April 2017 and 31 March 2018,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
1179497,Children's home,North West,North West,Blackburn with Darwen,Private,1,30/11/2017
1183070,Children's home,East Midlands,East Midlands,Derby,Private,5,24/05/2017
1185533,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,5,24/05/2017
1185539,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,1,21/07/2017
1220818,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,24/05/2017
1228921,Children's home,North West,North West,Lancashire,Private,5,15/05/2017
1230940,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,5,24/05/2017
1233003,Children's home,South West,South West,Dorset,Private,2,19/08/2017
1234626,Children's home,South West,South West,Wiltshire,Private,2,15/12/2017
1235263,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,5,24/05/2017
1237583,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,08/02/2018
1241843,Children's home,East Midlands,East Midlands,Nottingham,Private,5,24/05/2017
1244082,Children's home,East Midlands,East Midlands,Lincolnshire,Private,13,26/03/2018
1244245,Children's home,West Midlands,West Midlands,Herefordshire,Health Authority,15,01/06/2017
1244835,Children's home,London,London,Southwark,Local Authority,6,18/09/2017
1245002,Children's home,South West,South West,South Gloucestershire,Private,4,19/10/2017
1250256,Children's home,East Midlands,East Midlands,Nottingham,Private,5,24/05/2017
SC011976,Children's home,South East,South East,Hampshire,Voluntary,4,02/08/2017
SC012939,Residential special school (registered as a children's home),East Midlands,East Midlands,West Northamptonshire,Voluntary,24,31/08/2017
SC014234,Children's home,South East,South East,Brighton and Hove,Private,7,16/06/2017
SC016732,Children's home,West Midlands,West Midlands,Birmingham,Voluntary,12,03/04/2017
SC022445,Children's home,North West,North West,St Helens,Private,1,11/09/2017
SC022729,Children's home,London,London,Lambeth,Private,3,25/10/2017
SC022775,Children's home,London,London,Lambeth,Private,6,25/10/2017
SC022779,Children's home,London,London,Lambeth,Private,3,25/10/2017
SC024376,Children's home,East of England,East of England,Suffolk,Voluntary,6,05/06/2017
SC025871,Children's home,London,London,Croydon,Private,7,31/12/2017
SC027252,Children's home,London,London,Merton,Private,4,25/10/2017
SC027253,Children's home,London,London,Merton,Private,4,25/10/2017
SC027255,Children's home,London,London,Merton,Private,3,25/10/2017
SC031980,Children's home,South West,South West,"Bournemouth, Christchurch & Poole",Local Authority,6,01/09/2017
SC032772,Children's home,North West,North West,Tameside,Local Authority,5,06/12/2017
SC033009,Children's home,South West,South West,Somerset,Private,2,08/01/2018
SC033289,Children's home,West Midlands,West Midlands,Coventry,Local Authority,8,01/09/2017
