Table 2b: List of children's homes de-registrations (leavers) between 1 April 2015 and 31 March 2016,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
SC006879,Children's home,London,London,Greenwich,Private,2,15/04/2015
SC008132,Children's home,South West,South West,North Somerset,Voluntary,4,03/03/2016
SC008342,Children's home,North West,North West,Salford,Private,5,26/10/2015
SC009121,Children's home,South West,South West,Cornwall,Voluntary,3,16/09/2015
SC009390,Children's home,North West,North West,Bolton,Voluntary,4,01/11/2015
SC017611,Children's home,South East,South East,Surrey,Private,24,08/10/2015
SC020563,Children's home,West Midlands,West Midlands,Telford and Wrekin,Voluntary,5,31/03/2016
SC022212,Residential special school (registered as a children's home),South West,South West,Devon,Private,48,16/09/2015
SC023735,Children's home,South East,South East,Kent,Private,2,29/06/2015
SC024092,Children's home,South East,South East,Kent,Private,2,24/06/2015
SC026990,Children's home,North West,North West,Warrington,Private,3,09/11/2015
SC030369,Children's home,South West,South West,Somerset,Local Authority,2,05/02/2016
SC031537,Children's home,South East,South East,Slough,Local Authority,6,30/09/2015
SC032531,Children's home,North West,North West,Rochdale,Local Authority,1,01/02/2016
SC033371,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Local Authority,12,04/09/2015
SC033587,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Local Authority,6,31/01/2016
SC034205,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Local Authority,3,07/04/2015
SC034938,Children's home,East of England,East of England,Cambridgeshire,Local Authority,4,27/01/2016
SC035239,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Local Authority,4,31/08/2015
SC035383,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Local Authority,3,29/06/2015
SC035454,Children's home,North West,North West,Lancashire,Local Authority,4,15/01/2016
SC035780,Children's home,East Midlands,East Midlands,Derbyshire,Local Authority,7,03/08/2015
SC036758,Children's home,West Midlands,West Midlands,Shropshire,Local Authority,4,14/04/2015
SC038827,Children's home,South East,South East,Hampshire,Local Authority,6,10/10/2015
SC039100,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kingston upon Hull,Local Authority,4,12/02/2016
SC039134,Children's home,North West,North West,Lancashire,Local Authority,4,11/11/2015
SC039183,Children's home,North West,North West,Lancashire,Local Authority,4,29/02/2016
SC039216,Children's home,South East,South East,Hampshire,Local Authority,7,01/09/2015
SC039243,Children's home,North West,North West,Lancashire,Local Authority,8,29/02/2016
SC039274,Children's home,South West,South West,Somerset,Private,2,22/03/2016
SC039680,Children's home,North West,North West,Lancashire,Local Authority,10,31/12/2015
SC040749,Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Voluntary,23,11/01/2016
SC044026,Children's home,North West,North West,Tameside,Voluntary,5,01/06/2015
SC049430,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,03/02/2016
SC050173,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,08/01/2016
SC050766,Children's home,North West,North West,Lancashire,Private,5,19/10/2015
SC053669,Children's home,East Midlands,East Midlands,Leicester,Private,6,28/07/2015
SC056128,Children's home,East Midlands,East Midlands,Leicestershire,Private,2,04/03/2016
SC059639,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Local Authority,8,01/04/2015
SC060759,Children's home,London,London,Lewisham,Voluntary,6,17/12/2015
SC061062,Children's home,North West,North West,Wirral,Private,3,29/09/2015
SC061368,Children's home,North West,North West,St Helens,Private,4,25/08/2015
SC061485,Children's home,East of England,East of England,Peterborough,Private,3,01/05/2015
SC061928,Residential special school (registered as a children's home),North West,North West,Manchester,Private,8,21/03/2016
SC062877,Children's home,South West,South West,Somerset,Private,2,30/06/2015
SC062937,Children's home,North West,North West,Sefton,Local Authority,4,23/09/2015
SC064412,Children's home,South East,South East,Slough,Private,6,18/01/2016
SC064515,Children's home,North West,North West,Oldham,Local Authority,4,31/03/2016
SC065486,Children's home,South East,South East,Slough,Local Authority,7,30/09/2015
SC065515,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Private,4,02/10/2015
SC065541,Children's home,East of England,East of England,Norfolk,Private,4,15/11/2015
SC066293,Children's home,London,London,Brent,Voluntary,4,14/04/2015
SC067218,Children's home,South West,South West,Somerset,Private,2,01/09/2015
SC067261,Children's home,North West,North West,Blackburn with Darwen,Private,4,01/06/2015
SC068181,Children's home,East of England,East of England,Essex,Private,2,22/01/2016
SC068645,Children's home,South West,South West,Wiltshire,Private,5,31/03/2016
SC068658,Children's home,North West,North West,Bury,Private,6,14/03/2016
SC355902,Children's home,South East,South East,West Sussex,Private,6,24/03/2016
