Table 2b: List of children's homes de-registrations (leavers) between 1 April 2015 and 31 March 2016,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Date closed
SC358206,Children's home,South West,South West,Somerset,Local Authority,3,21/03/2016
SC358654,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Private,2,31/05/2015
SC363385,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,4,06/07/2015
SC363933,Residential special school (registered as a children's home),East Midlands,East Midlands,North Northamptonshire,Private,6,08/12/2015
SC367456,Children's home,East Midlands,East Midlands,Lincolnshire,Private,5,22/07/2015
SC367465,Children's home,East Midlands,East Midlands,Lincolnshire,Private,3,22/07/2015
SC369178,Children's home,London,London,Waltham Forest,Private,6,01/03/2016
SC375540,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Local Authority,6,13/10/2015
SC377517,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,5,21/03/2016
SC379659,Children's home,North West,North West,Liverpool,Local Authority,5,04/02/2016
SC383317,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Private,2,16/09/2015
SC384198,Children's home,West Midlands,West Midlands,Wolverhampton,Private,4,04/02/2016
SC386936,Children's home,North West,North West,Salford,Private,6,09/12/2015
SC396056,Children's home,South West,South West,Somerset,Private,1,24/11/2015
SC398381,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,4,18/08/2015
SC401547,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Private,5,25/08/2015
SC404130,Residential special school (registered as a children's home),South West,South West,Devon,Private,5,01/09/2015
SC406513,Children's home,South West,South West,Bristol,Private,4,07/08/2015
SC407551,Children's home,North West,North West,Lancashire,Private,10,22/01/2016
SC407760,Children's home,South West,South West,Devon,Private,3,02/04/2015
SC408510,Children's home,South West,South West,Devon,Private,1,07/02/2016
SC409730,Children's home,West Midlands,West Midlands,Birmingham,Private,5,29/04/2015
SC410102,Children's home,North West,North West,Lancashire,Private,3,08/01/2016
SC411194,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,01/10/2015
SC411297,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,28/07/2015
SC412125,Children's home,East Midlands,East Midlands,North Northamptonshire,Private,4,01/05/2015
SC413565,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,3,14/01/2016
SC414369,Children's home,North West,North West,Cumberland,Private,2,12/11/2015
SC414575,Children's home,South West,South West,Devon,Private,5,14/04/2015
SC417285,Children's home,South West,South West,Swindon,Private,2,23/06/2015
SC421844,Children's home,West Midlands,West Midlands,Birmingham,Private,6,10/08/2015
SC422260,Children's home,South East,South East,Buckinghamshire,Private,4,04/12/2015
SC422346,Children's home,East of England,East of England,Norfolk,Private,4,15/02/2016
SC423382,Children's home,South West,South West,Somerset,Private,2,14/07/2015
SC425519,Children's home,West Midlands,West Midlands,Shropshire,Private,3,31/07/2015
SC425599,Children's home,West Midlands,West Midlands,Shropshire,Private,1,31/07/2015
SC428196,Children's home,North West,North West,Lancashire,Private,4,17/04/2015
SC428512,Residential special school (registered as a children's home),North West,North West,Sefton,Voluntary,14,01/10/2015
SC429752,Children's home,East of England,East of England,Suffolk,Private,4,17/04/2015
SC429769,Children's home,East of England,East of England,Suffolk,Private,6,01/05/2015
SC433004,Children's home,East of England,East of England,Essex,Private,3,30/11/2015
SC436943,Children's home,West Midlands,West Midlands,Wolverhampton,Private,3,27/12/2015
SC437948,Children's home,South East,South East,Medway,Voluntary,4,23/04/2015
SC438247,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,3,22/09/2015
SC442279,Children's home,South West,South West,Gloucestershire,Local Authority,4,08/02/2016
SC443658,Children's home,North West,North West,Bury,Private,7,14/02/2016
SC446262,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,24/11/2015
SC447169,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,28/07/2015
SC451266,Children's home,North West,North West,Bolton,Voluntary,4,18/03/2016
SC455401,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,14/04/2015
SC455930,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,1,29/02/2016
SC456053,Children's home,South West,South West,Dorset,Private,3,31/12/2015
SC456225,Children's home,West Midlands,West Midlands,Birmingham,Private,4,29/04/2015
SC456953,Children's home,West Midlands,West Midlands,Herefordshire,Private,4,19/10/2015
SC456961,Children's home,South West,South West,Somerset,Private,3,22/02/2016
SC457127,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,04/09/2015
SC457178,Residential special school (registered as a children's home),East Midlands,East Midlands,Derby,Private,12,04/01/2016
SC457502,Children's home,North West,North West,Wirral,Private,1,25/11/2015
SC457627,Children's home,South West,South West,Dorset,Private,4,09/04/2015
SC458189,Children's home,South West,South West,Somerset,Private,2,01/09/2015
SC458758,Children's home,West Midlands,West Midlands,Birmingham,Private,4,27/07/2015
SC460790,Children's home,East Midlands,East Midlands,Nottinghamshire,Voluntary,3,14/10/2015
SC461118,Children's home,"North East, Yorkshire and the Humber",North East,Hartlepool,Private,3,01/04/2015
SC461716,Children's home,North West,North West,Liverpool,Private,1,11/07/2015
SC463849,Children's home,East of England,East of England,Bedford,Private,4,04/09/2015
SC466307,Children's home,South West,South West,Devon,Private,8,01/11/2015
SC466515,Children's home,West Midlands,West Midlands,Wolverhampton,Private,3,07/08/2015
SC472073,Children's home,South West,South West,Wiltshire,Private,1,26/06/2015
SC474338,Children's home,West Midlands,West Midlands,Shropshire,Private,3,15/02/2016
SC474585,Children's home,London,London,Richmond upon Thames,Local Authority,2,02/07/2015
SC475223,Residential special school (registered as a children's home),South East,South East,Kent,Private,54,09/02/2016
SC475944,Children's home,East of England,East of England,Cambridgeshire,Private,4,20/10/2015
SC476603,Children's home,East of England,East of England,Bedford,Private,3,04/09/2015
SC477179,Children's home,West Midlands,West Midlands,Sandwell,Private,2,26/11/2015
SC477495,Children's home,South West,South West,Devon,Private,1,30/07/2015
SC480586,Children's home,North West,North West,Lancashire,Private,4,11/03/2016
SC480680,Children's home,East Midlands,East Midlands,Derby,Private,4,06/07/2015
SC480784,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,11/11/2015
SC481090,Children's home,North West,North West,Lancashire,Private,2,22/10/2015
SC481240,Children's home,London,London,Enfield,Private,5,20/10/2015
SC481898,Children's home,South East,South East,Kent,Private,7,29/06/2015
SC482972,Children's home,South West,South West,Torbay,Private,3,17/02/2016
SC489005,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,1,24/09/2015
SC486399,Children's home,West Midlands,West Midlands,Birmingham,Private,3,05/02/2016
1159807,Children's home,North West,North West,Lancashire,Private,5,03/03/2016
1156094,Children's home,North West,North West,St Helens,Private,10,10/03/2016
1225631,Children's home,North West,North West,Lancashire,Private,5,22/01/2016
SC476256,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,23/11/2015
SC480107,Children's home,East of England,East of England,Cambridgeshire,Private,3,02/12/2015
1182965,Children's home,West Midlands,West Midlands,Birmingham,Private,4,17/02/2016
