Table 1a: List of new children's homes registrations (joiners) between 1 April 2014 and 31 March 2015,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
SC464759,Children's home,East Midlands,East Midlands,Derbyshire,Private,4,11/04/2014
SC465634,Children's home,North West,North West,Cumberland,Private,2,13/05/2014
SC471153,Children's home,East of England,East of England,Essex,Private,2,24/04/2014
SC471672,Children's home,West Midlands,West Midlands,Birmingham,Private,4,21/05/2014
SC472114,Children's home,North West,North West,Sefton,Private,2,29/04/2014
SC473475,Children's home,North West,North West,Sefton,Private,5,18/07/2014
SC474041,Children's home,West Midlands,West Midlands,Shropshire,Private,2,30/04/2014
SC474050,Children's home,West Midlands,West Midlands,Shropshire,Private,1,21/05/2014
SC474179,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,29/04/2014
SC474338,Children's home,West Midlands,West Midlands,Shropshire,Private,3,19/08/2014
SC474585,Children's home,London,London,Richmond upon Thames,Local Authority,2,04/04/2014
SC474724,Children's home,West Midlands,West Midlands,Wolverhampton,Private,4,30/07/2014
SC474863,Children's home,South East,South East,Oxfordshire,Private,5,14/05/2014
SC474894,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Private,3,13/05/2014
SC475088,Children's home,East of England,East of England,Essex,Private,4,03/09/2014
SC475121,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Barnsley,Private,5,10/04/2014
SC475223,Residential special school (registered as a children's home),South East,South East,Kent,Private,54,11/04/2014
SC475335,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,4,13/06/2014
SC475347,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,14/04/2014
SC475578,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,3,15/05/2014
SC475680,Children's home,North West,North West,Lancashire,Private,8,08/05/2014
SC475697,Children's home,North West,North West,Lancashire,Private,7,08/05/2014
SC475703,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,8,08/05/2014
SC475706,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,7,28/05/2014
SC475710,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,8,03/06/2014
SC475715,Children's home,North West,North West,Lancashire,Private,7,08/05/2014
SC475723,Children's home,North West,North West,Lancashire,Private,9,18/12/2014
SC475742,Children's home,North West,North West,Lancashire,Private,9,30/06/2014
SC475748,Children's home,North West,North West,Lancashire,Private,7,30/06/2014
SC476069,Children's home,London,London,Croydon,Private,5,23/07/2014
SC476083,Children's home,North West,North West,Westmorland and Furness,Private,3,12/03/2015
SC476185,Residential special school (registered as a children's home),East Midlands,East Midlands,Lincolnshire,Private,14,27/06/2014
SC476220,Children's home,North West,North West,Sefton,Local Authority,4,10/04/2014
SC476236,Children's home,West Midlands,West Midlands,Shropshire,Private,4,24/04/2014
SC476249,Children's home,West Midlands,West Midlands,Warwickshire,Private,5,30/06/2014
SC476259,Children's home,West Midlands,West Midlands,Shropshire,Private,4,20/06/2014
SC476261,Children's home,West Midlands,West Midlands,Shropshire,Private,2,01/08/2014
SC476286,Children's home,East Midlands,East Midlands,Leicestershire,Private,5,09/05/2014
SC476289,Children's home,East Midlands,East Midlands,Derbyshire,Private,5,15/01/2015
SC476303,Children's home,"North East, Yorkshire and the Humber",North East,Gateshead,Private,3,08/05/2014
SC476332,Children's home,East Midlands,East Midlands,Derbyshire,Private,6,28/04/2014
SC476401,Children's home,West Midlands,West Midlands,Worcestershire,Private,5,25/04/2014
SC476486,Children's home,West Midlands,West Midlands,Herefordshire,Private,7,12/05/2014
SC476512,Children's home,"North East, Yorkshire and the Humber",North East,Redcar and Cleveland,Private,5,03/06/2014
SC476570,Children's home,East of England,East of England,Cambridgeshire,Private,5,06/05/2014
SC476602,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,3,05/03/2015
SC476603,Children's home,East of England,East of England,Bedford,Private,3,07/05/2014
SC476748,Children's home,South East,South East,West Sussex,Private,4,02/05/2014
SC476795,Children's home,South West,South West,Bristol,Private,5,06/06/2014
SC476868,Children's home,North West,North West,Lancashire,Private,4,28/05/2014
SC476944,Children's home,South West,South West,Somerset,Private,2,07/04/2014
SC476990,Children's home,East Midlands,East Midlands,Derbyshire,Private,7,20/06/2014
SC477031,Children's home,"North East, Yorkshire and the Humber",North East,Stockton-on-Tees,Private,5,24/06/2014
SC477040,Children's home,South West,South West,Somerset,Private,3,25/06/2014
SC477121,Children's home,West Midlands,West Midlands,Worcestershire,Private,3,29/04/2014
SC477179,Children's home,West Midlands,West Midlands,Sandwell,Private,2,30/04/2014
SC477191,Children's home,East of England,East of England,Central Bedfordshire,Private,4,23/07/2014
SC477205,Children's home,London,London,Kensington and Chelsea,Local Authority,7,21/05/2014
SC477209,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,12/05/2014
SC477428,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North East Lincolnshire,Local Authority,3,10/09/2014
SC477495,Children's home,South West,South West,Devon,Private,1,01/05/2014
SC477724,Children's home,North West,North West,Wigan,Private,3,17/07/2014
SC477726,Children's home,North West,North West,Wigan,Private,2,18/07/2014
SC477796,Children's home,West Midlands,West Midlands,Birmingham,Private,7,24/11/2014
SC477839,Children's home,London,London,Barnet,Private,3,18/07/2014
SC477853,Children's home,North West,North West,St Helens,Private,2,06/06/2014
SC477900,Children's home,East of England,East of England,Essex,Private,4,06/06/2014
SC477939,Children's home,North West,North West,Rochdale,Private,3,03/06/2014
SC478001,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,11/07/2014
SC478134,Children's home,West Midlands,West Midlands,Worcestershire,Private,4,24/06/2014
SC478152,Children's home,South West,South West,Somerset,Private,4,05/03/2015
SC478315,Children's home,South East,South East,Hampshire,Private,4,09/06/2014
SC478468,Children's home,North West,North West,Lancashire,Private,5,21/08/2014
SC478616,Children's home,South East,South East,Kent,Private,4,14/10/2014
SC478707,Children's home,East of England,East of England,Central Bedfordshire,Private,4,25/07/2014
SC478729,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,15/08/2014
SC478852,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,25/06/2014
SC478986,Children's home,East Midlands,East Midlands,Derby,Private,5,22/05/2014
SC478991,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,02/06/2014
SC479070,Residential special school (registered as a children's home),South East,South East,Oxfordshire,Private,45,21/08/2014
SC479081,Children's home,North West,North West,Lancashire,Private,2,05/08/2014
SC479102,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Lincolnshire,Private,4,16/09/2014
SC479244,Children's home,West Midlands,West Midlands,Worcestershire,Local Authority,3,23/07/2014
SC479281,Children's home,"North East, Yorkshire and the Humber",North East,Northumberland,Private,2,03/09/2014
SC479504,Children's home,West Midlands,West Midlands,Worcestershire,Private,2,11/12/2014
SC479596,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North East Lincolnshire,Private,7,22/07/2014
SC479632,Children's home,North West,North West,Cumberland,Private,5,06/08/2014
SC479647,Children's home,North West,North West,Wigan,Private,6,08/10/2014
SC479649,Children's home,North West,North West,Lancashire,Private,6,30/11/2014
SC479650,Children's home,North West,North West,Rochdale,Private,6,08/10/2014
SC479654,Children's home,North West,North West,Rochdale,Private,6,05/09/2014
SC479664,Children's home,South East,South East,West Sussex,Private,3,01/08/2014
SC479776,Children's home,North West,North West,Tameside,Private,4,20/11/2014
SC480005,Children's home,East of England,East of England,Norfolk,Private,4,19/11/2014
SC480056,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,6,30/11/2014
SC480075,Children's home,North West,North West,Wirral,Private,3,17/12/2014
SC480086,Children's home,East of England,East of England,Essex,Private,6,03/09/2014
SC480161,Children's home,North West,North West,Tameside,Private,6,10/09/2014
SC480219,Children's home,North West,North West,Lancashire,Private,6,30/11/2014
SC480236,Children's home,North West,North West,Lancashire,Private,6,30/10/2014
SC480240,Children's home,North West,North West,Lancashire,Private,7,23/10/2014
SC480318,Children's home,West Midlands,West Midlands,Shropshire,Private,4,26/08/2014
SC480422,Children's home,North West,North West,Westmorland and Furness,Private,8,28/07/2014
SC480429,Children's home,North West,North West,Lancashire,Private,1,08/08/2014
SC480502,Children's home,South East,South East,Hampshire,Private,4,22/09/2014
SC480586,Children's home,North West,North West,Lancashire,Private,4,27/01/2015
SC480592,Children's home,North West,North West,Blackpool,Private,4,11/09/2014
SC480594,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,29/09/2014
SC480616,Children's home,South East,South East,Buckinghamshire,Private,5,12/01/2015
SC480655,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,01/10/2014
SC480671,Children's home,North West,North West,Lancashire,Private,8,23/10/2014
SC480678,Children's home,North West,North West,Blackpool,Private,5,30/11/2014
SC480680,Children's home,East Midlands,East Midlands,Derby,Private,4,29/08/2014
SC480681,Children's home,North West,North West,Lancashire,Private,6,27/01/2015
SC480704,Children's home,North West,North West,Blackpool,Private,5,30/11/2014
SC480705,Children's home,South East,South East,Hampshire,Private,3,01/09/2014
SC480784,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,08/09/2014
SC480840,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Bradford,Private,8,21/10/2014
SC480847,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,East Riding of Yorkshire,Private,4,01/12/2014
SC480850,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,York,Private,6,11/11/2014
SC480854,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,6,15/10/2014
SC481015,Children's home,East of England,East of England,Cambridgeshire,Private,6,08/10/2014
SC481040,Children's home,South East,South East,Bracknell Forest,Private,4,24/02/2015
SC481090,Children's home,North West,North West,Lancashire,Private,2,23/09/2014
SC481152,Children's home,North West,North West,Cheshire East,Private,6,08/09/2014
SC481172,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Lincolnshire,Private,4,19/12/2014
SC481209,Children's home,West Midlands,West Midlands,Herefordshire,Private,7,12/11/2014
SC481221,Children's home,East of England,East of England,Suffolk,Private,5,29/10/2014
SC481240,Children's home,London,London,Enfield,Private,5,15/12/2014
SC481293,Children's home,London,London,Waltham Forest,Private,8,11/12/2014
SC481294,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,01/10/2014
SC481295,Children's home,North West,North West,Cheshire West and Chester,Private,5,23/09/2014
SC481305,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,2,16/02/2015
SC481312,Children's home,West Midlands,West Midlands,Worcestershire,Private,2,04/09/2014
SC481369,Children's home,London,London,Merton,Private,8,06/01/2015
SC481439,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,6,25/09/2014
SC481443,Children's home,East Midlands,East Midlands,Derby,Private,5,24/10/2014
SC481444,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,4,25/09/2014
SC481447,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,5,25/09/2014
SC481464,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Doncaster,Voluntary,5,26/09/2014
SC481631,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,4,16/02/2015
SC481672,Children's home,East Midlands,East Midlands,Leicester,Private,5,05/12/2014
SC481844,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,5,01/10/2014
SC481898,Children's home,South East,South East,Kent,Private,7,07/03/2015
SC482141,Children's home,West Midlands,West Midlands,Birmingham,Private,4,17/11/2014
SC482223,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,20/03/2015
SC482275,Children's home,South West,South West,Cornwall,Private,4,14/11/2014
SC482293,Children's home,South East,South East,Hampshire,Private,7,22/09/2014
SC482294,Residential special school (registered as a children's home),South East,South East,Hampshire,Private,42,21/11/2014
SC482295,Children's home,South East,South East,Oxfordshire,Private,7,22/09/2014
SC482296,Children's home,South East,South East,Oxfordshire,Private,8,22/09/2014
SC482298,Residential special school (registered as a children's home),West Midlands,West Midlands,Staffordshire,Private,21,12/10/2014
SC482299,Children's home,South East,South East,Hampshire,Private,10,22/09/2014
SC482300,Residential special school (registered as a children's home),South East,South East,West Sussex,Private,6,22/09/2014
SC482301,Children's home,South East,South East,Hampshire,Private,6,22/09/2014
SC482302,Children's home,London,London,Croydon,Private,6,22/09/2014
SC482303,Children's home,South East,South East,Oxfordshire,Private,8,22/10/2014
SC482314,Children's home,South West,South West,Devon,Private,1,13/02/2015
SC482340,Children's home,North West,North West,Knowsley,Private,1,03/12/2014
SC482344,Children's home,South East,South East,Oxfordshire,Private,8,22/10/2014
SC482380,Children's home,East of England,East of England,Cambridgeshire,Private,4,31/03/2015
SC482410,Children's home,North West,North West,Wigan,Private,3,12/11/2014
SC482411,Children's home,East Midlands,East Midlands,Lincolnshire,Private,6,05/12/2014
SC482413,Children's home,East of England,East of England,Cambridgeshire,Private,16,18/02/2015
SC482414,Residential special school (registered as a children's home),East of England,East of England,Hertfordshire,Voluntary,58,03/02/2015
SC482419,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Barnsley,Private,3,11/01/2015
SC482517,Children's home,West Midlands,West Midlands,Warwickshire,Private,4,29/01/2015
SC482543,Children's home,West Midlands,West Midlands,Coventry,Private,6,27/01/2015
SC482548,Children's home,South East,South East,Brighton and Hove,Private,5,27/03/2015
SC482559,Children's home,East Midlands,East Midlands,Leicestershire,Private,5,12/11/2014
SC482569,Children's home,South West,South West,North Somerset,Private,4,20/01/2015
SC482668,Children's home,West Midlands,West Midlands,Coventry,Private,4,25/02/2015
SC482683,Children's home,West Midlands,West Midlands,Coventry,Private,4,25/02/2015
SC482790,Children's home,South West,South West,Somerset,Private,4,28/11/2014
SC482872,Children's home,South West,South West,Wiltshire,Private,3,11/12/2014
SC482972,Children's home,South West,South West,Torbay,Private,3,17/02/2015
SC483070,Children's home,North West,North West,Sefton,Private,4,05/02/2015
SC483220,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,5,26/01/2015
SC483533,Children's home,North West,North West,Bolton,Voluntary,3,27/01/2015
SC483662,Children's home,West Midlands,West Midlands,Dudley,Private,6,06/02/2015
SC483688,Children's home,North West,North West,Lancashire,Private,7,03/12/2014
