Table 2a: List of new children's homes registrations (joiners) between 1 April 2015 and 31 March 2016,,,,,,,
This worksheet contains one table with no blank rows or columns. This table begins in cell A4.,,,,,,,
Please see contents and guidance for definitions of terminology used.,,,,,,,
URN,Provider type,Ofsted Region,Government Office Region,Local authority,Sector,Places,Registration date
1184093,Children's home,North West,North West,Blackpool,Private,3,22/12/2015
1185488,Children's home,South East,South East,Reading,Private,4,30/11/2015
1185539,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Calderdale,Private,1,08/03/2016
1185765,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,09/12/2015
1185768,Children's home,South West,South West,Somerset,Private,3,29/10/2015
1185828,Children's home,North West,North West,Wigan,Private,4,08/02/2016
1205501,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,6,18/12/2015
1211772,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,6,17/12/2015
1212094,Children's home,North West,North West,Salford,Private,4,09/02/2016
1212117,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,3,01/12/2015
1212708,Children's home,East Midlands,East Midlands,Nottingham,Private,3,09/12/2015
1213416,Children's home,West Midlands,West Midlands,Shropshire,Private,2,24/11/2015
1213828,Children's home,North West,North West,St Helens,Private,2,29/09/2015
1214266,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,10/11/2015
1214270,Children's home,North West,North West,Cheshire East,Private,1,18/12/2015
1214396,Children's home,West Midlands,West Midlands,Herefordshire,Private,2,13/01/2016
1214688,Children's home,South East,South East,Southampton,Private,5,26/11/2015
1215521,Children's home,East Midlands,East Midlands,Nottingham,Private,3,07/12/2015
1216505,Children's home,"North East, Yorkshire and the Humber",North East,Newcastle upon Tyne,Private,5,03/02/2016
1216657,Children's home,East Midlands,East Midlands,Nottingham,Voluntary,2,23/12/2015
1220818,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,29/01/2016
1220887,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,29/11/2015
1221437,Children's home,South West,South West,Dorset,Private,5,15/03/2016
1221700,Children's home,North West,North West,Lancashire,Private,5,02/02/2016
1222089,Children's home,West Midlands,West Midlands,Stoke-on-Trent,Private,4,17/02/2016
1222092,Children's home,North West,North West,Lancashire,Private,2,10/02/2016
1223201,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Local Authority,4,10/12/2015
1223501,Children's home,North West,North West,Lancashire,Private,4,04/02/2016
1224093,Children's home,East of England,East of England,Hertfordshire,Private,4,04/11/2015
1224251,Children's home,North West,North West,Wigan,Private,2,06/01/2016
1224663,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,30/12/2015
1224674,Children's home,East Midlands,East Midlands,Rutland,Private,7,11/02/2016
1225887,Children's home,South East,South East,Kent,Private,2,15/01/2016
1226266,Children's home,South East,South East,West Sussex,Private,6,11/01/2016
1226495,Children's home,South East,South East,West Sussex,Private,5,07/01/2016
1226757,Children's home,East of England,East of England,Thurrock,Private,3,17/03/2016
1226969,Children's home,East of England,East of England,Cambridgeshire,Voluntary,4,25/01/2016
1226975,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,28/01/2016
1227060,Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Yorkshire and The Humber,North Yorkshire,Private,6,09/12/2015
1227596,Children's home,West Midlands,West Midlands,Staffordshire,Private,3,23/02/2016
1227788,Children's home,South West,South West,Somerset,Private,2,26/02/2016
1228522,Children's home,North West,North West,Lancashire,Private,5,08/01/2016
1228919,Children's home,South East,South East,East Sussex,Private,2,29/03/2016
1229762,Children's home,East Midlands,East Midlands,Leicestershire,Private,3,29/02/2016
1229766,Residential special school (registered as a children's home),East of England,East of England,Cambridgeshire,Private,29,14/01/2016
1231066,Children's home,South West,South West,Devon,Private,1,17/02/2016
1231067,Children's home,South West,South West,Devon,Private,1,08/03/2016
1231405,Children's home,North West,North West,Lancashire,Local Authority,6,04/02/2016
1232380,Children's home,North West,North West,Bolton,Voluntary,6,17/03/2016
SC476587,Children's home,South East,South East,East Sussex,Private,2,24/08/2015
SC477151,Children's home,London,London,Lewisham,Voluntary,5,20/05/2015
SC479230,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,19/04/2015
SC479645,Children's home,East of England,East of England,Suffolk,Private,6,09/12/2015
SC482415,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Private,4,09/10/2015
SC482418,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,4,13/04/2015
SC483623,Children's home,London,London,Haringey,Private,5,29/06/2015
SC483846,Children's home,North West,North West,Lancashire,Private,5,12/10/2015
SC483856,Children's home,North West,North West,Lancashire,Private,5,12/10/2015
SC484302,Children's home,South East,South East,East Sussex,Private,2,06/04/2015
SC484358,Children's home,North West,North West,Lancashire,Private,3,12/07/2015
SC485331,Children's home,South West,South West,South Gloucestershire,Private,4,01/07/2015
SC485956,Children's home,North West,North West,Lancashire,Private,2,05/06/2015
SC486114,Children's home,North West,North West,Lancashire,Private,4,08/07/2015
SC486398,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,14/05/2015
SC486479,Children's home,South East,South East,West Berkshire,Private,5,16/04/2015
SC486527,Children's home,"North East, Yorkshire and the Humber",North East,Durham,Private,4,26/11/2015
SC486754,Children's home,London,London,Redbridge,Voluntary,4,30/06/2015
SC486879,Children's home,South East,South East,East Sussex,Private,5,21/07/2015
SC487196,Children's home,South East,South East,West Sussex,Private,5,16/04/2015
SC487488,Children's home,North West,North West,Halton,Private,1,12/05/2015
SC487549,Children's home,North West,North West,Cumberland,Private,4,12/06/2015
SC487702,Children's home,East of England,East of England,Suffolk,Private,3,28/09/2015
SC487764,Children's home,West Midlands,West Midlands,Staffordshire,Private,2,23/09/2015
SC487794,Children's home,West Midlands,West Midlands,Shropshire,Private,3,17/04/2015
SC488081,Children's home,East Midlands,East Midlands,Rutland,Private,2,22/07/2015
SC488223,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Rotherham,Private,3,16/04/2015
SC488406,Children's home,West Midlands,West Midlands,Wolverhampton,Private,3,15/09/2015
SC488596,Children's home,East Midlands,East Midlands,Derby,Local Authority,5,15/04/2015
SC488679,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Leeds,Local Authority,4,10/04/2015
SC488710,Children's home,West Midlands,West Midlands,Telford and Wrekin,Private,2,10/07/2015
SC488930,Children's home,East Midlands,East Midlands,Leicester,Private,6,28/07/2015
SC488943,Children's home,West Midlands,West Midlands,Staffordshire,Private,4,22/07/2015
SC488961,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,5,18/03/2016
SC489036,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,03/09/2015
SC489038,Children's home,North West,North West,Lancashire,Private,8,19/06/2015
SC489187,Children's home,"North East, Yorkshire and the Humber",North East,Redcar and Cleveland,Private,5,08/10/2015
SC489212,Residential special school (registered as a children's home),South East,South East,Oxfordshire,Private,12,07/07/2015
SC489223,Children's home,South West,South West,Somerset,Private,2,29/01/2016
SC489226,Children's home,"North East, Yorkshire and the Humber",Yorkshire and The Humber,Kirklees,Private,5,30/12/2015
SC489400,Children's home,East Midlands,East Midlands,Nottinghamshire,Private,4,14/08/2015
SC489414,Children's home,South East,South East,Kent,Private,4,30/04/2015
SC489416,Children's home,North West,North West,Lancashire,Private,4,12/08/2015
SC489512,Children's home,South East,South East,Hampshire,Private,4,21/08/2015
SC489516,Children's home,East Midlands,East Midlands,West Northamptonshire,Private,2,27/05/2015
SC489547,Children's home,East of England,East of England,Norfolk,Private,3,16/11/2015
SC489610,Children's home,East Midlands,East Midlands,Derbyshire,Private,3,29/05/2015
SC489640,Children's home,South West,South West,Devon,Voluntary,3,27/07/2015
SC489820,Children's home,South West,South West,Dorset,Private,4,09/10/2015
SC489970,Children's home,East Midlands,East Midlands,Leicestershire,Private,4,28/07/2015
SC490025,Children's home,South East,South East,Slough,Private,4,10/07/2015
SC490136,Children's home,London,London,Richmond upon Thames,Private,2,02/07/2015
SC490364,Children's home,East Midlands,East Midlands,Derbyshire,Private,4,09/10/2015
SC490365,Children's home,London,London,Hackney,Private,8,05/05/2015
SC486399,Children's home,West Midlands,West Midlands,Birmingham,Private,3,13/08/2015
1159807,Children's home,North West,North West,Lancashire,Private,5,08/09/2015
1156094,Children's home,North West,North West,St Helens,Private,10,27/07/2015
1225631,Children's home,North West,North West,Lancashire,Private,5,07/12/2015
SC476256,Children's home,West Midlands,West Midlands,Staffordshire,Private,5,13/04/2015
SC480107,Children's home,East of England,East of England,Cambridgeshire,Private,3,08/07/2015
1182965,Children's home,West Midlands,West Midlands,Birmingham,Private,4,26/10/2015
