time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2022,Reporting year,National,E92000001,England,All new placements,1. 20 miles or less,60070,69
2022,Reporting year,National,E92000001,England,All new placements,2. Over 20 miles,17680,20
2022,Reporting year,National,E92000001,England,All new placements,1.i 20 miles or less inside LA boundary,41800,48
2022,Reporting year,National,E92000001,England,All new placements,1.ii 20 miles or less outside LA boundary,18270,21
2022,Reporting year,National,E92000001,England,All new placements,2.i Over 20 miles inside LA boundary,3960,5
2022,Reporting year,National,E92000001,England,All new placements,2.ii Over 20 miles outside LA boundary,13720,16
2022,Reporting year,National,E92000001,England,All new placements,Distance not Known or not recorded,9520,11
2022,Reporting year,National,E92000001,England,All new placements,Total,87270,100
2022,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,26300,53
2022,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,11730,24
2022,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2690,5
2022,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,6190,12
2022,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2780,6
2022,Reporting year,National,E92000001,England,Foster placements,Total,49690,100
2022,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,1570,39
2022,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,520,13
2022,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,210,5
2022,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,310,8
2022,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1460,36
2022,Reporting year,National,E92000001,England,Living independently,Total,4070,100
2022,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1610,66
2022,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,400,17
2022,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,60,3
2022,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,320,13
2022,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,30,1
2022,Reporting year,National,E92000001,England,Other,Total,2420,100
2022,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,490,16
2022,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,860,29
2022,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,200,7
2022,Reporting year,National,E92000001,England,Placed for adoption,2.ii Over 20 miles outside LA boundary,1180,39
2022,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,260,9
2022,Reporting year,National,E92000001,England,Placed for adoption,Total,3000,100
2022,Reporting year,National,E92000001,England,Placed with parents,1.i 20 miles or less inside LA boundary,5820,81
2022,Reporting year,National,E92000001,England,Placed with parents,1.ii 20 miles or less outside LA boundary,790,11
2022,Reporting year,National,E92000001,England,Placed with parents,2.i Over 20 miles inside LA boundary,70,1
2022,Reporting year,National,E92000001,England,Placed with parents,2.ii Over 20 miles outside LA boundary,470,7
2022,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,20,k
2022,Reporting year,National,E92000001,England,Placed with parents,Total,7180,100
2022,Reporting year,National,E92000001,England,Residential placements,1.i 20 miles or less inside LA boundary,910,28
2022,Reporting year,National,E92000001,England,Residential placements,1.ii 20 miles or less outside LA boundary,890,28
2022,Reporting year,National,E92000001,England,Residential placements,2.i Over 20 miles inside LA boundary,80,2
2022,Reporting year,National,E92000001,England,Residential placements,2.ii Over 20 miles outside LA boundary,1300,40
2022,Reporting year,National,E92000001,England,Residential placements,Distance not Known or not recorded,40,1
2022,Reporting year,National,E92000001,England,Residential placements,Total,3210,100
2022,Reporting year,National,E92000001,England,Residential schools,1.i 20 miles or less inside LA boundary,10,14
2022,Reporting year,National,E92000001,England,Residential schools,1.ii 20 miles or less outside LA boundary,20,22
2022,Reporting year,National,E92000001,England,Residential schools,2.i Over 20 miles inside LA boundary,c,c
2022,Reporting year,National,E92000001,England,Residential schools,2.ii Over 20 miles outside LA boundary,40,54
2022,Reporting year,National,E92000001,England,Residential schools,Distance not Known or not recorded,c,c
2022,Reporting year,National,E92000001,England,Residential schools,Total,80,100
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1.i 20 miles or less inside LA boundary,5100,29
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1.ii 20 miles or less outside LA boundary,3050,17
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2.i Over 20 miles inside LA boundary,640,4
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2.ii Over 20 miles outside LA boundary,3910,22
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",Distance not Known or not recorded,4920,28
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",Total,17610,100
2022,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,38030,77
2022,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8880,18
2022,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,2090,51
2022,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,520,13
2022,Reporting year,National,E92000001,England,Other,1. 20 miles or less,2010,83
2022,Reporting year,National,E92000001,England,Other,2. Over 20 miles,380,16
2022,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1350,45
2022,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1390,46
2022,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,6610,92
2022,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,550,8
2022,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,1800,56
2022,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1380,43
2022,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,37
2022,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,50,59
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1. 20 miles or less,8150,46
2022,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2. Over 20 miles,4550,26
2021,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,36050,78
2021,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8390,18
2021,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,2330,59
2021,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,600,15
2021,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1860,86
2021,Reporting year,National,E92000001,England,Other,2. Over 20 miles,260,12
2021,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1480,45
2021,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1530,47
2021,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,6610,92
2021,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,550,8
2021,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,1920,53
2021,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1620,45
2021,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,41
2021,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,40,58
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",1. 20 miles or less,7680,51
2021,Reporting year,National,E92000001,England,"Secure units, children's homes and semi-independent living accommodation",2. Over 20 miles,4520,30
2021,Reporting year,National,E92000001,England,Foster placements,1.i 20 miles or less inside LA boundary,25080,54
2021,Reporting year,National,E92000001,England,Foster placements,1.ii 20 miles or less outside LA boundary,10970,24
2021,Reporting year,National,E92000001,England,Foster placements,2.i Over 20 miles inside LA boundary,2420,5
2021,Reporting year,National,E92000001,England,Foster placements,2.ii Over 20 miles outside LA boundary,5960,13
2021,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,1870,4
2021,Reporting year,National,E92000001,England,Foster placements,Total,46310,100
2021,Reporting year,National,E92000001,England,Living independently,1.i 20 miles or less inside LA boundary,1700,43
2021,Reporting year,National,E92000001,England,Living independently,1.ii 20 miles or less outside LA boundary,640,16
2021,Reporting year,National,E92000001,England,Living independently,2.i Over 20 miles inside LA boundary,240,6
2021,Reporting year,National,E92000001,England,Living independently,2.ii Over 20 miles outside LA boundary,360,9
2021,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,1050,26
2021,Reporting year,National,E92000001,England,Living independently,Total,3980,100
2021,Reporting year,National,E92000001,England,Other,1.i 20 miles or less inside LA boundary,1550,72
2021,Reporting year,National,E92000001,England,Other,1.ii 20 miles or less outside LA boundary,310,14
2021,Reporting year,National,E92000001,England,Other,2.i Over 20 miles inside LA boundary,40,2
2021,Reporting year,National,E92000001,England,Other,2.ii Over 20 miles outside LA boundary,220,10
2021,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,30,2
2021,Reporting year,National,E92000001,England,Other,Total,2160,100
2021,Reporting year,National,E92000001,England,Placed for adoption,1.i 20 miles or less inside LA boundary,600,18
2021,Reporting year,National,E92000001,England,Placed for adoption,1.ii 20 miles or less outside LA boundary,880,27
2021,Reporting year,National,E92000001,England,Placed for adoption,2.i Over 20 miles inside LA boundary,260,8
