time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,number
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,1. Children who are the responsibility of other LAs placed within this LA boundary,199
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,2. Children who are the responsibility of this LA placed outside the LA boundary,137
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,Bexley,E09000004,Net gain of children by responsible LA,62
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,1. Children who are the responsibility of other LAs placed within this LA boundary,207
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,2. Children who are the responsibility of this LA placed outside the LA boundary,202
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,Brent,E09000005,Net gain of children by responsible LA,5
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,1. Children who are the responsibility of other LAs placed within this LA boundary,174
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,2. Children who are the responsibility of this LA placed outside the LA boundary,203
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,Bromley,E09000006,Net gain of children by responsible LA,-29
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,1. Children who are the responsibility of other LAs placed within this LA boundary,750
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,2. Children who are the responsibility of this LA placed outside the LA boundary,283
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,Croydon,E09000008,Net gain of children by responsible LA,467
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,1. Children who are the responsibility of other LAs placed within this LA boundary,179
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,2. Children who are the responsibility of this LA placed outside the LA boundary,196
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,Ealing,E09000009,Net gain of children by responsible LA,-17
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,1. Children who are the responsibility of other LAs placed within this LA boundary,228
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,2. Children who are the responsibility of this LA placed outside the LA boundary,213
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,Enfield,E09000010,Net gain of children by responsible LA,15
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,1. Children who are the responsibility of other LAs placed within this LA boundary,126
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,2. Children who are the responsibility of this LA placed outside the LA boundary,292
2023,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,Haringey,E09000014,Net gain of children by responsible LA,-166
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,1. Children who are the responsibility of other LAs placed within this LA boundary,162
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,2. Children who are the responsibility of this LA placed outside the LA boundary,102
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,Harrow,E09000015,Net gain of children by responsible LA,60
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,1. Children who are the responsibility of other LAs placed within this LA boundary,256
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,2. Children who are the responsibility of this LA placed outside the LA boundary,118
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,Net gain of children by responsible LA,138
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,Hillingdon,E09000017,1. Children who are the responsibility of other LAs placed within this LA boundary,222
2023,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,Hillingdon,E09000017,2. Children who are the responsibility of this LA placed outside the LA boundary,180
