time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,children_count
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,1330
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,2800
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Net gain of children by responsible LA,-1470
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,4040
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,3290
2025,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Net gain of children by responsible LA,750
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,1. Children who are the responsibility of other LAs placed within this LA boundary,112
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,2. Children who are the responsibility of this LA placed outside the LA boundary,150
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Net gain of children by responsible LA,-38
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,1. Children who are the responsibility of other LAs placed within this LA boundary,143
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,2. Children who are the responsibility of this LA placed outside the LA boundary,279
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Net gain of children by responsible LA,-136
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,1. Children who are the responsibility of other LAs placed within this LA boundary,106
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,2. Children who are the responsibility of this LA placed outside the LA boundary,213
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Net gain of children by responsible LA,-107
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,1. Children who are the responsibility of other LAs placed within this LA boundary,234
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,2. Children who are the responsibility of this LA placed outside the LA boundary,202
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Net gain of children by responsible LA,32
2025,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,1. Children who are the responsibility of other LAs placed within this LA boundary,172
