time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,care_leaver_age,breakdown,care_leaver_count,care_leaver_percent
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Local authority in touch with care leaver,1650,96
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Local authority not in touch with care leaver,40,2
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Total,1720,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Young person no longer requires services,30,2
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Local authority in touch with care leaver,4060,94
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Local authority not in touch with care leaver,120,3
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Total,4340,100
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Young person no longer requires services,110,2
2025,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Young person refuses contact,60,1
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Local authority in touch with care leaver,1430,95
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Local authority not in touch with care leaver,60,4
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Total,1510,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Young person no longer requires services,20,1
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Local authority in touch with care leaver,3560,95
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Local authority not in touch with care leaver,120,3
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Total,3760,100
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Young person no longer requires services,60,2
2025,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Young person refuses contact,30,1
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Local authority in touch with care leaver,2160,95
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Local authority not in touch with care leaver,80,3
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Total,2280,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Young person no longer requires services,30,1
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Local authority in touch with care leaver,6640,92
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Local authority not in touch with care leaver,280,4
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Total,7210,100
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Young person no longer requires services,230,3
2025,Reporting year,Regional,E92000001,England,E12000007,London,,,,19 to 21 years,Young person refuses contact,60,1
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Local authority in touch with care leaver,1960,85
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Local authority not in touch with care leaver,100,4
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Total,2290,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Young person no longer requires services,230,10
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,17 to 18 years,Young person refuses contact,10,k
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Local authority in touch with care leaver,5020,87
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Local authority not in touch with care leaver,560,10
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Total,5790,100
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Young person no longer requires services,130,2
2025,Reporting year,Regional,E92000001,England,E12000008,South East,,,,19 to 21 years,Young person refuses contact,70,1
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Local authority in touch with care leaver,1190,96
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Local authority not in touch with care leaver,30,3
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Total,1240,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Young person no longer requires services,20,1
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Local authority in touch with care leaver,3060,95
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Local authority not in touch with care leaver,70,2
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Total,3210,100
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Young person no longer requires services,70,2
2025,Reporting year,Regional,E92000001,England,E12000009,South West,,,,19 to 21 years,Young person refuses contact,10,k
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Local authority in touch with care leaver,930,96
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Local authority not in touch with care leaver,20,2
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Total,970,100
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Young person no longer requires services,10,1
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,17 to 18 years,Young person refuses contact,c,c
2025,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,19 to 21 years,Local authority in touch with care leaver,2910,94
