time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,2: Adoption,0
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,3: Placed with parents or other person with parental responsibility,60
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,4: Secure homes and children's homes,2390
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,5: Independent and semi-independent living arrangements/ supported accommodation,6730
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,6: Other placements,2040
2025,Reporting year,National,E92000001,England,Placements from which children were away from placement without authorisation,Total incidents,13130
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,30
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,2430
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,8300
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,10
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,10770
2024,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,10
2024,Reporting year,National,E92000001,England,Away from placement without authorisation incidents,Total number of away from placement without authorisation incidents during the year,10770
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,116470
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (mean) number of days per away from placement without authorisation incident,2.8
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average (median) number of days per away from placement without authorisation incident,1
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Average number of incidents per looked after child who was away from placement without authorisation,4
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation more than once during the year,1380
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away from placement without authorisation on 31 March,50
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Children away without authorisation from placement on 31 March who were unaccompanied asylum-seeking children,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation,Percentage of children looked after during the year who were away from placement without authorisation,2
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,African,210
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Asian background,100
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Black background,110
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other Mixed background,110
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Any other White background,150
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Bangladeshi,30
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Caribbean,140
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Chinese,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Gypsy Roma,20
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Indian,10
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Information not yet obtained,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Pakistani,20
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Refused,c
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,Total Asian or Asian British,160
2024,Reporting year,National,E92000001,England,Children away from placement without authorisation by ethnic origin,"Total Black, African, Caribbean or Black British",460
