New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E09000025,LA,316,Newham,262,96,135,127,8,61,29,68,96,21,8,0,0,107,6,x,16,x,0,0,9,90
E09000026,LA,317,Redbridge,143,52,73,70,7,33,16,35,52,x,6,0,x,76,x,0,x,15,x,0,x,28
E09000027,LA,318,Richmond upon Thames,55,13,32,23,x,12,8,18,13,x,x,0,0,30,0,x,x,x,0,0,0,13
E09000029,LA,319,Sutton,74,23,38,36,x,20,12,17,23,x,x,0,0,42,x,0,x,9,x,x,x,6
E09000031,LA,320,Waltham Forest,152,59,75,77,x,32,23,37,59,x,10,0,x,57,7,7,x,0,x,0,6,57
E08000025,LA,330,Birmingham,742,236,402,341,38,215,111,141,236,11,72,x,x,296,61,36,20,39,26,11,10,156
E08000026,LA,331,Coventry,223,69,116,106,14,57,37,45,69,x,18,0,0,98,8,8,6,36,x,x,x,30
E08000027,LA,332,Dudley,162,55,84,78,6,39,30,32,55,6,15,0,0,59,9,x,x,0,0,x,x,63
E08000028,LA,333,Sandwell,189,56,92,97,15,52,34,32,56,22,0,x,x,88,18,0,x,16,x,x,x,34
E08000029,LA,334,Solihull,185,112,109,76,7,27,11,28,112,x,x,0,x,54,13,x,0,50,0,x,x,54
E08000030,LA,335,Walsall,127,42,66,61,6,43,20,16,42,26,x,0,x,47,x,6,x,16,16,x,x,x
E08000031,LA,336,Wolverhampton,140,39,73,67,6,38,25,32,39,8,12,0,0,73,x,x,x,10,15,x,x,x
E08000011,LA,340,Knowsley,69,23,33,36,x,21,13,9,23,x,6,0,0,21,x,0,x,x,0,0,x,24
E08000012,LA,341,Liverpool,205,90,104,101,x,56,26,31,90,30,x,0,x,58,6,x,x,x,0,0,x,94
E08000013,LA,342,St. Helens,115,20,59,56,9,39,23,24,20,8,8,0,0,34,12,19,x,12,0,x,0,17
E08000014,LA,343,Sefton,135,43,72,63,x,26,28,34,43,8,x,0,x,59,7,x,0,x,x,x,x,41
E08000015,LA,344,Wirral,162,65,80,82,9,32,29,27,65,10,14,0,x,53,8,x,x,9,x,x,0,53
E08000001,LA,350,Bolton,131,51,70,61,x,34,19,22,51,20,x,0,x,46,x,8,x,x,x,0,x,30
E08000002,LA,351,Bury,115,29,60,55,x,31,20,31,29,7,x,0,0,49,x,14,x,x,0,x,x,29
E08000003,LA,352,Manchester,571,198,305,267,12,125,108,128,198,37,14,0,x,188,23,41,21,24,29,x,12,177
E08000004,LA,353,Oldham,152,43,66,86,x,47,32,25,43,14,8,0,x,56,15,13,x,14,x,6,0,19
E08000005,LA,354,Rochdale,156,33,72,84,13,44,34,32,33,13,16,0,x,54,10,14,0,0,x,0,x,43
E08000006,LA,355,Salford,164,57,85,79,8,38,37,24,57,7,19,0,x,50,x,15,0,x,0,x,x,63
E08000007,LA,356,Stockport,126,47,66,60,x,29,24,24,47,16,x,0,0,36,9,10,7,8,x,x,x,29
E08000008,LA,357,Tameside,149,33,82,67,14,56,20,26,33,6,17,0,0,58,18,x,0,12,x,x,x,30
E08000009,LA,358,Trafford,70,35,33,37,x,13,7,10,35,6,x,x,0,18,6,x,x,7,0,x,x,26
E08000010,LA,359,Wigan,172,58,98,74,10,52,28,24,58,6,16,0,x,45,18,17,6,6,x,x,x,51
E08000016,LA,370,Barnsley,94,44,55,39,x,22,11,12,44,x,17,0,0,13,6,7,0,x,20,0,x,26
E08000017,LA,371,Doncaster,210,54,124,86,14,47,36,59,54,18,6,0,x,101,16,11,x,6,x,7,0,37
E08000018,LA,372,Rotherham,185,49,88,97,14,53,36,33,49,22,15,0,x,68,20,11,x,10,6,x,x,23
E08000019,LA,373,Sheffield,224,75,134,90,17,67,24,41,75,27,18,0,x,79,18,x,6,31,13,x,9,14
E08000032,LA,380,Bradford,296,103,159,137,12,91,39,51,103,19,15,x,x,85,8,19,x,6,0,x,7,125
E08000033,LA,381,Calderdale,79,24,42,37,x,24,11,15,24,11,6,0,x,33,x,x,x,12,6,x,x,0
E08000034,LA,382,Kirklees,184,62,96,88,10,59,25,28,62,30,x,x,x,67,13,6,x,x,0,6,x,44
E08000035,LA,383,Leeds,389,157,230,159,19,79,55,79,157,9,43,x,x,92,22,33,10,46,x,6,0,118
E08000036,LA,384,Wakefield,153,57,95,58,11,49,21,15,57,19,6,0,x,47,x,17,x,32,x,x,x,12
E08000020,LA,390,Gateshead,127,34,63,64,8,39,19,27,34,8,14,0,x,36,20,6,6,x,0,0,0,32
E08000021,LA,391,Newcastle upon Tyne,209,64,103,106,9,52,38,46,64,36,0,0,0,120,7,x,0,10,x,0,x,32
E08000022,LA,392,North Tyneside,128,36,62,66,x,48,15,24,36,10,6,0,0,56,x,x,9,6,x,0,x,27
E08000023,LA,393,South Tyneside,118,36,55,63,13,39,17,13,36,21,6,0,0,44,x,11,0,13,10,x,0,7
E08000024,LA,394,Sunderland,155,55,84,71,7,30,26,37,55,x,21,0,0,66,9,x,x,10,x,x,x,33
E06000022,LA,800,Bath and North East Somerset,34,20,17,17,x,x,0,9,20,0,x,0,0,14,0,0,x,6,0,x,x,6
E06000023,LA,801,"Bristol, City of",243,103,131,112,10,51,41,38,103,34,x,0,0,72,13,9,6,x,15,8,x,74
E06000024,LA,802,North Somerset,108,32,52,56,x,27,17,27,32,17,x,0,x,48,7,0,x,6,x,x,x,23
E06000025,LA,803,South Gloucestershire,101,58,52,49,x,13,10,17,58,x,0,x,x,40,x,x,0,37,x,x,x,0
E06000001,LA,805,Hartlepool,72,17,32,40,7,22,8,18,17,9,x,0,0,24,9,x,x,11,0,x,x,x
E06000002,LA,806,Middlesbrough,163,22,78,85,11,59,34,37,22,19,x,0,0,97,17,x,x,x,0,x,x,18
E06000003,LA,807,Redcar and Cleveland,95,18,53,42,15,22,17,23,18,8,x,0,x,31,15,6,x,6,x,0,x,14
E06000004,LA,808,Stockton-on-Tees,143,33,73,70,10,52,31,17,33,8,7,x,0,72,15,7,x,12,x,x,0,11
E06000010,LA,810,"Kingston Upon Hull, City of",193,54,114,79,9,55,43,32,54,0,39,x,0,36,x,x,0,x,0,0,x,104
E06000011,LA,811,East Riding of Yorkshire,100,44,60,40,x,22,11,19,44,x,7,0,0,41,10,x,x,22,x,0,x,11
E06000012,LA,812,North East Lincolnshire,64,23,37,27,8,15,7,11,23,x,15,0,0,15,0,0,x,x,0,0,7,23
E06000013,LA,813,North Lincolnshire,101,37,59,42,x,28,14,18,37,8,x,x,x,41,0,x,x,17,0,x,6,16
E10000023,LA,815,North Yorkshire,207,87,115,91,6,42,28,43,87,10,6,0,x,75,11,16,x,44,x,6,x,28
E06000014,LA,816,York,72,27,33,39,x,23,12,7,27,11,7,0,x,16,x,x,7,12,x,x,x,x
E06000032,LA,821,Luton,105,45,54,51,x,18,14,27,45,x,x,x,x,52,x,x,x,19,9,x,x,6
E06000055,LA,822,Bedford,78,32,43,35,x,17,9,17,32,11,0,0,0,27,x,8,0,8,x,x,x,13
E06000056,LA,823,Central Bedfordshire,72,35,45,27,x,14,7,12,35,x,x,0,x,32,x,x,0,x,x,x,0,26
E10000002,LA,825,Buckinghamshire,125,50,66,59,x,33,18,21,50,10,x,0,x,32,x,6,7,x,x,11,0,48
E06000042,LA,826,Milton Keynes,110,42,72,38,7,17,15,29,42,9,x,x,x,30,x,x,x,21,x,x,x,32
E10000007,LA,830,Derbyshire,270,79,138,132,21,68,46,56,79,38,x,0,x,121,19,x,x,16,12,x,x,50
E06000015,LA,831,Derby,147,49,80,67,11,42,26,19,49,18,11,0,0,45,7,13,x,x,x,19,9,14
E10000009,LA,835,Dorset,134,43,70,64,10,29,19,33,43,x,x,0,0,79,x,x,x,x,x,x,0,26
E06000029,LA,836,Poole,53,12,27,26,x,12,x,22,12,6,x,0,x,27,0,0,0,8,x,x,x,x
E06000028,LA,837,Bournemouth,98,25,47,51,8,43,x,17,25,14,x,0,x,48,0,x,0,7,x,x,x,18
E06000047,LA,840,Durham,227,52,123,103,11,80,35,48,52,26,8,0,0,83,16,9,13,19,6,9,x,35
E06000005,LA,841,Darlington,72,14,35,37,6,21,13,18,14,x,0,0,x,42,x,10,x,0,x,0,0,12
E10000011,LA,845,East Sussex,171,44,83,88,11,70,23,23,44,19,15,0,x,59,x,8,19,9,0,0,x,35
E06000043,LA,846,Brighton and Hove,202,75,115,87,7,64,29,27,75,13,14,0,0,92,x,6,6,0,0,x,x,64
E10000014,LA,850,Hampshire,469,161,250,219,16,105,76,111,161,18,19,x,x,181,19,37,x,29,15,18,7,118
E06000044,LA,851,Portsmouth,143,49,82,61,8,35,17,34,49,12,x,0,0,55,10,x,x,13,10,x,x,26
E06000045,LA,852,Southampton,165,57,102,63,11,39,29,29,57,16,0,0,x,71,x,10,x,0,6,0,0,51
E10000018,LA,855,Leicestershire,170,68,98,72,6,34,24,38,68,6,x,0,6,66,x,8,x,26,16,x,x,28
E06000016,LA,856,Leicester,167,58,95,72,7,35,30,37,58,16,10,0,0,51,6,19,x,x,x,0,x,58
E06000017,LA,857,Rutland,8,x,x,x,x,x,0,x,x,0,0,0,0,x,x,0,0,x,0,0,0,0
E10000028,LA,860,Staffordshire,253,113,140,112,13,62,26,38,113,20,9,0,6,72,x,17,x,16,47,9,x,44
E06000021,LA,861,Stoke-on-Trent,162,41,95,67,12,53,32,24,41,x,32,x,0,44,20,26,x,x,x,x,0,27
E06000054,LA,865,Wiltshire,137,60,68,69,8,26,19,24,60,x,12,x,x,45,0,6,0,20,0,x,x,44
E06000030,LA,866,Swindon,99,41,55,44,x,18,9,27,41,8,x,0,0,35,0,x,x,x,x,0,x,40
E06000036,LA,867,Bracknell Forest,41,23,23,18,x,8,x,6,23,0,0,0,x,16,x,0,0,6,x,x,0,9
E06000040,LA,868,Windsor and Maidenhead,36,14,17,19,x,10,x,6,14,x,x,0,x,14,x,x,0,x,x,x,0,x
E06000037,LA,869,West Berkshire,52,26,31,21,x,8,x,12,26,x,x,0,0,21,0,0,0,x,0,10,0,15
E06000038,LA,870,Reading,95,28,49,46,7,28,15,17,28,8,x,0,0,30,x,15,x,x,0,x,x,26
E06000039,LA,871,Slough,75,38,41,34,x,13,8,12,38,x,x,0,0,19,x,x,x,9,x,x,x,29
E06000041,LA,872,Wokingham,36,14,17,19,x,7,8,x,14,6,0,0,0,8,x,x,x,x,x,x,0,10
E10000003,LA,873,Cambridgeshire,186,87,100,86,8,33,25,33,87,27,0,x,x,52,x,x,9,18,x,0,x,60
E06000031,LA,874,Peterborough,117,30,54,63,x,43,18,23,30,24,8,0,0,51,x,x,x,6,x,x,x,15
E06000006,LA,876,Halton,74,26,42,32,x,23,9,14,26,11,0,0,0,26,x,9,x,x,x,x,0,16
E06000007,LA,877,Warrington,115,30,63,52,9,35,22,19,30,0,9,0,x,9,x,x,x,0,0,0,0,87
E10000008,LA,878,Devon,332,151,182,150,23,59,28,71,151,13,x,x,x,154,13,12,x,67,38,10,x,13
E06000026,LA,879,Plymouth,221,94,105,116,13,52,27,35,94,17,27,0,x,62,15,x,x,30,21,x,x,33
E06000027,LA,880,Torbay,75,19,37,38,7,13,14,22,19,7,x,0,x,39,x,x,0,10,x,x,x,x
E10000012,LA,881,Essex,474,185,252,222,18,115,64,92,185,21,25,x,x,166,26,38,17,60,62,13,7,32
E06000033,LA,882,Southend-on-Sea,90,36,47,43,x,28,8,13,36,7,12,x,0,32,x,x,0,12,13,0,0,x
E06000034,LA,883,Thurrock,140,50,73,67,8,26,24,32,50,x,6,0,x,73,0,8,8,x,19,x,x,12
E06000019,LA,884,Herefordshire,73,25,36,37,x,28,6,12,25,13,x,0,0,32,x,x,x,10,x,x,x,x
E10000034,LA,885,Worcestershire,220,107,117,103,15,38,19,41,107,13,x,x,0,70,14,10,x,42,x,10,x,44
E10000016,LA,886,Kent,750,376,462,288,27,135,78,134,376,47,12,x,x,250,20,8,15,77,178,6,x,128
E06000035,LA,887,Medway,156,60,83,73,12,39,16,29,60,15,x,0,0,56,x,7,7,x,0,x,0,63
E10000017,LA,888,Lancashire,464,177,245,219,30,93,66,98,177,6,46,x,0,161,41,22,x,36,16,12,6,112
E06000008,LA,889,Blackburn with Darwen,119,36,61,58,x,36,18,25,36,16,13,x,0,35,x,8,x,x,0,0,x,32
