New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E08000025,LA,330,Birmingham,190,11,9,45,26,x,95,25,x,15,12,x,x,74,0,x,10,6,25,171
E08000026,LA,331,Coventry,43,0,x,9,11,x,21,9,x,x,x,x,0,20,x,x,x,0,x,36
E08000027,LA,332,Dudley,37,9,0,13,x,0,11,7,0,x,x,0,0,11,0,0,x,x,x,27
E08000028,LA,333,Sandwell,51,x,x,x,37,x,x,x,0,x,23,0,x,15,0,0,0,0,0,46
E08000029,LA,334,Solihull,73,x,x,36,20,x,10,6,0,20,x,x,x,31,0,0,x,0,x,66
E08000030,LA,335,Walsall,36,x,x,11,12,0,9,11,x,x,0,0,0,10,0,0,x,6,0,32
E08000031,LA,336,Wolverhampton,27,0,x,x,16,x,x,x,x,x,0,0,0,14,0,0,0,x,x,27
E08000011,LA,340,Knowsley,19,0,x,x,9,x,x,6,x,x,x,0,0,6,0,0,0,x,x,19
E08000012,LA,341,Liverpool,88,x,x,29,22,x,31,30,0,6,x,x,0,28,0,0,6,7,x,80
E08000013,LA,342,St. Helens,14,0,x,x,6,x,x,x,0,0,x,0,0,7,0,0,0,x,x,14
E08000014,LA,343,Sefton,23,0,0,x,14,x,x,6,0,0,7,0,0,7,x,0,0,0,x,21
E08000015,LA,344,Wirral,44,x,0,9,8,x,23,8,x,x,x,x,x,23,0,0,x,0,x,40
E08000001,LA,350,Bolton,28,x,x,6,8,x,10,9,0,7,0,x,0,x,0,0,x,x,x,23
E08000002,LA,351,Bury,30,0,x,11,8,x,8,8,x,x,0,x,x,6,x,0,x,x,x,27
E08000003,LA,352,Manchester,158,9,7,51,37,9,45,29,8,22,7,6,x,61,x,x,x,0,9,142
E08000004,LA,353,Oldham,28,0,x,6,7,x,13,0,0,7,x,0,0,12,0,x,x,x,0,26
E08000005,LA,354,Rochdale,20,0,0,x,x,x,7,x,x,0,x,0,0,9,0,0,x,0,x,19
E08000006,LA,355,Salford,44,0,x,18,10,x,9,7,x,x,x,0,0,22,0,0,0,9,0,44
E08000007,LA,356,Stockport,36,0,x,7,10,x,15,7,x,x,8,0,0,11,0,0,x,0,x,32
E08000008,LA,357,Tameside,25,0,x,x,6,x,10,x,0,x,x,0,0,15,0,0,0,x,x,25
E08000009,LA,358,Trafford,21,x,x,x,x,0,7,x,x,x,0,0,0,9,0,0,x,0,x,19
E08000010,LA,359,Wigan,37,9,0,11,8,0,9,x,x,x,x,0,0,12,0,0,0,0,x,28
E08000016,LA,370,Barnsley,31,x,0,7,7,x,9,7,0,x,0,x,0,14,0,0,0,x,x,26
E08000017,LA,371,Doncaster,43,6,x,11,x,x,17,8,x,0,x,x,0,13,0,0,0,x,6,33
E08000018,LA,372,Rotherham,34,0,x,12,10,x,9,9,0,7,x,0,x,12,0,0,x,x,x,33
E08000019,LA,373,Sheffield,64,x,x,22,25,0,12,8,x,7,8,x,0,23,0,x,x,7,x,60
E08000032,LA,380,Bradford,76,x,x,26,22,x,20,17,x,8,7,8,0,26,0,0,x,0,x,69
E08000033,LA,381,Calderdale,24,x,x,x,x,x,15,x,0,x,x,0,0,13,x,0,x,0,0,22
E08000034,LA,382,Kirklees,36,0,x,9,12,0,14,x,x,x,x,0,0,19,0,0,0,0,x,34
E08000035,LA,383,Leeds,140,9,x,25,65,x,31,12,x,x,0,0,x,95,0,0,x,13,x,129
E08000036,LA,384,Wakefield,36,x,0,9,14,6,x,x,x,8,x,x,x,8,0,0,0,0,x,32
E08000020,LA,390,Gateshead,34,0,x,9,12,x,11,x,x,0,8,0,x,11,0,0,0,0,6,34
E08000021,LA,391,Newcastle upon Tyne,41,x,6,9,14,x,9,x,x,x,x,x,0,23,0,0,x,0,x,39
E08000022,LA,392,North Tyneside,16,0,x,7,x,0,x,x,0,x,x,x,0,6,0,0,x,0,0,16
E08000023,LA,393,South Tyneside,25,0,0,7,11,x,x,x,x,x,0,x,x,10,0,0,x,x,0,24
E08000024,LA,394,Sunderland,36,x,x,9,10,x,12,x,x,x,x,x,0,12,0,0,x,x,x,34
E06000022,LA,800,Bath and North East Somerset,14,0,x,x,x,x,x,x,x,0,x,0,0,x,0,x,x,0,x,12
E06000023,LA,801,"Bristol, City of",60,x,x,19,9,x,20,7,x,11,0,x,0,11,x,0,x,15,x,52
E06000024,LA,802,North Somerset,16,0,0,x,x,x,x,x,x,x,0,x,0,x,0,0,0,0,0,16
E06000025,LA,803,South Gloucestershire,23,x,x,6,9,0,x,x,x,0,x,x,0,8,0,x,0,0,0,20
E06000001,LA,805,Hartlepool,9,0,0,x,x,0,x,x,0,x,0,0,0,6,0,x,0,0,0,9
E06000002,LA,806,Middlesbrough,17,0,0,x,6,0,7,x,x,x,x,0,0,x,0,0,x,0,0,15
E06000003,LA,807,Redcar and Cleveland,16,0,x,x,7,x,x,x,0,0,x,x,0,7,0,x,x,0,x,14
E06000004,LA,808,Stockton-on-Tees,13,0,0,x,x,x,7,x,x,0,x,0,0,x,0,0,x,0,x,11
E06000010,LA,810,"Kingston Upon Hull, City of",46,0,x,17,12,x,12,9,0,x,13,x,0,13,0,0,x,x,x,45
E06000011,LA,811,East Riding of Yorkshire,18,x,x,x,10,x,x,x,x,x,x,x,0,7,0,0,0,0,0,17
E06000012,LA,812,North East Lincolnshire,15,0,x,x,x,0,x,x,x,0,x,0,0,x,0,0,x,x,x,13
E06000013,LA,813,North Lincolnshire,15,0,0,x,8,0,x,x,x,0,x,0,0,9,0,0,x,0,0,14
E10000023,LA,815,North Yorkshire,45,x,x,9,12,x,17,x,6,x,0,x,0,18,0,0,x,7,x,41
E06000014,LA,816,York,16,0,0,x,x,x,7,x,x,x,x,0,0,x,0,0,0,0,x,16
E06000032,LA,821,Luton,54,0,6,24,9,x,14,8,x,0,x,0,x,35,0,0,x,0,x,53
E06000055,LA,822,Bedford,21,x,0,7,x,0,7,x,x,x,x,0,x,6,0,0,0,x,x,18
E06000056,LA,823,Central Bedfordshire,22,x,x,9,x,0,6,x,x,0,0,x,x,12,0,0,0,0,x,20
E10000002,LA,825,Buckinghamshire,36,x,x,12,9,x,9,x,6,x,x,x,x,11,0,0,x,0,6,33
E06000042,LA,826,Milton Keynes,28,x,x,11,x,x,7,x,x,0,0,0,0,16,0,0,x,x,x,25
E10000007,LA,830,Derbyshire,66,0,x,7,45,x,10,6,x,x,12,x,0,34,x,0,x,0,0,62
E06000015,LA,831,Derby,26,x,x,x,12,0,8,10,0,0,x,0,0,8,0,0,0,0,x,22
E10000009,LA,835,Dorset,34,x,x,x,13,6,9,x,x,x,x,0,0,15,0,0,0,x,x,33
E06000029,LA,836,Poole,15,0,x,x,6,0,x,x,x,x,x,0,x,7,0,0,0,0,0,15
E06000028,LA,837,Bournemouth,17,0,x,x,x,0,10,x,x,x,x,0,0,8,0,0,0,x,0,17
E06000047,LA,840,Durham,21,x,0,11,x,x,x,6,x,x,x,0,0,6,0,x,0,0,x,18
E06000005,LA,841,Darlington,10,0,0,0,7,0,x,x,0,0,x,0,0,7,0,0,0,0,0,10
E10000011,LA,845,East Sussex,38,x,x,6,10,x,17,x,x,0,x,0,0,20,0,0,x,x,x,37
E06000043,LA,846,Brighton and Hove,48,0,x,24,9,0,14,15,x,0,6,0,7,12,x,0,x,0,0,45
E10000014,LA,850,Hampshire,90,15,11,14,14,x,31,18,6,6,x,10,x,20,x,x,x,0,x,67
E06000044,LA,851,Portsmouth,26,x,x,10,x,x,6,x,x,x,6,0,x,6,0,0,x,0,x,21
E06000045,LA,852,Southampton,30,x,0,14,x,x,9,x,0,x,6,0,x,7,0,0,x,x,x,22
E10000018,LA,855,Leicestershire,52,x,x,9,6,x,25,7,x,x,x,0,x,22,x,x,x,0,x,47
E06000016,LA,856,Leicester,36,x,x,9,13,x,6,8,0,x,9,0,0,11,0,0,0,0,x,31
E06000017,LA,857,Rutland,x,0,x,0,x,0,x,x,0,0,0,0,0,x,0,0,0,0,0,x
E10000028,LA,860,Staffordshire,71,x,6,18,8,6,31,16,x,x,x,6,x,27,0,0,x,0,9,65
E06000021,LA,861,Stoke-on-Trent,45,8,x,6,13,x,16,6,x,x,0,x,0,19,0,0,x,0,x,36
E06000054,LA,865,Wiltshire,35,0,x,15,x,x,13,8,x,x,x,x,x,13,0,0,x,0,x,34
E06000030,LA,866,Swindon,25,x,x,7,x,x,6,x,x,6,x,0,0,10,0,0,0,0,0,22
E06000036,LA,867,Bracknell Forest,8,0,0,x,x,0,6,x,0,x,x,0,0,x,0,0,0,0,0,8
E06000040,LA,868,Windsor and Maidenhead,10,0,0,x,x,x,0,x,x,x,0,0,0,x,0,0,0,x,0,10
E06000037,LA,869,West Berkshire,9,x,0,x,x,0,x,x,x,x,x,0,0,x,0,0,0,0,0,8
E06000038,LA,870,Reading,24,x,0,7,x,x,10,x,x,0,0,0,0,18,0,0,x,0,0,22
E06000039,LA,871,Slough,15,x,0,10,0,x,x,x,x,x,0,0,0,6,0,0,0,x,x,12
E06000041,LA,872,Wokingham,7,0,x,x,0,x,x,0,x,x,0,0,0,x,0,0,0,0,0,7
E10000003,LA,873,Cambridgeshire,44,0,6,15,8,x,13,x,x,x,x,x,0,33,0,0,x,0,0,44
E06000031,LA,874,Peterborough,23,0,x,x,7,x,8,x,0,x,x,0,0,8,0,0,0,x,x,23
E06000006,LA,876,Halton,9,0,x,x,x,0,x,x,0,0,0,0,0,x,x,0,0,x,0,8
E06000007,LA,877,Warrington,11,0,0,x,x,x,6,x,x,0,0,0,0,7,0,0,0,0,x,11
E10000008,LA,878,Devon,61,7,x,17,16,0,17,x,6,x,x,0,0,22,0,0,x,8,x,47
